"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","18,19","18,71","18,85","18,19","17,43M","-2,56%"
"27.12.2019","18,67","18,75","18,86","18,60","13,21M","-0,31%"
"26.12.2019","18,72","18,47","18,75","18,34","20,73M","1,37%"
"23.12.2019","18,47","18,52","18,59","18,30","16,33M","0,26%"
"20.12.2019","18,42","18,14","18,52","18,04","25,82M","1,23%"
"19.12.2019","18,20","18,12","18,20","18,00","27,27M","0,42%"
"18.12.2019","18,12","18,00","18,22","17,88","31,76M","0,95%"
"17.12.2019","17,95","18,18","18,32","17,93","14,09M","-0,89%"
"16.12.2019","18,11","18,06","18,29","18,05","17,12M","0,37%"
"13.12.2019","18,05","17,85","18,07","17,84","15,66M","1,66%"
"12.12.2019","17,75","17,53","17,83","17,50","17,46M","1,36%"
"11.12.2019","17,51","17,52","17,56","17,33","29,65M","0,44%"
"10.12.2019","17,44","17,46","17,63","17,36","14,72M","-0,38%"
"09.12.2019","17,51","17,51","17,56","17,32","13,48M","-0,05%"
"06.12.2019","17,51","17,29","17,59","17,23","19,54M","1,65%"
"05.12.2019","17,23","17,35","17,42","17,18","34,12M","-0,82%"
"04.12.2019","17,37","17,09","17,59","17,04","21,78M","2,41%"
"03.12.2019","16,96","17,18","17,18","16,85","97,51M","-0,56%"
"02.12.2019","17,06","17,13","17,24","16,98","10,26M","-0,44%"
"29.11.2019","17,13","17,18","17,23","16,95","8,33M","0,22%"
"28.11.2019","17,10","17,05","17,21","16,97","5,11M","0,28%"
"27.11.2019","17,05","17,04","17,23","16,86","8,77M","-0,39%"
"26.11.2019","17,12","17,19","17,26","16,82","32,54M","-0,93%"
"25.11.2019","17,28","17,27","17,37","17,11","7,86M","0,05%"
"22.11.2019","17,27","17,11","17,36","17,03","17,01M","0,66%"
"21.11.2019","17,15","16,93","17,15","16,77","19,54M","2,26%"
"19.11.2019","16,77","16,72","16,83","16,53","9,75M","0,63%"
"18.11.2019","16,67","16,70","16,78","16,54","9,45M","0,63%"
"14.11.2019","16,57","16,49","16,72","16,43","18,22M","0,46%"
"13.11.2019","16,49","16,49","16,57","16,38","11,33M","0,00%"
"12.11.2019","16,49","16,52","16,64","16,38","14,10M","-0,97%"
"11.11.2019","16,65","16,40","16,75","16,35","11,84M","1,39%"
"08.11.2019","16,42","16,57","16,67","16,31","15,25M","-1,48%"
"07.11.2019","16,67","16,70","16,77","16,56","13,19M","0,23%"
"06.11.2019","16,63","16,71","16,89","16,47","10,57M","-1,07%"
"05.11.2019","16,81","16,70","16,87","16,58","16,76M","0,80%"
"04.11.2019","16,68","16,47","16,77","16,42","12,27M","1,38%"
"01.11.2019","16,45","16,57","16,62","16,39","14,59M","-0,29%"
"31.10.2019","16,50","16,58","16,76","16,47","20,34M","-1,03%"
"30.10.2019","16,67","16,72","16,76","16,45","15,57M","-0,11%"
"29.10.2019","16,69","16,64","16,85","16,49","28,55M","0,23%"
"28.10.2019","16,65","16,89","17,01","16,43","28,82M","-0,34%"
"25.10.2019","16,71","16,99","17,32","16,69","81,62M","-8,29%"
"24.10.2019","18,22","17,77","18,36","17,67","42,70M","2,73%"
"23.10.2019","17,73","17,80","17,89","17,64","23,23M","-0,48%"
"22.10.2019","17,82","17,91","18,20","17,76","22,93M","-1,16%"
"21.10.2019","18,03","17,66","18,04","17,66","21,69M","1,71%"
"18.10.2019","17,72","17,88","17,92","17,60","10,72M","-0,53%"
"17.10.2019","17,82","17,98","18,01","17,78","11,98M","-0,64%"
"16.10.2019","17,93","18,08","18,08","17,74","22,00M","0,00%"
"15.10.2019","17,93","17,77","18,07","17,73","12,31M","0,91%"
"14.10.2019","17,77","17,74","17,82","17,59","7,70M","0,75%"
"11.10.2019","17,64","17,60","17,89","17,52","18,94M","0,87%"
"10.10.2019","17,49","17,68","17,79","17,36","23,19M","-1,34%"
"09.10.2019","17,72","17,75","17,88","17,60","13,27M","0,38%"
"08.10.2019","17,66","17,88","17,90","17,55","19,14M","-1,43%"
"07.10.2019","17,91","18,24","18,30","17,83","17,60M","-1,77%"
"04.10.2019","18,24","17,65","18,39","17,56","35,72M","3,39%"
"03.10.2019","17,64","17,85","17,89","17,53","19,27M","-1,48%"
"02.10.2019","17,90","18,24","18,31","17,80","17,85M","-2,33%"
"01.10.2019","18,33","18,32","18,47","18,14","24,45M","0,31%"
"30.09.2019","18,27","18,54","18,57","18,20","21,54M","-1,03%"
"27.09.2019","18,46","18,57","18,67","18,33","12,41M","-0,41%"
"26.09.2019","18,54","18,58","18,76","18,40","33,34M","-0,36%"
"25.09.2019","18,61","18,27","18,63","18,27","15,24M","1,29%"
"24.09.2019","18,37","18,48","18,52","18,16","16,06M","-0,31%"
"23.09.2019","18,43","18,26","18,55","18,26","13,28M","0,10%"
"20.09.2019","18,41","18,45","18,48","18,13","32,26M","0,21%"
"19.09.2019","18,37","18,49","18,61","18,23","31,68M","0,47%"
"18.09.2019","18,28","18,38","18,46","18,18","18,06M","-0,87%"
"17.09.2019","18,45","18,07","18,51","18,07","16,91M","1,46%"
"16.09.2019","18,18","18,09","18,26","17,97","14,85M","0,26%"
"13.09.2019","18,13","18,37","18,49","18,00","16,03M","-1,39%"
