"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","29,85","30,59","30,72","29,85","2,28M","-1,94%"
"27.12.2019","30,44","30,30","30,99","29,97","4,31M","0,89%"
"26.12.2019","30,17","29,30","30,30","29,15","3,01M","3,15%"
"23.12.2019","29,25","28,59","29,39","28,39","2,88M","3,07%"
"20.12.2019","28,38","28,10","28,60","28,00","3,10M","1,32%"
"19.12.2019","28,01","28,78","29,23","27,87","4,62M","-2,64%"
"18.12.2019","28,77","28,58","29,21","28,37","2,86M","1,09%"
"17.12.2019","28,46","28,52","28,97","28,31","1,44M","-0,63%"
"16.12.2019","28,64","29,09","29,65","28,51","2,85M","-1,68%"
"13.12.2019","29,13","29,27","29,67","28,99","1,33M","-0,55%"
"12.12.2019","29,29","29,42","29,76","29,20","949,20K","-0,14%"
"11.12.2019","29,33","29,24","29,62","29,08","2,06M","0,69%"
"10.12.2019","29,13","28,95","29,60","28,71","1,88M","0,31%"
"09.12.2019","29,04","29,45","29,81","28,92","2,19M","-0,92%"
"06.12.2019","29,31","28,65","29,58","28,65","2,48M","2,34%"
"05.12.2019","28,64","28,80","29,00","28,41","1,16M","-0,66%"
"04.12.2019","28,83","28,65","29,05","28,41","1,88M","0,45%"
"03.12.2019","28,70","28,51","29,18","28,32","2,70M","1,56%"
"02.12.2019","28,26","28,14","28,58","28,02","1,83M","0,96%"
"29.11.2019","27,99","27,87","28,46","27,62","2,12M","1,05%"
"28.11.2019","27,70","27,76","27,99","27,52","1,07M","-0,22%"
"27.11.2019","27,76","27,90","28,15","27,55","1,42M","-0,50%"
"26.11.2019","27,90","27,85","28,09","27,51","2,05M","0,18%"
"25.11.2019","27,85","28,04","28,18","27,57","1,53M","-0,18%"
"22.11.2019","27,90","27,58","28,60","27,51","3,26M","1,16%"
"21.11.2019","27,58","27,80","27,97","27,50","3,27M","-1,71%"
"19.11.2019","28,06","28,56","28,75","27,79","2,46M","-1,65%"
"18.11.2019","28,53","28,50","29,25","27,92","2,81M","-0,97%"
"14.11.2019","28,81","30,37","30,64","28,81","4,99M","-5,51%"
"13.11.2019","30,49","30,15","30,89","30,01","1,31M","0,43%"
"12.11.2019","30,36","31,57","31,66","30,14","3,21M","-3,31%"
"11.11.2019","31,40","31,30","31,70","30,61","2,70M","0,48%"
"08.11.2019","31,25","30,55","31,70","30,20","5,73M","1,73%"
"07.11.2019","30,72","29,15","30,99","29,04","8,76M","5,93%"
"06.11.2019","29,00","29,61","30,15","28,66","3,26M","-2,06%"
"05.11.2019","29,61","28,56","29,76","28,50","3,65M","3,79%"
"04.11.2019","28,53","27,99","28,61","27,91","1,90M","2,37%"
"01.11.2019","27,87","27,87","28,53","27,68","1,84M","0,61%"
"31.10.2019","27,70","27,62","28,00","27,60","1,57M","-0,40%"
"30.10.2019","27,81","27,77","27,90","27,50","1,61M","-0,14%"
"29.10.2019","27,85","27,90","28,24","27,70","1,27M","-0,29%"
"28.10.2019","27,93","27,70","28,22","27,66","1,22M","1,27%"
