"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","7,57","7,51","7,62","7,50","6,44M","0,66%"
"27.12.2019","7,52","7,54","7,55","7,45","7,24M","0,00%"
"26.12.2019","7,52","7,46","7,54","7,41","10,14M","2,04%"
"23.12.2019","7,37","7,36","7,40","7,31","6,00M","0,27%"
"20.12.2019","7,35","7,37","7,39","7,27","15,40M","-0,27%"
"19.12.2019","7,37","7,27","7,42","7,27","13,57M","0,96%"
"18.12.2019","7,30","7,25","7,34","7,14","18,18M","0,41%"
"17.12.2019","7,27","7,26","7,32","7,14","15,06M","0,69%"
"16.12.2019","7,22","7,01","7,25","7,01","19,27M","3,00%"
"13.12.2019","7,01","7,05","7,05","6,98","6,19M","0,00%"
"12.12.2019","7,01","7,00","7,05","6,98","10,87M","0,14%"
"11.12.2019","7,00","6,86","7,00","6,83","12,80M","2,04%"
"10.12.2019","6,86","6,94","6,94","6,80","10,19M","-1,01%"
"09.12.2019","6,93","7,00","7,01","6,93","8,45M","-1,14%"
"06.12.2019","7,01","7,05","7,09","6,95","16,47M","-0,43%"
"05.12.2019","7,04","6,93","7,07","6,91","8,37M","1,59%"
"04.12.2019","6,93","6,90","6,97","6,90","6,69M","0,43%"
"03.12.2019","6,90","7,00","7,00","6,83","10,86M","-1,29%"
"02.12.2019","6,99","7,02","7,09","6,94","10,52M","-0,43%"
"29.11.2019","7,02","6,90","7,05","6,87","9,91M","1,74%"
"28.11.2019","6,90","6,81","6,93","6,78","5,41M","1,32%"
"27.11.2019","6,81","6,86","6,90","6,73","7,85M","-0,29%"
"26.11.2019","6,83","6,84","6,87","6,75","11,65M","-0,87%"
"25.11.2019","6,89","6,97","6,99","6,81","10,27M","-0,72%"
"22.11.2019","6,94","6,81","6,95","6,76","17,96M","2,36%"
"21.11.2019","6,78","6,73","6,83","6,57","23,73M","0,30%"
"19.11.2019","6,76","6,79","6,83","6,72","7,16M","-0,29%"
"18.11.2019","6,78","6,89","6,91","6,74","13,91M","-2,16%"
"14.11.2019","6,93","6,94","7,01","6,92","7,21M","0,14%"
"13.11.2019","6,92","6,93","6,98","6,88","9,26M","-0,43%"
"12.11.2019","6,95","7,05","7,05","6,93","9,52M","-1,70%"
"11.11.2019","7,07","7,05","7,09","6,95","6,96M","0,28%"
"08.11.2019","7,05","7,11","7,21","7,02","10,23M","-1,12%"
"07.11.2019","7,13","7,09","7,16","7,06","6,02M","0,85%"
"06.11.2019","7,07","7,11","7,15","7,01","9,32M","-0,98%"
