"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","34,43","34,23","35,15","34,11","3,30M","0,54%"
"27.12.2019","34,24","34,72","34,88","33,98","1,44M","-0,87%"
"26.12.2019","34,54","34,29","34,54","33,56","1,39M","1,03%"
"23.12.2019","34,19","33,71","34,19","33,71","886,80K","0,99%"
"20.12.2019","33,86","34,10","34,10","33,28","3,13M","-0,23%"
"19.12.2019","33,93","33,28","34,32","33,03","2,56M","1,63%"
"18.12.2019","33,39","32,90","33,54","32,82","5,04M","3,84%"
"17.12.2019","32,15","32,19","32,62","31,95","1,75M","0,36%"
"16.12.2019","32,04","31,77","32,23","31,77","1,99M","1,15%"
"13.12.2019","31,68","31,47","31,73","31,23","2,81M","1,16%"
"12.12.2019","31,31","30,96","31,40","30,77","2,33M","1,33%"
"11.12.2019","30,90","30,95","31,17","30,73","2,01M","-0,40%"
"10.12.2019","31,03","30,60","31,27","30,55","1,71M","1,22%"
"09.12.2019","30,65","30,81","31,15","30,54","2,61M","-0,74%"
"06.12.2019","30,88","30,75","31,14","30,62","1,23M","0,53%"
"05.12.2019","30,72","30,84","31,06","30,54","1,69M","-0,40%"
"04.12.2019","30,84","31,46","31,53","30,78","2,33M","-1,98%"
"03.12.2019","31,47","32,11","32,11","31,01","2,81M","-2,05%"
"02.12.2019","32,13","31,75","32,41","31,69","1,94M","0,87%"
"29.11.2019","31,85","32,24","32,24","31,43","1,75M","-0,83%"
"28.11.2019","32,12","32,06","32,35","31,94","888,90K","-0,21%"
"27.11.2019","32,18","32,77","32,85","32,05","1,87M","-2,09%"
"26.11.2019","32,87","32,79","33,03","32,34","2,26M","-0,72%"
"25.11.2019","33,11","32,94","33,11","32,67","1,77M","0,20%"
"22.11.2019","33,04","32,73","33,04","32,49","1,28M","1,08%"
"21.11.2019","32,69","32,16","32,96","31,98","2,19M","1,39%"
"19.11.2019","32,24","32,33","32,57","31,74","1,93M","-0,41%"
"18.11.2019","32,37","33,20","33,32","32,08","1,90M","-2,08%"
"14.11.2019","33,06","33,40","33,76","32,62","1,32M","-0,55%"
"13.11.2019","33,24","33,28","33,42","33,02","1,83M","-0,11%"
"12.11.2019","33,28","33,73","33,87","33,11","1,04M","-1,75%"
"11.11.2019","33,88","33,46","33,92","32,90","945,40K","0,80%"
"08.11.2019","33,61","33,84","33,92","33,35","1,19M","-0,71%"
"07.11.2019","33,85","34,03","34,51","33,57","2,58M","-0,59%"
"06.11.2019","34,05","34,10","34,30","33,53","1,35M","-0,11%"
"05.11.2019","34,09","34,00","34,29","33,77","2,38M","0,25%"
"04.11.2019","34,00","33,95","34,24","33,78","1,67M","0,42%"
"01.11.2019","33,86","33,43","33,95","33,13","3,22M","3,15%"
"31.10.2019","32,82","32,72","32,92","32,47","1,92M","0,06%"
"30.10.2019","32,80","32,75","32,94","32,41","1,50M","0,18%"
"29.10.2019","32,75","32,43","32,75","32,37","1,27M","-0,29%"
"28.10.2019","32,84","33,09","33,11","32,24","1,72M","-0,43%"
"25.10.2019","32,99","33,10","33,26","32,44","2,15M","0,03%"
"24.10.2019","32,98","32,72","33,10","32,66","916,30K","0,52%"
"23.10.2019","32,80","33,00","33,11","32,57","1,45M","-0,67%"
"22.10.2019","33,02","33,03","33,33","32,84","1,80M","0,32%"
"21.10.2019","32,92","33,65","33,65","32,66","1,28M","-1,26%"
"18.10.2019","33,34","33,45","33,60","32,95","1,78M","-0,06%"
"17.10.2019","33,36","33,50","33,70","33,00","999,00K","-0,06%"
"16.10.2019","33,38","32,82","33,66","32,59","1,42M","1,78%"
"15.10.2019","32,79","32,54","33,04","32,35","1,53M","0,53%"
"14.10.2019","32,62","32,76","32,76","32,29","816,10K","0,32%"
"11.10.2019","32,52","31,88","32,89","31,82","1,42M","1,80%"
"10.10.2019","31,94","31,81","32,09","31,69","1,79M","0,15%"
"09.10.2019","31,90","31,74","32,01","31,63","420,00K","0,54%"
"08.10.2019","31,72","31,72","31,97","31,34","1,20M","0,33%"
"07.10.2019","31,62","31,65","31,83","31,37","1,56M","-0,36%"
"04.10.2019","31,73","31,24","31,77","31,00","1,04M","1,16%"
"03.10.2019","31,37","30,79","31,37","30,49","1,37M","1,41%"
"02.10.2019","30,93","31,31","31,33","30,74","1,11M","-1,87%"
"01.10.2019","31,52","31,97","32,07","31,27","1,85M","-0,92%"
"30.09.2019","31,82","32,03","32,15","31,73","1,16M","-0,21%"
"27.09.2019","31,88","31,96","31,98","31,79","1,26M","0,00%"
"26.09.2019","31,88","31,65","32,17","31,46","798,50K","0,78%"
"25.09.2019","31,64","31,43","31,64","30,99","762,50K","0,45%"
"24.09.2019","31,49","31,79","31,95","31,18","1,63M","-0,87%"
"23.09.2019","31,77","32,22","32,25","31,26","1,22M","-1,41%"
"20.09.2019","32,22","31,50","32,36","31,23","2,86M","2,29%"
"19.09.2019","31,50","31,34","31,79","31,11","1,03M","1,22%"
"18.09.2019","31,12","31,31","31,31","30,89","927,70K","0,12%"
"17.09.2019","31,09","30,93","31,23","30,66","1,33M","0,49%"
"16.09.2019","30,93","30,93","31,20","30,40","1,36M","0,00%"
"13.09.2019","30,93","31,21","31,28","30,75","614,60K","-0,58%"
"12.09.2019","31,11","31,25","31,66","30,92","940,50K","-0,15%"
"11.09.2019","31,16","31,04","31,29","30,66","1,85M","0,80%"
"10.09.2019","30,92","30,77","31,13","30,64","1,09M","0,12%"
"09.09.2019","30,88","31,31","31,57","30,50","1,22M","-1,51%"
"06.09.2019","31,35","31,79","31,85","30,99","1,04M","-1,26%"
"05.09.2019","31,75","31,68","31,75","31,12","1,14M","0,51%"
"04.09.2019","31,59","31,39","31,70","31,20","1,79M","1,56%"
"03.09.2019","31,10","30,93","31,46","30,65","1,36M","0,55%"
"02.09.2019","30,93","30,64","31,41","30,42","1,13M","1,34%"
"30.08.2019","30,53","30,84","30,84","30,20","1,21M","-0,59%"
"29.08.2019","30,71","29,38","30,71","29,33","1,85M","4,39%"
"28.08.2019","29,42","28,94","29,46","28,80","544,60K","0,75%"
"27.08.2019","29,20","29,32","29,67","29,05","1,62M","-0,10%"
"26.08.2019","29,23","29,90","29,90","29,09","807,80K","-1,47%"
"23.08.2019","29,66","29,88","29,97","28,72","1,34M","-1,08%"
"22.08.2019","29,99","30,77","31,10","29,99","1,46M","-2,23%"
"21.08.2019","30,67","30,18","30,67","29,68","1,68M","2,77%"
"20.08.2019","29,84","30,01","30,17","29,54","1,02M","-0,82%"
"19.08.2019","30,09","30,64","30,68","29,62","1,23M","-0,50%"
"16.08.2019","30,24","28,76","30,84","28,76","4,76M","5,95%"
"15.08.2019","28,54","29,14","29,44","28,31","2,17M","-2,15%"
"14.08.2019","29,17","29,53","29,53","28,59","1,70M","-1,32%"
"13.08.2019","29,56","29,17","29,90","28,97","841,40K","0,42%"
"12.08.2019","29,43","29,83","29,99","29,23","1,99M","-2,91%"
"09.08.2019","30,32","29,67","30,49","29,47","3,60M","1,91%"
"08.08.2019","29,75","30,28","30,46","29,64","2,55M","-1,69%"
"07.08.2019","30,26","29,32","30,26","29,00","1,31M","1,17%"
"06.08.2019","29,91","29,14","30,25","28,98","1,22M","2,64%"
"05.08.2019","29,14","29,25","29,64","28,94","1,63M","-2,20%"
"02.08.2019","29,80","29,52","30,07","29,34","1,37M","0,61%"
"01.08.2019","29,62","28,72","29,74","28,72","2,96M","3,41%"
"31.07.2019","28,64","29,75","29,86","28,50","2,54M","-3,27%"
"30.07.2019","29,61","30,08","30,53","29,61","2,50M","-2,50%"
"29.07.2019","30,36","28,70","30,62","28,44","5,21M","5,06%"
