"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","29,05","29,23","29,43","28,86","9,23M","-0,51%"
"27.12.2019","29,20","29,36","29,51","28,90","13,46M","-0,27%"
"26.12.2019","29,28","28,81","29,28","28,69","16,33M","1,53%"
"23.12.2019","28,84","28,58","28,84","28,43","11,69M","0,91%"
"20.12.2019","28,58","28,68","28,73","28,42","24,86M","-0,42%"
"19.12.2019","28,70","28,31","28,74","28,27","22,05M","0,49%"
"18.12.2019","28,56","28,12","28,77","27,97","40,45M","1,28%"
"17.12.2019","28,20","27,99","28,40","27,82","19,25M","1,51%"
"16.12.2019","27,78","28,53","28,69","27,78","21,66M","-2,29%"
"13.12.2019","28,43","28,03","28,47","27,68","27,26M","2,16%"
"12.12.2019","27,83","28,12","28,22","27,65","23,36M","-0,04%"
"11.12.2019","27,84","28,55","28,68","27,81","37,04M","-1,17%"
"10.12.2019","28,17","28,58","28,76","27,98","21,53M","-1,43%"
"09.12.2019","28,58","28,15","28,84","27,97","26,70M","1,93%"
"06.12.2019","28,04","28,55","28,69","28,04","28,79M","-1,79%"
"05.12.2019","28,55","28,44","28,99","28,39","29,08M","-0,14%"
"04.12.2019","28,59","27,68","28,60","27,61","34,06M","3,59%"
"03.12.2019","27,60","27,83","27,93","27,30","16,00M","0,04%"
"02.12.2019","27,59","27,31","27,78","27,25","16,45M","1,36%"
"29.11.2019","27,22","27,11","27,24","26,82","16,53M","0,59%"
"28.11.2019","27,06","26,94","27,14","26,61","15,85M","-0,29%"
"27.11.2019","27,14","27,14","27,32","26,79","19,37M","0,59%"
"26.11.2019","26,98","27,37","27,44","26,86","26,18M","-2,03%"
"25.11.2019","27,54","27,99","28,08","27,38","15,20M","-1,43%"
"22.11.2019","27,94","27,58","28,02","27,54","16,43M","0,65%"
"21.11.2019","27,76","27,47","27,76","27,40","26,06M","1,06%"
"19.11.2019","27,47","27,76","27,84","27,25","17,89M","-1,12%"
"18.11.2019","27,78","28,15","28,31","27,75","13,35M","-0,43%"
"14.11.2019","27,90","27,76","27,99","27,50","14,01M","0,65%"
"13.11.2019","27,72","27,90","28,03","27,51","17,69M","-1,04%"
"12.11.2019","28,01","28,17","28,38","27,71","19,64M","-1,68%"
"11.11.2019","28,49","28,31","28,78","28,08","17,48M","0,42%"
"08.11.2019","28,37","28,44","28,76","28,17","15,09M","-1,49%"
"07.11.2019","28,80","28,76","28,90","28,60","15,69M","0,63%"
"06.11.2019","28,62","29,01","29,22","28,60","19,03M","-1,34%"
"05.11.2019","29,01","29,44","29,71","28,78","46,98M","1,72%"
"04.11.2019","28,52","28,51","28,74","28,34","10,07M","0,32%"
"01.11.2019","28,43","28,67","28,87","28,08","18,93M","0,39%"
"31.10.2019","28,32","28,38","28,67","27,89","26,00M","-1,73%"
"30.10.2019","28,82","28,51","28,92","28,07","23,54M","0,63%"
"29.10.2019","28,64","28,99","29,10","28,59","16,48M","-1,78%"
"28.10.2019","29,16","28,65","29,34","28,56","20,85M","1,36%"
"25.10.2019","28,77","28,57","29,03","28,41","18,91M","0,66%"
"24.10.2019","28,58","28,50","28,79","28,24","27,21M","0,46%"
"23.10.2019","28,45","27,82","28,73","27,76","34,33M","1,43%"
"22.10.2019","28,05","27,18","28,06","27,10","35,49M","3,12%"
"21.10.2019","27,20","26,78","27,26","26,57","16,30M","1,61%"
"18.10.2019","26,77","27,06","27,06","26,70","11,37M","-1,18%"
"17.10.2019","27,09","27,24","27,46","26,83","16,99M","-0,59%"
"16.10.2019","27,25","26,95","27,35","26,45","17,64M","1,41%"
"15.10.2019","26,87","26,95","27,08","26,73","15,92M","-0,22%"
"14.10.2019","26,93","26,43","27,00","26,36","10,21M","1,66%"
"11.10.2019","26,49","26,27","26,80","26,26","19,92M","1,30%"
"10.10.2019","26,15","25,88","26,24","25,81","10,82M","0,73%"
"09.10.2019","25,96","25,79","26,14","25,51","12,41M","1,56%"
"08.10.2019","25,56","25,89","26,01","25,45","14,74M","-0,39%"
"07.10.2019","25,66","26,02","26,30","25,63","15,46M","-1,87%"
"04.10.2019","26,15","25,98","26,19","25,62","25,05M","0,50%"
"03.10.2019","26,02","25,99","26,27","25,68","21,82M","0,00%"
"02.10.2019","26,02","26,46","26,53","25,89","23,69M","-2,73%"
"01.10.2019","26,75","27,53","27,60","26,74","16,88M","-2,27%"
"30.09.2019","27,37","27,78","27,97","27,37","15,80M","-1,40%"
"27.09.2019","27,76","27,81","27,85","27,33","16,14M","-0,43%"
"26.09.2019","27,88","27,26","27,90","27,04","18,63M","2,88%"
"25.09.2019","27,10","26,72","27,29","26,61","14,11M","1,16%"
"24.09.2019","26,79","27,21","27,26","26,65","10,47M","-1,03%"
"23.09.2019","27,07","27,11","27,13","26,72","13,19M","-0,29%"
"20.09.2019","27,15","27,26","27,43","27,05","32,81M","0,26%"
"19.09.2019","27,08","27,77","28,00","26,97","17,88M","-1,67%"
"18.09.2019","27,54","27,64","27,85","27,22","13,26M","-0,33%"
"17.09.2019","27,63","27,27","27,70","27,25","12,17M","0,36%"
"16.09.2019","27,53","27,76","27,83","27,28","20,07M","-1,78%"
