"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","24,41","24,97","25,11","24,39","7,94M","-2,24%"
"27.12.2019","24,97","25,18","25,31","24,83","6,82M","-0,36%"
"26.12.2019","25,06","24,96","25,18","24,67","6,85M","0,64%"
"23.12.2019","24,90","24,74","25,14","24,60","6,50M","1,22%"
"20.12.2019","24,60","24,84","24,96","24,50","13,19M","-0,93%"
"19.12.2019","24,83","24,64","24,97","24,13","12,61M","1,43%"
"18.12.2019","24,48","23,66","24,74","23,55","20,34M","3,55%"
"17.12.2019","23,64","24,14","24,19","23,26","16,20M","-1,99%"
"16.12.2019","24,12","24,55","24,55","23,90","8,52M","-0,54%"
"13.12.2019","24,25","24,00","24,47","23,84","11,30M","1,51%"
"12.12.2019","23,89","24,17","24,43","23,70","13,26M","-0,79%"
"11.12.2019","24,08","24,74","24,82","23,84","19,64M","-2,11%"
"10.12.2019","24,60","24,26","25,10","24,18","16,84M","-1,99%"
"09.12.2019","25,10","26,06","26,16","25,07","13,60M","-3,35%"
"06.12.2019","25,97","26,24","26,51","25,79","11,29M","-0,35%"
"05.12.2019","26,06","25,97","26,29","25,76","8,29M","1,16%"
"04.12.2019","25,76","26,64","26,79","25,69","11,96M","-2,83%"
"03.12.2019","26,51","26,84","26,88","26,05","8,99M","-0,64%"
"02.12.2019","26,68","27,33","27,33","26,68","12,42M","-0,97%"
"29.11.2019","26,94","27,15","27,58","26,59","13,11M","-0,59%"
"28.11.2019","27,10","26,11","27,15","25,86","15,21M","3,79%"
"27.11.2019","26,11","26,01","26,24","25,13","10,96M","1,63%"
"26.11.2019","25,69","26,34","27,12","25,40","25,29M","-2,47%"
"25.11.2019","26,34","24,12","26,35","24,04","26,44M","9,61%"
"22.11.2019","24,03","24,27","24,57","23,39","20,99M","-0,99%"
"21.11.2019","24,27","25,07","25,21","23,99","14,16M","-3,19%"
"19.11.2019","25,07","25,48","25,83","24,97","10,23M","-0,91%"
"18.11.2019","25,30","25,13","25,48","24,95","13,55M","1,98%"
"14.11.2019","24,81","26,01","26,15","24,69","22,73M","-2,59%"
"13.11.2019","25,47","25,83","26,46","25,19","13,98M","-2,15%"
"12.11.2019","26,03","26,59","26,67","25,61","19,59M","-1,06%"
"11.11.2019","26,31","26,10","26,61","25,95","11,05M","0,80%"
"08.11.2019","26,10","25,54","26,43","25,35","12,89M","1,64%"
"07.11.2019","25,68","25,35","25,97","25,28","12,39M","2,07%"
"06.11.2019","25,16","26,73","26,86","25,16","19,52M","-5,24%"
"05.11.2019","26,55","27,62","27,62","25,66","19,22M","-3,87%"
"04.11.2019","27,62","27,05","27,81","26,83","19,84M","3,10%"
"01.11.2019","26,79","26,76","27,04","26,40","10,66M","0,11%"
"31.10.2019","26,76","27,33","27,67","26,68","12,31M","-2,23%"
"30.10.2019","27,37","26,93","27,39","26,71","10,49M","1,45%"
"29.10.2019","26,98","27,34","27,42","26,79","5,85M","-0,77%"
"28.10.2019","27,19","26,95","27,35","26,75","14,30M","1,38%"
"25.10.2019","26,82","27,67","27,72","26,73","9,78M","-2,58%"
"24.10.2019","27,53","28,17","28,17","27,10","9,28M","-1,96%"
"23.10.2019","28,08","28,66","28,92","28,01","11,28M","-1,89%"
"22.10.2019","28,62","28,36","28,85","28,05","9,42M","1,35%"
"21.10.2019","28,24","27,78","28,24","27,45","6,23M","2,80%"
"18.10.2019","27,47","27,62","28,12","27,36","30,45M","-0,36%"
"17.10.2019","27,57","27,86","28,08","27,36","7,99M","-0,65%"
"16.10.2019","27,75","27,67","27,85","27,39","9,33M","0,80%"
"15.10.2019","27,53","27,72","28,09","27,49","12,66M","0,36%"
