"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","55,28","55,19","55,77","54,72","3,14M","0,16%"
"27.12.2019","55,19","56,08","56,18","55,12","3,45M","-1,35%"
"26.12.2019","55,95","55,00","56,16","55,00","2,38M","1,51%"
"23.12.2019","55,12","54,68","55,41","54,48","2,59M","0,70%"
"20.12.2019","54,73","54,62","54,73","53,94","5,11M","0,13%"
"19.12.2019","54,67","54,04","54,79","53,71","3,58M","0,98%"
"18.12.2019","54,14","53,35","54,14","52,91","7,26M","1,77%"
"17.12.2019","53,19","53,50","53,80","52,47","5,63M","-0,57%"
"16.12.2019","53,50","53,49","53,63","52,64","4,36M","0,37%"
"13.12.2019","53,30","53,16","53,64","52,52","3,79M","0,37%"
"12.12.2019","53,10","52,47","53,11","52,25","3,23M","1,14%"
"11.12.2019","52,50","51,79","52,50","51,40","3,11M","1,38%"
"10.12.2019","51,79","51,88","52,03","51,36","2,55M","-0,36%"
"09.12.2019","51,97","53,21","53,21","51,58","4,74M","-2,33%"
"06.12.2019","53,21","51,68","53,32","51,68","4,11M","2,23%"
"05.12.2019","52,05","51,97","52,17","51,26","2,19M","0,15%"
"04.12.2019","51,97","51,79","52,43","51,64","3,13M","0,49%"
"03.12.2019","51,72","51,48","51,72","50,70","2,45M","0,46%"
"02.12.2019","51,48","51,47","51,75","50,85","3,68M","1,16%"
"29.11.2019","50,89","50,84","51,09","50,40","2,70M","0,06%"
"28.11.2019","50,86","50,27","50,86","49,96","1,57M","1,19%"
"27.11.2019","50,26","49,77","50,32","49,22","3,18M","0,29%"
"26.11.2019","50,12","50,09","50,12","48,87","6,07M","-0,57%"
"25.11.2019","50,40","50,68","50,83","50,08","2,68M","-0,02%"
"22.11.2019","50,41","50,21","50,67","49,64","4,28M","0,49%"
"21.11.2019","50,17","50,02","50,88","49,27","4,20M","0,95%"
"19.11.2019","49,69","49,97","50,43","49,12","2,92M","-0,96%"
"18.11.2019","50,18","50,60","51,40","49,77","3,91M","-1,22%"
"14.11.2019","50,79","48,43","50,79","48,25","4,73M","4,89%"
"13.11.2019","48,43","48,57","48,57","47,41","5,73M","-0,44%"
"12.11.2019","48,64","49,62","49,62","48,17","4,52M","-2,06%"
