"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","9,96","9,82","10,00","9,70","17,49M","2,05%"
"27.12.2019","9,76","9,82","9,90","9,62","17,34M","0,72%"
"26.12.2019","9,69","9,55","9,75","9,42","25,26M","3,09%"
"23.12.2019","9,40","9,59","9,69","9,25","26,54M","-0,95%"
"20.12.2019","9,49","9,80","9,99","9,37","33,52M","-2,37%"
"19.12.2019","9,72","10,20","10,20","9,72","24,79M","-5,17%"
"18.12.2019","10,25","10,30","10,42","10,11","27,29M","-4,21%"
"17.12.2019","10,70","10,90","10,96","10,70","5,18M","-1,56%"
"16.12.2019","10,87","10,95","11,05","10,81","3,98M","-0,37%"
"13.12.2019","10,91","11,02","11,09","10,89","3,23M","-0,55%"
"12.12.2019","10,97","11,11","11,29","10,85","4,36M","-1,17%"
"11.12.2019","11,10","11,20","11,40","11,06","4,65M","-0,80%"
"10.12.2019","11,19","10,80","11,20","10,80","3,58M","2,94%"
"09.12.2019","10,87","11,11","11,14","10,80","5,16M","-2,07%"
"06.12.2019","11,10","11,15","11,21","11,09","2,68M","0,27%"
"05.12.2019","11,07","10,98","11,17","10,98","3,02M","0,82%"
"04.12.2019","10,98","11,31","11,45","10,93","5,76M","-2,57%"
"03.12.2019","11,27","10,87","11,37","10,87","7,18M","3,87%"
"02.12.2019","10,85","10,73","10,90","10,72","4,20M","1,40%"
"29.11.2019","10,70","10,83","10,96","10,64","3,95M","-0,83%"
"28.11.2019","10,79","10,82","11,00","10,77","3,81M","0,19%"
"27.11.2019","10,77","10,83","11,00","10,63","7,84M","0,28%"
"26.11.2019","10,74","11,10","11,53","10,74","14,21M","-4,62%"
"25.11.2019","11,26","10,81","11,37","10,80","10,50M","5,33%"
"22.11.2019","10,69","10,85","10,88","10,58","6,68M","-1,47%"
"21.11.2019","10,85","11,29","11,29","10,71","8,38M","-3,90%"
"19.11.2019","11,29","11,15","11,35","11,11","6,62M","2,45%"
"18.11.2019","11,02","10,75","11,11","10,70","8,54M","5,56%"
"14.11.2019","10,44","10,70","10,78","10,29","5,42M","-2,16%"
"13.11.2019","10,67","10,85","10,99","10,47","7,36M","-1,11%"
"12.11.2019","10,79","11,50","11,68","10,77","9,03M","-4,00%"
"11.11.2019","11,24","10,95","11,24","10,76","4,61M","1,72%"
"08.11.2019","11,05","11,24","11,42","10,92","4,32M","-2,56%"
"07.11.2019","11,34","10,92","11,34","10,92","5,25M","4,04%"
"06.11.2019","10,90","10,89","11,08","10,82","4,71M","-0,18%"
"05.11.2019","10,92","10,97","11,07","10,75","2,71M","-0,46%"
"04.11.2019","10,97","11,00","11,14","10,81","3,39M","1,20%"
"01.11.2019","10,84","10,73","10,98","10,63","2,95M","0,84%"
"31.10.2019","10,75","11,05","11,08","10,71","3,78M","-2,63%"
"30.10.2019","11,04","11,05","11,20","10,90","3,36M","-0,54%"
"29.10.2019","11,10","11,18","11,26","10,96","3,41M","-0,09%"
"28.10.2019","11,11","11,38","11,46","11,11","3,19M","-2,37%"
"25.10.2019","11,38","11,36","11,64","11,33","4,94M","1,16%"
