"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","32,33","32,44","32,59","31,99","2,46M","0,19%"
"27.12.2019","32,27","32,66","32,66","31,95","3,21M","-0,71%"
"26.12.2019","32,50","31,43","32,76","31,34","3,73M","3,44%"
"23.12.2019","31,42","31,00","31,42","30,87","2,35M","0,48%"
"20.12.2019","31,27","30,89","31,27","30,65","3,84M","1,13%"
"19.12.2019","30,92","30,39","31,01","30,12","4,48M","1,78%"
"18.12.2019","30,38","29,94","30,55","29,80","4,43M","1,20%"
"17.12.2019","30,02","30,38","30,60","29,62","3,71M","-1,12%"
"16.12.2019","30,36","30,18","30,36","29,97","3,96M","0,76%"
"13.12.2019","30,13","30,24","30,24","29,70","2,48M","0,17%"
"12.12.2019","30,08","29,69","30,15","29,56","2,34M","1,14%"
"11.12.2019","29,74","29,95","29,97","29,62","3,50M","-0,34%"
"10.12.2019","29,84","29,77","29,84","29,41","2,39M","0,20%"
"09.12.2019","29,78","29,59","29,79","29,40","1,36M","-0,13%"
"06.12.2019","29,82","29,66","29,92","29,53","1,77M","1,05%"
"05.12.2019","29,51","29,11","29,69","28,83","3,41M","1,44%"
"04.12.2019","29,09","28,54","29,10","28,52","2,12M","1,93%"
"03.12.2019","28,54","28,63","28,79","28,35","2,82M","-0,42%"
"02.12.2019","28,66","28,39","28,66","28,24","2,20M","1,45%"
"29.11.2019","28,25","28,27","28,57","27,95","2,85M","-0,42%"
"28.11.2019","28,37","27,84","28,62","27,80","2,81M","1,90%"
"27.11.2019","27,84","28,01","28,06","27,42","3,13M","0,00%"
"26.11.2019","27,84","28,38","28,39","27,74","5,01M","-2,52%"
"25.11.2019","28,56","28,97","29,02","28,35","2,61M","-0,87%"
"22.11.2019","28,81","29,00","29,10","28,47","3,90M","-0,17%"
"21.11.2019","28,86","28,18","29,11","28,10","4,77M","2,92%"
"19.11.2019","28,04","28,80","28,84","27,95","3,57M","-2,06%"
"18.11.2019","28,63","29,16","29,23","28,49","3,07M","-0,17%"
"14.11.2019","28,68","27,75","28,89","27,75","2,81M","2,76%"
"13.11.2019","27,91","27,85","28,11","27,44","3,10M","-0,75%"
"12.11.2019","28,12","28,42","28,50","27,61","3,08M","-1,13%"
"11.11.2019","28,44","28,09","28,44","27,84","2,10M","1,25%"
"08.11.2019","28,09","28,67","28,68","27,98","2,99M","-2,43%"
"07.11.2019","28,79","28,65","28,80","28,52","1,59M","1,02%"
"06.11.2019","28,50","27,88","28,68","27,72","3,67M","2,22%"
"05.11.2019","27,88","28,14","28,40","27,58","3,55M","-2,65%"
"04.11.2019","28,64","28,33","28,71","28,26","1,49M","0,95%"
"01.11.2019","28,37","28,68","28,81","28,33","2,40M","-0,56%"
"31.10.2019","28,53","28,60","28,60","28,20","3,28M","-0,07%"
"30.10.2019","28,55","28,67","28,94","28,01","5,85M","3,71%"
"29.10.2019","27,53","28,40","28,41","27,36","4,01M","-2,48%"
"28.10.2019","28,23","27,98","28,38","27,93","1,34M","1,18%"
"25.10.2019","27,90","28,13","28,32","27,66","2,28M","-0,21%"
"24.10.2019","27,96","27,92","28,18","27,76","2,35M","-0,18%"
"23.10.2019","28,01","28,13","28,32","27,77","2,45M","-0,88%"
"22.10.2019","28,26","28,39","28,75","28,20","2,33M","-0,91%"
"21.10.2019","28,52","28,81","28,89","28,33","2,17M","-0,35%"
"18.10.2019","28,62","28,49","28,79","28,33","2,04M","0,39%"
"17.10.2019","28,51","28,72","28,86","28,29","1,46M","-0,87%"
"16.10.2019","28,76","28,28","28,76","27,72","2,61M","2,13%"
"15.10.2019","28,16","27,70","28,63","27,63","4,11M","1,55%"
"14.10.2019","27,73","27,44","27,93","27,31","1,32M","1,58%"
"11.10.2019","27,30","27,20","27,73","27,15","2,74M","1,64%"
"10.10.2019","26,86","26,98","27,33","26,67","2,03M","-0,11%"
"09.10.2019","26,89","26,63","27,17","26,45","1,83M","1,78%"
"08.10.2019","26,42","26,43","26,90","26,37","1,41M","-0,04%"
"07.10.2019","26,43","27,14","27,23","26,43","1,55M","-3,43%"
"04.10.2019","27,37","26,81","27,39","26,60","2,24M","1,90%"
"03.10.2019","26,86","26,53","26,96","26,45","2,32M","0,83%"
"02.10.2019","26,64","27,27","27,41","26,64","2,45M","-2,56%"
"01.10.2019","27,34","28,07","28,13","27,25","2,15M","-2,53%"
"30.09.2019","28,05","27,88","28,05","27,75","1,68M","0,94%"
"27.09.2019","27,79","27,95","28,01","27,38","1,67M","-0,39%"
"26.09.2019","27,90","27,56","27,94","27,51","2,06M","0,94%"
"25.09.2019","27,64","27,64","27,89","27,28","2,61M","-0,50%"
"24.09.2019","27,78","28,00","28,06","27,59","2,70M","-0,43%"
"23.09.2019","27,90","27,61","27,92","27,52","2,12M","0,00%"
"20.09.2019","27,90","27,53","27,90","27,16","4,87M","1,86%"
"19.09.2019","27,39","27,22","27,74","27,10","3,40M","3,55%"
"18.09.2019","26,45","26,02","26,73","26,02","2,79M","0,92%"
"17.09.2019","26,21","25,13","26,25","25,13","3,11M","2,38%"
"16.09.2019","25,60","25,29","25,60","24,84","1,88M","1,47%"
"13.09.2019","25,23","26,14","26,19","25,13","2,43M","-3,37%"
"12.09.2019","26,11","26,53","26,70","25,99","3,31M","-0,72%"
"11.09.2019","26,30","25,78","26,35","25,64","4,34M","3,75%"
"10.09.2019","25,35","24,78","25,35","24,56","5,38M","2,09%"
"09.09.2019","24,83","25,48","25,70","24,61","4,84M","-2,89%"
"06.09.2019","25,57","25,98","26,12","25,37","3,07M","-1,01%"
"05.09.2019","25,83","25,76","25,92","25,56","2,88M","1,02%"
"04.09.2019","25,57","25,67","25,68","25,18","3,76M","0,99%"
"03.09.2019","25,32","25,48","25,92","25,01","2,75M","-0,59%"
"02.09.2019","25,47","25,47","25,77","25,32","3,89M","0,79%"
"30.08.2019","25,27","25,58","25,93","25,27","4,91M","-1,02%"
"29.08.2019","25,53","25,42","26,08","25,30","2,93M","0,43%"
"28.08.2019","25,42","24,98","25,64","24,93","2,66M","1,23%"
"27.08.2019","25,11","24,86","25,61","24,86","3,51M","1,01%"
"26.08.2019","24,86","25,28","25,68","24,75","3,82M","-0,88%"
"23.08.2019","25,08","25,54","25,78","24,90","3,33M","-1,95%"
"22.08.2019","25,58","26,17","26,28","25,58","2,05M","-1,80%"
"21.08.2019","26,05","26,20","26,31","25,80","2,38M","0,93%"
"20.08.2019","25,81","26,46","26,46","25,73","2,91M","-1,68%"
"19.08.2019","26,25","26,29","26,80","25,84","3,38M","0,38%"
"16.08.2019","26,15","26,44","26,74","26,09","3,18M","-0,15%"
"15.08.2019","26,19","27,01","27,01","26,08","2,29M","-2,17%"
"14.08.2019","26,77","27,16","27,16","26,46","3,22M","-2,48%"
"13.08.2019","27,45","26,98","27,60","26,77","3,05M","1,03%"
"12.08.2019","27,17","26,88","27,28","26,57","5,28M","-0,18%"
"09.08.2019","27,22","27,45","27,81","27,02","3,29M","-0,40%"
"08.08.2019","27,33","27,59","27,78","27,26","4,76M","-0,62%"
"07.08.2019","27,50","26,67","27,70","26,67","4,29M","1,55%"
"06.08.2019","27,08","26,72","27,20","26,62","3,29M","1,27%"
"05.08.2019","26,74","27,19","27,33","26,65","2,60M","-3,19%"
"02.08.2019","27,62","27,51","27,97","27,22","2,71M","0,51%"
"01.08.2019","27,48","27,68","28,23","27,41","4,54M","-0,43%"
"31.07.2019","27,60","27,89","27,89","27,08","3,69M","-0,76%"
