"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","22,20","21,85","22,40","21,78","5,53M","1,56%"
"27.12.2019","21,86","21,86","22,00","21,62","3,64M","0,15%"
"26.12.2019","21,83","21,55","21,83","21,37","3,59M","1,28%"
"23.12.2019","21,55","21,36","21,55","21,22","2,96M","1,02%"
"20.12.2019","21,33","21,03","21,58","20,92","8,97M","1,43%"
"19.12.2019","21,03","20,88","21,07","20,51","8,68M","0,79%"
"18.12.2019","20,87","21,06","21,32","20,79","8,61M","-1,02%"
"17.12.2019","21,08","20,95","21,18","20,67","4,21M","0,65%"
"16.12.2019","20,95","21,37","21,37","20,82","5,88M","-1,57%"
"13.12.2019","21,28","20,68","21,34","20,47","7,51M","3,27%"
"12.12.2019","20,61","20,25","20,63","20,00","5,12M","2,24%"
"11.12.2019","20,16","20,72","20,82","20,13","9,27M","-2,31%"
"10.12.2019","20,63","20,31","20,80","20,31","6,07M","1,08%"
"09.12.2019","20,41","20,74","20,85","20,30","8,77M","-2,03%"
"06.12.2019","20,83","21,05","21,15","20,68","13,85M","-0,58%"
"05.12.2019","20,96","21,30","21,63","20,93","8,77M","-1,60%"
"04.12.2019","21,30","22,14","22,15","21,30","6,78M","-2,93%"
"03.12.2019","21,94","22,00","22,15","21,85","5,34M","0,45%"
"02.12.2019","21,84","22,63","22,71","21,79","7,61M","-2,65%"
"29.11.2019","22,44","22,87","22,90","22,44","4,04M","-1,40%"
"28.11.2019","22,76","22,73","22,91","22,54","3,95M","0,92%"
"27.11.2019","22,55","22,34","22,65","22,28","3,71M","1,47%"
"26.11.2019","22,22","22,15","22,24","21,62","10,91M","0,32%"
"25.11.2019","22,15","22,46","22,62","22,15","3,94M","-1,94%"
"22.11.2019","22,59","22,50","22,67","22,34","4,18M","0,93%"
"21.11.2019","22,38","22,15","22,53","22,09","8,17M","0,81%"
"19.11.2019","22,20","22,11","22,46","22,00","4,25M","0,40%"
"18.11.2019","22,11","22,40","22,40","22,06","5,11M","-0,76%"
"14.11.2019","22,28","21,65","22,40","21,49","6,81M","3,42%"
"13.11.2019","21,54","21,84","21,95","21,36","10,70M","-1,36%"
"12.11.2019","21,84","22,24","22,30","21,78","4,44M","-1,79%"
"11.11.2019","22,24","22,11","22,31","21,99","5,38M","0,45%"
"08.11.2019","22,14","22,15","22,36","22,00","4,11M","-0,49%"
"07.11.2019","22,25","22,54","22,58","22,15","3,12M","-0,52%"
"06.11.2019","22,37","22,25","22,62","21,86","5,40M","0,67%"
"05.11.2019","22,22","22,54","22,67","21,93","7,37M","-1,68%"
"04.11.2019","22,60","22,50","22,76","22,26","5,48M","0,73%"
"01.11.2019","22,43","21,84","22,44","21,78","8,07M","2,70%"
"31.10.2019","21,84","21,61","21,95","21,52","9,24M","0,64%"
"30.10.2019","21,70","22,12","22,15","20,87","13,08M","-0,09%"
"29.10.2019","21,72","21,25","21,72","21,01","6,22M","2,24%"
"28.10.2019","21,25","21,27","21,54","21,11","8,66M","-0,05%"
"25.10.2019","21,26","20,95","21,26","20,76","3,73M","1,47%"
"24.10.2019","20,95","20,61","20,95","20,58","5,97M","2,05%"
"23.10.2019","20,53","21,09","21,16","20,50","6,54M","-2,66%"
"22.10.2019","21,09","21,00","21,19","20,86","5,40M","0,63%"
"21.10.2019","20,96","20,50","21,02","20,43","4,95M","1,85%"
"18.10.2019","20,58","20,23","20,64","20,12","6,41M","2,15%"
"17.10.2019","20,15","20,52","20,66","20,02","7,80M","-1,39%"
"16.10.2019","20,43","20,15","20,43","20,02","7,13M","1,74%"
"15.10.2019","20,08","20,07","20,13","19,88","7,33M","0,07%"
"14.10.2019","20,07","20,15","20,15","19,94","2,87M","0,07%"
"11.10.2019","20,05","20,08","20,35","19,99","6,05M","0,27%"
"10.10.2019","20,00","20,23","20,31","19,97","6,44M","-0,74%"
"09.10.2019","20,15","19,94","20,50","19,94","5,96M","1,45%"
"08.10.2019","19,86","20,28","20,37","19,64","6,90M","-2,08%"
"07.10.2019","20,28","20,14","20,49","19,86","6,89M","0,62%"
"04.10.2019","20,16","19,00","20,23","18,89","14,58M","6,22%"
"03.10.2019","18,98","18,79","19,10","18,54","5,13M","0,38%"
"02.10.2019","18,90","18,95","19,14","18,79","6,27M","-0,76%"
"01.10.2019","19,05","19,10","19,11","18,61","6,74M","0,13%"
"30.09.2019","19,03","19,11","19,35","18,97","5,19M","-0,35%"
"27.09.2019","19,09","19,08","19,30","18,94","4,72M","0,24%"
"26.09.2019","19,05","18,93","19,21","18,85","3,01M","0,17%"
"25.09.2019","19,02","19,10","19,28","18,90","4,90M","-0,50%"
"24.09.2019","19,11","18,50","19,11","18,50","6,23M","2,77%"
"23.09.2019","18,60","18,60","18,65","18,44","2,38M","0,20%"
"20.09.2019","18,56","18,55","18,66","18,30","7,73M","0,59%"
"19.09.2019","18,45","18,40","18,47","18,26","4,66M","0,98%"
"18.09.2019","18,27","18,53","18,71","18,27","4,82M","-2,03%"
"17.09.2019","18,65","18,37","18,69","18,30","5,23M","1,55%"
"16.09.2019","18,36","18,43","18,43","18,06","4,22M","0,03%"
"13.09.2019","18,36","18,55","18,67","18,36","3,83M","-1,09%"
"12.09.2019","18,56","18,78","18,91","18,45","5,03M","-0,88%"
"11.09.2019","18,73","18,44","18,76","18,27","10,46M","2,11%"
"10.09.2019","18,34","17,98","18,34","17,98","5,62M","1,85%"
"09.09.2019","18,01","18,08","18,10","17,84","4,71M","0,00%"
"06.09.2019","18,00","18,11","18,11","17,93","3,23M","-0,18%"
"05.09.2019","18,04","18,26","18,31","18,01","4,35M","-0,58%"
"04.09.2019","18,14","18,04","18,20","17,90","9,99M","0,88%"
"03.09.2019","17,98","17,88","18,24","17,78","6,29M","0,55%"
"02.09.2019","17,88","18,04","18,37","17,88","3,28M","-2,00%"
"30.08.2019","18,25","18,36","18,72","18,25","19,22M","-0,08%"
"29.08.2019","18,26","18,57","18,63","18,19","7,39M","-1,57%"
"28.08.2019","18,55","17,63","18,60","17,63","7,19M","4,79%"
"27.08.2019","17,70","17,59","17,90","17,36","7,14M","1,50%"
"26.08.2019","17,44","17,73","17,85","17,34","6,67M","-1,15%"
"23.08.2019","17,64","17,61","17,93","17,46","4,67M","-0,34%"
"22.08.2019","17,70","17,72","17,84","17,58","3,72M","-0,22%"
"21.08.2019","17,74","17,86","17,91","17,58","7,25M","-0,46%"
"20.08.2019","17,82","17,77","17,86","17,36","4,86M","0,69%"
"19.08.2019","17,70","17,59","17,93","17,48","5,72M","0,84%"
"16.08.2019","17,56","17,44","17,56","17,12","6,50M","1,55%"
"15.08.2019","17,29","17,40","17,72","17,06","8,53M","-0,92%"
"14.08.2019","17,45","17,66","17,99","17,45","7,42M","-2,63%"
"13.08.2019","17,92","17,66","18,18","17,65","4,88M","0,55%"
"12.08.2019","17,82","17,84","18,00","17,70","6,63M","-2,28%"
"09.08.2019","18,24","18,24","18,47","18,20","8,39M","0,16%"
"08.08.2019","18,21","18,77","18,78","18,11","14,75M","-2,80%"
"07.08.2019","18,73","17,79","18,77","17,67","20,74M","9,25%"
"06.08.2019","17,15","16,65","17,35","16,65","7,22M","2,98%"
"05.08.2019","16,65","16,90","17,05","16,65","5,05M","-4,55%"
"02.08.2019","17,45","16,76","17,47","16,76","8,34M","3,75%"
"01.08.2019","16,82","16,49","16,93","16,44","5,40M","2,18%"
"31.07.2019","16,46","16,57","16,71","16,36","5,30M","-0,59%"
"30.07.2019","16,55","16,63","16,91","16,47","3,29M","-0,71%"
"29.07.2019","16,67","16,40","16,69","16,22","3,15M","1,94%"
"26.07.2019","16,36","15,86","16,55","15,84","8,10M","3,37%"
"25.07.2019","15,82","15,78","16,15","15,65","5,09M","-0,08%"
"24.07.2019","15,83","15,34","15,83","15,34","3,83M","2,97%"
"23.07.2019","15,38","15,45","15,55","15,35","3,40M","0,00%"
"22.07.2019","15,38","15,37","15,56","15,36","3,44M","0,12%"
"19.07.2019","15,36","15,50","15,66","15,34","4,32M","-0,64%"
"18.07.2019","15,46","15,46","15,53","15,43","4,92M","0,58%"
"17.07.2019","15,37","15,48","15,67","15,25","7,54M","-0,72%"
"16.07.2019","15,49","15,94","16,02","15,49","13,36M","-2,84%"
"15.07.2019","15,94","15,96","16,04","15,77","2,45M","0,32%"
"12.07.2019","15,89","16,65","16,79","15,89","8,03M","-4,21%"
"11.07.2019","16,58","16,56","16,78","16,47","5,77M","0,18%"
"10.07.2019","16,55","16,19","16,75","16,13","7,80M","2,45%"
"08.07.2019","16,16","16,10","16,35","15,95","6,26M","0,22%"
"05.07.2019","16,12","15,94","16,14","15,84","3,22M","0,89%"
"04.07.2019","15,98","15,50","15,98","15,39","4,93M","4,68%"
"03.07.2019","15,27","15,04","15,46","15,02","6,19M","1,06%"
"02.07.2019","15,10","15,31","15,39","15,10","5,84M","-1,31%"
"01.07.2019","15,31","15,15","15,33","15,06","11,49M","1,45%"
"28.06.2019","15,09","15,03","15,24","14,96","4,97M","0,22%"
"27.06.2019","15,05","14,33","15,05","14,33","3,56M","3,68%"
"26.06.2019","14,52","14,44","14,57","14,41","6,49M","0,55%"
"25.06.2019","14,44","14,80","14,94","14,44","5,22M","-3,08%"
"24.06.2019","14,90","14,73","14,91","14,57","2,67M","1,17%"
"21.06.2019","14,73","15,03","15,03","14,65","6,21M","-2,04%"
"19.06.2019","15,03","14,78","15,10","14,63","3,96M","1,36%"
"18.06.2019","14,83","14,90","14,95","14,76","4,20M","0,00%"
"17.06.2019","14,84","14,64","15,01","14,64","4,73M","0,94%"
"14.06.2019","14,70","14,53","14,88","14,52","6,46M","0,90%"
"13.06.2019","14,57","14,65","14,99","14,44","4,21M","-0,49%"
"12.06.2019","14,64","14,40","14,87","14,40","7,98M","1,55%"
"11.06.2019","14,41","14,44","14,60","14,28","8,92M","0,36%"
"10.06.2019","14,36","14,21","14,42","14,18","3,93M","1,48%"
"07.06.2019","14,15","13,82","14,15","13,74","5,14M","2,80%"
"06.06.2019","13,77","13,87","13,91","13,57","3,40M","0,58%"
"05.06.2019","13,69","13,93","14,04","13,69","4,21M","-1,73%"
"04.06.2019","13,93","13,85","14,02","13,65","4,18M","1,18%"
"03.06.2019","13,77","13,81","14,01","13,71","6,28M","0,26%"
"31.05.2019","13,73","13,76","13,94","13,65","5,44M","-0,47%"
"30.05.2019","13,80","13,75","13,90","13,53","4,19M","0,50%"
"29.05.2019","13,73","13,28","13,83","13,21","5,58M","2,50%"
"28.05.2019","13,39","13,00","13,45","12,92","13,94M","3,03%"
"27.05.2019","13,00","12,98","13,05","12,84","2,51M","0,18%"
"24.05.2019","12,98","13,06","13,06","12,84","3,07M","-0,14%"
"23.05.2019","12,99","12,96","13,21","12,89","2,64M","-1,14%"
"22.05.2019","13,14","13,32","13,37","13,02","2,62M","-0,82%"
"21.05.2019","13,25","12,93","13,39","12,84","4,49M","3,08%"
"20.05.2019","12,86","12,76","12,98","12,57","4,35M","1,93%"
"17.05.2019","12,61","12,70","12,90","12,57","4,65M","-0,89%"
"16.05.2019","12,73","12,96","12,98","12,69","6,83M","-2,99%"
"15.05.2019","13,12","13,25","13,30","12,96","6,98M","-1,82%"
"14.05.2019","13,36","13,36","13,43","13,23","3,70M","0,00%"
"13.05.2019","13,36","13,25","13,48","13,15","5,20M","-0,76%"
"10.05.2019","13,47","13,50","13,69","13,39","4,74M","-0,40%"
"09.05.2019","13,52","13,56","13,67","13,49","3,72M","-1,13%"
"08.05.2019","13,67","13,54","13,92","13,54","6,27M","1,60%"
"07.05.2019","13,46","13,45","13,59","13,35","3,61M","-0,76%"
"06.05.2019","13,56","13,63","13,75","13,47","3,15M","-1,03%"
"03.05.2019","13,70","13,67","13,84","13,63","5,52M","0,23%"
"02.05.2019","13,67","13,63","13,82","13,41","9,51M","-0,06%"
"30.04.2019","13,68","13,36","13,68","13,21","7,37M","1,30%"
"29.04.2019","13,50","13,47","13,62","13,40","4,62M","0,74%"
"26.04.2019","13,40","13,29","13,64","13,26","4,77M","-0,29%"
"25.04.2019","13,44","13,04","13,53","12,99","5,83M","2,00%"
"24.04.2019","13,18","13,25","13,25","13,03","8,07M","-0,57%"
"23.04.2019","13,25","13,12","13,39","12,89","8,51M","1,52%"
"22.04.2019","13,06","12,85","13,08","12,81","3,79M","1,41%"
"18.04.2019","12,87","12,81","13,01","12,81","3,60M","0,51%"
"17.04.2019","12,81","13,22","13,29","12,66","9,73M","-3,07%"
"16.04.2019","13,21","13,04","13,36","12,96","3,83M","1,40%"
"15.04.2019","13,03","13,12","13,25","12,98","5,96M","-0,18%"
"12.04.2019","13,06","12,90","13,15","12,85","3,60M","0,00%"
"11.04.2019","13,06","13,20","13,27","12,98","3,29M","-0,83%"
"10.04.2019","13,16","13,35","13,35","12,97","3,58M","-1,11%"
"09.04.2019","13,31","13,40","13,61","13,22","6,02M","-1,01%"
"08.04.2019","13,45","13,69","13,69","13,38","4,07M","-1,25%"
"05.04.2019","13,62","13,44","13,69","13,34","5,91M","2,23%"
"04.04.2019","13,32","13,05","13,40","12,93","5,73M","2,82%"
"03.04.2019","12,96","13,06","13,22","12,84","3,59M","-0,27%"
"02.04.2019","12,99","12,84","12,99","12,68","4,65M","1,69%"
"01.04.2019","12,78","13,06","13,06","12,64","3,93M","-1,09%"
"29.03.2019","12,92","12,87","13,18","12,77","3,79M","0,46%"
"28.03.2019","12,86","12,66","13,14","12,52","3,35M","1,04%"
"27.03.2019","12,73","12,86","13,16","12,68","7,29M","-2,51%"
"26.03.2019","13,05","12,97","13,25","12,58","4,82M","1,64%"
"25.03.2019","12,84","13,06","13,11","12,83","3,19M","-1,99%"
"22.03.2019","13,10","12,88","13,12","12,78","5,99M","-0,14%"
"21.03.2019","13,12","13,12","13,25","12,78","5,98M","0,76%"
"20.03.2019","13,02","13,39","13,60","13,02","6,58M","-3,65%"
"19.03.2019","13,51","13,42","13,61","13,40","6,39M","0,85%"
"18.03.2019","13,40","13,61","13,75","13,26","4,56M","-1,08%"
"15.03.2019","13,55","13,63","13,75","13,36","6,88M","-0,56%"
"14.03.2019","13,62","13,83","14,05","13,40","5,23M","-1,50%"
"13.03.2019","13,83","13,23","13,93","13,17","10,92M","4,49%"
"12.03.2019","13,24","13,22","13,32","13,14","3,29M","0,13%"
"11.03.2019","13,22","13,18","13,28","13,02","7,32M","0,30%"
"08.03.2019","13,18","12,39","13,24","12,28","13,30M","6,40%"
"07.03.2019","12,39","12,44","12,53","12,28","3,87M","-0,63%"
"06.03.2019","12,47","12,60","12,69","12,38","4,24M","-1,05%"
"01.03.2019","12,60","12,91","13,10","12,45","10,27M","-2,38%"
"28.02.2019","12,91","12,92","13,14","12,77","12,60M","-0,12%"
"27.02.2019","12,92","12,80","13,45","12,61","33,98M","7,47%"
"26.02.2019","12,02","11,64","12,28","11,57","9,43M","3,29%"
"25.02.2019","11,64","11,73","11,80","11,42","5,38M","-0,54%"
"22.02.2019","11,70","11,69","11,74","11,47","5,91M","0,63%"
"21.02.2019","11,63","11,56","11,75","11,39","3,50M","1,38%"
"20.02.2019","11,47","11,73","11,87","11,43","6,83M","-1,84%"
"19.02.2019","11,69","11,41","11,94","11,41","6,18M","2,88%"
"18.02.2019","11,36","11,50","11,54","11,32","3,33M","-1,59%"
"15.02.2019","11,54","11,62","11,74","11,47","4,81M","-0,46%"
"14.02.2019","11,60","11,49","11,73","11,28","5,55M","1,24%"
"13.02.2019","11,46","11,83","11,83","11,42","6,38M","-2,04%"
"12.02.2019","11,69","11,85","12,03","11,65","6,15M","0,00%"
"11.02.2019","11,69","11,78","11,80","11,56","3,86M","-1,63%"
"08.02.2019","11,88","11,86","12,11","11,66","5,46M","0,00%"
"07.02.2019","11,89","11,81","12,06","11,81","5,24M","0,87%"
"06.02.2019","11,78","12,07","12,07","11,78","5,13M","-2,59%"
"05.02.2019","12,10","12,33","12,40","12,10","4,44M","-1,89%"
"04.02.2019","12,33","12,41","12,48","12,29","3,89M","0,08%"
"01.02.2019","12,32","12,23","12,41","12,23","5,41M","0,73%"
"31.01.2019","12,23","12,41","12,41","12,19","5,28M","-0,58%"
"30.01.2019","12,30","12,49","12,66","12,06","6,45M","-1,17%"
"29.01.2019","12,45","12,97","13,08","12,39","9,86M","-3,09%"
"28.01.2019","12,85","12,32","13,10","12,19","9,03M","4,53%"
"24.01.2019","12,29","12,26","12,35","12,16","3,54M","0,65%"
"23.01.2019","12,21","12,20","12,43","12,13","4,47M","0,72%"
"22.01.2019","12,12","12,33","12,44","12,06","4,62M","-1,49%"
"21.01.2019","12,31","12,58","12,58","12,08","4,06M","-1,56%"
"18.01.2019","12,50","12,44","12,67","12,41","4,15M","0,56%"
"17.01.2019","12,43","12,66","12,79","12,43","4,42M","-1,84%"
"16.01.2019","12,67","12,83","12,85","12,35","6,46M","-0,80%"
"15.01.2019","12,77","12,55","12,78","12,46","4,76M","1,49%"
"14.01.2019","12,58","12,53","13,03","12,37","5,30M","-0,36%"
"11.01.2019","12,63","12,53","12,78","12,36","6,89M","0,76%"
"10.01.2019","12,53","12,06","12,62","12,04","7,05M","3,94%"
"09.01.2019","12,06","11,52","12,14","11,52","9,52M","5,09%"
"08.01.2019","11,47","11,10","11,53","10,98","7,17M","3,65%"
"07.01.2019","11,07","11,44","11,44","11,04","4,22M","-2,23%"
"04.01.2019","11,32","11,25","11,58","11,02","12,54M","1,43%"
"03.01.2019","11,16","10,98","11,21","10,90","6,46M","-0,23%"
"02.01.2019","11,19","11,25","11,39","11,08","8,49M","-0,79%"
"28.12.2018","11,28","11,43","11,43","11,17","5,73M","0,00%"
"27.12.2018","11,28","11,40","11,54","11,28","2,20M","-1,11%"
"26.12.2018","11,40","11,62","11,62","11,40","2,13M","-2,20%"
"21.12.2018","11,66","11,40","11,83","11,37","9,59M","2,32%"
"20.12.2018","11,40","11,84","11,85","11,25","8,19M","-2,94%"
"19.12.2018","11,74","11,75","12,07","11,63","9,41M","0,93%"
"18.12.2018","11,63","12,13","12,13","11,62","5,63M","-3,19%"
"17.12.2018","12,02","12,38","12,38","12,02","3,15M","-2,48%"
"14.12.2018","12,32","12,39","12,53","12,15","3,74M","-0,82%"
"13.12.2018","12,42","12,61","12,79","12,39","3,88M","-1,42%"
"12.12.2018","12,60","12,40","12,78","12,29","6,41M","1,75%"
"11.12.2018","12,39","12,11","12,39","12,03","14,33M","3,37%"
"10.12.2018","11,98","12,11","12,25","11,91","2,77M","-0,86%"
"07.12.2018","12,09","12,39","12,39","12,09","5,97M","-2,18%"
"06.12.2018","12,36","12,30","12,45","12,21","5,30M","0,18%"
"05.12.2018","12,34","12,55","12,62","12,30","8,98M","-2,05%"
"04.12.2018","12,59","12,49","12,70","12,49","10,50M","0,85%"
"03.12.2018","12,49","12,39","12,83","12,26","12,40M","2,14%"
"30.11.2018","12,22","12,24","12,39","12,19","8,02M","-0,08%"
"29.11.2018","12,23","12,20","12,39","12,12","5,49M","-0,35%"
"28.11.2018","12,28","12,42","12,42","11,95","12,76M","-0,64%"
"27.11.2018","12,36","12,36","12,51","12,27","5,82M","1,01%"
"26.11.2018","12,23","12,50","12,66","12,23","3,44M","-0,86%"
"23.11.2018","12,34","12,37","12,64","12,22","4,65M","-1,05%"
"22.11.2018","12,47","12,36","12,60","12,36","2,13M","0,16%"
"21.11.2018","12,45","12,52","12,64","12,07","6,35M","-0,56%"
"19.11.2018","12,52","13,12","13,16","12,29","9,77M","-4,21%"
"16.11.2018","13,07","13,24","13,35","12,92","8,13M","-0,53%"
"14.11.2018","13,14","13,21","13,45","13,10","3,77M","-0,45%"
"13.11.2018","13,20","13,07","13,26","12,62","5,22M","2,09%"
"12.11.2018","12,93","12,87","13,12","12,81","2,82M","-0,69%"
"09.11.2018","13,02","13,04","13,13","12,81","3,50M","0,00%"
"08.11.2018","13,02","13,24","13,31","13,00","11,13M","-1,44%"
"07.11.2018","13,21","13,32","13,32","13,07","4,16M","0,30%"
"06.11.2018","13,17","13,08","13,35","12,98","8,40M","0,38%"
"05.11.2018","13,12","12,46","13,12","12,42","9,12M","5,30%"
"01.11.2018","12,46","12,53","12,57","12,26","8,72M","0,56%"
