"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","47,05","47,60","47,93","46,95","2,70M","-1,15%"
"27.12.2019","47,60","47,89","47,92","46,83","3,87M","-0,62%"
"26.12.2019","47,90","46,48","48,19","45,88","3,55M","3,12%"
"23.12.2019","46,45","45,60","46,45","45,01","3,04M","2,76%"
"20.12.2019","45,20","46,30","46,30","45,10","6,21M","-2,21%"
"19.12.2019","46,22","45,45","46,66","44,98","5,96M","1,18%"
"18.12.2019","45,68","44,73","45,68","44,21","9,91M","2,39%"
"17.12.2019","44,62","44,82","45,16","44,13","3,35M","-0,42%"
"16.12.2019","44,80","44,20","45,18","44,06","4,55M","1,43%"
"13.12.2019","44,17","44,33","44,80","43,67","4,61M","0,11%"
"12.12.2019","44,13","43,15","44,13","43,03","3,38M","2,57%"
"11.12.2019","43,02","41,93","43,47","41,93","3,90M","2,61%"
"10.12.2019","41,93","42,58","42,63","41,60","3,61M","-1,53%"
"09.12.2019","42,58","43,32","43,55","42,26","2,76M","-1,23%"
"06.12.2019","43,11","42,48","43,52","42,32","3,29M","1,47%"
"05.12.2019","42,48","42,05","42,48","41,53","2,12M","1,44%"
"04.12.2019","41,88","42,44","42,92","41,56","4,07M","-0,98%"
"03.12.2019","42,30","42,20","42,51","41,41","3,26M","0,63%"
"02.12.2019","42,03","42,45","42,45","41,60","3,50M","-1,07%"
"29.11.2019","42,48","42,30","42,48","41,62","3,47M","0,65%"
"28.11.2019","42,21","40,65","42,21","40,63","4,28M","3,42%"
"27.11.2019","40,81","41,05","41,26","40,20","2,14M","-0,57%"
"26.11.2019","41,05","41,56","41,56","40,15","6,42M","-1,23%"
"25.11.2019","41,56","41,70","41,81","40,97","4,13M","-0,47%"
"22.11.2019","41,76","40,86","41,76","40,39","4,80M","2,19%"
"21.11.2019","40,86","38,69","40,86","38,41","5,69M","5,61%"
"19.11.2019","38,69","39,08","39,41","38,23","4,65M","-0,32%"
"18.11.2019","38,81","39,62","39,78","38,81","3,86M","-1,44%"
"14.11.2019","39,38","38,86","39,61","38,62","3,44M","1,43%"
"13.11.2019","38,82","38,86","39,38","38,39","4,63M","-0,31%"
"12.11.2019","38,95","39,47","39,80","38,38","5,07M","-1,99%"
"11.11.2019","39,74","39,05","39,88","38,90","4,44M","1,40%"
"08.11.2019","39,19","39,74","39,76","38,70","4,50M","-1,89%"
"07.11.2019","39,95","39,89","40,37","39,41","8,74M","0,38%"
"06.11.2019","39,80","39,79","40,16","39,27","5,68M","0,02%"
"05.11.2019","39,79","40,04","40,06","39,20","5,63M","-0,17%"
"04.11.2019","39,85","40,82","41,02","39,84","6,49M","-2,42%"
"01.11.2019","40,84","40,72","41,36","40,33","6,32M","0,28%"
"31.10.2019","40,73","40,37","40,73","39,67","5,02M","0,58%"
"30.10.2019","40,49","39,14","40,60","39,08","6,96M","3,62%"
"29.10.2019","39,08","39,09","39,40","38,69","6,42M","0,00%"
"28.10.2019","39,08","39,52","39,76","38,92","5,98M","-0,81%"
"25.10.2019","39,40","39,43","39,61","38,14","16,70M","0,31%"
"24.10.2019","39,28","39,72","40,46","38,97","26,80M","-6,17%"
