"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","17,02","17,38","17,42","17,02","5,84M","-1,90%"
"27.12.2019","17,35","17,19","17,35","17,14","6,01M","1,40%"
"26.12.2019","17,11","16,63","17,15","16,57","6,58M","3,13%"
"23.12.2019","16,59","16,70","16,77","16,40","10,05M","-0,18%"
"20.12.2019","16,62","16,56","16,81","16,51","11,15M","0,85%"
"19.12.2019","16,48","16,59","16,62","16,25","10,80M","-0,90%"
"18.12.2019","16,63","16,70","16,78","16,32","14,18M","-0,18%"
"17.12.2019","16,66","16,47","16,68","16,39","7,66M","1,40%"
"16.12.2019","16,43","16,73","16,86","16,43","7,11M","-1,62%"
"13.12.2019","16,70","16,68","16,81","16,62","8,42M","0,72%"
"12.12.2019","16,58","16,24","16,64","16,22","8,87M","2,22%"
"11.12.2019","16,22","15,70","16,22","15,51","12,52M","3,44%"
"10.12.2019","15,68","15,65","15,79","15,60","9,32M","0,19%"
"09.12.2019","15,65","15,98","16,03","15,60","10,10M","-2,55%"
"06.12.2019","16,06","16,13","16,21","15,89","10,10M","-0,06%"
"05.12.2019","16,07","15,62","16,15","15,56","13,51M","2,95%"
"04.12.2019","15,61","15,12","15,61","15,11","6,21M","3,65%"
"03.12.2019","15,06","14,86","15,09","14,78","5,40M","1,83%"
"02.12.2019","14,79","14,92","15,13","14,79","7,87M","-0,87%"
"29.11.2019","14,92","14,44","14,92","14,28","8,84M","3,32%"
"28.11.2019","14,44","14,26","14,44","14,25","3,99M","1,33%"
"27.11.2019","14,25","14,10","14,46","14,05","9,99M","1,50%"
"26.11.2019","14,04","14,22","14,27","13,98","13,02M","-1,61%"
"25.11.2019","14,27","14,26","14,40","14,20","7,22M","0,14%"
"22.11.2019","14,25","14,22","14,28","14,19","6,23M","0,56%"
"21.11.2019","14,17","14,35","14,35","14,04","9,20M","-1,05%"
"19.11.2019","14,32","14,43","14,48","14,19","6,21M","-0,35%"
"18.11.2019","14,37","14,47","14,54","14,37","10,21M","0,14%"
"14.11.2019","14,35","14,39","14,56","14,26","12,26M","0,14%"
"13.11.2019","14,33","13,96","14,40","13,90","12,02M","2,50%"
"12.11.2019","13,98","14,21","14,39","13,84","10,55M","-2,03%"
"11.11.2019","14,27","13,85","14,31","13,64","7,48M","3,03%"
"08.11.2019","13,85","13,73","14,21","13,59","12,03M","0,51%"
"07.11.2019","13,78","13,32","13,78","13,30","6,82M","3,38%"
"06.11.2019","13,33","13,22","13,33","12,97","7,06M","1,60%"
"05.11.2019","13,12","12,82","13,18","12,76","6,52M","2,34%"
"04.11.2019","12,82","12,79","12,97","12,78","4,86M","1,02%"
"01.11.2019","12,69","12,69","12,93","12,61","6,83M","1,44%"
"31.10.2019","12,51","12,66","12,88","12,51","5,86M","-1,34%"
"30.10.2019","12,68","12,54","12,82","12,53","5,80M","1,28%"
"29.10.2019","12,52","12,55","12,74","12,46","6,16M","-0,24%"
"28.10.2019","12,55","12,53","12,79","12,50","6,49M","0,72%"
"25.10.2019","12,46","12,75","12,89","12,46","8,56M","-2,66%"
"24.10.2019","12,80","12,68","13,04","12,64","8,96M","1,03%"
"23.10.2019","12,67","12,50","12,73","12,39","16,44M","4,37%"
"22.10.2019","12,14","11,95","12,26","11,92","7,00M","1,25%"
"21.10.2019","11,99","11,90","12,00","11,80","5,80M","0,33%"
"18.10.2019","11,95","11,83","11,95","11,78","3,75M","0,50%"
"17.10.2019","11,89","11,92","12,05","11,84","5,24M","-0,50%"
"16.10.2019","11,95","11,71","11,97","11,57","6,08M","2,49%"
"15.10.2019","11,66","11,65","11,76","11,59","4,20M","0,09%"
"14.10.2019","11,65","11,65","11,85","11,53","4,44M","0,34%"
"11.10.2019","11,61","11,38","11,71","11,32","7,07M","3,02%"
"10.10.2019","11,27","11,23","11,36","11,20","3,90M","0,45%"
"09.10.2019","11,22","11,23","11,32","11,17","3,69M","0,27%"
"08.10.2019","11,19","11,22","11,44","11,10","5,29M","-0,18%"
"07.10.2019","11,21","11,53","11,58","11,20","6,32M","-3,20%"
"04.10.2019","11,58","11,63","11,63","11,49","4,21M","-0,34%"
"03.10.2019","11,62","11,73","11,81","11,53","4,08M","-0,60%"
"02.10.2019","11,69","11,89","11,98","11,69","4,53M","-1,68%"
"01.10.2019","11,89","11,77","12,04","11,75","3,79M","0,00%"
"30.09.2019","11,89","11,89","11,99","11,81","3,97M","0,42%"
"27.09.2019","11,84","11,90","11,98","11,84","2,26M","-0,42%"
"26.09.2019","11,89","11,94","12,03","11,82","4,06M","0,00%"
"25.09.2019","11,89","11,73","11,99","11,69","4,84M","1,54%"
"24.09.2019","11,71","11,89","11,93","11,70","4,55M","-1,35%"
"23.09.2019","11,87","11,82","11,99","11,77","3,81M","-0,67%"
"20.09.2019","11,95","11,66","11,95","11,61","9,97M","3,02%"
"19.09.2019","11,60","11,85","11,94","11,60","4,93M","-1,28%"
"18.09.2019","11,75","11,59","11,80","11,54","4,66M","0,86%"
"17.09.2019","11,65","11,38","11,65","11,29","3,75M","2,37%"
"16.09.2019","11,38","11,62","11,66","11,33","5,73M","-2,07%"
"13.09.2019","11,62","11,35","11,67","11,29","6,60M","2,92%"
"12.09.2019","11,29","11,45","11,48","11,12","5,92M","-0,09%"
"11.09.2019","11,30","11,31","11,55","11,14","7,11M","0,62%"
"10.09.2019","11,23","11,12","11,42","11,07","5,91M","1,54%"
"09.09.2019","11,06","11,22","11,29","11,06","3,42M","-1,07%"
"06.09.2019","11,18","11,26","11,31","11,08","3,64M","0,18%"
"05.09.2019","11,16","11,17","11,33","11,14","4,16M","0,72%"
"04.09.2019","11,08","11,02","11,12","10,94","5,80M","1,93%"
"03.09.2019","10,87","11,17","11,32","10,87","7,67M","-2,60%"
"02.09.2019","11,16","11,02","11,28","10,92","4,75M","1,27%"
"30.08.2019","11,02","11,00","11,12","10,89","7,76M","0,46%"
"29.08.2019","10,97","10,86","11,07","10,74","7,08M","1,39%"
"28.08.2019","10,82","10,51","10,87","10,38","8,95M","1,88%"
"27.08.2019","10,62","10,58","10,81","10,55","10,62M","0,66%"
"26.08.2019","10,55","10,97","11,07","10,55","5,86M","-3,03%"
"23.08.2019","10,88","11,12","11,18","10,80","5,44M","-2,25%"
"22.08.2019","11,13","11,37","11,39","11,11","3,98M","-1,42%"
"21.08.2019","11,29","11,18","11,29","11,04","5,84M","1,99%"
"20.08.2019","11,07","11,09","11,16","10,83","5,64M","0,27%"
"19.08.2019","11,04","11,33","11,41","11,02","5,50M","-1,16%"
"16.08.2019","11,17","11,17","11,32","11,00","7,04M","2,10%"
"15.08.2019","10,94","11,43","11,45","10,94","11,41M","-3,27%"
"14.08.2019","11,31","11,80","11,81","11,30","10,22M","-4,88%"
"13.08.2019","11,89","11,60","11,92","11,51","4,88M","2,24%"
"12.08.2019","11,63","11,66","11,86","11,57","5,49M","-1,77%"
"09.08.2019","11,84","12,04","12,04","11,76","5,30M","-1,09%"
"08.08.2019","11,97","12,00","12,16","11,92","8,27M","0,59%"
"07.08.2019","11,90","11,61","11,93","11,45","10,39M","1,71%"
"06.08.2019","11,70","11,46","11,80","11,46","7,12M","2,54%"
"05.08.2019","11,41","11,56","11,75","11,35","6,51M","-1,89%"
"02.08.2019","11,63","11,46","11,76","11,43","5,09M","1,39%"
"01.08.2019","11,47","11,74","11,86","11,41","8,67M","-1,63%"
"31.07.2019","11,66","11,84","11,96","11,58","9,39M","-0,77%"
"30.07.2019","11,75","11,58","11,86","11,52","5,94M","1,73%"
"29.07.2019","11,55","11,43","11,58","11,39","4,10M","1,32%"
"26.07.2019","11,40","11,17","11,51","11,15","7,43M","2,52%"
"25.07.2019","11,12","11,27","11,44","11,03","6,94M","-0,89%"
"24.07.2019","11,22","11,17","11,38","11,09","10,40M","1,81%"
"23.07.2019","11,02","11,05","11,14","10,99","3,17M","0,00%"
"22.07.2019","11,02","11,17","11,19","11,02","2,13M","-0,90%"
"19.07.2019","11,12","11,07","11,20","11,07","5,62M","0,18%"
"18.07.2019","11,10","11,05","11,19","11,04","3,99M","1,00%"
"17.07.2019","10,99","11,04","11,11","10,97","6,16M","0,09%"
"16.07.2019","10,98","10,98","11,21","10,94","12,97M","0,46%"
"15.07.2019","10,93","11,23","11,30","10,93","7,52M","-2,93%"
"12.07.2019","11,26","11,55","11,56","11,26","5,02M","-2,17%"
"11.07.2019","11,51","11,57","11,65","11,42","5,91M","-0,43%"
"10.07.2019","11,56","11,10","11,64","11,10","10,11M","5,19%"
"08.07.2019","10,99","10,93","11,06","10,91","3,15M","0,55%"
"05.07.2019","10,93","10,83","11,12","10,83","8,56M","0,92%"
"04.07.2019","10,83","10,68","10,91","10,64","5,18M","2,27%"
"03.07.2019","10,59","10,52","10,65","10,48","4,50M","0,67%"
"02.07.2019","10,52","10,53","10,64","10,51","4,52M","-0,09%"
"01.07.2019","10,53","10,67","10,67","10,48","6,83M","1,25%"
"28.06.2019","10,40","10,52","10,63","10,40","4,75M","0,00%"
"27.06.2019","10,40","10,27","10,53","10,19","4,82M","0,97%"
"26.06.2019","10,30","10,36","10,41","10,27","4,78M","-0,10%"
"25.06.2019","10,31","10,49","10,52","10,31","8,00M","-1,90%"
"24.06.2019","10,51","10,43","10,52","10,24","4,96M","0,77%"
"21.06.2019","10,43","10,42","10,50","10,29","9,41M","1,16%"
"19.06.2019","10,31","10,05","10,35","10,01","6,04M","2,59%"
"18.06.2019","10,05","9,96","10,10","9,92","7,50M","1,72%"
"17.06.2019","9,88","9,71","9,99","9,65","6,13M","1,86%"
"14.06.2019","9,70","9,73","9,88","9,64","7,29M","-0,41%"
"13.06.2019","9,74","9,67","9,74","9,57","7,69M","1,56%"
"12.06.2019","9,59","9,47","9,76","9,44","11,24M","1,70%"
"11.06.2019","9,43","9,44","9,56","9,41","9,12M","0,75%"
"10.06.2019","9,36","9,27","9,49","9,27","4,95M","0,11%"
"07.06.2019","9,35","9,25","9,43","9,20","5,44M","1,63%"
"06.06.2019","9,20","9,25","9,32","9,17","4,13M","0,00%"
"05.06.2019","9,20","9,30","9,32","9,07","5,45M","-0,65%"
"04.06.2019","9,26","9,36","9,36","9,18","4,86M","-0,64%"
"03.06.2019","9,32","9,29","9,36","9,26","5,63M","0,54%"
"31.05.2019","9,27","9,26","9,37","9,24","9,47M","-0,11%"
"30.05.2019","9,28","9,35","9,45","9,22","5,61M","-0,11%"
"29.05.2019","9,29","9,11","9,37","9,07","5,51M","1,20%"
"28.05.2019","9,18","8,95","9,20","8,88","17,23M","3,15%"
"27.05.2019","8,90","8,86","8,99","8,86","3,09M","0,45%"
"24.05.2019","8,86","9,09","9,10","8,85","4,02M","-1,66%"
"23.05.2019","9,01","9,14","9,25","8,98","4,13M","-1,42%"
"22.05.2019","9,14","9,18","9,24","9,06","3,30M","-0,11%"
"21.05.2019","9,15","9,07","9,26","9,04","6,69M","1,67%"
"20.05.2019","9,00","8,88","9,14","8,85","5,60M","1,93%"
"17.05.2019","8,83","8,68","8,89","8,67","5,34M","0,80%"
"16.05.2019","8,76","8,67","8,78","8,60","8,90M","0,00%"
"15.05.2019","8,76","8,76","8,81","8,62","5,40M","-0,11%"
"14.05.2019","8,77","8,79","8,83","8,74","4,34M","0,11%"
"13.05.2019","8,76","8,81","8,86","8,74","6,00M","-2,34%"
"10.05.2019","8,97","8,94","9,05","8,88","3,70M","-0,66%"
"09.05.2019","9,03","8,97","9,07","8,89","3,78M","-0,33%"
"08.05.2019","9,06","8,87","9,07","8,84","5,45M","2,60%"
"07.05.2019","8,83","8,91","8,92","8,76","4,24M","-1,23%"
"06.05.2019","8,94","9,06","9,06","8,89","4,16M","-1,54%"
