"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","12,37","12,32","12,38","12,21","31,95M","0,24%"
"30.12.2019","12,34","12,27","12,36","12,12","41,05M","0,16%"
"27.12.2019","12,32","12,25","12,43","12,25","27,93M","0,24%"
"26.12.2019","12,29","12,26","12,32","12,23","15,74M","0,41%"
"25.12.2019","12,24","12,29","12,29","12,20","13,68M","-0,33%"
"24.12.2019","12,28","12,21","12,29","12,20","21,67M","0,66%"
"23.12.2019","12,20","12,46","12,46","12,17","37,03M","-1,77%"
"20.12.2019","12,42","12,41","12,55","12,38","40,15M","0,08%"
"19.12.2019","12,41","12,40","12,50","12,38","23,79M","0,08%"
"18.12.2019","12,40","12,36","12,50","12,34","34,57M","0,08%"
"17.12.2019","12,39","12,17","12,51","12,10","57,44M","2,14%"
"16.12.2019","12,13","12,12","12,15","12,00","37,97M","0,08%"
"13.12.2019","12,12","11,98","12,12","11,94","59,52M","1,85%"
"12.12.2019","11,90","11,99","11,99","11,88","27,02M","-0,67%"
"11.12.2019","11,98","11,88","11,99","11,85","33,41M","1,01%"
"10.12.2019","11,86","11,88","11,91","11,86","15,32M","-0,34%"
"09.12.2019","11,90","11,90","11,93","11,85","17,35M","-0,17%"
"06.12.2019","11,92","11,92","11,95","11,83","20,65M","0,25%"
"05.12.2019","11,89","11,79","11,89","11,76","24,98M","1,19%"
"04.12.2019","11,75","11,78","11,83","11,70","24,73M","-0,93%"
"03.12.2019","11,86","11,81","11,90","11,77","19,56M","-0,08%"
"02.12.2019","11,87","11,96","11,97","11,82","22,16M","-0,34%"
"29.11.2019","11,91","11,93","12,07","11,89","24,57M","-0,42%"
"28.11.2019","11,96","12,00","12,01","11,92","17,80M","-0,25%"
"27.11.2019","11,99","12,07","12,07","11,90","28,70M","-0,58%"
"26.11.2019","12,06","12,15","12,17","11,98","59,63M","-0,08%"
"25.11.2019","12,07","12,03","12,14","12,00","25,15M","0,67%"
"22.11.2019","11,99","12,01","12,06","11,94","29,53M","0,25%"
"21.11.2019","11,96","12,00","12,04","11,91","34,62M","-0,66%"
"20.11.2019","12,04","12,17","12,22","12,01","38,09M","-1,55%"
"19.11.2019","12,23","12,20","12,31","12,18","29,37M","-0,08%"
"18.11.2019","12,24","12,17","12,35","12,13","28,80M","0,74%"
"15.11.2019","12,15","12,22","12,26","12,12","27,32M","0,08%"
"14.11.2019","12,14","12,23","12,27","12,10","28,94M","-0,74%"
"13.11.2019","12,23","12,21","12,29","12,15","32,28M","-0,08%"
"12.11.2019","12,24","12,31","12,36","12,17","39,24M","-0,41%"
"11.11.2019","12,29","12,48","12,48","12,29","38,59M","-2,23%"
"08.11.2019","12,57","12,80","12,81","12,56","48,84M","-1,49%"
"07.11.2019","12,76","12,95","12,95","12,71","46,27M","-1,24%"
"06.11.2019","12,92","12,95","13,10","12,86","46,02M","-0,23%"
"05.11.2019","12,95","12,74","13,19","12,69","74,27M","1,65%"
