"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","74,75","75,05","76,00","74,25","316,61K","-0,47%"
"28.12.2018","75,10","75,00","75,90","74,40","426,14K","0,67%"
"27.12.2018","74,60","74,40","77,00","73,65","884,43K","1,91%"
"26.12.2018","73,20","73,70","73,75","71,30","351,31K","-1,35%"
"24.12.2018","74,20","74,50","75,90","73,15","449,48K","-0,93%"
"21.12.2018","74,90","75,75","76,95","74,25","563,10K","-1,96%"
"20.12.2018","76,40","73,10","77,35","73,00","949,17K","3,52%"
"19.12.2018","73,80","74,00","75,40","73,25","416,04K","0,07%"
"18.12.2018","73,75","74,10","74,30","73,00","359,24K","-0,07%"
"17.12.2018","73,80","73,50","75,00","73,00","506,40K","0,07%"
"14.12.2018","73,75","74,00","74,40","73,05","365,51K","-0,94%"
"13.12.2018","74,45","74,30","76,60","73,85","666,31K","0,61%"
"12.12.2018","74,00","73,70","74,90","73,05","520,99K","-0,27%"
"11.12.2018","74,20","68,50","75,70","66,60","1,15M","7,93%"
"10.12.2018","68,75","70,80","70,80","68,30","298,53K","-3,51%"
"07.12.2018","71,25","73,80","73,80","70,10","369,38K","-1,52%"
"06.12.2018","72,35","73,25","73,30","71,25","281,36K","-1,70%"
"05.12.2018","73,60","75,00","76,70","72,60","295,59K","-2,84%"
"04.12.2018","75,75","75,50","76,60","75,05","277,85K","0,20%"
"03.12.2018","75,60","75,30","77,40","74,20","474,33K","0,80%"
"30.11.2018","75,00","75,30","76,40","74,00","321,34K","0,54%"
"29.11.2018","74,60","77,10","77,50","72,80","501,48K","-3,18%"
"28.11.2018","77,05","79,05","79,25","76,55","316,89K","-2,03%"
"27.11.2018","78,65","78,90","79,45","78,00","352,81K","-0,76%"
"26.11.2018","79,25","81,15","81,65","78,25","459,90K","-1,74%"
"22.11.2018","80,65","80,95","82,60","80,05","405,95K","-0,92%"
"21.11.2018","81,40","81,45","82,45","80,60","431,96K","-0,06%"
"20.11.2018","81,45","81,50","83,80","80,65","590,73K","-0,67%"
"19.11.2018","82,00","81,65","83,30","81,05","344,01K","0,55%"
"16.11.2018","81,55","82,75","83,00","80,50","335,47K","-1,39%"
"15.11.2018","82,70","83,30","84,40","80,60","529,93K","-0,24%"
"14.11.2018","82,90","86,45","86,45","81,65","486,94K","-3,83%"
"13.11.2018","86,20","80,95","87,30","80,30","1,60M","6,09%"
"12.11.2018","81,25","80,60","82,75","79,80","522,04K","-3,45%"
"11.11.2018","84,15","83,90","84,15","83,90","508,44K","4,08%"
"09.11.2018","80,85","81,15","82,20","79,70","518,40K","-2,59%"
"07.11.2018","83,00","82,90","83,70","82,00","123,52K","0,97%"
"06.11.2018","82,20","80,60","83,55","79,80","704,50K","2,56%"
"05.11.2018","80,15","79,00","80,95","77,30","431,81K","0,63%"
"02.11.2018","79,65","79,25","81,80","79,00","723,84K","1,40%"
"01.11.2018","78,55","74,70","79,95","74,25","965,49K","5,44%"
"31.10.2018","74,50","74,50","74,80","72,75","320,52K","1,02%"
"30.10.2018","73,75","73,25","75,35","72,50","379,55K","0,68%"
"29.10.2018","73,25","70,90","73,70","70,10","439,80K","3,10%"
"26.10.2018","71,05","72,50","72,90","70,60","329,45K","-2,00%"
"25.10.2018","72,50","73,55","74,60","71,75","362,32K","-2,95%"
"24.10.2018","74,70","74,75","76,40","72,30","438,85K","1,08%"
"23.10.2018","73,90","74,25","75,00","73,30","258,75K","-2,12%"
"22.10.2018","75,50","79,10","79,55","75,00","291,24K","-4,37%"
"19.10.2018","78,95","80,00","81,45","78,20","336,88K","-3,13%"
"17.10.2018","81,50","84,90","86,40","80,20","601,39K","-2,69%"
"16.10.2018","83,75","84,00","85,65","83,10","383,61K","-0,18%"
"15.10.2018","83,90","83,95","86,00","81,70","580,51K","-0,06%"
"12.10.2018","83,95","78,65","88,00","78,65","1,33M","7,49%"
"11.10.2018","78,10","73,55","81,55","72,40","1,53M","3,79%"
"10.10.2018","75,25","74,00","76,50","73,90","519,87K","1,48%"
"09.10.2018","74,15","73,40","75,70","71,85","853,26K","1,30%"
"08.10.2018","73,20","77,00","77,60","72,20","505,81K","-4,87%"
"05.10.2018","76,95","80,00","80,75","76,00","531,64K","-4,88%"
"04.10.2018","80,90","81,90","82,50","80,10","328,81K","-2,18%"
"03.10.2018","82,70","81,05","84,30","81,05","831,30K","3,18%"
"01.10.2018","80,15","82,70","82,85","78,40","526,49K","-2,61%"
"28.09.2018","82,30","88,70","89,95","81,60","622,47K","-6,48%"
"27.09.2018","88,00","88,85","92,00","86,05","1,21M","-0,23%"
"26.09.2018","88,20","89,00","92,00","87,20","538,21K","0,06%"
"25.09.2018","88,15","92,00","92,00","87,15","508,57K","-3,66%"
"24.09.2018","91,50","94,90","95,05","90,55","417,54K","-3,53%"
"21.09.2018","94,85","105,30","105,70","88,90","1,00M","-9,45%"
"19.09.2018","104,75","107,20","107,70","103,65","462,53K","-2,33%"
"18.09.2018","107,25","106,35","110,20","106,35","724,64K","0,23%"
"17.09.2018","107,00","108,00","109,50","106,30","584,30K","-0,51%"
"14.09.2018","107,55","106,00","109,40","106,00","563,52K","1,61%"
"12.09.2018","105,85","108,50","108,85","105,00","417,49K","-1,40%"
"11.09.2018","107,35","110,25","110,60","106,90","414,33K","-2,50%"
"10.09.2018","110,10","110,00","111,90","109,40","296,93K","-0,81%"
"07.09.2018","111,00","111,45","112,40","110,35","319,69K","-0,36%"
"06.09.2018","111,40","113,50","113,70","110,90","364,52K","-1,42%"
"05.09.2018","113,00","113,40","115,60","111,00","1,08M","1,39%"
"04.09.2018","111,45","114,90","115,90","110,15","495,48K","-2,58%"
"03.09.2018","114,40","115,05","117,80","113,55","413,14K","-0,95%"
"31.08.2018","115,50","115,95","117,10","114,40","404,84K","-0,30%"
"30.08.2018","115,85","116,50","117,50","115,15","598,52K","0,74%"
"29.08.2018","115,00","117,15","118,20","114,20","485,46K","-2,25%"
"28.08.2018","117,65","113,65","122,50","113,50","1,65M","3,79%"
"27.08.2018","113,35","114,35","114,90","113,10","380,94K","-0,18%"
"24.08.2018","113,55","113,20","115,65","112,90","578,47K","0,66%"
"23.08.2018","112,80","114,10","115,00","112,10","402,26K","-0,62%"
"21.08.2018","113,50","114,95","115,70","112,65","451,91K","-0,96%"
"20.08.2018","114,60","112,80","117,30","112,50","764,02K","1,42%"
"17.08.2018","113,00","112,80","114,20","112,10","361,03K","0,94%"
"16.08.2018","111,95","112,75","113,35","111,10","376,92K","-1,45%"
"14.08.2018","113,60","113,00","114,90","112,80","380,71K","0,62%"
"13.08.2018","112,90","112,50","114,50","112,00","312,25K","-1,44%"
"10.08.2018","114,55","117,40","117,45","114,20","369,21K","-2,22%"
"09.08.2018","117,15","117,50","119,85","116,30","892,78K","-0,34%"
"08.08.2018","117,55","117,80","119,50","116,05","885,30K","-0,47%"
"07.08.2018","118,10","113,95","121,90","113,95","2,55M","3,64%"
"06.08.2018","113,95","114,75","116,25","113,05","457,95K","-0,70%"
"03.08.2018","114,75","116,10","116,40","114,20","481,16K","-0,65%"
"02.08.2018","115,50","115,80","117,70","114,10","1,55M","1,67%"
"01.08.2018","113,60","111,00","115,40","108,45","1,57M","3,09%"
