"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","108,50","110,00","110,00","108,20","33,05K","0,00%"
"28.12.2018","108,50","108,65","109,05","107,75","71,65K","-0,28%"
"27.12.2018","108,80","108,50","110,70","107,50","204,32K","1,21%"
"26.12.2018","107,50","104,80","107,95","103,60","115,04K","2,14%"
"24.12.2018","105,25","112,15","112,15","104,60","229,32K","-6,07%"
"21.12.2018","112,05","113,00","114,45","110,10","173,18K","-1,36%"
"20.12.2018","113,60","108,60","115,00","107,55","351,83K","5,38%"
"19.12.2018","107,80","107,10","109,50","106,85","60,21K","0,28%"
"18.12.2018","107,50","107,20","107,80","105,95","48,90K","0,33%"
"17.12.2018","107,15","107,80","108,00","106,00","65,09K","-0,23%"
"14.12.2018","107,40","104,90","107,80","104,70","52,56K","1,13%"
"13.12.2018","106,20","106,50","107,00","105,50","60,80K","0,62%"
"12.12.2018","105,55","105,50","106,50","103,70","58,96K","1,44%"
"11.12.2018","104,05","100,00","104,85","100,00","103,60K","1,36%"
"10.12.2018","102,65","104,65","104,65","101,00","88,08K","-1,91%"
"07.12.2018","104,65","104,50","105,75","103,80","77,71K","-0,14%"
"06.12.2018","104,80","106,00","106,00","103,20","320,26K","-1,64%"
"05.12.2018","106,55","107,20","107,50","104,60","799,19K","-0,19%"
"04.12.2018","106,75","106,75","108,00","106,15","119,57K","0,47%"
"03.12.2018","106,25","105,20","106,70","105,00","121,08K","1,19%"
"30.11.2018","105,00","107,75","108,75","104,30","446,42K","-2,46%"
"29.11.2018","107,65","108,75","108,75","106,75","81,16K","-0,14%"
"28.11.2018","107,80","108,95","109,70","107,15","143,31K","0,00%"
"27.11.2018","107,80","107,75","108,70","106,00","217,48K","0,79%"
"26.11.2018","106,95","107,00","108,65","105,80","109,64K","1,33%"
"22.11.2018","105,55","107,60","107,65","104,35","235,02K","-1,49%"
"21.11.2018","107,15","107,95","109,50","106,20","226,95K","-0,79%"
"20.11.2018","108,00","108,90","109,45","106,05","261,94K","-0,78%"
"19.11.2018","108,85","108,50","109,35","108,00","83,87K","0,51%"
"16.11.2018","108,30","106,75","108,55","106,10","169,00K","2,36%"
"15.11.2018","105,80","107,95","108,45","105,50","77,05K","-2,22%"
"14.11.2018","108,20","106,50","109,40","106,00","169,15K","2,37%"
"13.11.2018","105,70","106,00","106,95","104,55","59,48K","-0,66%"
"12.11.2018","106,40","109,70","109,70","105,85","109,20K","7,20%"
"11.11.2018","99,25","99,20","99,25","99,20","99,53K","-8,31%"
"09.11.2018","108,25","109,00","109,00","105,30","149,93K","0,98%"
"07.11.2018","107,20","107,70","108,75","106,15","33,56K","0,47%"
"06.11.2018","106,70","105,00","108,00","103,15","292,82K","3,79%"
"05.11.2018","102,80","101,40","104,25","100,45","147,17K","1,33%"
