"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","50,95","50,90","51,30","50,60","5,59M","0,00%"
"28.12.2018","50,95","51,25","51,70","50,60","9,36M","-0,78%"
"27.12.2018","51,35","51,20","52,00","51,00","10,53M","0,98%"
"26.12.2018","50,85","50,50","51,90","49,50","12,32M","0,10%"
"24.12.2018","50,80","50,85","51,40","49,40","5,92M","0,89%"
"21.12.2018","50,35","52,35","52,60","50,00","10,83M","-3,17%"
"20.12.2018","52,00","52,05","52,55","51,60","8,25M","-1,33%"
"19.12.2018","52,70","53,00","53,70","52,05","10,00M","-0,19%"
"18.12.2018","52,80","52,05","53,20","51,85","6,91M","-0,19%"
"17.12.2018","52,90","52,35","53,55","51,80","7,47M","1,15%"
"14.12.2018","52,30","51,95","53,00","51,25","9,23M","0,67%"
"13.12.2018","51,95","54,00","54,25","50,00","13,56M","-1,61%"
"12.12.2018","52,80","51,25","53,25","51,25","13,96M","3,94%"
"11.12.2018","50,80","47,55","51,70","47,45","24,44M","3,78%"
"10.12.2018","48,95","48,70","49,95","48,55","16,87M","-6,85%"
"07.12.2018","52,55","52,05","53,00","51,45","9,69M","0,86%"
"06.12.2018","52,10","53,95","53,95","49,80","19,08M","-3,61%"
"05.12.2018","54,05","55,00","55,20","53,50","17,91M","-3,91%"
"04.12.2018","56,25","58,00","58,00","55,40","18,07M","-2,77%"
"03.12.2018","57,85","56,35","58,35","55,70","29,91M","4,23%"
"30.11.2018","55,50","55,70","56,30","54,30","30,20M","0,09%"
"29.11.2018","55,45","54,90","57,50","54,50","39,12M","1,84%"
"28.11.2018","54,45","50,70","54,90","49,10","38,50M","7,61%"
"27.11.2018","50,60","50,50","51,20","50,15","13,33M","0,20%"
"26.11.2018","50,50","48,00","51,00","48,00","31,49M","6,20%"
"22.11.2018","47,55","46,65","48,10","46,20","12,46M","2,48%"
"21.11.2018","46,40","46,90","47,50","45,95","15,56M","-1,80%"
"20.11.2018","47,25","47,40","49,00","46,75","14,15M","-0,32%"
"19.11.2018","47,40","47,55","48,20","46,55","9,90M","-0,32%"
"16.11.2018","47,55","48,55","48,55","46,75","16,22M","-2,36%"
"15.11.2018","48,70","48,90","50,00","48,30","15,53M","-1,22%"
"14.11.2018","49,30","48,95","50,20","48,35","18,79M","1,54%"
