"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","14,05","14,05","14,75","14,00","23,34K","-1,06%"
"28.12.2018","14,20","14,10","14,50","14,00","5,75K","0,00%"
"27.12.2018","14,20","14,10","14,90","14,10","12,49K","0,71%"
"26.12.2018","14,10","14,65","14,65","14,00","6,16K","-2,08%"
"24.12.2018","14,40","15,05","15,05","14,30","4,92K","1,41%"
"21.12.2018","14,20","14,45","14,80","14,15","6,93K","-2,41%"
"20.12.2018","14,55","15,00","15,00","14,20","11,05K","-1,02%"
"19.12.2018","14,70","15,05","15,45","14,55","21,40K","0,00%"
"18.12.2018","14,70","14,25","15,05","14,20","14,13K","1,73%"
"17.12.2018","14,45","14,70","14,90","14,40","10,85K","-0,34%"
"14.12.2018","14,50","14,85","14,90","14,00","15,55K","-1,02%"
"13.12.2018","14,65","14,45","15,45","14,15","47,11K","3,53%"
"12.12.2018","14,15","13,90","14,50","13,00","79,53K","8,43%"
"11.12.2018","13,05","13,80","13,80","12,50","22,25K","0,38%"
"10.12.2018","13,00","13,95","13,95","12,75","22,63K","-5,80%"
"07.12.2018","13,80","14,60","14,60","13,40","99,33K","-5,48%"
"06.12.2018","14,60","14,00","15,70","13,55","601,92K","11,45%"
"05.12.2018","13,10","13,00","13,40","12,90","8,17K","-1,50%"
"04.12.2018","13,30","13,10","13,75","13,00","3,35K","0,76%"
"03.12.2018","13,20","13,20","13,90","13,15","6,41K","0,76%"
"30.11.2018","13,10","13,75","13,75","13,05","10,94K","-0,76%"
"29.11.2018","13,20","13,20","13,65","13,05","6,88K","0,76%"
"28.11.2018","13,10","13,40","13,80","13,00","19,80K","-3,32%"
"27.11.2018","13,55","13,50","14,20","13,50","7,05K","0,00%"
"26.11.2018","13,55","13,80","13,95","13,55","6,30K","-2,17%"
"22.11.2018","13,85","13,80","14,00","13,65","6,47K","-0,36%"
"21.11.2018","13,90","13,95","13,95","13,70","4,01K","1,46%"
"20.11.2018","13,70","14,80","14,80","13,60","12,39K","-1,44%"
"19.11.2018","13,90","13,90","16,10","13,50","182,56K","2,58%"
"16.11.2018","13,55","13,75","13,90","13,50","9,20K","-1,45%"
"15.11.2018","13,75","13,70","14,20","13,65","13,69K","0,00%"
"14.11.2018","13,75","13,85","14,10","13,75","5,95K","-0,72%"
"13.11.2018","13,85","14,40","14,40","13,65","4,45K","-2,46%"
"12.11.2018","14,20","14,20","14,70","13,90","6,03K","1,79%"
"11.11.2018","13,95","13,95","13,95","13,95","","-5,10%"
"09.11.2018","14,70","14,25","15,00","13,65","22,43K","4,63%"
"07.11.2018","14,05","14,25","14,25","14,00","3,51K","0,36%"
"06.11.2018","14,00","13,90","14,30","13,50","9,82K","-1,41%"
"05.11.2018","14,20","14,45","14,50","13,65","10,83K","2,53%"
"02.11.2018","13,85","13,25","14,00","13,15","12,10K","3,75%"
"01.11.2018","13,35","13,50","13,80","13,20","5,36K","1,52%"
"31.10.2018","13,15","13,45","13,45","13,05","6,75K","0,77%"
"30.10.2018","13,05","13,20","14,35","12,65","13,54K","1,95%"
"29.10.2018","12,80","12,40","13,00","12,40","28,38K","1,99%"
"26.10.2018","12,55","12,85","12,85","12,40","2,28K","-0,79%"
"25.10.2018","12,65","12,80","12,85","12,20","11,67K","1,20%"
"24.10.2018","12,50","12,85","13,45","12,40","7,68K","-1,19%"
"23.10.2018","12,65","12,20","12,90","12,20","23,15K","-3,44%"
"22.10.2018","13,10","14,25","14,25","13,00","9,71K","-4,38%"
"19.10.2018","13,70","13,70","13,80","13,05","14,81K","1,86%"
"17.10.2018","13,45","14,30","14,45","13,25","20,59K","-3,93%"
"16.10.2018","14,00","14,60","14,60","13,60","14,18K","1,45%"
"15.10.2018","13,80","14,10","14,65","13,65","27,01K","-2,47%"
"12.10.2018","14,15","15,00","15,00","13,60","14,47K","-0,35%"
"11.10.2018","14,20","12,50","14,65","12,10","20,88K","9,23%"
"10.10.2018","13,00","12,45","13,45","12,45","5,83K","5,69%"
"09.10.2018","12,30","12,15","12,75","12,15","3,54K","-1,60%"
"08.10.2018","12,50","12,10","13,00","12,00","4,30K","-1,19%"
"05.10.2018","12,65","13,50","13,50","12,10","13,04K","-3,07%"
"04.10.2018","13,05","12,70","13,45","12,00","23,59K","1,56%"
"03.10.2018","12,85","12,50","13,50","12,50","34,61K","4,47%"
"01.10.2018","12,30","13,90","13,90","11,80","39,47K","-6,46%"
"28.09.2018","13,15","13,90","13,90","12,30","21,63K","-5,05%"
"27.09.2018","13,85","14,25","15,25","13,65","22,14K","-2,81%"
"26.09.2018","14,25","14,85","15,30","14,15","11,30K","-2,06%"
"25.09.2018","14,55","15,35","15,35","14,30","21,74K","-1,69%"
"24.09.2018","14,80","14,85","16,35","13,90","41,37K","-0,34%"
"21.09.2018","14,85","16,10","16,10","14,50","37,72K","-3,57%"
"19.09.2018","15,40","16,95","16,95","15,15","36,73K","-4,94%"
"18.09.2018","16,20","16,60","17,40","15,80","50,68K","2,53%"
"17.09.2018","15,80","15,75","16,75","14,85","71,75K","1,94%"
"14.09.2018","15,50","16,00","16,00","14,60","27,18K","1,31%"
"12.09.2018","15,30","16,00","17,80","14,30","53,63K","0,99%"
"11.09.2018","15,15","15,65","16,00","15,15","20,78K","-3,81%"
"10.09.2018","15,75","15,70","16,00","15,15","6,96K","2,94%"
"07.09.2018","15,30","15,90","15,90","15,25","19,42K","-0,33%"
"06.09.2018","15,35","16,40","16,40","15,25","34,23K","-1,29%"
"05.09.2018","15,55","16,00","16,80","15,30","73,01K","-3,12%"
"04.09.2018","16,05","15,45","17,70","15,10","281,16K","8,81%"
"03.09.2018","14,75","14,45","15,40","14,40","35,34K","1,03%"
"31.08.2018","14,60","14,85","14,85","14,25","12,56K","1,74%"
"30.08.2018","14,35","14,50","15,90","14,10","38,41K","-2,05%"
"29.08.2018","14,65","14,90","14,90","14,50","4,98K","0,00%"
"28.08.2018","14,65","14,35","15,00","14,35","7,70K","0,00%"
"27.08.2018","14,65","15,35","15,35","14,25","15,56K","2,09%"
"24.08.2018","14,35","14,55","14,55","14,20","12,29K","0,35%"
"23.08.2018","14,30","14,85","14,85","13,95","35,94K","0,00%"
"21.08.2018","14,30","14,70","14,70","14,25","10,32K","-0,35%"
"20.08.2018","14,35","14,25","14,70","14,15","7,62K","0,35%"
"17.08.2018","14,30","14,30","14,75","14,25","11,51K","0,00%"
"16.08.2018","14,30","14,60","14,90","14,20","16,07K","-2,05%"
"14.08.2018","14,60","14,40","15,00","14,25","5,12K","0,00%"
"13.08.2018","14,60","14,70","15,30","14,20","13,48K","-2,01%"
"10.08.2018","14,90","15,10","15,40","14,65","62,83K","-1,32%"
"09.08.2018","15,10","15,15","15,50","15,10","9,85K","-0,66%"
"08.08.2018","15,20","15,85","15,85","15,10","13,77K","-4,10%"
"07.08.2018","15,85","16,10","16,30","15,45","3,63K","0,63%"
"06.08.2018","15,75","15,80","16,50","15,40","21,80K","2,61%"
"03.08.2018","15,35","15,50","15,80","15,30","13,10K","0,33%"
"02.08.2018","15,30","15,75","15,75","15,00","14,79K","-0,65%"
"01.08.2018","15,40","16,50","16,50","15,30","13,82K","-0,32%"
"31.07.2018","15,45","16,00","16,00","14,65","16,59K","-1,28%"
"30.07.2018","15,65","15,20","16,00","14,65","31,66K","4,33%"
"27.07.2018","15,00","15,00","15,65","14,75","35,85K","-1,32%"
"26.07.2018","15,20","15,00","15,95","15,00","7,33K","0,66%"
"25.07.2018","15,10","15,75","16,05","14,60","12,59K","-3,21%"
"24.07.2018","15,60","14,35","17,00","14,35","54,79K","8,71%"
"23.07.2018","14,35","14,00","14,85","14,00","11,25K","0,70%"
"20.07.2018","14,25","14,30","14,85","13,55","28,99K","1,06%"
"19.07.2018","14,10","15,30","15,30","14,10","27,62K","-6,93%"
"18.07.2018","15,15","15,25","15,75","14,75","37,11K","-0,66%"
"17.07.2018","15,25","16,20","16,20","15,15","14,77K","-1,29%"
"16.07.2018","15,45","16,00","16,40","15,25","33,46K","-3,74%"
"13.07.2018","16,05","16,30","16,85","16,00","22,80K","-0,93%"
"12.07.2018","16,20","16,60","16,95","16,10","15,64K","-2,11%"
"11.07.2018","16,55","16,55","17,30","16,20","26,05K","-1,78%"
"10.07.2018","16,85","16,60","17,10","16,40","28,81K","1,51%"
"09.07.2018","16,60","18,00","18,00","16,00","43,22K","-0,90%"
"06.07.2018","16,75","16,95","17,50","16,60","10,98K","-2,05%"
"05.07.2018","17,10","17,45","17,50","16,50","7,24K","-2,01%"
"04.07.2018","17,45","18,00","18,00","17,05","42,45K","-0,57%"
"03.07.2018","17,55","16,55","19,00","16,55","73,61K","6,36%"
"02.07.2018","16,50","16,00","17,00","15,75","31,35K","2,17%"
"29.06.2018","16,15","15,90","17,65","15,90","29,81K","-1,22%"
"28.06.2018","16,35","16,40","17,40","16,00","13,75K","-2,39%"
"27.06.2018","16,75","17,40","17,50","16,10","32,05K","-3,18%"
"26.06.2018","17,30","18,70","18,70","17,00","29,42K","-4,68%"
"25.06.2018","18,15","19,15","19,80","17,80","80,15K","-7,16%"
"22.06.2018","19,55","16,60","19,80","16,35","79,98K","18,48%"
"21.06.2018","16,50","17,30","17,30","16,50","12,33K","-1,79%"
"20.06.2018","16,80","17,95","17,95","16,70","11,49K","-0,59%"
"19.06.2018","16,90","18,00","18,10","16,75","21,41K","-6,11%"
"18.06.2018","18,00","17,30","18,00","17,05","7,64K","3,15%"
"15.06.2018","17,45","17,15","17,80","17,15","5,03K","0,58%"
"14.06.2018","17,35","17,75","18,45","17,05","14,75K","-2,25%"
"13.06.2018","17,75","18,30","18,50","17,75","15,76K","0,57%"
"12.06.2018","17,65","17,75","18,35","17,50","11,66K","-2,22%"
"11.06.2018","18,05","18,45","18,75","17,65","14,70K","3,14%"
"08.06.2018","17,50","17,75","17,90","17,20","10,02K","-3,05%"
"07.06.2018","18,05","17,50","19,10","17,25","35,68K","5,56%"
"06.06.2018","17,10","16,05","17,30","16,05","15,16K","6,54%"
"05.06.2018","16,05","16,50","16,60","15,05","58,79K","-2,73%"
"04.06.2018","16,50","17,95","18,30","16,30","39,05K","-3,51%"
"01.06.2018","17,10","17,50","18,50","17,10","18,84K","-2,01%"
"31.05.2018","17,45","18,85","18,85","17,10","15,04K","-5,93%"
"30.05.2018","18,55","18,50","18,85","17,95","33,66K","0,00%"
"29.05.2018","18,55","20,45","20,45","18,50","53,94K","-1,59%"
"28.05.2018","18,85","17,50","18,85","17,30","34,87K","9,91%"
"25.05.2018","17,15","16,20","17,40","16,10","26,41K","5,86%"
"24.05.2018","16,20","16,65","17,25","16,10","30,09K","-5,26%"
"23.05.2018","17,10","16,75","17,50","16,70","10,96K","0,59%"
"22.05.2018","17,00","17,05","17,05","16,50","10,90K","4,62%"
"21.05.2018","16,25","16,05","17,40","16,05","36,68K","-3,27%"
"18.05.2018","16,80","17,45","17,45","16,30","38,97K","-1,18%"
"17.05.2018","17,00","16,85","17,50","16,40","10,78K","-0,29%"
"16.05.2018","17,05","17,05","17,75","16,55","24,57K","-0,87%"
"15.05.2018","17,20","17,75","18,80","17,00","27,55K","-4,71%"
"14.05.2018","18,05","18,25","18,65","18,00","22,86K","-0,82%"
"11.05.2018","18,20","18,70","18,95","18,00","12,36K","-3,45%"
"10.05.2018","18,85","19,20","19,60","18,55","8,99K","0,00%"
"09.05.2018","18,85","19,05","19,65","18,55","19,31K","-1,05%"
"08.05.2018","19,05","19,00","19,75","18,90","21,24K","-3,54%"
"07.05.2018","19,75","20,95","20,95","19,60","11,88K","-2,23%"
"04.05.2018","20,20","21,25","21,25","19,20","24,81K","0,00%"
"03.05.2018","20,20","21,25","21,25","20,00","26,86K","-2,65%"
"02.05.2018","20,75","21,95","22,00","20,20","15,53K","-1,43%"
"30.04.2018","21,05","21,90","21,90","20,25","26,13K","-4,10%"
"27.04.2018","21,95","23,00","23,00","21,60","28,50K","-1,79%"
"26.04.2018","22,35","21,20","23,30","21,20","10,14K","2,52%"
"25.04.2018","21,80","23,50","23,50","21,40","54,45K","-4,60%"
"24.04.2018","22,85","23,40","23,40","21,60","54,22K","0,22%"
"23.04.2018","22,80","23,00","23,30","22,40","34,02K","0,00%"
"20.04.2018","22,80","25,40","25,40","22,20","220,61K","-2,15%"
"19.04.2018","23,30","20,90","23,30","20,60","61,88K","9,91%"
"18.04.2018","21,20","22,75","22,75","21,00","12,29K","-3,20%"
"17.04.2018","21,90","20,90","22,90","20,70","36,33K","4,78%"
"16.04.2018","20,90","21,95","21,95","20,65","11,15K","-1,42%"
"13.04.2018","21,20","20,85","21,85","20,70","19,63K","-0,24%"
"12.04.2018","21,25","20,70","21,85","20,70","13,23K","1,43%"
"11.04.2018","20,95","21,70","22,10","20,10","84,33K","-3,23%"
"10.04.2018","21,65","21,70","22,25","21,10","7,76K","-0,46%"
"09.04.2018","21,75","22,10","22,50","21,70","13,78K","-2,90%"
"06.04.2018","22,40","21,75","22,60","21,75","15,94K","3,23%"
"05.04.2018","21,70","22,10","22,10","21,60","14,96K","0,00%"
"04.04.2018","21,70","22,35","22,35","21,40","21,02K","1,88%"
"03.04.2018","21,30","21,60","21,70","21,10","25,85K","2,65%"
"02.04.2018","20,75","20,75","20,75","20,05","14,07K","4,80%"
"28.03.2018","19,80","19,30","20,25","19,15","48,80K","2,59%"
"27.03.2018","19,30","19,00","19,30","18,20","30,29K","4,89%"
"26.03.2018","18,40","19,50","19,50","18,20","26,92K","-3,16%"
"23.03.2018","19,00","19,00","19,75","18,75","50,46K","-3,55%"
"22.03.2018","19,70","19,45","20,20","19,00","74,83K","-0,51%"
"21.03.2018","19,80","20,50","20,70","19,55","72,49K","-1,74%"
"20.03.2018","20,15","20,10","21,35","20,10","28,47K","-4,05%"
"19.03.2018","21,00","21,15","21,75","20,85","18,08K","-2,78%"
"16.03.2018","21,60","22,50","22,65","21,20","62,24K","-1,37%"
"15.03.2018","21,90","21,10","22,10","21,10","28,78K","4,04%"
"14.03.2018","21,05","21,55","21,55","20,60","10,10K","-1,41%"
"13.03.2018","21,35","21,40","21,80","20,55","32,97K","-0,93%"
"12.03.2018","21,55","21,80","22,45","21,20","98,61K","-3,36%"
"09.03.2018","22,30","22,85","22,85","21,25","10,68K","1,83%"
"08.03.2018","21,90","22,15","22,95","21,75","42,17K","-4,16%"
"07.03.2018","22,85","23,15","23,75","22,55","49,27K","-3,59%"
"06.03.2018","23,70","23,65","24,00","23,30","11,74K","-0,21%"
"05.03.2018","23,75","23,20","24,00","23,20","15,11K","-1,66%"
"01.03.2018","24,15","25,00","25,45","23,05","22,49K","-0,41%"
"28.02.2018","24,25","24,10","24,65","23,90","8,15K","-0,61%"
"27.02.2018","24,40","24,75","24,85","24,05","25,42K","0,41%"
"26.02.2018","24,30","24,55","24,90","24,25","6,39K","-1,02%"
"23.02.2018","24,55","24,05","25,55","24,00","33,84K","-0,61%"
"22.02.2018","24,70","24,05","25,00","24,00","4,54K","-1,20%"
"21.02.2018","25,00","26,00","26,10","24,80","46,67K","-0,20%"
"20.02.2018","25,05","24,05","25,25","23,55","38,95K","4,16%"
"19.02.2018","24,05","24,50","24,80","23,50","35,93K","-1,84%"
"16.02.2018","24,50","24,60","25,00","24,10","128,23K","-2,78%"
"15.02.2018","25,20","26,90","27,15","25,00","156,47K","-4,18%"
"14.02.2018","26,30","24,85","26,30","24,15","148,24K","4,99%"
"12.02.2018","25,05","25,00","25,20","24,10","101,26K","4,37%"
"09.02.2018","24,00","23,30","24,00","22,60","31,28K","4,80%"
"08.02.2018","22,90","22,90","22,90","22,00","13,67K","4,81%"
"07.02.2018","21,85","21,85","21,85","21,85","8,29K","4,80%"
"06.02.2018","20,85","21,00","21,35","20,20","41,68K","-1,88%"
"05.02.2018","21,25","21,40","21,50","20,55","19,06K","-1,62%"
"02.02.2018","21,60","22,10","22,80","21,60","21,55K","-4,85%"
"01.02.2018","22,70","22,80","23,15","22,50","11,95K","-0,87%"
"31.01.2018","22,90","22,65","23,20","21,65","67,55K","0,66%"
"30.01.2018","22,75","23,95","23,95","22,25","7,79K","-1,94%"
"29.01.2018","23,20","23,85","24,00","23,00","29,43K","-1,28%"
"25.01.2018","23,50","24,95","24,95","23,50","22,42K","-1,67%"
"24.01.2018","23,90","23,50","24,00","23,50","20,77K","0,00%"
"23.01.2018","23,90","23,55","24,25","23,25","23,57K","0,00%"
"22.01.2018","23,90","23,50","24,45","23,50","20,55K","0,00%"
"19.01.2018","23,90","24,25","24,50","23,75","13,59K","-1,44%"
"18.01.2018","24,25","25,00","25,45","24,15","30,21K","-3,96%"
"17.01.2018","25,25","25,30","25,45","24,05","34,78K","-0,20%"
"16.01.2018","25,30","25,95","26,45","25,25","37,73K","-1,17%"
"15.01.2018","25,60","26,35","26,35","25,20","34,71K","-0,78%"
"12.01.2018","25,80","26,05","26,60","25,50","73,77K","-0,96%"
"11.01.2018","26,05","25,70","26,65","25,70","55,51K","0,19%"
"10.01.2018","26,00","27,30","27,30","25,80","37,44K","-1,33%"
"09.01.2018","26,35","26,50","27,50","26,20","108,81K","-1,68%"
"08.01.2018","26,80","26,50","27,10","25,70","56,37K","1,90%"
"05.01.2018","26,30","26,00","26,70","26,00","40,74K","-0,19%"
"04.01.2018","26,35","26,80","27,10","26,25","62,35K","-1,31%"
"03.01.2018","26,70","26,10","27,20","26,10","20,66K","2,50%"
"02.01.2018","26,05","27,15","27,50","25,80","41,46K","-4,05%"
"01.01.2018","27,15","26,00","27,40","26,00","56,91K","1,31%"
"29.12.2017","26,80","27,40","27,80","26,50","21,27K","-0,37%"
"28.12.2017","26,90","26,30","27,95","26,30","31,60K","0,00%"
"27.12.2017","26,90","27,05","28,20","26,60","21,52K","-2,18%"
"26.12.2017","27,50","28,00","28,00","26,80","18,48K","0,55%"
"22.12.2017","27,35","27,95","28,30","26,40","33,08K","0,55%"
"21.12.2017","27,20","26,35","27,65","26,20","50,59K","3,23%"
"20.12.2017","26,35","26,25","26,45","26,00","27,22K","0,76%"
"19.12.2017","26,15","26,20","26,20","25,40","35,99K","1,16%"
"18.12.2017","25,85","26,25","26,25","25,00","27,56K","1,57%"
"15.12.2017","25,45","25,90","26,00","25,15","43,28K","-0,78%"
"14.12.2017","25,65","25,30","25,90","25,00","40,49K","0,00%"
"13.12.2017","25,65","25,00","25,80","24,55","31,84K","1,38%"
"12.12.2017","25,30","25,00","26,00","25,00","13,22K","-0,98%"
"11.12.2017","25,55","26,45","26,45","25,00","21,02K","1,19%"
"08.12.2017","25,25","24,50","26,00","24,50","56,45K","-0,59%"
"07.12.2017","25,40","25,00","26,65","24,60","25,09K","-0,39%"
"06.12.2017","25,50","25,95","27,00","24,50","154,63K","0,59%"
"05.12.2017","25,35","26,75","26,75","24,75","105,29K","-6,11%"
"04.12.2017","27,00","27,55","29,40","26,55","237,41K","-0,74%"
"01.12.2017","27,20","26,90","27,80","26,20","373,40K","7,09%"
"30.11.2017","25,40","23,10","25,40","23,10","274,71K","9,96%"
"29.11.2017","23,10","23,60","23,60","22,80","40,42K","-0,65%"
"28.11.2017","23,25","23,55","24,00","23,00","39,67K","-0,85%"
"27.11.2017","23,45","23,40","24,25","23,20","28,59K","0,43%"
"24.11.2017","23,35","23,85","24,90","22,85","188,86K","-3,51%"
"23.11.2017","24,20","22,75","24,30","22,30","276,04K","9,50%"
"22.11.2017","22,10","22,85","22,85","22,00","41,24K","0,00%"
"21.11.2017","22,10","23,00","23,15","20,30","61,48K","-1,34%"
"20.11.2017","22,40","21,00","22,60","21,00","26,13K","2,75%"
"17.11.2017","21,80","22,45","22,45","21,50","19,25K","0,23%"
"16.11.2017","21,75","22,00","22,10","21,40","16,78K","2,11%"
"15.11.2017","21,30","21,55","22,95","21,10","45,81K","-1,84%"
"14.11.2017","21,70","21,55","23,00","21,00","96,86K","0,70%"
"13.11.2017","21,55","22,80","22,80","21,05","18,91K","-2,05%"
"10.11.2017","22,00","21,85","22,40","21,50","30,30K","-0,68%"
"09.11.2017","22,15","22,60","22,60","21,95","36,86K","-1,12%"
"08.11.2017","22,40","22,10","22,95","22,00","18,72K","0,67%"
"07.11.2017","22,25","22,50","22,65","22,05","60,23K","-0,67%"
"06.11.2017","22,40","22,70","23,70","22,10","164,64K","-0,67%"
"03.11.2017","22,55","21,00","22,95","21,00","261,50K","7,89%"
"02.11.2017","20,90","20,15","21,10","20,00","57,63K","3,72%"
"01.11.2017","20,15","20,20","20,50","19,90","51,37K","-0,25%"
"31.10.2017","20,20","20,30","20,75","19,80","54,93K","-0,49%"
"30.10.2017","20,30","20,15","20,85","20,00","41,74K","-0,73%"
"27.10.2017","20,45","21,20","21,20","20,15","17,70K","0,74%"
"26.10.2017","20,30","20,20","20,80","20,20","21,28K","-1,22%"
"25.10.2017","20,55","21,50","21,50","20,40","28,62K","-2,38%"
"24.10.2017","21,05","21,75","21,75","20,55","52,18K","0,72%"
"23.10.2017","20,90","20,25","22,15","20,25","27,21K","0,24%"
"19.10.2017","20,85","20,90","21,50","20,55","9,32K","-0,24%"
"18.10.2017","20,90","21,95","21,95","20,50","19,53K","-1,18%"
"17.10.2017","21,15","21,85","22,00","21,10","19,85K","-2,53%"
"16.10.2017","21,70","22,70","23,05","21,55","52,31K","-4,41%"
"13.10.2017","22,70","22,35","23,00","22,15","37,10K","2,25%"
"12.10.2017","22,20","21,20","22,90","21,20","45,21K","3,98%"
"11.10.2017","21,35","22,70","23,40","21,25","51,16K","-5,32%"
"10.10.2017","22,55","22,30","23,50","21,30","151,94K","4,40%"
"09.10.2017","21,60","20,00","21,60","19,10","198,81K","9,92%"
"06.10.2017","19,65","19,00","20,00","19,00","26,02K","2,08%"
"05.10.2017","19,25","20,40","20,40","19,00","25,98K","-1,03%"
"04.10.2017","19,45","19,40","19,70","19,25","10,01K","0,52%"
"03.10.2017","19,35","20,00","20,00","19,05","19,85K","-1,02%"
"29.09.2017","19,55","19,80","20,00","19,50","38,34K","-0,26%"
"28.09.2017","19,60","19,90","20,45","19,50","28,93K","-1,51%"
"27.09.2017","19,90","21,00","21,00","19,80","29,11K","-1,24%"
"26.09.2017","20,15","20,65","20,65","20,00","19,35K","-3,36%"
"25.09.2017","20,85","21,55","22,80","20,80","49,99K","-4,58%"
"22.09.2017","21,85","22,30","22,50","21,80","41,69K","-2,02%"
"21.09.2017","22,30","22,60","22,70","22,10","13,87K","-1,33%"
"20.09.2017","22,60","22,70","23,60","22,10","77,93K","0,44%"
"19.09.2017","22,50","23,00","23,40","22,25","22,90K","-1,10%"
"18.09.2017","22,75","21,80","22,85","21,50","60,72K","4,36%"
"15.09.2017","21,80","22,50","22,50","21,55","26,95K","-1,36%"
"14.09.2017","22,10","22,00","22,50","21,80","26,00K","0,91%"
"13.09.2017","21,90","22,80","22,80","21,55","151,95K","-3,31%"
"12.09.2017","22,65","22,55","22,85","21,65","49,10K","0,44%"
