"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","1.677,15","1.693,40","1.697,35","1.654,55","28,58K","-0,15%"
"28.12.2018","1.679,65","1.679,00","1.699,50","1.650,00","32,42K","-0,64%"
"27.12.2018","1.690,45","1.621,00","1.715,00","1.621,00","32,34K","3,23%"
"26.12.2018","1.637,55","1.609,05","1.650,00","1.578,10","17,29K","0,42%"
"24.12.2018","1.630,75","1.601,05","1.640,00","1.601,05","5,69K","1,16%"
"21.12.2018","1.612,05","1.630,05","1.644,95","1.607,20","36,10K","-1,10%"
"20.12.2018","1.630,05","1.634,50","1.639,70","1.617,15","22,09K","-0,83%"
"19.12.2018","1.643,75","1.634,80","1.648,45","1.621,40","34,08K","0,32%"
"18.12.2018","1.638,50","1.621,60","1.640,00","1.606,00","28,20K","1,04%"
"17.12.2018","1.621,60","1.621,40","1.640,00","1.595,05","40,03K","0,01%"
"14.12.2018","1.621,40","1.641,25","1.646,45","1.603,05","14,07K","-1,21%"
"13.12.2018","1.641,25","1.670,00","1.680,10","1.630,00","14,43K","-1,01%"
"12.12.2018","1.658,05","1.624,40","1.680,00","1.572,40","43,41K","2,29%"
"11.12.2018","1.620,90","1.679,90","1.679,90","1.602,00","32,36K","-2,31%"
"10.12.2018","1.659,25","1.659,20","1.676,90","1.630,05","3,31K","-1,04%"
"07.12.2018","1.676,65","1.657,70","1.703,70","1.657,70","7,37K","-0,15%"
"06.12.2018","1.679,10","1.676,00","1.681,15","1.643,70","9,21K","-0,71%"
"05.12.2018","1.691,15","1.740,50","1.740,50","1.679,15","14,66K","-2,90%"
"04.12.2018","1.741,70","1.718,85","1.750,00","1.703,50","35,69K","1,00%"
"03.12.2018","1.724,45","1.699,85","1.775,00","1.683,40","43,69K","1,45%"
"30.11.2018","1.699,85","1.600,00","1.705,00","1.585,00","190,26K","5,08%"
"29.11.2018","1.617,70","1.620,00","1.627,45","1.600,10","39,37K","1,46%"
"28.11.2018","1.594,45","1.568,00","1.610,00","1.545,35","11,80K","3,13%"
"27.11.2018","1.546,00","1.531,10","1.567,35","1.530,00","51,93K","-0,38%"
"26.11.2018","1.551,90","1.575,00","1.588,85","1.531,10","17,26K","-1,17%"
"22.11.2018","1.570,30","1.570,00","1.590,05","1.555,50","28,86K","-1,45%"
"21.11.2018","1.593,40","1.635,00","1.635,00","1.571,70","187,20K","-2,90%"
"20.11.2018","1.641,05","1.672,00","1.673,30","1.625,00","53,18K","-2,40%"
"19.11.2018","1.681,35","1.724,90","1.724,90","1.673,00","9,55K","-0,01%"
"16.11.2018","1.681,55","1.655,40","1.697,95","1.655,40","13,75K","0,80%"
"15.11.2018","1.668,20","1.685,55","1.694,80","1.655,30","8,30K","-1,31%"
"14.11.2018","1.690,40","1.719,00","1.719,00","1.680,55","3,88K","-0,58%"
"13.11.2018","1.700,20","1.675,00","1.712,50","1.670,10","7,58K","-0,14%"
"12.11.2018","1.702,55","1.749,95","1.753,10","1.681,50","7,18K","10,55%"
"11.11.2018","1.540,05","1.546,50","1.546,50","1.540,05","22,26K","-12,10%"
"09.11.2018","1.752,00","1.717,05","1.783,20","1.711,60","36,82K","2,03%"
"07.11.2018","1.717,20","1.730,00","1.735,00","1.709,25","0,58K","-0,45%"
"06.11.2018","1.724,95","1.705,20","1.731,70","1.701,05","5,94K","0,22%"
"05.11.2018","1.721,10","1.732,00","1.735,00","1.678,00","10,36K","0,73%"
"02.11.2018","1.708,65","1.733,00","1.733,00","1.644,50","229,92K","1,37%"
"01.11.2018","1.685,50","1.726,65","1.733,35","1.670,00","44,55K","-1,60%"
"31.10.2018","1.712,90","1.714,35","1.764,35","1.682,35","109,42K","-1,05%"
"30.10.2018","1.731,10","1.692,90","1.774,80","1.692,85","32,16K","1,31%"
"29.10.2018","1.708,65","1.692,90","1.713,00","1.660,85","11,00K","0,56%"
"26.10.2018","1.699,15","1.613,70","1.774,70","1.575,50","31,57K","4,36%"
"25.10.2018","1.628,20","1.559,50","1.630,00","1.549,90","36,51K","2,74%"
"24.10.2018","1.584,85","1.518,70","1.597,00","1.508,20","22,18K","4,68%"
"23.10.2018","1.514,05","1.474,55","1.525,05","1.474,55","10,66K","1,14%"
"22.10.2018","1.497,00","1.520,50","1.540,00","1.480,00","14,42K","-1,80%"
"19.10.2018","1.524,50","1.565,00","1.565,50","1.508,05","20,37K","-3,46%"
"17.10.2018","1.579,20","1.592,15","1.605,20","1.556,00","12,84K","-0,59%"
"16.10.2018","1.588,60","1.594,95","1.596,00","1.560,00","15,03K","1,26%"
"15.10.2018","1.568,90","1.545,00","1.599,95","1.480,00","27,22K","3,33%"
"12.10.2018","1.518,40","1.509,70","1.534,95","1.491,75","100,83K","2,46%"
"11.10.2018","1.481,90","1.498,35","1.500,00","1.453,20","94,66K","-2,58%"
"10.10.2018","1.521,10","1.533,00","1.535,00","1.502,55","89,51K","-0,45%"
"09.10.2018","1.527,90","1.584,00","1.594,20","1.500,00","73,64K","-3,58%"
"08.10.2018","1.584,65","1.697,95","1.697,95","1.564,25","80,34K","-6,67%"
"05.10.2018","1.697,95","1.703,00","1.716,50","1.687,00","41,83K","-0,30%"
"04.10.2018","1.703,00","1.720,05","1.734,75","1.693,00","101,22K","-2,20%"
"03.10.2018","1.741,25","1.721,10","1.759,20","1.717,00","35,44K","0,08%"
"01.10.2018","1.739,80","1.751,50","1.769,95","1.714,75","30,96K","-2,15%"
"28.09.2018","1.778,10","1.760,00","1.800,95","1.723,30","55,36K","1,75%"
"27.09.2018","1.747,55","1.750,00","1.770,00","1.736,30","13,00K","-0,90%"
"26.09.2018","1.763,35","1.740,00","1.789,00","1.737,00","15,34K","1,43%"
"25.09.2018","1.738,45","1.730,00","1.770,20","1.715,05","18,07K","0,19%"
"24.09.2018","1.735,15","1.780,00","1.788,00","1.714,05","32,38K","-2,96%"
"21.09.2018","1.788,00","1.825,00","1.825,00","1.644,60","74,87K","-0,46%"
"19.09.2018","1.796,35","1.751,00","1.824,85","1.732,00","315,60K","2,59%"
"18.09.2018","1.750,95","1.744,00","1.778,30","1.735,15","24,65K","-0,91%"
"17.09.2018","1.767,00","1.759,50","1.794,00","1.745,10","11,80K","0,20%"
"14.09.2018","1.763,50","1.767,80","1.789,05","1.722,00","37,77K","-0,24%"
"12.09.2018","1.767,80","1.742,55","1.775,00","1.703,00","27,97K","1,45%"
"11.09.2018","1.742,55","1.754,70","1.769,50","1.719,10","9,40K","-1,08%"
"10.09.2018","1.761,60","1.735,50","1.772,10","1.715,75","107,96K","1,75%"
"07.09.2018","1.731,30","1.770,50","1.770,50","1.720,05","17,61K","-1,91%"
"06.09.2018","1.764,95","1.754,00","1.778,35","1.708,50","21,64K","0,60%"
"05.09.2018","1.754,40","1.699,50","1.770,00","1.661,00","17,50K","3,23%"
"04.09.2018","1.699,45","1.710,00","1.725,10","1.690,00","6,79K","-0,90%"
"03.09.2018","1.714,90","1.780,00","1.780,00","1.706,00","12,51K","-2,49%"
"31.08.2018","1.758,75","1.730,45","1.772,00","1.710,00","22,50K","1,69%"
"30.08.2018","1.729,45","1.700,75","1.740,05","1.697,15","8,60K","1,69%"
"29.08.2018","1.700,75","1.721,00","1.742,30","1.690,20","10,77K","-1,56%"
"28.08.2018","1.727,75","1.719,00","1.745,00","1.697,00","16,98K","0,14%"
"27.08.2018","1.725,30","1.728,00","1.751,95","1.705,00","18,59K","0,41%"
"24.08.2018","1.718,25","1.765,55","1.776,40","1.710,00","20,89K","-2,44%"
"23.08.2018","1.761,20","1.815,00","1.815,00","1.751,00","18,09K","-1,78%"
"21.08.2018","1.793,20","1.795,00","1.814,25","1.777,75","33,29K","0,43%"
"20.08.2018","1.785,45","1.850,00","1.857,25","1.778,70","23,53K","-2,16%"
"17.08.2018","1.824,85","1.799,00","1.843,05","1.797,35","28,83K","2,08%"
"16.08.2018","1.787,70","1.765,50","1.880,00","1.765,50","66,79K","-0,31%"
"14.08.2018","1.793,25","1.712,00","1.820,00","1.698,65","39,87K","5,09%"
"13.08.2018","1.706,40","1.714,40","1.718,00","1.655,00","27,86K","-0,47%"
"10.08.2018","1.714,40","1.770,85","1.785,90","1.691,50","34,62K","-2,51%"
"09.08.2018","1.758,55","1.800,00","1.800,00","1.735,00","12,93K","-1,65%"
"08.08.2018","1.788,00","1.785,05","1.849,00","1.771,25","58,91K","1,84%"
"07.08.2018","1.755,75","1.725,00","1.795,00","1.705,05","24,86K","1,93%"
"06.08.2018","1.722,55","1.707,00","1.731,55","1.705,10","7,48K","1,27%"
"03.08.2018","1.701,00","1.708,50","1.740,00","1.692,00","73,98K","-0,02%"
"02.08.2018","1.701,30","1.694,00","1.719,00","1.686,00","148,18K","1,14%"
"01.08.2018","1.682,05","1.635,00","1.698,00","1.635,00","35,87K","1,94%"
"31.07.2018","1.650,00","1.641,40","1.654,45","1.633,50","22,52K","-0,11%"
"30.07.2018","1.651,75","1.649,25","1.660,00","1.627,70","22,90K","0,15%"
"27.07.2018","1.649,25","1.655,00","1.657,50","1.638,00","22,77K","0,32%"
"26.07.2018","1.644,00","1.661,00","1.661,00","1.605,10","15,29K","-0,28%"
"25.07.2018","1.648,55","1.599,00","1.658,00","1.589,00","52,47K","3,04%"
"24.07.2018","1.599,90","1.583,60","1.613,95","1.580,85","59,91K","0,32%"
"23.07.2018","1.594,75","1.599,95","1.604,10","1.571,45","8,04K","-0,33%"
"20.07.2018","1.599,95","1.606,70","1.614,50","1.555,10","26,24K","0,14%"
"19.07.2018","1.597,70","1.599,50","1.614,55","1.582,00","6,05K","-0,47%"
"18.07.2018","1.605,30","1.594,05","1.634,40","1.565,80","8,82K","0,99%"
"17.07.2018","1.589,55","1.540,00","1.598,40","1.506,60","11,21K","3,13%"
"16.07.2018","1.541,35","1.619,05","1.625,80","1.529,10","23,68K","-4,04%"
"13.07.2018","1.606,20","1.639,60","1.640,20","1.600,00","16,33K","-1,62%"
"12.07.2018","1.632,70","1.647,05","1.668,10","1.611,00","13,14K","-0,87%"
"11.07.2018","1.647,05","1.619,50","1.708,00","1.618,20","178,27K","2,27%"
"10.07.2018","1.610,50","1.581,05","1.624,30","1.573,50","13,78K","1,89%"
"09.07.2018","1.580,65","1.522,00","1.589,00","1.522,00","10,97K","2,53%"
"06.07.2018","1.541,60","1.551,00","1.569,00","1.532,05","5,70K","-0,57%"
"05.07.2018","1.550,40","1.550,00","1.564,65","1.526,00","8,20K","0,06%"
"04.07.2018","1.549,45","1.511,60","1.570,00","1.489,55","134,26K","2,23%"
"03.07.2018","1.515,65","1.524,00","1.532,70","1.481,65","62,43K","-0,55%"
"02.07.2018","1.524,00","1.495,00","1.539,90","1.486,10","11,05K","1,59%"
"29.06.2018","1.500,10","1.491,00","1.507,50","1.484,60","30,14K","0,71%"
"28.06.2018","1.489,55","1.480,15","1.496,50","1.440,10","53,62K","0,64%"
"27.06.2018","1.480,15","1.507,00","1.521,95","1.478,00","48,81K","-1,93%"
"26.06.2018","1.509,25","1.530,75","1.530,75","1.483,70","13,72K","-1,53%"
"25.06.2018","1.532,75","1.511,00","1.540,00","1.511,00","8,81K","0,93%"
"22.06.2018","1.518,60","1.544,45","1.550,00","1.502,35","187,83K","-1,74%"
"21.06.2018","1.545,55","1.554,25","1.554,25","1.516,15","65,73K","-0,26%"
"20.06.2018","1.549,55","1.548,00","1.571,10","1.537,00","42,86K","0,75%"
"19.06.2018","1.538,00","1.515,00","1.551,75","1.499,90","81,54K","1,65%"
"18.06.2018","1.513,00","1.529,00","1.547,85","1.500,50","12,23K","-2,36%"
"15.06.2018","1.549,60","1.572,00","1.602,75","1.531,15","35,19K","-1,36%"
"14.06.2018","1.570,90","1.561,95","1.598,00","1.534,55","186,53K","2,11%"
"13.06.2018","1.538,45","1.565,00","1.565,00","1.530,25","23,02K","-0,75%"
"12.06.2018","1.550,05","1.553,95","1.560,00","1.527,00","17,99K","0,12%"
"11.06.2018","1.548,20","1.531,00","1.565,00","1.523,50","22,07K","0,16%"
"08.06.2018","1.545,65","1.539,50","1.553,95","1.533,00","38,24K","-0,21%"
"07.06.2018","1.548,85","1.572,00","1.592,00","1.536,45","98,32K","-0,06%"
"06.06.2018","1.549,85","1.564,30","1.564,30","1.545,00","17,56K","-0,33%"
"05.06.2018","1.554,95","1.559,90","1.563,85","1.545,05","12,04K","-0,03%"
"04.06.2018","1.555,40","1.571,60","1.578,35","1.538,00","90,22K","-0,44%"
"01.06.2018","1.562,20","1.556,15","1.580,00","1.519,95","6,96K","1,29%"
"31.05.2018","1.542,25","1.599,00","1.599,00","1.536,50","33,91K","-2,08%"
"30.05.2018","1.575,00","1.586,00","1.605,00","1.560,80","19,52K","-0,53%"
"29.05.2018","1.583,45","1.591,35","1.625,95","1.578,00","82,62K","0,30%"
"28.05.2018","1.578,70","1.565,85","1.604,95","1.565,75","25,21K","0,82%"
"25.05.2018","1.565,85","1.550,00","1.574,05","1.539,50","84,82K","0,37%"
"24.05.2018","1.560,10","1.557,95","1.600,00","1.553,10","28,44K","0,14%"
"23.05.2018","1.557,95","1.559,40","1.562,95","1.520,00","24,95K","-0,09%"
"22.05.2018","1.559,40","1.548,55","1.560,35","1.531,55","51,35K","1,61%"
"21.05.2018","1.534,70","1.585,00","1.585,00","1.525,00","28,51K","-1,90%"
"18.05.2018","1.564,40","1.575,00","1.600,00","1.548,15","103,56K","-0,16%"
"17.05.2018","1.566,85","1.528,00","1.608,40","1.513,00","160,29K","3,75%"
"16.05.2018","1.510,25","1.470,20","1.520,90","1.435,80","178,09K","2,74%"
"15.05.2018","1.470,00","1.461,60","1.480,00","1.456,20","4,84K","0,40%"
"14.05.2018","1.464,10","1.456,50","1.468,00","1.450,00","37,54K","0,12%"
"11.05.2018","1.462,35","1.449,60","1.470,00","1.424,75","22,57K","1,60%"
"10.05.2018","1.439,35","1.447,45","1.447,45","1.429,75","19,16K","-0,71%"
"09.05.2018","1.449,70","1.455,00","1.455,00","1.440,05","10,94K","0,14%"
"08.05.2018","1.447,70","1.440,85","1.454,00","1.430,00","17,04K","0,53%"
"07.05.2018","1.440,10","1.410,00","1.443,85","1.399,40","7,73K","2,21%"
"04.05.2018","1.409,00","1.401,55","1.420,40","1.392,05","9,68K","-0,59%"
"03.05.2018","1.417,30","1.418,40","1.427,75","1.392,05","9,86K","-0,08%"
"02.05.2018","1.418,40","1.450,00","1.450,00","1.415,00","11,17K","-1,76%"
"30.04.2018","1.443,85","1.436,10","1.448,00","1.430,05","20,17K","0,57%"
"27.04.2018","1.435,65","1.428,90","1.440,05","1.409,70","29,03K","1,58%"
"26.04.2018","1.413,35","1.408,70","1.429,00","1.391,05","14,73K","0,63%"
"25.04.2018","1.404,55","1.419,10","1.421,85","1.403,05","11,85K","-1,44%"
"24.04.2018","1.425,05","1.400,00","1.432,30","1.400,00","5,22K","0,53%"
"23.04.2018","1.417,60","1.417,20","1.433,45","1.396,05","20,40K","0,18%"
"20.04.2018","1.415,10","1.440,00","1.440,00","1.407,00","12,37K","-1,49%"
"19.04.2018","1.436,45","1.414,70","1.440,00","1.405,00","8,08K","1,62%"
"18.04.2018","1.413,55","1.430,00","1.430,00","1.389,00","48,55K","-0,70%"
"17.04.2018","1.423,55","1.436,00","1.440,00","1.415,00","16,89K","-0,43%"
