"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","3,900","3,800","3,900","3,750","3,68M","4,00%"
"28.12.2018","3,750","3,700","3,850","3,650","2,09M","1,35%"
"27.12.2018","3,700","3,750","3,800","3,650","942,10K","0,00%"
"26.12.2018","3,700","3,700","3,750","3,600","1,14M","0,00%"
"24.12.2018","3,700","3,750","3,750","3,600","1,75M","1,37%"
"21.12.2018","3,650","3,750","3,750","3,600","1,02M","-1,35%"
"20.12.2018","3,700","3,750","3,750","3,600","1,18M","1,37%"
"19.12.2018","3,650","3,500","3,650","3,450","1,44M","4,29%"
"18.12.2018","3,500","3,400","3,500","3,400","2,15M","0,00%"
"17.12.2018","3,500","3,700","3,700","3,450","1,95M","-2,78%"
"14.12.2018","3,600","3,700","3,750","3,600","1,50M","-4,00%"
"13.12.2018","3,750","3,850","3,900","3,650","3,67M","0,00%"
"12.12.2018","3,750","3,600","3,750","3,600","2,36M","4,17%"
"11.12.2018","3,600","3,500","3,750","3,500","2,32M","-1,37%"
"10.12.2018","3,650","3,650","3,700","3,650","1,83M","-3,95%"
"07.12.2018","3,800","3,900","3,900","3,750","2,36M","-2,56%"
"06.12.2018","3,900","3,950","3,950","3,650","15,91M","2,63%"
"05.12.2018","3,800","3,800","3,800","3,800","491,82K","4,11%"
"04.12.2018","3,650","3,650","3,650","3,650","309,32K","4,29%"
"03.12.2018","3,500","3,500","3,500","3,500","324,95K","4,48%"
"30.11.2018","3,350","3,350","3,350","3,350","918,83K","4,69%"
"29.11.2018","3,200","3,050","3,200","3,000","4,22M","4,92%"
"28.11.2018","3,050","3,150","3,200","2,950","4,00M","-1,61%"
"27.11.2018","3,100","3,150","3,200","3,100","1,77M","0,00%"
"26.11.2018","3,100","3,150","3,150","3,100","1,02M","-1,59%"
"22.11.2018","3,150","3,150","3,200","3,100","1,49M","0,00%"
"21.11.2018","3,150","3,250","3,250","3,100","2,35M","-1,56%"
"20.11.2018","3,200","3,250","3,250","3,200","796,44K","0,00%"
"19.11.2018","3,200","3,250","3,250","3,150","1,28M","0,00%"
"16.11.2018","3,200","3,250","3,350","3,150","1,14M","0,00%"
"15.11.2018","3,200","3,250","3,350","3,200","1,87M","-1,54%"
"14.11.2018","3,250","3,150","3,300","3,100","1,28M","3,17%"
"13.11.2018","3,150","3,150","3,250","3,100","1,42M","0,00%"
"12.11.2018","3,150","3,200","3,250","3,100","1,63M","-1,56%"
"09.11.2018","3,200","3,300","3,300","3,200","1,86M","-1,54%"
"07.11.2018","3,250","3,250","3,300","3,150","1,15M","3,17%"
"06.11.2018","3,150","3,200","3,200","3,100","2,41M","1,61%"
"05.11.2018","3,100","3,250","3,300","3,050","3,05M","-3,13%"
"02.11.2018","3,200","3,400","3,450","3,200","3,08M","-3,03%"
"01.11.2018","3,300","3,200","3,300","3,100","3,85M","4,76%"
"31.10.2018","3,150","3,000","3,200","2,950","2,44M","3,28%"
"30.10.2018","3,050","3,250","3,250","3,050","3,20M","-4,69%"
"29.10.2018","3,200","3,000","3,250","2,950","5,10M","3,23%"
"26.10.2018","3,100","3,300","3,300","3,100","3,59M","-4,62%"
"25.10.2018","3,250","2,950","3,250","2,950","5,08M","4,84%"
"24.10.2018","3,100","3,100","3,150","3,100","1,22M","-4,62%"
"23.10.2018","3,250","3,250","3,350","3,250","1,61M","-4,41%"
"22.10.2018","3,400","3,400","3,500","3,400","2,54M","-4,23%"
"19.10.2018","3,550","3,550","3,550","3,550","297,87K","-4,05%"
"17.10.2018","3,700","3,900","3,950","3,700","1,78M","-3,90%"
"16.10.2018","3,850","3,850","3,850","3,700","3,24M","4,05%"
"15.10.2018","3,700","3,550","3,700","3,550","806,94K","4,23%"
"12.10.2018","3,550","3,400","3,600","3,300","2,47M","2,90%"
"11.10.2018","3,450","3,450","3,450","3,450","344,30K","-4,17%"
"10.10.2018","3,600","3,750","3,850","3,600","2,26M","-4,00%"
"09.10.2018","3,750","3,850","3,900","3,650","1,96M","-1,32%"
"08.10.2018","3,800","3,900","3,900","3,600","2,21M","1,33%"
"05.10.2018","3,750","3,600","3,750","3,600","852,98K","4,17%"
"04.10.2018","3,600","3,350","3,600","3,350","1,67M","4,35%"
"03.10.2018","3,450","3,350","3,450","3,300","816,39K","4,55%"
"01.10.2018","3,300","3,400","3,450","3,200","1,76M","-1,49%"
"28.09.2018","3,350","3,200","3,350","3,050","3,06M","4,69%"
"27.09.2018","3,200","3,300","3,400","3,200","1,86M","-4,48%"
"26.09.2018","3,350","3,400","3,450","3,350","1,31M","-4,29%"
"25.09.2018","3,500","3,600","3,600","3,500","1,31M","-4,11%"
"24.09.2018","3,650","3,900","3,900","3,650","2,17M","-3,95%"
"21.09.2018","3,800","4,000","4,100","3,800","3,63M","-3,80%"
"19.09.2018","3,950","4,100","4,150","3,950","1,47M","-2,47%"
"18.09.2018","4,050","4,250","4,400","4,000","3,02M","-3,57%"
"17.09.2018","4,200","4,100","4,200","4,050","3,17M","5,00%"
"14.09.2018","4,000","4,000","4,000","3,900","622,62K","3,90%"
"12.09.2018","3,850","3,900","3,950","3,800","1,68M","-2,53%"
