"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","742,85","736,10","744,55","734,80","226,20K","1,10%"
"28.12.2018","734,80","739,50","744,00","732,00","359,24K","-0,15%"
"27.12.2018","735,90","733,20","739,70","730,30","269,07K","0,56%"
"26.12.2018","731,80","743,50","744,20","727,95","504,21K","-1,86%"
"24.12.2018","745,70","752,50","753,00","738,30","335,62K","0,33%"
"21.12.2018","743,25","742,05","749,95","737,00","539,00K","-0,32%"
"20.12.2018","745,65","748,00","754,25","741,15","241,50K","-0,49%"
"19.12.2018","749,35","741,55","758,00","728,65","603,11K","2,07%"
"18.12.2018","734,15","736,00","748,00","730,60","330,22K","-0,47%"
"17.12.2018","737,60","741,90","741,90","723,50","334,65K","0,42%"
"14.12.2018","734,55","730,40","738,90","725,25","229,71K","0,77%"
"13.12.2018","728,95","734,00","742,00","720,75","290,50K","-0,48%"
"12.12.2018","732,45","718,85","738,30","717,85","420,26K","1,88%"
"11.12.2018","718,90","685,00","724,00","685,00","376,17K","3,08%"
"10.12.2018","697,45","697,00","701,25","683,05","421,86K","-0,82%"
"07.12.2018","703,25","704,00","710,50","695,00","254,88K","0,03%"
"06.12.2018","703,05","709,00","711,00","686,85","642,13K","-0,84%"
"05.12.2018","709,00","712,80","714,95","705,60","284,80K","-0,67%"
"04.12.2018","713,75","715,90","721,00","710,70","349,54K","-0,24%"
"03.12.2018","715,45","711,15","721,00","709,75","524,25K","0,87%"
"30.11.2018","709,25","726,80","728,15","707,00","857,27K","-2,03%"
"29.11.2018","723,95","738,30","738,65","713,20","725,18K","-0,94%"
"28.11.2018","730,80","742,65","748,70","727,25","959,30K","-0,73%"
"27.11.2018","736,15","725,85","740,00","714,95","652,87K","1,96%"
"26.11.2018","722,00","718,55","724,40","705,00","445,31K","0,89%"
"22.11.2018","715,65","731,00","736,00","713,50","566,18K","-1,49%"
"21.11.2018","726,45","725,00","731,00","714,00","654,15K","0,08%"
"20.11.2018","725,90","730,00","735,65","723,00","237,23K","-0,91%"
"19.11.2018","732,55","737,90","742,00","726,40","296,01K","-0,16%"
"16.11.2018","733,75","738,00","742,10","718,30","341,61K","-0,47%"
"15.11.2018","737,25","738,35","742,85","731,80","239,78K","0,15%"
"14.11.2018","736,15","745,00","752,00","733,30","373,18K","-0,98%"
"13.11.2018","743,40","755,00","763,20","731,65","484,15K","-1,88%"
"12.11.2018","757,65","772,50","781,50","755,50","372,99K","-1,92%"
"09.11.2018","772,50","780,00","783,10","759,85","1,31M","-0,84%"
"07.11.2018","779,05","781,90","785,00","775,10","79,66K","0,75%"
"06.11.2018","773,25","773,90","782,20","765,90","325,59K","0,47%"
"05.11.2018","769,60","796,00","806,75","765,90","1,41M","-2,68%"
"02.11.2018","790,80","751,95","796,00","751,20","862,82K","5,94%"
"01.11.2018","746,45","749,00","753,45","736,55","466,69K","0,23%"
"31.10.2018","744,75","753,20","760,95","739,70","863,73K","-1,12%"
"30.10.2018","753,20","760,05","772,50","748,45","275,80K","-1,45%"
