"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","240,75","242,70","244,40","240,10","3,55M","-0,64%"
"28.12.2018","242,30","242,90","243,35","239,75","10,58M","-3,16%"
"27.12.2018","250,20","249,50","254,00","243,85","26,01M","1,28%"
"26.12.2018","247,05","248,30","250,40","246,00","5,07M","-0,50%"
"24.12.2018","248,30","254,00","254,00","246,90","4,37M","-1,76%"
"21.12.2018","252,75","250,90","253,35","247,15","12,80M","0,88%"
"20.12.2018","250,55","248,60","254,50","248,00","8,60M","-0,18%"
"19.12.2018","251,00","252,70","253,30","250,00","5,29M","-0,34%"
"18.12.2018","251,85","252,50","253,85","249,05","6,48M","0,16%"
"17.12.2018","251,45","249,10","253,70","246,20","9,69M","1,74%"
"14.12.2018","247,15","244,55","250,40","242,00","7,52M","1,06%"
"13.12.2018","244,55","249,00","249,00","243,00","6,80M","-0,99%"
"12.12.2018","247,00","241,50","247,75","239,80","9,12M","2,02%"
"11.12.2018","242,10","233,75","244,05","233,75","8,50M","1,66%"
"10.12.2018","238,15","234,75","239,10","228,35","17,42M","0,59%"
"07.12.2018","236,75","241,95","242,45","236,50","6,10M","-1,60%"
"06.12.2018","240,60","244,50","245,65","239,80","4,38M","-1,92%"
"05.12.2018","245,30","251,50","252,45","244,00","3,58M","-2,76%"
"04.12.2018","252,25","248,90","254,00","248,20","4,53M","1,31%"
"03.12.2018","249,00","246,00","251,80","245,35","6,68M","1,67%"
"30.11.2018","244,90","247,00","248,40","239,05","12,79M","-0,81%"
"29.11.2018","246,90","250,00","250,60","241,00","18,39M","-0,38%"
"28.11.2018","247,85","252,50","253,75","247,25","8,25M","-1,61%"
"27.11.2018","251,90","252,50","254,20","250,15","4,37M","0,46%"
"26.11.2018","250,75","256,95","258,50","247,20","9,86M","-2,30%"
"22.11.2018","256,65","261,00","261,40","256,10","2,68M","-1,65%"
"21.11.2018","260,95","261,50","263,20","260,25","4,77M","-0,19%"
"20.11.2018","261,45","264,00","265,60","261,00","4,25M","-1,02%"
"19.11.2018","264,15","264,50","264,70","262,65","3,19M","0,19%"
"16.11.2018","263,65","264,00","265,80","261,30","3,07M","0,19%"
"15.11.2018","263,15","265,75","266,50","262,10","1,92M","-0,98%"
"14.11.2018","265,75","267,00","267,00","263,75","2,57M","0,08%"
"13.11.2018","265,55","267,50","268,70","264,15","6,90M","0,63%"
"12.11.2018","263,90","270,00","271,40","263,20","4,68M","-1,69%"
