"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","41,50","41,15","42,30","41,10","18,35K","0,00%"
"28.12.2018","41,50","41,05","42,50","41,00","26,64K","1,22%"
"27.12.2018","41,00","41,05","41,45","40,75","14,11K","0,12%"
"26.12.2018","40,95","41,30","41,30","40,50","17,23K","-0,85%"
"24.12.2018","41,30","42,25","42,25","41,00","13,52K","-2,48%"
"21.12.2018","42,35","43,50","44,40","42,15","28,35K","-3,86%"
"20.12.2018","44,05","43,75","44,45","43,30","21,14K","1,26%"
"19.12.2018","43,50","42,05","44,50","41,75","57,02K","4,44%"
"18.12.2018","41,65","41,50","42,15","40,95","11,38K","0,60%"
"17.12.2018","41,40","42,00","42,20","40,85","95,35K","-0,48%"
"14.12.2018","41,60","42,05","42,95","40,35","48,89K","-2,23%"
"13.12.2018","42,55","43,45","44,35","42,35","45,63K","-0,35%"
"12.12.2018","42,70","38,90","45,00","38,90","246,42K","9,49%"
"11.12.2018","39,00","38,70","39,80","36,95","27,61K","1,43%"
"10.12.2018","38,45","37,55","39,50","34,95","38,92K","1,99%"
"07.12.2018","37,70","40,30","40,50","36,60","47,92K","-6,34%"
"06.12.2018","40,25","40,60","40,85","40,00","13,48K","-0,98%"
"05.12.2018","40,65","41,05","42,15","40,50","12,41K","-2,63%"
"04.12.2018","41,75","40,25","42,90","40,25","46,13K","-0,36%"
"03.12.2018","41,90","40,55","42,40","40,00","77,63K","4,23%"
"30.11.2018","40,20","39,45","41,10","39,45","20,34K","0,88%"
"29.11.2018","39,85","40,20","40,80","39,55","46,81K","-1,48%"
"28.11.2018","40,45","40,65","42,10","40,00","71,93K","-1,10%"
"27.11.2018","40,90","41,05","42,50","40,60","128,08K","-0,97%"
"26.11.2018","41,30","42,60","43,30","41,05","22,04K","-3,28%"
"22.11.2018","42,70","42,60","43,55","42,05","58,04K","-0,35%"
"21.11.2018","42,85","43,40","43,70","42,50","52,64K","-1,49%"
"20.11.2018","43,50","43,40","44,00","42,90","13,04K","-0,91%"
"19.11.2018","43,90","44,50","45,05","43,60","18,98K","-1,24%"
"16.11.2018","44,45","46,20","46,80","44,25","30,68K","-4,82%"
"15.11.2018","46,70","46,20","47,10","46,20","21,36K","0,11%"
"14.11.2018","46,65","47,05","48,50","45,60","69,20K","-1,27%"
"13.11.2018","47,25","47,60","47,75","46,25","56,11K","-0,53%"
"12.11.2018","47,50","47,50","51,00","46,35","63,85K","0,42%"
"09.11.2018","47,30","46,40","48,30","45,55","34,75K","3,28%"
"07.11.2018","45,80","46,50","47,75","44,70","25,19K","-1,61%"
"06.11.2018","46,55","44,40","48,50","44,35","132,77K","3,79%"
"05.11.2018","44,85","43,05","46,80","42,10","106,55K","3,10%"
"02.11.2018","43,50","40,95","44,20","40,95","125,69K","7,01%"
"01.11.2018","40,65","39,25","41,50","39,25","59,38K","3,70%"
"31.10.2018","39,20","40,10","40,65","38,70","65,88K","-3,09%"
"30.10.2018","40,45","38,65","40,90","38,60","46,67K","1,63%"
"29.10.2018","39,80","38,05","40,20","37,55","26,10K","5,29%"
"26.10.2018","37,80","39,05","39,05","37,45","320,89K","-3,82%"
"25.10.2018","39,30","39,00","39,85","38,10","309,71K","-1,13%"
"24.10.2018","39,75","38,15","39,90","38,15","26,05K","3,52%"
"23.10.2018","38,40","38,15","38,95","37,60","33,26K","-1,41%"
"22.10.2018","38,95","40,25","40,75","38,50","37,86K","-4,06%"
"19.10.2018","40,60","42,45","42,45","40,10","53,05K","-5,69%"
"17.10.2018","43,05","45,75","46,80","42,70","61,58K","-4,97%"
"16.10.2018","45,30","44,10","46,40","43,25","58,82K","1,34%"
"15.10.2018","44,70","43,05","45,95","41,50","205,78K","3,11%"
"12.10.2018","43,35","41,75","44,65","41,60","358,44K","4,96%"
"11.10.2018","41,30","40,10","41,95","39,75","287,17K","-3,84%"
"10.10.2018","42,95","40,15","44,00","40,15","315,60K","7,91%"
"09.10.2018","39,80","37,45","42,20","36,80","374,89K","5,71%"
"08.10.2018","37,65","40,35","40,45","35,60","372,98K","-5,16%"
"05.10.2018","39,70","39,50","40,95","38,10","393,49K","-1,61%"
"04.10.2018","40,35","41,30","41,30","39,00","309,38K","-3,47%"
"03.10.2018","41,80","43,90","46,50","41,05","344,44K","-4,13%"
"01.10.2018","43,60","40,10","44,00","38,25","313,96K","5,44%"
"28.09.2018","41,35","45,65","46,55","38,60","286,22K","-8,31%"
"27.09.2018","45,10","49,00","49,20","44,10","130,60K","-6,53%"
"26.09.2018","48,25","46,30","48,95","45,85","107,53K","6,04%"
"25.09.2018","45,50","46,45","46,85","42,50","290,31K","-1,62%"
"24.09.2018","46,25","51,00","51,65","43,15","376,54K","-8,78%"
"21.09.2018","50,70","57,45","58,50","47,00","316,97K","-11,60%"
"19.09.2018","57,35","58,00","59,00","57,15","116,68K","-0,26%"
"18.09.2018","57,50","58,25","59,80","56,60","185,46K","0,35%"
"17.09.2018","57,30","58,00","58,50","57,10","107,18K","-2,05%"
"14.09.2018","58,50","59,40","59,90","58,00","225,90K","-1,52%"
"12.09.2018","59,40","59,25","60,00","58,00","122,83K","0,34%"
"11.09.2018","59,20","60,15","61,70","58,50","222,86K","-0,67%"
"10.09.2018","59,60","59,55","60,30","58,05","69,60K","-0,50%"
"07.09.2018","59,90","57,40","61,00","56,50","341,02K","3,45%"
"06.09.2018","57,90","57,00","59,80","54,50","294,89K","1,14%"
"05.09.2018","57,25","57,40","58,50","55,10","254,28K","-1,12%"
"04.09.2018","57,90","60,00","60,00","57,00","152,08K","-3,34%"
"03.09.2018","59,90","59,75","61,25","59,20","63,48K","0,59%"
"31.08.2018","59,55","60,60","61,95","59,25","100,11K","-1,65%"
"30.08.2018","60,55","61,25","62,00","60,15","69,76K","-1,06%"
"29.08.2018","61,20","61,20","62,35","61,00","72,41K","-1,21%"
"28.08.2018","61,95","62,90","63,00","61,30","180,35K","-1,20%"
"27.08.2018","62,70","61,05","63,90","61,05","512,40K","2,53%"
"24.08.2018","61,15","60,10","62,80","59,90","292,30K","1,58%"
"23.08.2018","60,20","62,55","62,85","59,15","169,85K","-4,29%"
"21.08.2018","62,90","64,25","66,85","62,20","997,25K","2,78%"
"20.08.2018","61,20","57,20","68,00","56,50","605,35K","7,65%"
"17.08.2018","56,85","58,70","58,70","56,75","93,69K","-1,73%"
"16.08.2018","57,85","58,55","58,55","57,05","145,13K","-0,43%"
"14.08.2018","58,10","60,05","60,30","56,70","237,97K","-2,76%"
"13.08.2018","59,75","58,50","60,50","56,50","156,58K","1,62%"
"10.08.2018","58,80","60,40","60,40","58,55","107,37K","-2,00%"
"09.08.2018","60,00","59,15","60,50","58,15","151,46K","1,52%"
"08.08.2018","59,10","60,30","60,50","57,90","278,01K","-2,31%"
"07.08.2018","60,50","61,55","61,95","60,10","161,15K","-1,71%"
"06.08.2018","61,55","62,00","64,85","60,00","106,17K","-0,40%"
"03.08.2018","61,80","61,95","62,20","61,20","121,88K","0,41%"
"02.08.2018","61,55","62,35","62,45","61,35","107,55K","-0,97%"
"01.08.2018","62,15","64,30","64,50","61,80","274,95K","-2,89%"
"31.07.2018","64,00","63,65","65,35","63,35","273,79K","0,87%"
"30.07.2018","63,45","63,95","64,45","63,15","80,94K","-0,78%"
"27.07.2018","63,95","64,10","65,10","62,60","324,50K","0,63%"
"26.07.2018","63,55","63,70","64,95","63,20","152,95K","0,32%"
"25.07.2018","63,35","63,25","65,05","63,05","138,20K","-0,08%"
"24.07.2018","63,40","60,20","64,20","59,95","419,88K","5,32%"
"23.07.2018","60,20","61,20","62,20","59,80","162,30K","-1,23%"
"20.07.2018","60,95","62,70","64,90","60,50","142,66K","-2,17%"
"19.07.2018","62,30","64,70","64,80","61,55","71,51K","-2,96%"
"18.07.2018","64,20","66,45","67,25","63,30","129,08K","-1,61%"
"17.07.2018","65,25","68,65","68,65","64,75","72,59K","-2,54%"
"16.07.2018","66,95","70,55","70,95","66,60","133,45K","-4,08%"
"13.07.2018","69,80","71,70","72,65","67,55","311,98K","-1,97%"
"12.07.2018","71,20","72,35","72,95","71,00","267,91K","-0,56%"
"11.07.2018","71,60","68,20","72,30","67,95","877,53K","4,91%"
"10.07.2018","68,25","69,50","70,35","67,50","533,14K","0,37%"
"09.07.2018","68,00","67,40","68,80","65,90","375,23K","3,26%"
"06.07.2018","65,85","65,95","66,70","65,60","172,21K","0,23%"
"05.07.2018","65,70","67,65","68,25","65,30","180,49K","-1,94%"
"04.07.2018","67,00","67,15","67,90","66,90","65,33K","0,60%"
