"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","1.599,05","1.585,15","1.602,85","1.585,15","24,61K","1,04%"
"28.12.2018","1.582,65","1.587,00","1.600,00","1.573,50","50,45K","1,04%"
"27.12.2018","1.566,35","1.578,00","1.592,70","1.560,35","52,38K","0,59%"
"26.12.2018","1.557,20","1.560,10","1.563,75","1.521,60","110,90K","-0,46%"
"24.12.2018","1.564,45","1.570,00","1.590,75","1.557,00","36,69K","-0,77%"
"21.12.2018","1.576,60","1.614,55","1.623,95","1.572,00","44,00K","-2,38%"
"20.12.2018","1.615,10","1.609,00","1.620,00","1.593,80","47,41K","0,20%"
"19.12.2018","1.611,95","1.646,00","1.653,20","1.607,65","60,26K","-1,70%"
"18.12.2018","1.639,75","1.630,00","1.644,00","1.610,00","34,04K","0,26%"
"17.12.2018","1.635,50","1.620,00","1.639,75","1.604,10","30,78K","1,71%"
"14.12.2018","1.608,00","1.615,00","1.632,85","1.590,25","47,47K","0,07%"
"13.12.2018","1.606,95","1.589,65","1.626,85","1.577,80","90,01K","1,53%"
"12.12.2018","1.582,70","1.563,80","1.590,30","1.555,65","58,90K","1,94%"
"11.12.2018","1.552,60","1.518,00","1.564,50","1.476,30","139,17K","-0,15%"
"10.12.2018","1.554,90","1.532,95","1.571,50","1.532,95","117,66K","-0,67%"
"07.12.2018","1.565,45","1.582,00","1.582,00","1.532,35","89,07K","-0,27%"
"06.12.2018","1.569,75","1.591,00","1.592,00","1.562,15","38,80K","-2,10%"
"05.12.2018","1.603,45","1.634,70","1.634,70","1.594,95","46,64K","-2,00%"
"04.12.2018","1.636,15","1.650,05","1.658,00","1.632,00","24,10K","-1,18%"
"03.12.2018","1.655,65","1.642,50","1.660,75","1.637,10","64,23K","1,48%"
"30.11.2018","1.631,55","1.659,00","1.673,60","1.624,30","112,22K","-1,70%"
"29.11.2018","1.659,75","1.621,00","1.670,00","1.620,10","419,93K","2,83%"
"28.11.2018","1.614,00","1.589,00","1.620,00","1.588,00","86,18K","1,87%"
"27.11.2018","1.584,45","1.560,00","1.589,70","1.550,00","109,07K","1,29%"
"26.11.2018","1.564,30","1.530,00","1.567,30","1.530,00","83,56K","2,30%"
