"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","721,10","716,00","724,20","715,40","50,51K","1,24%"
"28.12.2018","712,30","708,95","718,20","708,80","54,93K","0,59%"
"27.12.2018","708,10","696,80","714,30","696,80","93,30K","1,94%"
"26.12.2018","694,65","697,00","698,30","687,00","49,10K","-0,47%"
"24.12.2018","697,95","695,00","705,00","692,75","62,65K","0,32%"
"21.12.2018","695,75","709,95","713,25","693,05","64,22K","-1,45%"
"20.12.2018","706,00","708,95","716,90","703,00","63,99K","-0,32%"
"19.12.2018","708,25","711,00","714,00","692,10","118,34K","-0,01%"
"18.12.2018","708,35","714,95","715,00","705,00","59,03K","-1,60%"
"17.12.2018","719,90","714,00","723,30","711,75","57,48K","1,07%"
"14.12.2018","712,25","709,75","717,00","705,35","83,45K","0,35%"
"13.12.2018","709,75","704,25","713,25","698,00","122,37K","0,71%"
"12.12.2018","704,75","700,90","710,60","691,45","126,66K","1,33%"
"11.12.2018","695,50","687,00","708,00","685,80","124,11K","1,33%"
"10.12.2018","686,40","690,00","704,80","682,05","73,28K","-0,94%"
"07.12.2018","692,90","710,95","710,95","685,30","81,87K","-0,66%"
"06.12.2018","697,50","721,00","721,90","692,50","131,49K","-3,83%"
"05.12.2018","725,25","713,35","738,00","713,35","251,82K","0,19%"
"04.12.2018","723,85","715,50","726,30","704,80","446,09K","1,71%"
"03.12.2018","711,70","706,00","717,40","704,00","79,23K","0,88%"
"30.11.2018","705,50","690,00","708,00","687,90","122,99K","2,29%"
"29.11.2018","689,70","705,60","705,60","687,30","66,92K","-1,24%"
"28.11.2018","698,35","700,55","706,00","692,50","97,29K","0,69%"
"27.11.2018","693,55","698,90","707,70","686,10","98,22K","-0,05%"
"26.11.2018","693,90","691,00","698,75","671,00","106,17K","0,43%"
"22.11.2018","690,95","696,00","710,05","687,00","153,63K","0,00%"
"21.11.2018","690,95","714,00","714,00","685,00","175,57K","-2,59%"
"20.11.2018","709,35","732,00","732,00","704,00","131,74K","-2,90%"
"19.11.2018","730,50","730,00","734,40","723,45","58,01K","0,51%"
"16.11.2018","726,80","715,45","730,95","712,00","80,43K","1,86%"
"15.11.2018","713,50","700,00","720,00","697,35","87,60K","1,91%"
"14.11.2018","700,15","721,35","727,75","692,40","105,93K","-3,86%"
"13.11.2018","728,25","722,00","739,85","718,00","103,01K","0,51%"
"12.11.2018","724,55","706,00","730,80","701,10","162,81K","2,66%"
"09.11.2018","705,80","700,05","709,00","696,50","52,06K","1,14%"
"07.11.2018","697,85","695,00","705,00","692,40","8,88K","0,69%"
