"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2018","20.824,40","21.298,10","21.298,10","20.750,00","1,09K","-0,71%"
"28.12.2018","20.974,10","20.499,95","21.178,00","20.330,85","2,03K","3,53%"
"27.12.2018","20.258,70","20.930,00","20.997,40","20.150,00","2,16K","-1,65%"
"26.12.2018","20.597,55","20.800,00","20.800,00","19.644,00","18,65K","-4,35%"
"24.12.2018","21.535,15","22.060,00","22.060,00","21.490,00","1,16K","-2,38%"
"21.12.2018","22.059,70","22.644,00","22.649,95","22.000,00","0,91K","-1,91%"
"20.12.2018","22.488,60","22.852,00","23.024,10","22.400,00","1,02K","-1,59%"
"19.12.2018","22.850,95","23.045,00","23.274,95","22.830,00","0,70K","0,03%"
"18.12.2018","22.845,10","22.889,95","23.400,00","22.551,00","1,93K","-0,52%"
"17.12.2018","22.963,60","22.989,95","23.075,00","22.727,00","0,75K","0,06%"
"14.12.2018","22.950,05","23.440,00","23.795,00","22.751,00","1,34K","-2,09%"
"13.12.2018","23.438,80","22.600,00","23.500,00","22.460,00","2,48K","4,36%"
"12.12.2018","22.459,70","21.136,65","22.520,00","21.135,00","2,83K","7,11%"
"11.12.2018","20.969,20","20.800,00","22.100,00","20.699,95","31,64K","0,13%"
"10.12.2018","20.941,35","21.500,00","21.537,55","20.801,00","1,95K","-4,01%"
"07.12.2018","21.816,60","21.650,00","22.000,00","21.389,95","0,51K","1,01%"
"06.12.2018","21.598,60","21.900,05","22.091,30","21.554,95","0,56K","-2,56%"
"05.12.2018","22.167,05","22.463,00","22.550,00","22.100,00","1,36K","-1,31%"
"04.12.2018","22.460,40","21.999,95","22.499,95","21.999,90","1,61K","2,55%"
"03.12.2018","21.902,15","21.680,00","22.290,00","21.630,00","1,54K","1,24%"
"30.11.2018","21.634,00","20.920,00","21.701,00","20.727,45","1,15K","3,78%"
"29.11.2018","20.845,20","20.948,65","20.948,75","20.710,10","0,78K","0,33%"
"28.11.2018","20.775,65","20.602,00","20.899,25","20.602,00","1,09K","0,27%"
"27.11.2018","20.719,35","20.829,00","20.885,00","20.600,00","0,63K","-0,34%"
"26.11.2018","20.790,60","20.989,95","21.088,05","20.690,00","0,79K","-0,17%"
"22.11.2018","20.825,80","20.780,00","21.100,00","20.617,95","1,36K","0,68%"
"21.11.2018","20.684,25","20.349,95","20.739,90","20.121,10","1,37K","1,94%"
"20.11.2018","20.290,20","20.400,00","20.499,80","20.200,00","1,27K","-0,70%"
"19.11.2018","20.433,75","20.568,05","20.699,90","20.380,00","0,55K","-0,44%"
"16.11.2018","20.524,25","20.601,00","20.789,85","20.415,00","0,80K","-0,41%"
"15.11.2018","20.608,65","20.889,90","20.899,90","20.500,00","1,59K","-0,67%"
"14.11.2018","20.748,20","20.453,80","20.900,00","20.453,80","1,00K","1,51%"
"13.11.2018","20.439,30","20.469,95","20.522,75","20.300,00","1,59K","-0,12%"
"12.11.2018","20.464,30","20.650,00","20.655,75","20.380,00","1,13K","0,32%"
"09.11.2018","20.398,65","20.364,95","20.830,00","20.000,05","0,87K","0,13%"
