"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","84,32","84,30","85,44","84,10","5,52M","-0,20%"
"27.12.2019","84,49","84,00","84,50","83,80","6,52M","0,81%"
"26.12.2019","83,81","84,00","84,04","83,33","3,49M","0,01%"
"25.12.2019","83,80","83,30","84,18","82,83","5,26M","0,55%"
"24.12.2019","83,34","84,38","84,41","83,30","8,97M","-1,21%"
"23.12.2019","84,36","85,19","85,98","84,07","10,01M","-1,11%"
"20.12.2019","85,31","84,69","85,35","83,80","20,13M","0,93%"
"19.12.2019","84,52","81,90","84,52","81,60","29,19M","3,27%"
"18.12.2019","81,84","81,60","82,10","81,38","10,40M","0,12%"
"17.12.2019","81,74","80,85","82,13","80,20","17,99M","1,34%"
"16.12.2019","80,66","80,50","80,93","80,04","9,37M","-0,17%"
"13.12.2019","80,80","81,00","81,29","79,61","13,77M","0,37%"
"12.12.2019","80,50","81,40","82,17","80,50","21,93M","-0,69%"
"11.12.2019","81,06","81,50","81,54","80,39","11,99M","-0,11%"
"10.12.2019","81,15","79,80","81,70","79,37","34,23M","1,95%"
"09.12.2019","79,60","75,90","79,60","75,90","25,80M","3,32%"
"06.12.2019","77,04","76,00","77,04","75,91","9,37M","1,37%"
"05.12.2019","76,00","76,50","76,76","75,64","6,65M","-0,41%"
"04.12.2019","76,31","75,80","76,86","74,95","7,55M","0,67%"
"03.12.2019","75,80","77,25","77,44","75,64","10,23M","-2,04%"
"02.12.2019","77,38","77,93","78,17","77,08","11,75M","-0,67%"
"29.11.2019","77,90","76,95","78,26","76,74","11,24M","1,23%"
"28.11.2019","76,95","76,90","77,20","76,66","4,47M","-0,21%"
"27.11.2019","77,11","77,55","77,80","76,90","11,11M","-0,54%"
"26.11.2019","77,53","77,79","78,16","77,40","13,80M","-0,22%"
"25.11.2019","77,70","77,58","78,68","77,22","13,72M","0,15%"
"22.11.2019","77,58","77,10","77,58","76,77","11,78M","0,52%"
"21.11.2019","77,18","76,55","77,24","75,71","10,93M","0,94%"
"20.11.2019","76,46","76,20","76,94","75,04","9,34M","0,31%"
"19.11.2019","76,22","75,60","76,32","74,90","9,83M","0,69%"
"18.11.2019","75,70","77,70","77,99","75,15","20,52M","-2,49%"
