"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","740,00","752,00","755,00","703,00","3,12K","-1,60%"
"27.12.2019","752,00","733,00","752,00","730,00","1,52K","1,76%"
"26.12.2019","739,00","770,00","770,00","728,00","1,24K","-1,47%"
"25.12.2019","750,00","700,00","759,00","700,00","5,67K","7,14%"
"24.12.2019","700,00","699,00","787,00","662,00","4,16K","2,94%"
"23.12.2019","680,00","669,00","709,00","667,00","0,56K","4,29%"
"20.12.2019","652,00","650,00","665,00","650,00","0,02K","-0,46%"
"19.12.2019","655,00","642,00","655,00","642,00","2,20K","0,00%"
"18.12.2019","655,00","650,00","655,00","630,00","0,85K","0,15%"
"17.12.2019","654,00","643,00","664,00","633,00","0,56K","-1,65%"
"16.12.2019","665,00","659,00","679,00","653,00","0,99K","1,68%"
"13.12.2019","654,00","674,00","674,00","639,00","1,03K","-0,91%"
"12.12.2019","660,00","661,00","670,00","660,00","0,59K","-1,20%"
"11.12.2019","668,00","680,00","687,00","668,00","0,04K","0,15%"
"10.12.2019","667,00","661,00","667,00","661,00","0,03K","1,06%"
"09.12.2019","660,00","665,00","668,00","660,00","0,01K","-1,64%"
"06.12.2019","671,00","676,00","676,00","671,00","0,00K","0,00%"
"05.12.2019","671,00","665,00","677,00","665,00","0,02K","0,00%"
"04.12.2019","671,00","669,00","671,00","669,00","0,00K","0,30%"
"03.12.2019","669,00","690,00","690,00","665,00","0,05K","-2,05%"
"02.12.2019","683,00","669,00","688,00","666,00","0,01K","0,15%"
"29.11.2019","682,00","688,00","690,00","668,00","0,17K","0,29%"
"28.11.2019","680,00","689,00","693,00","680,00","0,08K","-2,44%"
"27.11.2019","697,00","675,00","697,00","675,00","0,03K","2,20%"
"26.11.2019","682,00","698,00","700,00","682,00","0,30K","-1,02%"
"25.11.2019","689,00","713,00","713,00","684,00","0,84K","-1,43%"
"22.11.2019","699,00","722,00","899,00","680,00","4,04K","-3,05%"
"21.11.2019","721,00","694,00","721,00","689,00","0,58K","3,74%"
"20.11.2019","695,00","698,00","700,00","692,00","0,81K","0,72%"
"19.11.2019","690,00","687,00","698,00","685,00","0,78K","-0,58%"
"18.11.2019","694,00","677,00","700,00","673,00","0,55K","0,58%"
"15.11.2019","690,00","685,00","690,00","674,00","1,63K","1,47%"
"14.11.2019","680,00","660,00","685,00","656,00","5,89K","3,98%"
"13.11.2019","654,00","657,00","657,00","650,00","0,01K","0,62%"
"12.11.2019","650,00","652,00","655,00","646,00","1,04K","-0,46%"
"11.11.2019","653,00","655,00","659,00","649,00","1,08K","-0,15%"
"08.11.2019","654,00","653,00","659,00","645,00","0,57K","-0,76%"
"07.11.2019","659,00","656,00","662,00","654,00","0,12K","1,07%"
"06.11.2019","652,00","658,00","660,00","651,00","0,07K","0,00%"
"05.11.2019","652,00","644,00","657,00","640,00","0,28K","-0,76%"
"01.11.2019","657,00","649,00","657,00","645,00","0,21K","1,23%"
