"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","5,879","5,871","5,925","5,860","11,85M","-0,15%"
"27.12.2019","5,888","5,871","5,888","5,854","13,58M","0,44%"
"26.12.2019","5,862","5,849","5,869","5,811","13,73M","0,05%"
"25.12.2019","5,859","5,862","5,890","5,835","21,81M","-0,20%"
"24.12.2019","5,871","5,901","5,925","5,861","24,23M","-0,56%"
"23.12.2019","5,904","5,877","5,906","5,849","21,71M","0,51%"
"20.12.2019","5,874","5,901","5,939","5,874","24,73M","-0,52%"
"19.12.2019","5,905","5,950","5,985","5,843","24,36M","-0,61%"
"18.12.2019","5,941","5,975","5,987","5,880","47,17M","-0,92%"
"17.12.2019","5,996","5,984","6,024","5,960","22,14M","0,10%"
"16.12.2019","5,990","5,996","6,037","5,972","27,88M","-0,10%"
"13.12.2019","5,996","5,989","6,020","5,950","45,14M","0,10%"
"12.12.2019","5,990","5,981","6,030","5,962","26,68M","0,30%"
"11.12.2019","5,972","5,946","5,990","5,891","43,99M","0,29%"
"10.12.2019","5,955","6,004","6,005","5,915","22,02M","-0,70%"
"09.12.2019","5,997","5,928","6,009","5,902","38,93M","1,13%"
"06.12.2019","5,930","5,873","5,968","5,813","53,13M","0,83%"
"05.12.2019","5,881","5,910","5,936","5,831","21,87M","-0,37%"
"04.12.2019","5,903","5,877","5,904","5,783","57,09M","0,56%"
"03.12.2019","5,870","5,926","5,926","5,858","33,70M","-0,81%"
"02.12.2019","5,918","5,949","5,988","5,918","29,58M","-0,35%"
"29.11.2019","5,939","5,918","5,950","5,897","22,04M","0,35%"
"28.11.2019","5,918","5,900","5,938","5,875","23,15M","0,14%"
"27.11.2019","5,910","5,750","6,010","5,700","36,99M","1,37%"
"26.11.2019","5,830","5,690","5,830","5,660","30,83M","2,32%"
"25.11.2019","5,698","5,670","5,713","5,667","18,51M","0,35%"
"22.11.2019","5,678","5,682","5,724","5,672","17,97M","-0,16%"
"21.11.2019","5,687","5,660","5,721","5,641","21,07M","0,18%"
"20.11.2019","5,677","5,650","5,740","5,650","20,23M","-0,80%"
"19.11.2019","5,723","5,680","5,723","5,655","24,31M","0,92%"
"18.11.2019","5,671","5,740","5,767","5,656","16,03M","-0,33%"
"15.11.2019","5,690","5,605","5,694","5,565","28,17M","1,53%"
"14.11.2019","5,604","5,560","5,628","5,560","21,66M","1,63%"
"13.11.2019","5,514","5,610","5,630","5,514","31,18M","-1,89%"
"12.11.2019","5,620","5,592","5,650","5,567","28,95M","0,00%"
"11.11.2019","5,620","5,605","5,682","5,559","27,75M","0,11%"
"08.11.2019","5,614","5,580","5,614","5,555","27,64M","0,05%"
"07.11.2019","5,611","5,450","5,611","5,400","35,37M","2,95%"
"06.11.2019","5,450","5,600","5,623","5,445","37,33M","-2,07%"
"05.11.2019","5,565","5,789","5,816","5,211","30,35M","-4,00%"
"01.11.2019","5,797","5,768","5,805","5,745","8,31M","0,43%"
"31.10.2019","5,772","5,752","5,790","5,737","11,54M","0,21%"
"30.10.2019","5,760","5,747","5,766","5,709","8,33M","0,35%"
"29.10.2019","5,740","5,782","5,801","5,603","10,88M","-0,66%"
"28.10.2019","5,778","5,852","5,852","5,778","9,42M","-1,57%"
"25.10.2019","5,870","5,738","5,895","5,738","10,40M","2,00%"
"24.10.2019","5,755","5,780","5,781","5,733","9,03M","-0,78%"
"23.10.2019","5,800","5,823","5,827","5,790","7,96M","-0,39%"
"22.10.2019","5,823","5,780","5,824","5,780","9,22M","0,59%"
"21.10.2019","5,789","5,811","5,811","5,766","9,44M","0,16%"
"18.10.2019","5,780","5,773","5,790","5,769","8,67M","0,05%"
"17.10.2019","5,777","5,793","5,797","5,774","8,70M","-0,14%"
"16.10.2019","5,785","5,767","5,792","5,752","8,95M","0,36%"
"15.10.2019","5,764","5,765","5,774","5,737","7,82M","0,33%"
"14.10.2019","5,745","5,753","5,792","5,732","7,54M","-0,23%"
"11.10.2019","5,758","5,775","5,786","5,758","8,22M","-0,26%"
"10.10.2019","5,773","5,763","5,773","5,749","6,46M","0,17%"
"09.10.2019","5,763","5,765","5,769","5,749","7,00M","0,12%"
"08.10.2019","5,756","5,749","5,762","5,740","7,21M","0,03%"
"07.10.2019","5,754","5,741","5,762","5,734","5,57M","0,23%"
"04.10.2019","5,741","5,748","5,762","5,740","7,72M","-0,19%"
"03.10.2019","5,752","5,753","5,768","5,743","5,16M","-0,16%"
"02.10.2019","5,761","5,783","5,786","5,748","6,25M","-0,28%"
"01.10.2019","5,777","5,785","5,799","5,743","6,00M","-0,02%"
"30.09.2019","5,778","5,767","5,784","5,764","4,21M","0,03%"
"27.09.2019","5,776","5,790","5,799","5,771","3,92M","-0,12%"
"26.09.2019","5,783","5,786","5,792","5,768","3,63M","0,12%"
"25.09.2019","5,776","5,873","5,873","5,735","13,50M","-1,94%"
"24.09.2019","5,890","5,901","5,913","5,890","4,76M","-0,19%"
"23.09.2019","5,901","5,941","5,949","5,900","4,20M","-0,84%"
"20.09.2019","5,951","5,902","5,951","5,888","5,66M","0,78%"
"19.09.2019","5,905","5,913","5,930","5,904","4,20M","-0,27%"
"18.09.2019","5,921","5,924","5,925","5,907","4,24M","0,07%"
"17.09.2019","5,917","5,926","5,931","5,907","4,91M","-0,03%"
"16.09.2019","5,919","5,911","5,939","5,911","5,91M","0,15%"
"13.09.2019","5,910","5,921","5,937","5,906","3,82M","-0,34%"
"12.09.2019","5,930","5,958","5,958","5,930","4,65M","-0,32%"
"11.09.2019","5,949","5,936","5,970","5,934","5,02M","0,15%"
"10.09.2019","5,940","5,954","5,954","5,935","4,35M","-0,05%"
"09.09.2019","5,943","5,937","5,954","5,934","4,69M","-0,03%"
"06.09.2019","5,945","5,968","5,968","5,931","4,73M","-0,35%"
"05.09.2019","5,966","5,953","5,982","5,948","4,44M","0,12%"
"04.09.2019","5,959","5,942","5,970","5,940","4,27M","0,20%"
"03.09.2019","5,947","5,967","5,984","5,941","5,54M","-0,50%"
"02.09.2019","5,977","5,948","5,991","5,948","4,38M","0,32%"
