"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","148,00","146,60","148,00","142,00","3,35K","0,68%"
"27.12.2019","147,00","149,80","149,80","146,20","3,44K","0,14%"
"26.12.2019","146,80","146,60","148,20","146,60","2,60K","-1,74%"
"25.12.2019","149,40","147,00","150,00","147,00","3,32K","0,27%"
"24.12.2019","149,00","150,00","150,60","148,20","0,64K","-0,53%"
"23.12.2019","149,80","147,40","149,80","147,00","2,13K","0,13%"
"20.12.2019","149,60","147,20","151,00","147,20","8,58K","0,00%"
"19.12.2019","149,60","149,00","151,00","148,20","4,90K","0,27%"
"18.12.2019","149,20","148,80","149,40","146,20","3,25K","0,40%"
"17.12.2019","148,60","149,80","150,80","146,40","4,20K","-0,93%"
"16.12.2019","150,00","145,20","154,00","143,60","16,38K","2,18%"
"13.12.2019","146,80","141,80","148,00","140,00","21,03K","4,86%"
"12.12.2019","140,00","140,00","142,00","139,60","2,83K","0,00%"
"11.12.2019","140,00","140,00","140,00","139,60","6,56K","0,00%"
"10.12.2019","140,00","140,00","140,00","139,60","62,88K","0,29%"
"09.12.2019","139,60","139,80","140,00","139,40","1,68K","-0,29%"
"06.12.2019","140,00","141,60","141,60","139,60","4,55K","-1,27%"
"05.12.2019","141,80","142,00","145,60","139,60","6,08K","-0,70%"
"04.12.2019","142,80","141,80","144,60","141,80","2,57K","0,71%"
"03.12.2019","141,80","142,20","144,80","141,20","1,05K","-0,84%"
"02.12.2019","143,00","145,60","145,60","141,80","2,09K","0,70%"
"29.11.2019","142,00","144,60","147,00","142,00","1,22K","-1,93%"
"28.11.2019","144,80","146,60","146,60","143,00","0,65K","0,56%"
"27.11.2019","144,00","146,80","146,80","144,00","1,90K","-0,69%"
"26.11.2019","145,00","143,40","146,00","141,60","1,90K","1,12%"
"25.11.2019","143,40","143,20","143,40","141,80","0,48K","0,28%"
"22.11.2019","143,00","140,20","143,00","140,20","0,50K","0,28%"
"21.11.2019","142,60","141,80","142,80","141,80","1,02K","0,42%"
"20.11.2019","142,00","140,80","142,00","140,80","6,13K","0,42%"
"19.11.2019","141,40","141,80","142,40","140,00","2,44K","0,43%"
"18.11.2019","140,80","141,40","141,40","138,00","1,58K","-1,54%"
"15.11.2019","143,00","144,40","145,80","141,20","0,33K","0,00%"
"14.11.2019","143,00","142,20","143,20","140,60","1,89K","0,42%"
"13.11.2019","142,40","143,00","144,60","142,00","1,62K","1,57%"
"12.11.2019","140,20","141,00","143,20","138,60","3,65K","-2,09%"
"11.11.2019","143,20","146,00","146,00","138,60","6,56K","-2,05%"
"08.11.2019","146,20","145,00","147,00","143,00","4,82K","0,83%"
"07.11.2019","145,00","145,00","147,00","143,00","3,02K","0,14%"
"06.11.2019","144,80","144,00","147,00","144,00","7,00K","0,56%"
"05.11.2019","144,00","143,80","147,80","142,00","3,35K","2,86%"
"01.11.2019","140,00","141,00","141,00","139,00","1,45K","-1,41%"
"31.10.2019","142,00","138,20","142,40","136,00","5,83K","2,16%"
"30.10.2019","139,00","142,00","142,00","138,40","3,20K","-1,56%"
"29.10.2019","141,20","142,80","142,80","138,00","21,16K","-0,42%"
"28.10.2019","141,80","143,80","143,80","139,40","2,31K","0,57%"
"25.10.2019","141,00","144,00","144,00","135,20","8,74K","-2,08%"
"24.10.2019","144,00","143,00","144,00","143,00","4,87K","0,70%"
"23.10.2019","143,00","145,00","147,00","138,00","24,56K","-1,24%"
"22.10.2019","144,80","147,60","147,80","138,20","37,35K","-1,90%"
"21.10.2019","147,60","150,00","150,00","145,00","5,61K","-1,60%"
"18.10.2019","150,00","149,80","150,00","149,80","0,15K","0,13%"
"17.10.2019","149,80","150,00","150,00","149,80","0,44K","0,00%"
"16.10.2019","149,80","149,80","152,40","147,20","8,11K","0,13%"
"15.10.2019","149,60","147,60","149,80","147,00","1,22K","-0,13%"
"14.10.2019","149,80","149,00","150,60","147,60","1,90K","0,67%"
"11.10.2019","148,80","150,00","150,00","112,20","13,28K","-0,80%"
"10.10.2019","150,00","150,20","152,40","147,20","13,16K","-1,83%"
"09.10.2019","152,80","153,20","153,20","152,80","0,12K","0,39%"
"08.10.2019","152,20","153,40","153,40","149,80","6,11K","-0,91%"
"07.10.2019","153,60","151,20","153,60","151,20","0,42K","0,66%"
"04.10.2019","152,60","154,60","154,60","151,00","2,33K","0,66%"
"03.10.2019","151,60","153,80","153,80","151,00","1,27K","-0,66%"
"02.10.2019","152,60","153,40","158,80","152,60","2,86K","-2,93%"
"01.10.2019","157,20","152,80","157,20","152,00","5,07K","2,75%"
"30.09.2019","153,00","154,60","154,80","152,00","1,35K","-0,13%"
"27.09.2019","153,20","154,20","154,60","152,40","1,43K","-1,03%"
"26.09.2019","154,80","152,60","155,20","152,60","1,08K","-0,39%"
"25.09.2019","155,40","155,60","155,60","152,80","0,78K","0,78%"
"24.09.2019","154,20","154,00","155,80","154,00","1,41K","-0,77%"
"23.09.2019","155,40","155,20","155,60","155,00","2,67K","0,26%"
"20.09.2019","155,00","153,80","155,60","153,40","1,82K","0,00%"
"19.09.2019","155,00","154,00","155,80","153,00","6,65K","0,26%"
"18.09.2019","154,60","154,40","155,80","152,40","4,36K","0,00%"
"17.09.2019","154,60","152,20","155,40","150,00","13,80K","1,31%"
"16.09.2019","152,60","152,60","152,60","149,80","5,53K","0,13%"
"13.09.2019","152,40","152,80","153,00","150,60","2,24K","-0,39%"
"12.09.2019","153,00","153,40","153,40","151,00","0,59K","-0,26%"
"11.09.2019","153,40","152,00","153,60","152,00","0,73K","0,92%"
"10.09.2019","152,00","154,60","154,80","150,40","3,75K","0,00%"
"09.09.2019","152,00","150,20","155,20","149,80","5,02K","0,00%"
"06.09.2019","152,00","153,60","153,60","149,80","3,79K","-1,04%"
"05.09.2019","153,60","153,80","154,80","152,00","1,56K","-0,13%"
"04.09.2019","153,80","153,40","154,20","150,20","2,68K","0,26%"
"03.09.2019","153,40","154,40","154,40","150,40","1,77K","-1,03%"
"02.09.2019","155,00","150,80","155,00","149,00","3,35K","3,89%"
"30.08.2019","149,20","151,80","152,60","149,00","1,54K","-0,53%"
"29.08.2019","150,00","149,40","153,20","147,00","2,54K","1,08%"
"28.08.2019","148,40","145,00","148,80","145,00","1,33K","1,50%"
"27.08.2019","146,20","145,60","153,00","145,20","9,28K","-0,81%"
