"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","41,95","42,20","42,57","41,91","8,12M","-0,40%"
"27.12.2019","42,12","41,45","42,28","41,45","7,52M","1,71%"
"26.12.2019","41,41","41,10","41,50","41,00","4,17M","0,63%"
"25.12.2019","41,15","41,14","41,20","41,00","2,56M","0,22%"
"24.12.2019","41,06","41,12","41,20","41,02","2,71M","-0,15%"
"23.12.2019","41,12","40,80","41,19","40,80","8,50M","0,78%"
"20.12.2019","40,80","41,25","41,25","40,73","8,10M","-0,54%"
"19.12.2019","41,02","41,03","41,30","40,80","9,76M","0,00%"
"18.12.2019","41,02","41,60","41,65","40,81","21,00M","-1,44%"
"17.12.2019","41,62","41,51","41,69","41,10","12,20M","0,26%"
"16.12.2019","41,51","41,57","41,90","41,01","12,79M","-0,22%"
"13.12.2019","41,60","40,67","41,60","40,66","19,28M","2,46%"
"12.12.2019","40,60","39,95","40,84","39,95","17,15M","2,06%"
"11.12.2019","39,78","39,15","40,06","38,88","24,41M","1,84%"
"10.12.2019","39,06","39,16","39,28","38,69","11,84M","-0,48%"
"09.12.2019","39,25","39,15","39,35","38,92","7,68M","0,49%"
"06.12.2019","39,06","38,67","39,10","38,66","10,32M","0,77%"
"05.12.2019","38,76","38,12","38,90","37,87","14,21M","1,73%"
"04.12.2019","38,10","38,20","38,51","37,80","12,97M","-0,16%"
"03.12.2019","38,16","39,40","39,42","38,16","16,02M","-3,25%"
"02.12.2019","39,44","39,09","39,44","38,95","9,16M","1,18%"
"29.11.2019","38,98","38,97","39,02","38,68","12,09M","-0,15%"
"28.11.2019","39,04","38,78","39,05","38,52","8,35M","1,06%"
"27.11.2019","38,63","38,64","38,79","38,26","8,15M","-0,05%"
"26.11.2019","38,65","38,90","39,09","38,47","17,65M","-0,59%"
"25.11.2019","38,88","38,44","38,97","38,27","8,99M","1,65%"
"22.11.2019","38,25","37,77","38,34","37,77","7,04M","0,98%"
"21.11.2019","37,88","38,12","38,32","37,83","7,27M","-1,23%"
"20.11.2019","38,35","38,28","38,45","37,91","9,49M","0,08%"
"19.11.2019","38,32","37,90","38,35","37,80","7,52M","1,00%"
"18.11.2019","37,94","38,01","38,25","37,55","10,55M","-0,11%"
"15.11.2019","37,98","37,21","37,98","36,86","10,91M","2,10%"
"14.11.2019","37,20","38,26","38,95","36,77","24,15M","-2,95%"
"13.11.2019","38,33","38,53","38,60","37,65","11,01M","-0,70%"
"12.11.2019","38,60","38,10","38,85","38,08","10,42M","1,31%"
"11.11.2019","38,10","38,50","38,89","37,90","10,57M","-1,27%"
"08.11.2019","38,59","39,20","39,25","38,45","9,87M","-1,66%"
"07.11.2019","39,24","38,50","39,66","38,14","18,24M","1,95%"
"06.11.2019","38,49","37,28","38,49","37,27","13,63M","3,25%"
"05.11.2019","37,28","37,10","37,52","36,98","8,47M","0,57%"
"01.11.2019","37,07","36,81","37,10","36,62","7,83M","1,48%"
"31.10.2019","36,53","37,25","38,02","36,50","26,46M","-1,00%"
"30.10.2019","36,90","37,20","37,32","36,58","10,48M","-1,07%"
"29.10.2019","37,30","36,20","37,30","36,06","11,04M","3,12%"
"28.10.2019","36,17","35,49","36,99","35,45","10,65M","1,74%"
"25.10.2019","35,55","36,12","36,20","35,19","11,96M","-1,80%"
"24.10.2019","36,20","36,30","36,45","36,01","9,08M","-0,28%"
"23.10.2019","36,30","36,66","36,94","36,05","11,21M","-1,41%"
"22.10.2019","36,82","36,05","36,84","35,94","9,89M","2,31%"
"21.10.2019","35,99","36,55","36,70","35,81","7,98M","-1,56%"
"18.10.2019","36,56","37,15","37,26","36,55","7,75M","-1,72%"
"17.10.2019","37,20","37,00","37,52","36,78","8,48M","0,59%"
"16.10.2019","36,98","36,30","37,17","36,30","10,46M","2,15%"
"15.10.2019","36,20","36,60","36,78","35,87","13,88M","-1,15%"
"14.10.2019","36,62","37,15","37,40","36,38","12,41M","-2,63%"
"11.10.2019","37,61","37,34","38,24","37,11","22,39M","0,86%"
"10.10.2019","37,29","36,72","37,30","36,45","11,25M","2,08%"
"09.10.2019","36,53","37,10","37,34","36,53","9,89M","-1,32%"
"08.10.2019","37,02","37,00","37,17","36,73","4,74M","0,05%"
"07.10.2019","37,00","37,11","37,49","36,67","7,61M","0,00%"
"04.10.2019","37,00","36,80","37,36","36,65","15,28M","0,54%"
"03.10.2019","36,80","37,65","37,84","36,26","22,27M","-2,39%"
"02.10.2019","37,70","38,81","38,88","37,63","9,61M","-2,58%"
"01.10.2019","38,70","39,10","39,34","38,62","8,23M","-1,17%"
"30.09.2019","39,16","39,30","39,42","38,87","6,63M","-0,10%"
"27.09.2019","39,20","39,45","39,74","39,20","4,60M","-0,78%"
"26.09.2019","39,51","39,40","39,95","39,19","7,16M","0,46%"
"25.09.2019","39,33","39,75","39,80","38,77","10,95M","-1,03%"
"24.09.2019","39,74","40,33","40,62","39,73","6,71M","-1,63%"
"23.09.2019","40,40","40,80","40,80","40,20","5,96M","-0,39%"
"20.09.2019","40,56","41,10","41,27","40,55","8,99M","-1,98%"
"19.09.2019","41,38","41,10","41,40","41,08","8,36M","0,58%"
"18.09.2019","41,14","41,56","41,56","41,10","6,55M","-0,51%"
"17.09.2019","41,35","41,40","41,53","41,15","5,43M","-0,51%"
"16.09.2019","41,56","41,39","41,56","40,95","7,86M","0,61%"
"13.09.2019","41,31","41,31","41,52","40,91","7,75M","-0,39%"
"12.09.2019","41,47","41,60","42,20","41,28","12,09M","-1,03%"
"11.09.2019","41,90","41,35","42,00","41,16","12,50M","1,09%"
"10.09.2019","41,45","41,14","41,45","40,91","8,25M","0,90%"
"09.09.2019","41,08","41,30","41,59","40,66","8,32M","-0,82%"
"06.09.2019","41,42","41,40","41,58","41,07","8,47M","-0,14%"
"05.09.2019","41,48","41,22","41,60","41,01","6,87M","1,00%"
"04.09.2019","41,07","41,00","41,63","40,43","13,65M","0,66%"
"03.09.2019","40,80","41,34","41,48","40,51","5,72M","-0,95%"
"02.09.2019","41,19","41,90","42,03","41,10","6,69M","-1,55%"
"30.08.2019","41,84","40,80","41,84","40,80","13,69M","2,73%"
"29.08.2019","40,73","40,49","41,20","40,36","11,27M","1,07%"
"28.08.2019","40,30","39,67","40,35","39,38","9,35M","1,59%"
"27.08.2019","39,67","38,96","39,75","38,96","13,58M","1,85%"
"26.08.2019","38,95","38,60","39,33","38,52","6,37M","0,13%"
"23.08.2019","38,90","38,97","39,00","38,40","6,21M","0,34%"
"22.08.2019","38,77","38,44","39,05","38,31","7,61M","0,86%"
"21.08.2019","38,44","38,34","38,80","38,01","8,75M","0,84%"
"20.08.2019","38,12","38,24","38,52","37,64","12,72M","-0,50%"
"19.08.2019","38,31","38,70","38,85","38,12","7,46M","-0,18%"
