"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","3.425,0","3.439,5","3.444,0","3.416,5","253,53K","-0,09%"
"27.12.2019","3.428,0","3.450,0","3.467,0","3.412,5","425,26K","-0,61%"
"26.12.2019","3.449,0","3.432,5","3.464,5","3.424,0","401,76K","0,97%"
"25.12.2019","3.416,0","3.374,5","3.431,5","3.372,0","395,05K","1,32%"
"24.12.2019","3.371,5","3.345,5","3.379,5","3.341,0","374,96K","0,94%"
"23.12.2019","3.340,0","3.310,0","3.344,5","3.301,0","299,72K","1,30%"
"20.12.2019","3.297,0","3.325,0","3.352,0","3.287,0","661,65K","0,64%"
"19.12.2019","3.276,0","3.272,5","3.288,5","3.270,5","327,14K","0,15%"
"18.12.2019","3.271,0","3.272,0","3.289,0","3.268,5","253,40K","-0,05%"
"17.12.2019","3.272,5","3.267,0","3.285,5","3.258,5","212,91K","0,21%"
"16.12.2019","3.265,5","3.274,5","3.289,5","3.255,5","228,97K","0,00%"
"13.12.2019","3.265,5","3.245,0","3.274,0","3.237,0","239,23K","0,94%"
"12.12.2019","3.235,0","3.230,5","3.259,5","3.230,5","209,92K","0,14%"
"11.12.2019","3.230,5","3.233,0","3.258,5","3.225,0","168,72K","-0,11%"
"10.12.2019","3.234,0","3.232,0","3.238,0","3.211,5","89,49K","0,08%"
"09.12.2019","3.231,5","3.210,0","3.234,5","3.207,0","169,49K","0,76%"
"06.12.2019","3.207,0","3.209,0","3.219,5","3.195,5","94,99K","0,25%"
"05.12.2019","3.199,0","3.206,0","3.222,0","3.191,0","114,49K","0,11%"
"04.12.2019","3.195,5","3.189,0","3.215,5","3.151,5","190,06K","0,49%"
"03.12.2019","3.180,0","3.258,5","3.258,5","3.174,0","339,49K","-2,26%"
"02.12.2019","3.253,5","3.280,0","3.303,5","3.242,0","212,73K","-0,90%"
"29.11.2019","3.283,0","3.252,0","3.292,0","3.236,5","189,19K","0,72%"
"28.11.2019","3.259,5","3.243,0","3.264,0","3.236,5","117,15K","0,43%"
"27.11.2019","3.245,5","3.250,0","3.266,0","3.234,5","200,28K","0,12%"
"26.11.2019","3.241,5","3.247,0","3.264,5","3.231,0","245,51K","0,05%"
"25.11.2019","3.240,0","3.263,5","3.275,0","3.240,0","196,69K","-0,64%"
"22.11.2019","3.261,0","3.275,0","3.292,5","3.255,0","182,25K","-0,28%"
"21.11.2019","3.270,0","3.306,0","3.317,5","3.257,0","277,10K","-1,33%"
"20.11.2019","3.314,0","3.321,0","3.330,0","3.301,5","125,17K","-0,60%"
"19.11.2019","3.334,0","3.299,5","3.338,5","3.291,5","226,27K","1,20%"
"18.11.2019","3.294,5","3.341,0","3.348,0","3.285,5","281,72K","-0,33%"
"15.11.2019","3.305,5","3.339,0","3.350,0","3.280,0","218,15K","-0,35%"
"14.11.2019","3.317,0","3.328,0","3.374,0","3.313,0","218,87K","-0,48%"
"13.11.2019","3.333,0","3.310,5","3.345,0","3.301,5","163,84K","0,38%"
"12.11.2019","3.320,5","3.309,0","3.365,5","3.306,0","304,58K","0,47%"
"11.11.2019","3.305,0","3.307,5","3.324,5","3.291,0","146,56K","0,06%"
"08.11.2019","3.303,0","3.352,0","3.358,5","3.257,0","418,64K","-1,70%"
"07.11.2019","3.360,0","3.350,0","3.379,0","3.338,5","328,31K","0,30%"
"06.11.2019","3.350,0","3.347,0","3.366,5","3.325,0","299,43K","0,10%"
"05.11.2019","3.346,5","3.306,0","3.370,0","3.290,5","431,08K","2,23%"
"01.11.2019","3.273,5","3.241,0","3.320,0","3.238,0","494,51K","1,28%"
"31.10.2019","3.232,0","3.203,0","3.232,0","3.199,0","282,44K","0,95%"
"30.10.2019","3.201,5","3.211,0","3.223,0","3.164,5","251,59K","-0,30%"
"29.10.2019","3.211,0","3.174,0","3.247,0","3.092,5","867,06K","1,36%"
"28.10.2019","3.168,0","3.184,5","3.235,5","3.162,0","279,77K","-0,44%"
"25.10.2019","3.182,0","3.244,0","3.244,0","3.105,0","519,63K","-1,52%"
"24.10.2019","3.231,0","3.214,0","3.255,0","3.207,0","425,35K","0,53%"
"23.10.2019","3.214,0","3.229,5","3.278,0","3.195,0","456,94K","-0,50%"
"22.10.2019","3.230,0","3.177,0","3.231,0","3.164,0","244,59K","1,73%"
"21.10.2019","3.175,0","3.215,0","3.242,0","3.168,0","297,11K","-1,24%"
"18.10.2019","3.215,0","3.240,0","3.242,0","3.205,5","148,66K","-0,76%"
"17.10.2019","3.239,5","3.261,5","3.262,5","3.221,0","280,06K","-0,46%"
"16.10.2019","3.254,5","3.215,0","3.259,0","3.186,0","406,23K","1,23%"
"15.10.2019","3.215,0","3.133,0","3.218,0","3.110,5","424,32K","2,50%"
"14.10.2019","3.136,5","3.217,0","3.231,0","3.136,5","401,41K","-2,34%"
"11.10.2019","3.211,5","3.283,0","3.298,0","3.202,5","358,56K","-2,00%"
"10.10.2019","3.277,0","3.327,5","3.331,5","3.276,0","293,44K","-1,34%"
"09.10.2019","3.321,5","3.292,5","3.325,0","3.247,0","471,99K","0,88%"
"08.10.2019","3.292,5","3.375,5","3.378,0","3.273,0","500,62K","-1,86%"
"07.10.2019","3.355,0","3.388,5","3.395,0","3.355,0","193,91K","-0,72%"
"04.10.2019","3.379,5","3.433,0","3.444,5","3.368,0","247,21K","-1,39%"
"03.10.2019","3.427,0","3.500,5","3.511,5","3.406,0","376,09K","-2,20%"
"02.10.2019","3.504,0","3.545,0","3.553,5","3.500,0","207,78K","-1,03%"
"01.10.2019","3.540,5","3.557,5","3.569,5","3.535,0","121,21K","-0,49%"
"30.09.2019","3.558,0","3.551,5","3.569,0","3.530,0","204,86K","-0,04%"
"27.09.2019","3.559,5","3.592,5","3.594,0","3.559,5","114,66K","-0,77%"
"26.09.2019","3.587,0","3.548,0","3.610,0","3.543,0","188,85K","1,34%"
"25.09.2019","3.539,5","3.565,0","3.579,0","3.539,5","211,15K","-0,63%"
"24.09.2019","3.562,0","3.628,0","3.642,5","3.562,0","199,07K","-1,87%"
"23.09.2019","3.630,0","3.630,0","3.642,5","3.601,0","103,53K","0,00%"
"20.09.2019","3.630,0","3.620,0","3.632,5","3.600,0","211,90K","0,28%"
"19.09.2019","3.620,0","3.674,0","3.682,5","3.608,5","324,88K","-1,40%"
"18.09.2019","3.671,5","3.650,0","3.705,0","3.642,0","460,82K","0,59%"
"17.09.2019","3.650,0","3.623,5","3.654,0","3.607,5","251,64K","0,47%"
"16.09.2019","3.633,0","3.620,0","3.638,5","3.600,5","138,86K","0,36%"
"13.09.2019","3.620,0","3.635,0","3.647,0","3.608,0","215,99K","-0,14%"
"12.09.2019","3.625,0","3.594,0","3.637,0","3.578,0","408,07K","1,12%"
"11.09.2019","3.585,0","3.580,0","3.625,0","3.558,0","472,17K","0,28%"
"10.09.2019","3.575,0","3.550,0","3.578,0","3.505,5","435,29K","0,70%"
"09.09.2019","3.550,0","3.580,0","3.595,5","3.540,0","253,40K","-0,69%"
"06.09.2019","3.574,5","3.610,0","3.616,0","3.570,5","226,01K","-0,69%"
"05.09.2019","3.599,5","3.615,0","3.624,5","3.577,5","429,58K","-0,24%"
"04.09.2019","3.608,0","3.634,5","3.654,5","3.596,0","327,49K","-0,44%"
"03.09.2019","3.624,0","3.656,5","3.666,5","3.606,5","189,85K","-0,88%"
"02.09.2019","3.656,0","3.690,0","3.691,0","3.650,0","142,42K","-0,92%"
"30.08.2019","3.690,0","3.580,0","3.690,0","3.575,5","430,54K","3,07%"
"29.08.2019","3.580,0","3.544,5","3.595,0","3.542,0","119,43K","1,03%"
"28.08.2019","3.543,5","3.540,0","3.544,5","3.518,0","172,18K","0,51%"
"27.08.2019","3.525,5","3.520,0","3.543,5","3.512,0","97,81K","-0,11%"
"26.08.2019","3.529,5","3.518,5","3.549,0","3.483,0","98,51K","0,26%"
"23.08.2019","3.520,5","3.544,5","3.547,0","3.519,5","152,03K","-0,41%"
"22.08.2019","3.535,0","3.563,0","3.572,0","3.526,0","151,28K","-1,01%"
"21.08.2019","3.571,0","3.586,0","3.588,5","3.545,0","197,49K","-0,36%"
"20.08.2019","3.584,0","3.628,5","3.637,0","3.575,0","142,19K","-1,35%"
"19.08.2019","3.633,0","3.620,5","3.649,0","3.597,5","118,71K","0,89%"
"16.08.2019","3.601,0","3.586,0","3.617,0","3.578,5","157,73K","0,42%"
"15.08.2019","3.586,0","3.598,0","3.626,5","3.565,5","277,65K","-0,53%"
"14.08.2019","3.605,0","3.596,5","3.640,0","3.566,0","237,91K","0,54%"
"13.08.2019","3.585,5","3.560,0","3.594,0","3.552,0","284,27K","0,74%"
"12.08.2019","3.559,0","3.568,5","3.577,0","3.536,5","94,16K","0,39%"
"09.08.2019","3.545,0","3.575,0","3.598,0","3.534,0","139,47K","-1,05%"
"08.08.2019","3.582,5","3.557,5","3.598,0","3.541,0","142,87K","1,42%"
"07.08.2019","3.532,5","3.600,0","3.623,0","3.513,0","289,02K","-1,71%"
"06.08.2019","3.594,0","3.588,5","3.609,5","3.580,0","137,71K","0,36%"
"05.08.2019","3.581,0","3.685,0","3.719,0","3.556,0","390,59K","-2,95%"
"02.08.2019","3.690,0","3.737,0","3.759,0","3.690,0","229,79K","-1,84%"
"01.08.2019","3.759,0","3.769,0","3.793,5","3.721,5","169,55K","-0,69%"
"31.07.2019","3.785,0","3.781,0","3.809,5","3.751,0","250,58K","0,07%"
"30.07.2019","3.782,5","3.795,0","3.795,0","3.745,0","104,52K","-0,05%"
"29.07.2019","3.784,5","3.781,5","3.812,5","3.762,5","156,26K","0,12%"
