"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","2.408,0","2.396,0","2.419,0","2.396,0","57,27K","-0,04%"
"27.12.2019","2.409,0","2.395,0","2.416,0","2.384,0","72,54K","0,67%"
"26.12.2019","2.393,0","2.374,0","2.406,0","2.365,0","80,29K","0,80%"
"25.12.2019","2.374,0","2.366,0","2.378,0","2.363,0","51,46K","0,30%"
"24.12.2019","2.367,0","2.376,0","2.376,0","2.363,0","55,70K","-0,21%"
"23.12.2019","2.372,0","2.375,0","2.390,0","2.367,0","61,73K","0,25%"
"20.12.2019","2.366,0","2.398,0","2.401,0","2.366,0","118,85K","-1,46%"
"19.12.2019","2.401,0","2.387,0","2.426,0","2.382,0","129,96K","0,50%"
"18.12.2019","2.389,0","2.389,0","2.398,0","2.381,0","92,65K","-0,04%"
"17.12.2019","2.390,0","2.400,0","2.405,0","2.383,0","88,26K","0,42%"
"16.12.2019","2.380,0","2.380,0","2.404,0","2.379,0","60,44K","0,17%"
"13.12.2019","2.376,0","2.350,0","2.393,0","2.350,0","148,74K","1,54%"
"12.12.2019","2.340,0","2.350,0","2.372,0","2.340,0","81,24K","-0,21%"
"11.12.2019","2.345,0","2.351,0","2.359,0","2.334,0","85,24K","0,21%"
"10.12.2019","2.340,0","2.383,0","2.394,0","2.340,0","146,04K","-1,47%"
"09.12.2019","2.375,0","2.380,0","2.396,0","2.374,0","30,69K","-0,21%"
"06.12.2019","2.380,0","2.368,0","2.387,0","2.360,0","40,16K","0,89%"
"05.12.2019","2.359,0","2.370,0","2.399,0","2.355,0","58,07K","-0,42%"
"04.12.2019","2.369,0","2.388,0","2.401,0","2.363,0","59,59K","-0,75%"
"03.12.2019","2.387,0","2.400,0","2.405,0","2.376,0","54,50K","-0,46%"
"02.12.2019","2.398,0","2.424,0","2.440,0","2.398,0","87,73K","-0,75%"
"29.11.2019","2.416,0","2.418,0","2.428,0","2.403,0","47,42K","-0,21%"
"28.11.2019","2.421,0","2.440,0","2.449,0","2.410,0","34,73K","-0,78%"
"27.11.2019","2.440,0","2.468,0","2.468,0","2.429,0","42,22K","-0,69%"
"26.11.2019","2.457,0","2.439,0","2.467,0","2.436,0","67,71K","1,03%"
"25.11.2019","2.432,0","2.415,0","2.450,0","2.403,0","105,28K","0,58%"
"22.11.2019","2.418,0","2.412,0","2.425,0","2.401,0","60,20K","-0,12%"
"21.11.2019","2.421,0","2.431,0","2.433,0","2.407,0","93,78K","-0,29%"
"20.11.2019","2.428,0","2.434,0","2.444,0","2.421,0","29,62K","-0,25%"
"19.11.2019","2.434,0","2.440,0","2.468,0","2.423,0","64,04K","0,16%"
"18.11.2019","2.430,0","2.446,0","2.454,0","2.427,0","47,44K","-0,12%"
"15.11.2019","2.433,0","2.449,0","2.464,0","2.433,0","30,91K","-0,61%"
"14.11.2019","2.448,0","2.462,0","2.469,0","2.441,0","29,76K","-0,49%"
"13.11.2019","2.460,0","2.449,0","2.460,0","2.434,0","33,08K","0,00%"
"12.11.2019","2.460,0","2.449,0","2.463,0","2.442,0","22,54K","0,53%"
"11.11.2019","2.447,0","2.457,0","2.465,0","2.441,0","29,14K","-0,53%"
"08.11.2019","2.460,0","2.477,0","2.477,0","2.452,0","39,68K","-0,69%"
"07.11.2019","2.477,0","2.472,0","2.484,0","2.457,0","36,74K","0,28%"
"06.11.2019","2.470,0","2.448,0","2.470,0","2.440,0","40,31K","1,15%"
"05.11.2019","2.442,0","2.446,0","2.475,0","2.424,0","65,83K","0,83%"
"01.11.2019","2.422,0","2.427,0","2.441,0","2.419,0","70,76K","-0,21%"
"31.10.2019","2.427,0","2.439,0","2.442,0","2.418,0","36,57K","0,25%"
"30.10.2019","2.421,0","2.445,0","2.455,0","2.421,0","37,31K","-1,22%"
"29.10.2019","2.451,0","2.418,0","2.451,0","2.418,0","35,48K","1,36%"
"28.10.2019","2.418,0","2.419,0","2.464,0","2.413,0","42,73K","-0,04%"
"25.10.2019","2.419,0","2.435,0","2.449,0","2.405,0","43,11K","-0,66%"
"24.10.2019","2.435,0","2.448,0","2.465,0","2.435,0","94,92K","-0,61%"
"23.10.2019","2.450,0","2.461,0","2.473,0","2.445,0","34,03K","-0,81%"
"22.10.2019","2.470,0","2.471,0","2.482,0","2.447,0","35,31K","0,32%"
"21.10.2019","2.462,0","2.496,0","2.496,0","2.456,0","32,96K","-1,32%"
"18.10.2019","2.495,0","2.486,0","2.501,0","2.480,0","21,96K","-0,20%"
"17.10.2019","2.500,0","2.508,0","2.508,0","2.486,0","14,45K","0,04%"
"16.10.2019","2.499,0","2.495,0","2.511,0","2.489,0","31,37K","0,20%"
"15.10.2019","2.494,0","2.477,0","2.501,0","2.475,0","31,40K","0,28%"
"14.10.2019","2.487,0","2.461,0","2.487,0","2.459,0","52,97K","-0,68%"
"11.10.2019","2.504,0","2.515,0","2.528,0","2.493,0","67,23K","-0,91%"
"10.10.2019","2.527,0","2.497,0","2.527,0","2.497,0","23,09K","0,28%"
"09.10.2019","2.520,0","2.533,0","2.535,0","2.514,0","24,92K","-0,20%"
"08.10.2019","2.525,0","2.500,0","2.530,0","2.499,0","37,87K","1,00%"
"07.10.2019","2.500,0","2.482,0","2.500,0","2.467,0","27,38K","0,77%"
"04.10.2019","2.481,0","2.500,0","2.505,0","2.462,0","27,38K","-0,56%"
"03.10.2019","2.495,0","2.497,0","2.500,0","2.465,0","56,90K","0,08%"
"02.10.2019","2.493,0","2.476,0","2.500,0","2.476,0","52,97K","0,40%"
"01.10.2019","2.483,0","2.487,0","2.526,0","2.480,0","45,20K","-0,12%"
"30.09.2019","2.486,0","2.470,0","2.505,0","2.465,0","41,86K","0,81%"
"27.09.2019","2.466,0","2.464,0","2.473,0","2.451,0","61,20K","0,33%"
"26.09.2019","2.458,0","2.455,0","2.476,0","2.441,0","56,25K","0,29%"
"25.09.2019","2.451,0","2.475,0","2.494,0","2.442,0","104,94K","-0,37%"
"24.09.2019","2.460,0","2.533,0","2.537,0","2.455,0","95,39K","-2,46%"
"23.09.2019","2.522,0","2.541,0","2.560,0","2.505,0","49,97K","-1,48%"
"20.09.2019","2.560,0","2.554,0","2.568,0","2.511,0","37,65K","0,16%"
"19.09.2019","2.556,0","2.582,0","2.593,0","2.554,0","38,82K","-0,66%"
"18.09.2019","2.573,0","2.595,0","2.599,0","2.565,0","29,61K","-0,89%"
"17.09.2019","2.596,0","2.590,0","2.612,0","2.573,0","23,46K","0,23%"
"16.09.2019","2.590,0","2.542,0","2.594,0","2.538,0","27,99K","1,53%"
"13.09.2019","2.551,0","2.565,0","2.565,0","2.540,0","21,90K","-0,74%"
"12.09.2019","2.570,0","2.596,0","2.596,0","2.550,0","26,20K","-0,81%"
"11.09.2019","2.591,0","2.587,0","2.594,0","2.569,0","52,81K","1,13%"
"10.09.2019","2.562,0","2.540,0","2.582,0","2.535,0","18,05K","0,87%"
"09.09.2019","2.540,0","2.547,0","2.555,0","2.534,0","10,47K","0,20%"
"06.09.2019","2.535,0","2.521,0","2.550,0","2.520,0","25,25K","0,56%"
"05.09.2019","2.521,0","2.548,0","2.555,0","2.519,0","20,08K","-0,63%"
"04.09.2019","2.537,0","2.548,0","2.565,0","2.506,0","26,10K","-0,08%"
"03.09.2019","2.539,0","2.556,0","2.579,0","2.517,0","33,30K","-0,67%"
"02.09.2019","2.556,0","2.555,0","2.591,0","2.540,0","49,01K","0,31%"
"30.08.2019","2.548,0","2.525,0","2.561,0","2.523,0","55,63K","1,43%"
"29.08.2019","2.512,0","2.491,0","2.525,0","2.481,0","51,59K","1,49%"
"28.08.2019","2.475,0","2.470,0","2.491,0","2.470,0","29,16K","0,53%"
"27.08.2019","2.462,0","2.485,0","2.501,0","2.444,0","32,84K","-0,73%"
"26.08.2019","2.480,0","2.429,0","2.497,0","2.420,0","22,62K","2,27%"
"23.08.2019","2.425,0","2.426,0","2.448,0","2.418,0","44,66K","-0,08%"
"22.08.2019","2.427,0","2.443,0","2.445,0","2.409,0","44,12K","-0,53%"
"21.08.2019","2.440,0","2.486,0","2.489,0","2.436,0","21,14K","-1,81%"
"20.08.2019","2.485,0","2.515,0","2.531,0","2.479,0","22,99K","-1,19%"
"19.08.2019","2.515,0","2.521,0","2.539,0","2.515,0","31,83K","-0,24%"
"16.08.2019","2.521,0","2.530,0","2.532,0","2.506,0","34,24K","0,28%"
"15.08.2019","2.514,0","2.507,0","2.529,0","2.493,0","60,90K","0,32%"
"14.08.2019","2.506,0","2.480,0","2.513,0","2.469,0","72,37K","0,97%"
"13.08.2019","2.482,0","2.492,0","2.504,0","2.468,0","42,40K","-0,72%"
"12.08.2019","2.500,0","2.500,0","2.523,0","2.491,0","34,45K","-0,40%"
