"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","94,60","94,40","94,60","92,90","1,25K","2,16%"
"27.12.2019","92,60","92,30","93,60","91,10","1,33K","0,65%"
"26.12.2019","92,00","91,30","92,00","91,10","0,32K","0,55%"
"25.12.2019","91,50","92,20","92,90","89,80","5,68K","0,55%"
"24.12.2019","91,00","90,60","92,50","90,60","1,77K","0,44%"
"23.12.2019","90,60","90,70","93,00","89,50","2,52K","1,34%"
"20.12.2019","89,40","90,30","91,00","89,30","6,70K","-1,00%"
"19.12.2019","90,30","89,10","90,30","89,10","1,19K","0,22%"
"18.12.2019","90,10","90,30","90,50","89,30","12,03K","0,78%"
"17.12.2019","89,40","88,70","89,90","88,70","0,51K","0,22%"
"16.12.2019","89,20","90,10","90,50","89,00","2,76K","0,22%"
"13.12.2019","89,00","89,60","89,60","88,60","0,75K","0,11%"
"12.12.2019","88,90","89,50","89,60","88,90","6,58K","-0,22%"
"11.12.2019","89,10","90,10","90,10","88,50","0,31K","0,68%"
"10.12.2019","88,50","90,10","90,10","88,50","1,11K","-0,34%"
"09.12.2019","88,80","89,30","89,90","88,60","0,53K","0,11%"
"06.12.2019","88,70","89,20","89,20","88,00","0,36K","-0,45%"
"05.12.2019","89,10","89,20","89,20","88,10","0,58K","0,79%"
"04.12.2019","88,40","88,50","90,00","87,60","1,80K","0,80%"
"03.12.2019","87,70","88,60","88,60","87,20","0,83K","0,23%"
"02.12.2019","87,50","88,30","89,20","87,00","2,92K","-0,34%"
"29.11.2019","87,80","88,40","88,50","87,70","1,86K","-0,34%"
"28.11.2019","88,10","88,90","89,20","87,90","0,96K","0,11%"
"27.11.2019","88,00","87,90","88,30","87,50","0,73K","0,34%"
"26.11.2019","87,70","88,50","88,50","87,50","0,56K","-0,34%"
"25.11.2019","88,00","88,50","88,50","87,20","1,11K","0,34%"
"22.11.2019","87,70","89,20","89,20","87,70","0,34K","-0,68%"
"21.11.2019","88,30","89,00","89,70","88,30","1,19K","-0,67%"
"20.11.2019","88,90","87,60","90,00","87,60","1,70K","0,23%"
"19.11.2019","88,70","87,50","88,70","87,50","0,46K","1,26%"
"18.11.2019","87,60","88,60","88,60","87,60","0,19K","-0,90%"
"15.11.2019","88,40","87,90","88,40","87,50","0,32K","0,80%"
"14.11.2019","87,70","89,40","89,40","87,50","0,80K","-1,68%"
