"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","1.185,00","1.196,00","1.201,00","1.181,00","35,01K","-0,92%"
"27.12.2019","1.196,00","1.199,50","1.212,00","1.190,00","38,05K","0,08%"
"26.12.2019","1.195,00","1.179,00","1.197,00","1.170,00","30,15K","1,70%"
"25.12.2019","1.175,00","1.180,50","1.185,50","1.170,00","31,68K","-0,59%"
"24.12.2019","1.182,00","1.191,00","1.211,00","1.180,00","55,23K","-1,09%"
"23.12.2019","1.195,00","1.231,50","1.234,00","1.185,50","85,70K","-2,17%"
"20.12.2019","1.221,50","1.197,50","1.236,50","1.178,00","82,83K","1,58%"
"19.12.2019","1.202,50","1.250,00","1.275,00","1.200,50","150,77K","-4,18%"
"18.12.2019","1.255,00","1.329,00","1.334,00","1.217,00","123,22K","-4,78%"
"17.12.2019","1.318,00","1.325,50","1.332,50","1.311,00","12,82K","-1,61%"
"16.12.2019","1.339,50","1.330,00","1.349,00","1.326,00","19,51K","1,48%"
"13.12.2019","1.320,00","1.295,00","1.320,00","1.287,00","52,73K","3,53%"
"12.12.2019","1.275,00","1.280,50","1.285,50","1.271,50","11,72K","-0,62%"
"11.12.2019","1.283,00","1.290,00","1.294,50","1.280,00","7,01K","-0,31%"
"10.12.2019","1.287,00","1.310,00","1.313,50","1.281,00","8,99K","-0,81%"
"09.12.2019","1.297,50","1.285,50","1.302,00","1.272,50","33,47K","1,68%"
"06.12.2019","1.276,00","1.270,00","1.279,50","1.258,00","12,20K","0,63%"
"05.12.2019","1.268,00","1.268,50","1.278,50","1.247,50","7,73K","-0,08%"
"04.12.2019","1.269,00","1.270,50","1.280,00","1.263,50","11,90K","0,91%"
"03.12.2019","1.257,50","1.256,50","1.264,00","1.230,00","13,99K","-0,04%"
"02.12.2019","1.258,00","1.285,00","1.285,00","1.256,00","11,74K","-0,94%"
"29.11.2019","1.270,00","1.265,00","1.286,00","1.252,00","18,66K","-0,55%"
