"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","78,36","79,12","79,12","78,36","911,19K","-0,80%"
"27.12.2019","78,99","79,00","79,28","78,60","813,28K","0,01%"
"26.12.2019","78,98","79,25","79,42","78,65","574,73K","-0,11%"
"25.12.2019","79,07","78,82","79,14","78,58","874,86K","0,34%"
"24.12.2019","78,80","79,10","79,12","78,64","598,33K","0,01%"
"23.12.2019","78,79","79,40","79,75","78,64","1,59M","-0,40%"
"20.12.2019","79,11","79,91","80,15","79,11","2,30M","-1,06%"
"19.12.2019","79,96","79,90","80,06","79,37","2,48M","0,08%"
"18.12.2019","79,90","80,18","80,46","79,70","2,12M","-0,37%"
"17.12.2019","80,20","79,79","80,20","79,32","1,50M","0,75%"
"16.12.2019","79,60","80,15","80,30","79,50","1,30M","-0,51%"
"13.12.2019","80,01","80,20","80,24","79,74","686,33K","0,01%"
"12.12.2019","80,00","80,35","80,56","79,89","1,04M","0,00%"
"11.12.2019","80,00","80,60","80,75","79,96","1,82M","-0,50%"
"10.12.2019","80,40","80,22","80,56","79,88","1,40M","-0,09%"
"09.12.2019","80,47","80,33","80,90","80,04","712,91K","-0,33%"
"06.12.2019","80,74","80,70","80,75","80,20","736,59K","0,31%"
"05.12.2019","80,49","80,70","80,84","80,00","704,04K","-0,26%"
"04.12.2019","80,70","79,54","80,70","79,15","897,46K","1,46%"
"03.12.2019","79,54","80,10","80,25","78,87","933,47K","-0,64%"
"02.12.2019","80,05","80,52","80,74","80,00","652,12K","-0,56%"
"29.11.2019","80,50","80,46","80,79","79,85","671,53K","0,00%"
"28.11.2019","80,50","81,46","81,47","80,30","645,06K","-0,43%"
"27.11.2019","80,85","81,07","81,50","80,32","1,54M","-0,68%"
"26.11.2019","81,40","80,55","81,40","80,11","3,35M","1,17%"
"25.11.2019","80,46","80,14","80,46","79,75","1,04M","0,68%"
"22.11.2019","79,92","80,26","80,59","79,90","1,27M","-0,72%"
"21.11.2019","80,50","80,01","80,57","79,59","1,29M","0,56%"
"20.11.2019","80,05","81,07","81,07","80,05","765,34K","-1,28%"
"19.11.2019","81,09","80,24","81,57","80,21","2,06M","0,77%"
"18.11.2019","80,47","80,61","81,15","80,04","1,31M","-0,16%"
"15.11.2019","80,60","80,60","81,25","80,30","1,74M","0,37%"
"14.11.2019","80,30","81,13","81,79","79,90","3,54M","-1,44%"
"13.11.2019","81,47","85,71","87,92","80,70","16,54M","-3,05%"
