"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","50,470","50,940","51,300","50,405","27,94M","-0,76%"
"27.12.2019","50,855","51,050","51,425","50,660","28,58M","-0,58%"
"26.12.2019","51,150","51,000","51,500","50,280","38,62M","-0,11%"
"25.12.2019","51,205","52,250","52,340","51,050","27,40M","-1,91%"
"24.12.2019","52,200","51,980","52,770","50,830","124,56M","1,06%"
"23.12.2019","51,655","48,180","51,700","48,115","137,91M","7,36%"
"20.12.2019","48,115","48,200","48,470","47,950","29,81M","-0,07%"
"19.12.2019","48,150","48,400","48,680","47,820","46,93M","-0,56%"
"18.12.2019","48,420","48,350","49,135","47,790","64,12M","0,24%"
"17.12.2019","48,305","48,100","48,700","47,575","64,70M","0,58%"
"16.12.2019","48,025","47,635","48,750","46,510","67,48M","1,09%"
"13.12.2019","47,505","48,500","49,450","47,060","88,35M","-1,44%"
"12.12.2019","48,200","45,330","48,480","45,300","152,38M","7,03%"
"11.12.2019","45,035","43,320","45,130","43,320","67,33M","3,79%"
"10.12.2019","43,390","43,935","44,040","43,000","31,37M","-1,23%"
"09.12.2019","43,930","43,345","44,205","43,255","48,90M","1,35%"
"06.12.2019","43,345","43,350","43,580","42,435","51,41M","0,34%"
"05.12.2019","43,200","43,900","44,170","42,905","46,03M","-1,14%"
"04.12.2019","43,700","42,605","44,625","41,555","79,85M","2,73%"
"03.12.2019","42,540","43,250","43,655","42,470","44,62M","-1,69%"
"02.12.2019","43,270","44,000","44,750","43,245","39,77M","-1,88%"
"29.11.2019","44,100","43,590","44,290","42,900","54,28M","1,04%"
"28.11.2019","43,645","44,400","44,635","43,260","52,75M","-1,94%"
"27.11.2019","44,510","44,990","45,170","44,240","42,69M","-1,09%"
"26.11.2019","45,000","46,300","46,425","44,455","95,56M","-2,57%"
"25.11.2019","46,185","46,755","47,245","45,915","26,84M","-1,17%"
"22.11.2019","46,730","45,860","47,180","45,635","40,95M","1,86%"
"21.11.2019","45,875","46,325","46,860","45,540","40,49M","-1,28%"
