"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","1.300","1.679","1.679","1.300","1,67K","-17,62%"
"27.12.2019","1.578","1.500","1.578","1.440","15,40K","9,36%"
"24.12.2019","1.443","1.441","1.443","1.441","0,58K","0,14%"
"23.12.2019","1.441","1.370","1.441","1.333","14,10K","5,18%"
"20.12.2019","1.370","1.235","1.370","1.235","2,18K","9,69%"
"19.12.2019","1.249","1.228","1.368","1.226","247,74K","1,54%"
"18.12.2019","1.230","1.212","1.235","1.186","144,44K","0,00%"
"17.12.2019","1.230","1.181","1.231","1.181","51,12K","4,15%"
"13.12.2019","1.181","1.176","1.181","1.176","30,61K","0,43%"
"12.12.2019","1.176","1.240","1.240","1.176","7,86K","-3,61%"
"11.12.2019","1.220","1.237","1.300","1.213","401,51K","-1,61%"
"10.12.2019","1.240","1.240","1.240","1.213","109,32K","0,00%"
"06.12.2019","1.240","1.250","1.250","1.151","31,04K","-0,80%"
"05.12.2019","1.250","1.225","1.250","1.150","1,25M","0,81%"
"03.12.2019","1.240","1.136","1.240","1.135","56,84K","9,73%"
"02.12.2019","1.130","1.130","1.132","1.117","187,33K","2,26%"
"29.11.2019","1.105","1.105","1.105","1.105","11,98K","-7,92%"
"28.11.2019","1.200","1.200","1.201","1.199","25,76K","0,00%"
"27.11.2019","1.200","1.297","1.365","1.200","8,07K","-12,41%"
"26.11.2019","1.370","1.131","1.370","1.131","3,97K","20,18%"
"25.11.2019","1.140","1.140","1.140","1.140","45,34K","0,00%"
"22.11.2019","1.140","1.288","1.368","1.109","124,89K","-16,79%"
"21.11.2019","1.370","1.287","1.370","1.275","6,57K","10,22%"
"20.11.2019","1.243","1.200","1.243","1.122","10,99K","-3,42%"
"19.11.2019","1.287","1.287","1.287","1.115","107,35K","7,70%"
"18.11.2019","1.195","1.150","1.248","1.090","19,87K","-7,08%"
"15.11.2019","1.286","1.286","1.286","1.286","1,24K","-0,08%"
"14.11.2019","1.287","1.120","1.330","1.120","184,42K","13,69%"
"13.11.2019","1.132","1.103","1.132","1.053","1,23K","-7,14%"
"12.11.2019","1.219","1.100","1.220","1.100","1,20M","10,82%"
"11.11.2019","1.100","1.101","1.329","1.095","13,80K","0,00%"
"08.11.2019","1.100","1.003","1.100","1.003","5,01K","-9,84%"
"07.11.2019","1.220","1.250","1.250","1.220","5,76K","-2,40%"
"06.11.2019","1.250","1.335","1.335","1.205","9,40K","9,75%"
"05.11.2019","1.139","1.342","1.342","1.139","423,45K","-15,13%"
"04.11.2019","1.342","1.342","1.342","1.342","2,00K","-0,59%"
"01.11.2019","1.350","1.369","1.369","1.349","12,75K","-1,46%"
"31.10.2019","1.370","1.350","1.370","1.300","3,36K","1,03%"
"30.10.2019","1.356","1.385","1.390","1.300","44,11K","-0,15%"
"29.10.2019","1.358","1.440","1.440","1.305","2,18K","-5,69%"
"28.10.2019","1.440","1.447","1.447","1.439","5,33K","-0,48%"
"25.10.2019","1.447","1.276","1.498","1.271","18,30K","-3,47%"
"24.10.2019","1.499","1.251","1.500","1.251","82,38K","-0,07%"
"23.10.2019","1.500","1.585","1.585","1.500","16,39K","-5,96%"
"22.10.2019","1.595","1.649","1.649","1.595","0,53K","-3,27%"
"21.10.2019","1.649","1.700","1.700","1.649","0,10K","17,79%"
"18.10.2019","1.400","1.365","1.405","1.365","72,79K","-0,07%"
"17.10.2019","1.401","1.300","1.500","1.300","5,01K","0,07%"
"16.10.2019","1.400","1.300","1.449","1.300","53,23K","2,87%"
"15.10.2019","1.361","1.500","1.500","1.360","3,79K","-9,39%"
"14.10.2019","1.502","1.500","1.503","1.500","21,54K","-0,13%"
"11.10.2019","1.504","1.600","1.650","1.504","37,30K","0,20%"
"10.10.2019","1.501","1.501","1.501","1.501","0,11K","-3,16%"
"09.10.2019","1.550","1.550","1.551","1.550","4,19K","-4,32%"
"08.10.2019","1.620","1.602","1.700","1.600","2,12K","0,56%"
"07.10.2019","1.611","1.770","1.770","1.555","3,04K","3,94%"
"04.10.2019","1.550","2.000","2.000","1.550","46,31K","-22,50%"
"03.10.2019","2.000","2.000","2.001","1.999","135,15K","0,00%"
"01.10.2019","2.000","2.060","2.060","2.000","6,24K","-2,68%"
"30.09.2019","2.055","2.075","2.098","2.055","64,03K","-0,24%"
"27.09.2019","2.060","2.051","2.061","2.051","157,56K","0,49%"
"26.09.2019","2.050","2.050","2.099","2.026","245,24K","0,49%"
"25.09.2019","2.040","2.039","2.040","2.024","35,91K","1,49%"
"23.09.2019","2.010","2.100","2.178","2.010","21,86K","-3,32%"
"20.09.2019","2.079","2.125","2.125","2.070","5,18K","-2,76%"
"18.09.2019","2.138","2.070","2.149","2.000","129,39K","-0,56%"
"17.09.2019","2.150","2.069","2.150","1.970","7,90K","3,86%"
"16.09.2019","2.070","2.170","2.170","2.070","4,76K","0,00%"
"13.09.2019","2.070","2.080","2.150","2.070","40,56K","-1,19%"
"12.09.2019","2.095","2.094","2.095","2.094","5,85K","0,00%"
"11.09.2019","2.095","1.941","2.099","1.941","2,97K","3,46%"
"10.09.2019","2.025","2.000","2.060","1.967","125,80K","1,25%"
"09.09.2019","2.000","1.963","2.066","1.944","31,38K","0,00%"
"06.09.2019","2.000","1.950","2.000","1.944","110,23K","1,52%"
"05.09.2019","1.970","1.980","1.980","1.953","67,99K","1,55%"
"04.09.2019","1.940","1.920","1.955","1.920","68,09K","1,52%"
"03.09.2019","1.911","1.956","1.957","1.911","216,43K","-2,30%"
"02.09.2019","1.956","1.980","1.980","1.956","136,48K","-2,20%"
"30.08.2019","2.000","2.009","2.009","1.978","212,92K","-2,44%"
"29.08.2019","2.050","2.050","2.050","2.050","10,96K","0,00%"
"28.08.2019","2.050","2.050","2.050","2.049","82,13K","-2,29%"
"27.08.2019","2.098","2.045","2.098","2.002","6,07K","2,34%"
"26.08.2019","2.050","2.000","2.050","2.000","1,96K","0,00%"
"23.08.2019","2.050","2.078","2.078","2.008","11,79K","-2,29%"
"22.08.2019","2.098","2.064","2.098","2.064","63,38K","1,65%"
"21.08.2019","2.064","2.065","2.100","2.064","15,09K","-0,05%"
"20.08.2019","2.065","2.100","2.101","2.064","48,40K","-0,10%"
"19.08.2019","2.067","2.067","2.067","2.067","0,01K","-3,73%"
"16.08.2019","2.147","2.145","2.150","2.140","5,01K","-0,14%"
"15.08.2019","2.150","2.190","2.190","2.001","31,12K","-2,27%"
"14.08.2019","2.200","2.200","2.201","2.200","3,24K","-1,79%"
"13.08.2019","2.240","2.240","2.240","2.239","0,64K","-0,44%"
"12.08.2019","2.250","2.264","2.300","2.200","143,31K","-0,62%"
"08.08.2019","2.264","2.344","2.345","2.264","10,19K","-5,47%"
"07.08.2019","2.395","2.347","2.395","2.346","5,86K","-0,08%"
"06.08.2019","2.397","2.397","2.397","2.347","2,44K","-0,08%"
"05.08.2019","2.399","2.400","2.400","2.299","10,96K","1,70%"
"02.08.2019","2.359","2.360","2.360","2.359","0,21K","4,20%"
"01.08.2019","2.264","2.360","2.360","2.264","8,00K","-3,45%"
"31.07.2019","2.345","2.300","2.360","2.300","22,50K","-0,64%"
"30.07.2019","2.360","2.290","2.400","2.290","27,20K","3,06%"
"29.07.2019","2.290","2.260","2.360","2.260","32,54K","0,00%"
"26.07.2019","2.290","2.360","2.400","2.269","16,58K","-1,72%"
"25.07.2019","2.330","2.350","2.400","2.301","61,79K","-1,31%"
"24.07.2019","2.361","2.382","2.399","2.317","2,20K","3,78%"
"23.07.2019","2.275","2.275","2.383","2.264","19,49K","-2,15%"
"22.07.2019","2.325","2.300","2.360","2.275","37,47K","1,09%"
"19.07.2019","2.300","2.275","2.339","2.275","0,89K","-2,09%"
"18.07.2019","2.349","2.275","2.354","2.275","1,62K","-0,34%"
"17.07.2019","2.357","2.357","2.357","2.357","","0,00%"
"16.07.2019","2.357","2.359","2.359","2.357","2,97K","-0,08%"
"15.07.2019","2.359","2.300","2.359","2.300","24,00K","1,46%"
"12.07.2019","2.325","2.375","2.375","2.275","3,56K","-3,13%"
"11.07.2019","2.400","2.400","2.400","2.400","1,36K","-0,79%"
"10.07.2019","2.419","2.300","2.420","2.300","2,52K","-0,25%"
"09.07.2019","2.425","2.300","2.430","2.275","35,16K","6,59%"
"08.07.2019","2.275","2.450","2.450","2.275","143,44K","-4,21%"
"05.07.2019","2.375","2.350","2.375","2.350","100,14K","1,06%"
"04.07.2019","2.350","2.350","2.352","2.350","67,00K","0,00%"
"03.07.2019","2.350","2.420","2.420","2.350","23,80K","-4,08%"
"02.07.2019","2.450","2.449","2.450","2.404","0,19K","-0,73%"
"01.07.2019","2.468","2.360","2.468","2.350","37,68K","4,98%"
"28.06.2019","2.351","2.351","2.450","2.351","2,12K","-4,08%"
"27.06.2019","2.451","2.448","2.451","2.350","19,07K","4,30%"
"26.06.2019","2.350","2.400","2.400","2.350","0,30K","-4,04%"
"25.06.2019","2.449","2.350","2.449","2.350","190,18K","2,04%"
"24.06.2019","2.400","2.451","2.451","2.399","95,69K","0,00%"
"21.06.2019","2.400","2.401","2.435","2.400","11,97K","-0,04%"
"20.06.2019","2.401","2.450","2.450","2.401","3,20K","-2,00%"
"19.06.2019","2.450","2.400","2.450","2.400","68,08K","0,00%"
"18.06.2019","2.450","2.401","2.450","2.400","7,46K","2,08%"
"14.06.2019","2.400","2.400","2.400","2.400","3,55K","-2,04%"
"13.06.2019","2.450","2.400","2.450","2.400","4,86K","0,12%"
"12.06.2019","2.447","2.401","2.449","2.399","46,15K","-0,04%"
"11.06.2019","2.448","2.450","2.450","2.401","0,30K","1,96%"
"10.06.2019","2.401","2.401","2.401","2.401","3,11K","-1,96%"
"07.06.2019","2.449","2.401","2.450","2.400","25,06K","2,00%"
"06.06.2019","2.401","2.401","2.401","2.401","2,50K","0,04%"
"05.06.2019","2.400","2.449","2.449","2.400","3,08K","-2,00%"
"04.06.2019","2.449","2.500","2.500","2.400","107,65K","-0,04%"
"03.06.2019","2.450","2.450","2.500","2.400","19,37K","2,08%"
"31.05.2019","2.400","2.400","2.400","2.400","14,86K","0,00%"
"30.05.2019","2.400","2.500","2.500","2.352","340,64K","-2,00%"
"29.05.2019","2.449","2.490","2.490","2.400","16,89K","-1,80%"
"28.05.2019","2.494","2.499","2.499","2.350","2,16K","-0,16%"
"27.05.2019","2.498","2.499","2.500","2.471","7,85K","-0,08%"
"24.05.2019","2.500","2.400","2.500","2.350","167,46K","4,17%"
"23.05.2019","2.400","2.400","2.500","2.350","513,16K","-3,19%"
"22.05.2019","2.479","2.350","2.499","2.280","11,10K","5,49%"
"21.05.2019","2.350","2.330","2.350","2.300","1,74K","0,00%"
"20.05.2019","2.350","2.388","2.470","2.159","347,42K","-1,59%"
"17.05.2019","2.388","2.300","2.388","2.299","51,43K","0,76%"
"16.05.2019","2.370","2.299","2.370","2.299","7,65K","0,00%"
"15.05.2019","2.370","2.370","2.370","2.370","3,00K","3,49%"
"14.05.2019","2.290","2.200","2.299","2.200","123,53K","4,14%"
"13.05.2019","2.199","2.300","2.300","2.163","351,10K","-2,27%"
"10.05.2019","2.250","2.150","2.500","2.150","334,99K","3,88%"
"09.05.2019","2.166","2.110","2.200","2.110","59,18K","3,04%"
"07.05.2019","2.102","2.086","2.185","2.086","17,14K","-3,89%"
"06.05.2019","2.187","2.188","2.188","2.187","9,48K","-0,14%"
"03.05.2019","2.190","2.100","2.190","2.100","9,41K","1,86%"
"02.05.2019","2.150","2.185","2.185","2.016","14,85K","-1,83%"
"30.04.2019","2.190","2.200","2.200","2.190","1,28K","4,29%"
"29.04.2019","2.100","2.100","2.100","2.026","14,12K","0,00%"
"26.04.2019","2.100","2.084","2.100","2.046","16,46K","0,72%"
"25.04.2019","2.085","2.051","2.100","2.040","47,45K","-0,71%"
"24.04.2019","2.100","2.020","2.100","2.020","16,65K","0,72%"
"23.04.2019","2.085","2.085","2.085","2.000","413,85K","3,22%"
"18.04.2019","2.020","2.020","2.021","2.020","30,16K","0,00%"
"17.04.2019","2.020","2.085","2.085","1.990","15,06K","0,00%"
"16.04.2019","2.020","2.035","2.085","1.997","54,99K","0,00%"
"15.04.2019","2.020","1.950","2.020","1.950","102,64K","0,50%"
"12.04.2019","2.010","2.010","2.010","2.010","1,54K","-0,05%"
"11.04.2019","2.011","2.011","2.011","2.011","3,74K","0,00%"
"10.04.2019","2.011","1.950","2.048","1.950","14,14K","3,13%"
"09.04.2019","1.950","1.955","1.999","1.950","59,94K","-2,50%"
"08.04.2019","2.000","1.950","2.000","1.950","260,10K","4,77%"
"05.04.2019","1.909","1.955","1.971","1.906","3,75K","-2,05%"
"04.04.2019","1.949","1.950","1.950","1.921","54,57K","-0,05%"
"03.04.2019","1.950","1.950","1.950","1.900","63,42K","2,36%"
"02.04.2019","1.905","2.000","2.000","1.901","519,09K","-3,98%"
"01.04.2019","1.984","2.000","2.000","1.919","166,61K","3,39%"
"29.03.2019","1.919","1.798","1.939","1.798","486,23K","6,61%"
"28.03.2019","1.800","1.800","1.800","1.800","9,57K","0,00%"
"27.03.2019","1.800","1.800","1.800","1.800","","0,00%"
"26.03.2019","1.800","1.799","1.800","1.736","99,99K","0,06%"
"25.03.2019","1.799","1.790","1.800","1.790","35,12K","-0,06%"
"22.03.2019","1.800","1.815","1.815","1.751","51,57K","-1,37%"
"20.03.2019","1.825","1.825","1.825","1.750","2,42K","-0,27%"
"19.03.2019","1.830","1.830","1.830","1.830","0,79K","-0,27%"
"18.03.2019","1.835","1.839","1.839","1.751","0,43K","-0,22%"
"15.03.2019","1.839","1.789","1.850","1.789","22,82K","-1,61%"
"14.03.2019","1.869","1.840","1.899","1.840","6,68K","1,58%"
