"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","130.733","132.448","132.448","130.650","84,72K","0,06%"
"30.12.2019","130.656","132.020","133.305","129.026","107,59K","-2,15%"
"27.12.2019","133.529","132.681","134.447","129.046","105,25K","1,16%"
"24.12.2019","132.000","129.122","132.374","127.512","68,74K","3,53%"
"23.12.2019","127.500","130.622","132.380","126.669","203,68K","-3,65%"
"20.12.2019","132.327","135.500","137.794","132.327","366,99K","-1,57%"
"19.12.2019","134.437","139.887","141.860","133.645","797,11K","-3,53%"
"18.12.2019","139.353","137.700","139.997","135.731","360,28K","1,25%"
"17.12.2019","137.630","131.001","139.359","129.340","443,35K","4,48%"
"13.12.2019","131.725","129.701","133.546","128.708","194,82K","-0,68%"
"12.12.2019","132.628","132.505","136.811","132.505","294,54K","0,47%"
"11.12.2019","132.012","129.466","132.788","129.466","186,55K","1,76%"
"10.12.2019","129.724","125.884","131.383","123.513","201,46K","2,32%"
"09.12.2019","126.788","127.050","127.264","124.552","116,45K","0,93%"
"06.12.2019","125.618","126.899","128.673","125.356","152,03K","-0,05%"
"05.12.2019","125.678","129.000","130.422","124.378","213,50K","-2,20%"
"04.12.2019","128.500","130.500","130.978","128.067","319,74K","-1,09%"
"03.12.2019","129.912","123.000","131.491","123.000","256,83K","4,31%"
"02.12.2019","124.543","122.408","125.459","120.893","315,74K","2,72%"
"29.11.2019","121.248","122.879","122.879","119.711","159,35K","0,64%"
"28.11.2019","120.471","122.499","124.886","120.471","169,41K","-1,59%"
"27.11.2019","122.421","121.665","126.246","121.665","222,54K","-0,12%"
"26.11.2019","122.568","124.258","126.392","122.005","584,37K","-0,92%"
"25.11.2019","123.700","123.000","125.147","121.018","247,79K","-0,33%"
"22.11.2019","124.113","123.108","124.645","119.867","233,14K","1,77%"
"21.11.2019","121.952","122.055","124.591","119.709","257,08K","-2,31%"
"20.11.2019","124.841","120.985","124.998","120.984","365,88K","3,00%"
"19.11.2019","121.200","119.400","122.433","118.125","365,46K","1,19%"
"18.11.2019","119.779","120.001","120.070","117.640","173,24K","1,84%"
"15.11.2019","117.614","117.600","119.986","116.428","272,92K","-1,57%"
"14.11.2019","119.492","120.215","123.087","118.121","304,84K","-2,06%"
"13.11.2019","122.000","116.701","127.789","116.701","360,44K","3,12%"
"12.11.2019","118.314","114.500","118.837","113.347","254,13K","4,71%"
"11.11.2019","112.987","113.100","115.519","112.714","212,61K","0,43%"
"08.11.2019","112.507","114.272","117.395","112.507","253,26K","-2,28%"
"07.11.2019","115.136","117.000","118.583","114.500","283,27K","-2,27%"
"06.11.2019","117.809","113.600","119.908","111.084","281,44K","5,77%"
"05.11.2019","111.381","111.544","114.488","110.585","253,61K","-0,80%"
"04.11.2019","112.274","113.948","113.948","110.666","158,28K","-0,77%"
"01.11.2019","113.150","113.255","114.793","112.007","227,10K","0,34%"
"31.10.2019","112.768","109.999","113.981","109.210","337,97K","2,52%"
"30.10.2019","110.000","107.195","111.982","104.501","259,12K","3,80%"
"29.10.2019","105.978","107.000","109.400","105.500","208,55K","-2,30%"
"28.10.2019","108.472","108.206","110.744","106.504","181,75K","1,48%"
"25.10.2019","106.889","109.499","109.499","106.553","140,77K","-1,51%"
"24.10.2019","108.532","108.027","109.483","106.155","267,34K","1,77%"
"23.10.2019","106.642","104.873","107.418","104.050","198,68K","1,18%"
"22.10.2019","105.400","108.100","110.153","104.000","240,95K","-3,82%"
"21.10.2019","109.586","107.111","111.606","107.111","244,43K","1,90%"
"18.10.2019","107.540","108.772","109.800","107.017","123,74K","-1,25%"
"17.10.2019","108.897","108.420","109.877","106.104","308,10K","2,04%"
"16.10.2019","106.716","104.702","107.895","104.702","295,64K","1,34%"
"15.10.2019","105.310","107.681","109.990","104.124","308,74K","-2,20%"
"14.10.2019","107.681","111.923","112.433","106.534","214,94K","-2,44%"
"11.10.2019","110.369","110.708","112.990","109.008","326,34K","0,61%"
"10.10.2019","109.700","109.300","111.997","107.038","337,89K","1,04%"
"09.10.2019","108.575","106.546","109.999","106.062","285,96K","2,44%"
"08.10.2019","105.984","104.800","107.393","102.903","180,29K","1,30%"
"07.10.2019","104.622","103.405","106.918","103.000","210,70K","1,51%"
"04.10.2019","103.069","104.015","107.491","102.500","295,76K","-2,54%"
"03.10.2019","105.750","98.212","106.100","97.855","497,52K","6,47%"
"02.10.2019","99.321","93.306","99.321","91.385","523,33K","6,35%"
"01.10.2019","93.395","91.303","94.000","89.180","213,26K","2,29%"
"30.09.2019","91.303","92.535","92.799","90.694","310,44K","-0,05%"
"27.09.2019","91.353","90.589","93.473","90.589","187,53K","-0,20%"
"26.09.2019","91.534","88.610","93.764","88.610","175,48K","0,27%"
"25.09.2019","91.292","90.500","93.781","89.995","194,32K","-0,76%"
"23.09.2019","91.990","91.253","92.564","90.119","270,13K","1,77%"
"20.09.2019","90.391","88.908","91.927","87.947","450,39K","2,59%"
"19.09.2019","88.105","87.000","89.168","85.303","569,67K","-0,46%"
"18.09.2019","88.515","88.580","90.787","87.100","202,22K","-0,07%"
"17.09.2019","88.580","90.833","91.406","88.552","209,02K","-2,79%"
"16.09.2019","91.120","89.536","92.775","87.707","445,95K","1,84%"
"13.09.2019","89.473","89.705","89.939","87.319","191,48K","-0,26%"
"12.09.2019","89.705","86.200","89.705","84.214","224,85K","5,72%"
"11.09.2019","84.850","83.000","84.850","81.619","188,00K","1,03%"
"10.09.2019","83.981","86.500","87.129","82.820","196,64K","-3,66%"
"09.09.2019","87.172","89.900","89.900","86.359","128,15K","-0,76%"
"06.09.2019","87.843","87.610","89.300","87.000","177,68K","-1,37%"
"05.09.2019","89.067","90.038","91.837","87.775","217,31K","-1,01%"
"04.09.2019","89.976","88.677","90.245","86.562","226,78K","0,84%"
"03.09.2019","89.226","88.788","90.594","87.787","151,80K","-0,79%"
"02.09.2019","89.937","93.500","93.500","89.507","225,02K","-3,37%"
"30.08.2019","93.074","90.100","93.074","88.627","323,35K","2,43%"
"29.08.2019","90.869","89.578","92.900","89.578","297,42K","1,61%"
"28.08.2019","89.427","84.560","89.744","83.112","216,72K","5,76%"
"27.08.2019","84.560","85.269","85.477","83.274","429,42K","0,12%"
"26.08.2019","84.462","82.145","84.628","80.912","123,10K","3,18%"
"23.08.2019","81.862","83.416","83.416","80.675","161,69K","-2,39%"
"22.08.2019","83.866","82.435","84.896","82.435","173,21K","-0,84%"
"21.08.2019","84.573","81.667","85.370","81.588","361,84K","3,56%"
"20.08.2019","81.667","82.745","82.745","78.056","194,87K","1,96%"
"19.08.2019","80.094","81.441","83.000","79.660","92,72K","0,81%"
"16.08.2019","79.453","78.850","81.312","78.850","183,24K","-1,23%"
"15.08.2019","80.442","83.806","85.500","79.806","223,46K","-3,79%"
"14.08.2019","83.615","82.500","84.301","80.118","217,97K","0,77%"
"13.08.2019","82.978","87.724","87.724","82.206","256,11K","-4,56%"
"12.08.2019","86.945","88.000","89.259","86.019","276,28K","-2,19%"
"08.08.2019","88.891","88.752","91.392","86.669","342,17K","0,71%"
"07.08.2019","88.262","84.055","88.943","82.574","263,76K","5,91%"
"06.08.2019","83.339","80.280","84.310","79.544","333,72K","3,18%"
"05.08.2019","80.774","78.673","81.395","78.673","240,24K","2,57%"
"02.08.2019","78.752","82.000","82.998","78.447","370,13K","-3,49%"
"01.08.2019","81.600","83.861","85.797","79.059","261,10K","-4,47%"
"31.07.2019","85.414","86.770","87.174","84.780","285,08K","-1,53%"
"30.07.2019","86.744","84.800","91.000","84.800","198,08K","-0,44%"
"29.07.2019","87.126","85.000","87.126","83.801","134,16K","2,72%"
"26.07.2019","84.822","83.834","85.500","82.995","130,67K","0,37%"
"25.07.2019","84.512","84.989","86.885","82.825","232,02K","0,13%"
"24.07.2019","84.400","82.000","84.400","82.000","207,57K","1,36%"
"23.07.2019","83.266","84.343","84.600","81.996","187,84K","-0,49%"
"22.07.2019","83.680","83.149","84.048","81.394","110,48K","0,73%"
"19.07.2019","83.072","82.399","84.584","80.241","249,96K","2,56%"
"18.07.2019","81.000","78.704","82.196","77.563","385,75K","3,42%"
"17.07.2019","78.318","79.550","81.089","77.219","287,11K","-2,83%"
"16.07.2019","80.595","81.044","81.211","79.580","179,25K","1,24%"
"15.07.2019","79.607","78.650","80.785","78.615","117,01K","0,32%"
"12.07.2019","79.357","80.500","80.887","78.600","105,62K","-1,24%"
"11.07.2019","80.354","81.000","81.999","79.501","183,35K","-0,67%"
"10.07.2019","80.900","80.962","81.297","79.290","222,84K","1,72%"
"09.07.2019","79.531","80.930","81.339","77.372","263,22K","-1,81%"
"08.07.2019","81.000","80.265","81.750","79.071","234,89K","1,56%"
"05.07.2019","79.756","80.485","81.899","78.737","148,68K","-0,98%"
"04.07.2019","80.548","81.674","82.779","79.700","110,59K","-1,98%"
"03.07.2019","82.173","81.000","83.194","80.455","318,77K","1,16%"
"02.07.2019","81.233","81.653","82.894","80.008","189,93K","-0,11%"
"01.07.2019","81.322","81.350","83.291","80.668","210,31K","-2,83%"
"28.06.2019","83.693","82.500","84.089","80.511","223,56K","1,55%"
"27.06.2019","82.418","85.716","86.996","82.007","185,71K","-4,18%"
"26.06.2019","86.013","86.245","86.399","83.043","290,07K","-0,27%"
"25.06.2019","86.245","82.900","87.500","80.601","190,83K","5,50%"
"24.06.2019","81.750","81.957","83.300","81.214","157,27K","0,54%"
"21.06.2019","81.308","80.500","82.439","79.314","442,27K","0,38%"
"20.06.2019","81.000","80.001","81.450","80.001","703,85K","1,60%"
"19.06.2019","79.725","80.110","81.166","79.205","224,23K","-1,60%"
"18.06.2019","81.025","81.459","82.064","79.588","322,89K","0,00%"
"14.06.2019","81.025","82.000","83.354","79.502","190,47K","-0,58%"
"13.06.2019","81.500","81.518","81.880","79.343","220,05K","1,33%"
"12.06.2019","80.427","78.059","81.012","77.150","275,18K","3,78%"
"11.06.2019","77.495","75.899","78.998","75.405","210,39K","1,55%"
"10.06.2019","76.311","78.600","78.600","74.174","219,53K","-3,04%"
"07.06.2019","78.700","76.113","79.000","75.795","175,74K","3,08%"
"06.06.2019","76.350","76.000","77.896","75.068","310,34K","-0,09%"
"05.06.2019","76.420","75.500","77.000","73.860","269,91K","2,43%"
"04.06.2019","74.606","74.600","75.865","72.885","224,27K","0,61%"
"03.06.2019","74.151","73.604","74.274","72.600","298,97K","1,19%"
"31.05.2019","73.278","70.747","73.278","70.500","337,29K","3,50%"
"30.05.2019","70.800","69.400","70.946","69.244","173,46K","1,88%"
"29.05.2019","69.494","71.009","71.009","67.903","239,75K","2,31%"
"28.05.2019","67.925","65.600","69.768","64.385","516,41K","3,55%"
"27.05.2019","65.597","65.575","66.246","64.380","104,00K","-0,03%"
"24.05.2019","65.616","65.500","66.711","65.121","372,37K","-0,30%"
"23.05.2019","65.816","67.500","67.500","65.816","278,80K","-2,50%"
"22.05.2019","67.504","67.524","68.651","67.079","229,70K","-0,73%"
"21.05.2019","68.000","70.899","70.899","67.795","256,43K","-2,44%"
"20.05.2019","69.700","69.605","70.800","68.442","223,34K","-1,11%"
"17.05.2019","70.482","71.400","71.900","69.216","360,93K","-1,91%"
