"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","1.390","1.402","1.405","1.390","134,77K","-2,11%"
"30.12.2019","1.420","1.366","1.420","1.366","652,55K","4,34%"
"27.12.2019","1.361","1.340","1.361","1.317","272,42K","4,61%"
"24.12.2019","1.301","1.333","1.334","1.291","38,73K","-1,44%"
"23.12.2019","1.320","1.314","1.350","1.309","176,98K","0,46%"
"20.12.2019","1.314","1.364","1.364","1.253","2,16M","-3,31%"
"19.12.2019","1.359","1.375","1.399","1.351","253,93K","-1,88%"
"18.12.2019","1.385","1.400","1.400","1.379","365,41K","-0,36%"
"17.12.2019","1.390","1.450","1.450","1.385","242,68K","0,00%"
"13.12.2019","1.390","1.431","1.460","1.385","690,08K","-0,50%"
"12.12.2019","1.397","1.414","1.414","1.383","1,95M","-0,21%"
"11.12.2019","1.400","1.412","1.429","1.382","1,56M","0,72%"
"10.12.2019","1.390","1.461","1.493","1.387","258,89K","-5,89%"
"09.12.2019","1.477","1.520","1.559","1.465","91,60K","0,96%"
"06.12.2019","1.463","1.460","1.519","1.460","168,58K","-2,47%"
"05.12.2019","1.500","1.550","1.570","1.487","483,09K","-4,15%"
"04.12.2019","1.565","1.551","1.575","1.551","199,04K","-0,63%"
"03.12.2019","1.575","1.550","1.578","1.550","628,67K","0,00%"
"02.12.2019","1.575","1.580","1.580","1.555","976,49K","0,19%"
"29.11.2019","1.572","1.531","1.580","1.468","740,31K","1,42%"
"28.11.2019","1.550","1.466","1.591","1.443","2,06M","6,53%"
"27.11.2019","1.455","1.510","1.550","1.351","7,14M","-11,82%"
"26.11.2019","1.650","1.650","1.665","1.621","399,78K","0,00%"
"25.11.2019","1.650","1.626","1.663","1.600","915,37K","2,42%"
"22.11.2019","1.611","1.590","1.650","1.590","366,29K","1,58%"
"21.11.2019","1.586","1.410","1.612","1.396","1,78M","13,29%"
"20.11.2019","1.400","1.519","1.523","1.380","683,10K","-7,41%"
"19.11.2019","1.512","1.535","1.542","1.492","428,17K","-2,39%"
"18.11.2019","1.549","1.510","1.588","1.510","195,30K","-0,19%"
"15.11.2019","1.552","1.579","1.622","1.528","347,24K","-2,51%"
"14.11.2019","1.592","1.616","1.685","1.584","301,07K","-2,39%"
"13.11.2019","1.631","1.673","1.699","1.607","248,53K","-3,78%"
"12.11.2019","1.695","1.666","1.719","1.666","143,30K","-1,40%"
"11.11.2019","1.719","1.745","1.745","1.702","69,40K","-0,98%"
"08.11.2019","1.736","1.730","1.766","1.693","236,46K","-0,23%"
