"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","59.737","60.000","60.000","59.280","90,76K","-1,13%"
"30.12.2019","60.420","60.399","60.838","59.626","180,99K","0,67%"
"27.12.2019","60.015","60.000","60.075","58.937","336,64K","0,95%"
"24.12.2019","59.450","59.228","59.863","58.918","236,23K","0,38%"
"23.12.2019","59.227","60.650","60.650","59.106","446,13K","-2,37%"
"20.12.2019","60.664","60.570","60.980","60.072","1,14M","-0,03%"
"19.12.2019","60.684","60.904","61.349","60.440","2,77M","0,00%"
"18.12.2019","60.681","60.701","61.229","60.317","899,36K","0,74%"
"17.12.2019","60.233","60.000","61.183","59.994","1,54M","2,36%"
"13.12.2019","58.843","57.800","59.192","56.174","1,13M","2,18%"
"12.12.2019","57.590","58.051","58.051","57.208","481,43K","-0,79%"
"11.12.2019","58.051","58.500","58.500","57.556","526,48K","-0,60%"
"10.12.2019","58.399","57.500","58.399","56.500","921,50K","1,19%"
"09.12.2019","57.714","57.300","58.110","57.078","471,92K","0,76%"
"06.12.2019","57.278","56.851","57.462","56.501","695,40K","1,05%"
"05.12.2019","56.681","56.648","57.230","56.326","944,82K","0,16%"
"04.12.2019","56.592","56.400","56.765","55.655","514,40K","-0,10%"
"03.12.2019","56.648","57.585","57.851","56.542","823,55K","-1,79%"
"02.12.2019","57.683","57.499","59.583","57.384","872,79K","-0,12%"
"29.11.2019","57.750","57.800","58.307","57.473","539,73K","-0,99%"
"28.11.2019","58.328","58.029","58.539","57.753","912,70K","0,16%"
"27.11.2019","58.236","56.601","58.550","55.769","1,47M","2,69%"
"26.11.2019","56.711","57.031","57.631","56.602","934,67K","-0,59%"
"25.11.2019","57.049","56.800","57.259","56.093","880,10K","1,20%"
"22.11.2019","56.375","56.999","56.999","55.914","587,54K","0,57%"
"21.11.2019","56.053","55.390","58.357","55.081","1,13M","2,62%"
"20.11.2019","54.620","55.660","55.900","54.264","433,32K","-1,87%"
"19.11.2019","55.659","55.000","55.961","54.922","573,21K","1,23%"
"18.11.2019","54.985","53.600","55.457","53.600","743,12K","2,58%"
"15.11.2019","53.600","56.000","56.000","53.571","594,73K","-3,14%"
"14.11.2019","55.337","56.101","56.101","54.806","397,43K","-1,33%"
"13.11.2019","56.083","55.671","56.534","55.671","667,91K","0,74%"
"12.11.2019","55.671","55.700","55.798","55.028","855,95K","0,58%"
"11.11.2019","55.352","54.950","55.554","54.369","431,60K","1,47%"
"08.11.2019","54.550","54.546","55.682","54.001","425,34K","0,01%"
"07.11.2019","54.546","54.300","55.478","53.907","582,93K","0,57%"
"06.11.2019","54.239","53.335","54.487","52.845","767,58K","2,63%"
"05.11.2019","52.850","53.498","54.138","52.699","578,43K","-0,92%"
"04.11.2019","53.342","52.101","53.607","51.945","599,63K","-0,07%"
"01.11.2019","53.377","53.050","53.589","52.101","270,90K","0,65%"
"31.10.2019","53.030","52.900","53.948","52.593","656,99K","0,20%"
"30.10.2019","52.923","51.199","53.000","50.550","967,70K","3,97%"
"29.10.2019","50.900","50.930","51.111","50.000","776,99K","-0,06%"
"28.10.2019","50.931","51.995","51.995","50.178","859,57K","0,70%"
"25.10.2019","50.575","51.957","51.957","50.346","1,08M","-1,86%"
"24.10.2019","51.531","51.501","52.396","51.413","1,16M","0,71%"
"23.10.2019","51.166","50.656","51.509","50.656","619,31K","1,25%"
"22.10.2019","50.533","50.623","50.765","50.218","592,09K","-0,55%"
"21.10.2019","50.811","50.861","51.109","50.591","323,85K","-0,33%"
"18.10.2019","50.977","51.000","51.326","50.480","475,57K","-0,56%"
"17.10.2019","51.263","51.543","51.735","50.919","950,03K","-0,54%"
"16.10.2019","51.541","51.532","51.963","50.897","1,02M","0,85%"
"15.10.2019","51.106","50.928","51.554","50.389","691,58K","1,66%"
"14.10.2019","50.270","50.680","51.226","49.658","1,04M","0,53%"
"11.10.2019","50.007","51.935","52.043","49.824","2,56M","-4,01%"
"10.10.2019","52.095","52.296","52.466","51.602","647,48K","-0,38%"
"09.10.2019","52.296","52.388","52.655","51.775","472,48K","-0,59%"
"08.10.2019","52.604","52.489","52.933","52.070","400,79K","-0,06%"
"07.10.2019","52.636","51.658","52.734","51.502","625,55K","2,16%"
"04.10.2019","51.522","52.424","52.477","51.329","631,04K","-1,63%"
"03.10.2019","52.377","53.143","53.518","52.016","593,48K","-2,25%"
"02.10.2019","53.583","55.389","55.539","53.425","687,79K","-4,54%"
"01.10.2019","56.130","55.848","56.770","55.801","468,98K","-0,16%"
"30.09.2019","56.222","54.848","56.391","54.730","833,91K","3,00%"
"27.09.2019","54.582","53.200","55.649","53.200","720,58K","0,10%"
"26.09.2019","54.525","53.155","54.613","51.745","871,65K","0,84%"
"25.09.2019","54.070","52.896","54.635","52.263","736,41K","1,64%"
"23.09.2019","53.200","54.146","54.549","52.840","466,62K","-1,75%"
"20.09.2019","54.146","53.855","54.585","53.650","1,96M","-0,36%"
"19.09.2019","54.344","53.901","54.500","53.721","2,57M","0,11%"
"18.09.2019","54.283","53.866","54.644","53.852","628,76K","0,77%"
"17.09.2019","53.866","53.000","54.353","52.902","834,30K","1,38%"
"16.09.2019","53.133","53.480","53.945","53.109","927,63K","-1,40%"
"13.09.2019","53.890","55.363","55.387","53.334","1,03M","-2,47%"
"12.09.2019","55.256","55.176","56.798","54.927","1,11M","0,63%"
"11.09.2019","54.911","53.812","55.058","53.788","407,04K","2,37%"
"10.09.2019","53.638","52.625","53.774","51.715","448,27K","2,19%"
"09.09.2019","52.491","53.165","53.949","52.211","426,97K","-0,85%"
"06.09.2019","52.941","53.100","53.123","52.505","637,11K","-0,05%"
"05.09.2019","52.967","52.748","53.216","52.572","392,86K","1,21%"
"04.09.2019","52.333","53.432","53.710","52.289","336,17K","-1,49%"
"03.09.2019","53.123","53.005","53.375","52.551","588,53K","-0,18%"
"02.09.2019","53.218","53.500","54.156","53.218","938,14K","-0,58%"
"30.08.2019","53.526","53.373","54.017","52.918","692,15K","0,08%"
"29.08.2019","53.481","53.653","54.085","53.242","715,38K","0,68%"
"28.08.2019","53.119","51.789","53.328","51.784","1,24M","-1,71%"
"27.08.2019","54.043","55.060","55.761","53.547","614,36K","-1,91%"
"26.08.2019","55.095","55.100","55.650","54.524","191,46K","-0,61%"
"23.08.2019","55.431","55.588","55.799","55.144","326,02K","-0,28%"
"22.08.2019","55.588","55.961","55.961","54.651","462,03K","-0,67%"
"21.08.2019","55.961","55.400","56.416","55.400","433,68K","0,74%"
"20.08.2019","55.549","56.789","56.991","55.271","600,81K","-1,86%"
"19.08.2019","56.600","56.241","56.702","56.096","361,18K","1,02%"
"16.08.2019","56.027","56.400","56.622","55.482","390,94K","-0,60%"
"15.08.2019","56.367","55.670","57.112","55.670","972,00K","1,06%"
"14.08.2019","55.776","55.482","55.893","55.120","595,31K","0,64%"
"13.08.2019","55.423","55.600","56.475","55.276","649,02K","-2,49%"
"12.08.2019","56.840","56.354","57.232","56.354","770,75K","1,50%"
"08.08.2019","56.000","55.500","56.576","54.677","1,23M","1,18%"
"07.08.2019","55.348","53.944","55.348","53.640","714,80K","2,45%"
"06.08.2019","54.023","53.768","54.490","52.913","1,07M","-0,23%"
"05.08.2019","54.146","54.000","55.831","53.925","958,91K","-3,22%"
"02.08.2019","55.948","55.672","56.476","54.696","867,95K","0,48%"
"01.08.2019","55.679","52.388","55.802","51.533","1,98M","8,66%"
"31.07.2019","51.241","51.325","51.551","50.759","535,46K","-0,45%"
"30.07.2019","51.474","53.110","53.523","51.268","1,20M","-4,99%"
"29.07.2019","54.177","53.630","54.249","53.282","358,22K","1,02%"
"26.07.2019","53.630","52.914","53.699","52.767","501,38K","1,15%"
"25.07.2019","53.020","52.426","53.213","52.199","764,10K","0,88%"
"24.07.2019","52.555","52.510","52.598","51.797","1,02M","-0,89%"
"23.07.2019","53.026","53.372","53.829","52.717","647,23K","0,30%"
"22.07.2019","52.870","53.810","53.810","52.591","361,86K","-2,34%"
"19.07.2019","54.138","54.100","54.757","53.639","506,00K","0,32%"
"18.07.2019","53.964","50.723","54.014","50.723","1,14M","5,94%"
"17.07.2019","50.939","50.825","51.712","50.825","916,43K","-0,12%"
