"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","6.280","6.424","6.424","6.260","1,53M","-1,86%"
"30.12.2019","6.399","6.345","6.431","6.322","2,67M","0,87%"
"27.12.2019","6.344","6.285","6.454","6.275","3,47M","0,03%"
"24.12.2019","6.342","6.362","6.374","6.280","2,13M","-0,30%"
"23.12.2019","6.361","6.350","6.442","6.265","5,27M","-0,44%"
"20.12.2019","6.389","6.505","6.526","6.375","15,05M","-1,08%"
"19.12.2019","6.459","6.554","6.619","6.418","25,05M","-1,36%"
"18.12.2019","6.548","6.441","6.553","6.418","9,36M","1,68%"
"17.12.2019","6.440","6.451","6.619","6.434","13,83M","0,47%"
"13.12.2019","6.410","6.256","6.471","6.256","10,04M","3,39%"
"12.12.2019","6.200","6.225","6.260","6.156","6,94M","0,13%"
"11.12.2019","6.192","6.190","6.192","6.118","6,32M","1,23%"
"10.12.2019","6.117","6.190","6.190","6.045","9,68M","-1,67%"
"09.12.2019","6.221","6.220","6.257","6.152","5,80M","-0,21%"
"06.12.2019","6.234","6.200","6.266","6.185","6,19M","1,25%"
"05.12.2019","6.157","6.165","6.237","6.114","7,50M","-0,52%"
"04.12.2019","6.189","6.156","6.276","6.140","8,53M","0,47%"
"03.12.2019","6.160","6.211","6.239","6.145","13,86M","-0,81%"
"02.12.2019","6.210","6.262","6.268","6.166","11,30M","-0,83%"
"29.11.2019","6.262","6.149","6.323","6.113","14,68M","1,10%"
"28.11.2019","6.194","6.215","6.259","6.155","9,62M","-1,10%"
"27.11.2019","6.263","6.225","6.338","6.216","7,64M","0,61%"
"26.11.2019","6.225","6.443","6.480","6.225","22,31M","-3,38%"
"25.11.2019","6.443","6.502","6.571","6.398","10,93M","-1,90%"
"22.11.2019","6.568","6.640","6.691","6.530","7,52M","-1,01%"
"21.11.2019","6.635","6.748","6.752","6.556","10,42M","-1,70%"
"20.11.2019","6.750","6.600","6.788","6.520","15,26M","-1,53%"
"19.11.2019","6.855","6.718","6.868","6.718","10,16M","1,77%"
"18.11.2019","6.736","6.800","6.863","6.659","6,68M","0,06%"
"15.11.2019","6.732","6.800","6.801","6.669","8,38M","-0,27%"
"14.11.2019","6.750","6.711","6.813","6.686","4,01M","-0,04%"
"13.11.2019","6.753","6.825","6.859","6.716","11,71M","-1,96%"
"12.11.2019","6.888","6.840","6.907","6.780","7,73M","1,19%"
"11.11.2019","6.807","6.785","6.816","6.725","7,62M","-0,41%"
"08.11.2019","6.835","6.842","6.900","6.750","6,12M","-0,26%"
"07.11.2019","6.853","6.894","6.990","6.830","7,50M","-0,74%"
"06.11.2019","6.904","6.828","6.940","6.778","11,22M","1,01%"
"05.11.2019","6.835","6.710","6.858","6.708","12,06M","2,34%"
"04.11.2019","6.679","6.650","6.715","6.600","7,45M","2,45%"
"01.11.2019","6.519","6.530","6.593","6.461","7,86M","-0,17%"
"31.10.2019","6.530","6.600","6.709","6.512","19,45M","-1,06%"
"30.10.2019","6.600","6.780","6.795","6.534","11,65M","-2,57%"
"29.10.2019","6.774","6.800","6.858","6.648","11,47M","0,09%"
"28.10.2019","6.768","6.665","6.799","6.664","6,91M","1,51%"
