"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","180","180","180","180","0,00K","-2,17%"
"30.12.2019","184","173","184","172","377,50K","16,46%"
"27.12.2019","158","158","170","156","46,10K","-9,71%"
"24.12.2019","175","175","175","175","0,00K","-4,37%"
"23.12.2019","183","183","183","183","3,82K","0,00%"
"20.12.2019","183","180","184","165","47,79K","4,57%"
"19.12.2019","175","164","175","161","1,49M","2,94%"
"18.12.2019","170","155","170","155","438,37K","9,68%"
"17.12.2019","155","154","171","154","11,42K","-9,36%"
"13.12.2019","171","171","171","171","69,47K","0,00%"
"12.12.2019","171","172","172","170","1,89M","-0,58%"
"11.12.2019","172","160","172","160","225,73K","4,24%"
"10.12.2019","165","151","165","150","6,02K","0,61%"
"09.12.2019","164","150","164","150","11,30K","9,33%"
"06.12.2019","150","151","151","150","47,70K","2,74%"
"05.12.2019","146","163","163","146","10,75K","-11,52%"
"04.12.2019","165","160","165","160","454,24K","3,13%"
"03.12.2019","160","160","167","150","340,33K","-4,19%"
"02.12.2019","167","160","169","160","51,55K","4,38%"
"29.11.2019","160","145","160","145","403,20K","0,00%"
"28.11.2019","160","160","160","160","225,00K","0,00%"
"27.11.2019","160","160","163","160","277,38K","10,34%"
"26.11.2019","145","145","160","145","54,58K","-12,12%"
"25.11.2019","165","136","165","136","43,76K","13,79%"
"22.11.2019","145","146","160","145","122,66K","-0,68%"
"21.11.2019","146","141","150","141","920,65K","0,69%"
"20.11.2019","145","141","145","141","1,17M","0,00%"
"19.11.2019","145","140","145","136","97,42K","1,40%"
"18.11.2019","143","143","143","140","53,83K","-0,69%"
"15.11.2019","144","140","149","140","118,61K","-4,00%"
"14.11.2019","150","150","150","150","22,70K","0,00%"
"13.11.2019","150","138","150","138","1,03M","4,90%"
"12.11.2019","143","143","143","143","13,95K","-1,38%"
"11.11.2019","145","140","145","140","42,30K","0,00%"
"08.11.2019","145","145","145","135","55,82K","0,00%"
"07.11.2019","145","141","145","140","53,84K","0,00%"
"06.11.2019","145","145","150","145","26,50K","-3,33%"
"05.11.2019","150","147","150","140","33,15K","-0,66%"
"04.11.2019","151","150","151","150","202,37K","-2,58%"
"01.11.2019","155","150","155","150","84,45K","0,00%"
"31.10.2019","155","151","155","151","13,31K","3,33%"
"30.10.2019","150","150","155","150","238,49K","0,00%"
"29.10.2019","150","150","150","150","2,91K","-3,23%"
"28.10.2019","155","150","155","150","51,80K","0,00%"
"25.10.2019","155","150","155","150","146,56K","3,33%"
"24.10.2019","150","152","156","150","68,94K","-5,06%"
"23.10.2019","158","160","160","158","123,27K","-3,66%"
"22.10.2019","164","151","174","145","743,13K","8,61%"
"21.10.2019","151","140","151","140","146,82K","7,86%"
"18.10.2019","140","140","140","113","2,10M","0,00%"
"17.10.2019","140","152","152","120","1,85M","-7,28%"
"16.10.2019","151","185","185","151","187,71K","-12,21%"
"15.10.2019","172","170","175","170","177,51K","-4,44%"
"14.10.2019","180","180","195","175","5,35M","0,00%"
"11.10.2019","180","185","185","180","4,59K","-2,70%"
"10.10.2019","185","170","185","170","635,51K","7,56%"
"09.10.2019","172","161","178","161","457,35K","6,83%"
"08.10.2019","161","170","175","161","38,48K","-5,29%"
"07.10.2019","170","174","185","170","278,60K","-2,30%"
"04.10.2019","174","164","174","164","17,57K","5,45%"
"03.10.2019","165","165","170","160","2,18M","0,00%"
"02.10.2019","165","160","165","160","181,94K","3,13%"
"01.10.2019","160","155","160","151","85,24K","-2,44%"
"30.09.2019","164","165","165","164","4,40K","2,50%"
"27.09.2019","160","160","160","160","15,50K","5,96%"
"26.09.2019","151","151","160","151","321,64K","-5,63%"
"23.09.2019","160","151","160","151","18,04K","-3,03%"
"20.09.2019","165","161","165","150","28,77K","2,48%"
"18.09.2019","161","153","161","150","1,22M","2,55%"
"17.09.2019","157","152","157","150","278,87K","0,00%"
"13.09.2019","157","150","157","150","694,71K","1,29%"
"11.09.2019","155","150","155","150","19,42K","0,00%"
"10.09.2019","155","153","155","153","17,25K","3,33%"
"09.09.2019","150","150","153","150","92,66K","0,00%"
"06.09.2019","150","150","150","150","12,23K","0,00%"
"05.09.2019","150","150","153","150","440,40K","0,00%"
"04.09.2019","150","151","153","150","258,99K","-1,96%"
"03.09.2019","153","150","153","148","127,74K","-0,65%"
"02.09.2019","154","148","154","148","57,02K","2,67%"
"30.08.2019","150","151","151","145","1,08M","-3,23%"
"29.08.2019","155","145","155","145","629,14K","6,90%"
"28.08.2019","145","140","150","140","2,18M","0,00%"
"27.08.2019","145","155","155","141","3,75M","-7,64%"
"26.08.2019","157","150","157","150","2,69K","1,95%"
"23.08.2019","154","154","154","150","63,00K","2,67%"
"22.08.2019","150","150","154","150","556,61K","-1,32%"
"21.08.2019","152","150","155","150","134,15K","1,33%"
"20.08.2019","150","155","161","150","21,47K","-0,66%"
"19.08.2019","151","155","160","151","66,05K","-5,63%"
"16.08.2019","160","160","160","157","1,33M","1,27%"
"15.08.2019","158","160","160","158","508,13K","-3,07%"
"14.08.2019","163","162","163","160","67,58K","0,62%"
"13.08.2019","162","165","165","162","103,75K","0,00%"
"12.08.2019","162","162","162","160","856,63K","0,00%"
"08.08.2019","162","162","162","162","9,04K","0,00%"
"07.08.2019","162","162","162","162","3,91K","0,00%"
"06.08.2019","162","161","165","161","500,40K","0,62%"
"05.08.2019","161","170","170","161","5,12K","0,00%"
"02.08.2019","161","165","170","161","5,95K","0,00%"
"01.08.2019","161","161","165","161","74,10K","0,63%"
"31.07.2019","160","162","162","160","444,05K","-0,62%"
"30.07.2019","161","160","165","160","2,35M","0,63%"
"29.07.2019","160","161","163","160","119,53K","-0,62%"
"26.07.2019","161","160","161","160","1,01M","0,63%"
"25.07.2019","160","163","163","160","59,05K","0,00%"
"24.07.2019","160","160","160","160","317,10K","-1,84%"
"23.07.2019","163","165","165","160","54,56K","1,88%"
"22.07.2019","160","164","164","160","103,11K","0,00%"
"19.07.2019","160","164","165","160","78,93K","0,00%"
"18.07.2019","160","165","165","160","42,44K","0,00%"
"17.07.2019","160","160","160","160","103,90K","-3,03%"
"16.07.2019","165","160","165","155","873,42K","3,77%"
"15.07.2019","159","160","160","158","160,78K","-0,63%"
"11.07.2019","160","160","165","150","749,00K","-2,44%"
"10.07.2019","164","158","165","155","29,09K","1,23%"
"09.07.2019","162","158","162","158","9,95K","0,00%"
"08.07.2019","162","158","162","158","69,03K","-1,82%"
"05.07.2019","165","158","165","158","220,00K","0,00%"
"04.07.2019","165","160","165","160","52,48K","2,48%"
"03.07.2019","161","165","165","156","143,02K","-2,42%"
"02.07.2019","165","165","165","153","298,37K","0,00%"
"01.07.2019","165","160","165","160","221,57K","0,00%"
"28.06.2019","165","160","165","152","370,72K","3,13%"
"27.06.2019","160","152","165","152","127,35K","6,67%"
"26.06.2019","150","145","150","145","402,37K","7,91%"
"25.06.2019","139","155","165","130","232,78K","-7,95%"
"24.06.2019","151","160","165","151","106,06K","-8,48%"
"21.06.2019","165","165","165","165","5,00K","0,00%"
"20.06.2019","165","158","165","150","69,79K","3,13%"
"19.06.2019","160","158","165","158","35,26K","-3,03%"
"18.06.2019","165","175","175","161","185,56K","-7,82%"
"14.06.2019","179","163","179","163","49,07K","5,29%"
"13.06.2019","170","173","175","170","720,08K","-2,86%"
"12.06.2019","175","175","175","161","129,07K","6,06%"
"11.06.2019","165","160","168","155","2,40M","5,77%"
"10.06.2019","156","156","157","151","413,76K","0,00%"
"07.06.2019","156","127","156","127","433,37K","4,00%"
"06.06.2019","150","150","157","146","447,50K","-4,46%"
"05.06.2019","157","165","165","150","418,37K","-3,68%"
"04.06.2019","163","156","168","156","52,20K","-6,32%"
"03.06.2019","174","170","174","170","12,00K","2,35%"
"31.05.2019","170","170","170","157","50,43K","-1,73%"
"30.05.2019","173","160","173","160","152,73K","8,13%"
"29.05.2019","160","160","160","160","31,50K","-5,88%"
"28.05.2019","170","173","173","170","3,47K","-1,73%"
"27.05.2019","173","175","175","173","4,72K","1,76%"
"24.05.2019","170","160","170","160","5,87K","0,00%"
"23.05.2019","170","160","170","160","17,00K","6,25%"
"22.05.2019","160","160","160","160","80,00K","3,23%"
"21.05.2019","155","169","169","155","386,73K","-8,28%"
"20.05.2019","169","175","175","169","16,64K","0,00%"
"17.05.2019","169","170","170","169","42,80K","-0,59%"
"16.05.2019","170","171","171","170","16,25K","0,00%"
"15.05.2019","170","173","173","170","32,12K","-2,86%"
"14.05.2019","175","175","175","165","72,82K","0,00%"
"13.05.2019","175","175","175","172","174,39K","0,00%"
"10.05.2019","175","175","175","173","87,73K","0,00%"
"09.05.2019","175","172","180","170","142,97K","-4,37%"
"07.05.2019","183","184","184","175","115,13K","4,57%"
"06.05.2019","175","175","184","175","33,63K","-2,78%"
"03.05.2019","180","185","185","175","141,30K","2,86%"
"02.05.2019","175","175","175","172","178,56K","0,00%"
"30.04.2019","175","172","175","172","104,03K","0,00%"
"29.04.2019","175","175","179","173","2,19M","0,00%"
"26.04.2019","175","175","183","175","33,21K","0,00%"
"25.04.2019","175","180","188","175","1,73M","-0,57%"
"24.04.2019","176","174","176","174","20,99K","1,15%"
"23.04.2019","174","172","176","172","43,02K","0,00%"
"18.04.2019","174","175","185","174","1,46M","-0,57%"
"17.04.2019","175","175","175","174","55,87K","0,57%"
"16.04.2019","174","175","175","170","1,65M","-0,57%"
"15.04.2019","175","176","190","165","6,63M","0,00%"
"12.04.2019","175","175","180","175","465,87K","2,94%"
"11.04.2019","170","172","175","170","127,32K","-1,73%"
"10.04.2019","173","171","175","171","543,37K","-1,14%"
"09.04.2019","175","175","180","175","1,40M","0,00%"
"08.04.2019","175","175","180","175","814,39K","-2,78%"
"05.04.2019","180","180","180","171","116,03K","0,00%"
"04.04.2019","180","171","183","171","63,91K","2,86%"
"03.04.2019","175","185","185","171","134,91K","0,00%"
"02.04.2019","175","189","189","175","173,68K","-9,33%"
"01.04.2019","193","190","195","190","33,91K","3,21%"
"29.03.2019","187","183","187","170","242,85K","1,63%"
"28.03.2019","184","180","184","174","39,60K","2,22%"
"27.03.2019","180","175","180","175","214,18K","0,00%"
"26.03.2019","180","163","180","163","70,73K","5,88%"
"25.03.2019","170","163","171","163","404,07K","-2,86%"
"22.03.2019","175","175","180","152","1,79M","2,94%"
"20.03.2019","170","185","185","170","88,64K","-8,11%"
"19.03.2019","185","181","185","181","134,26K","2,21%"
"18.03.2019","181","183","185","180","583,20K","-2,16%"
"15.03.2019","185","181","185","181","27,09K","-3,65%"
"14.03.2019","192","195","195","184","9,35K","6,08%"
"13.03.2019","181","181","190","181","62,00K","-2,16%"
"12.03.2019","185","181","185","181","32,42K","-0,54%"
"11.03.2019","186","186","186","186","21,76K","-5,10%"
"08.03.2019","196","196","196","185","116,48K","1,55%"
"07.03.2019","193","180","193","174","61,76K","-1,03%"
"06.03.2019","195","174","195","174","93,65K","-2,50%"
"05.03.2019","200","190","200","189","314,18K","11,11%"
"04.03.2019","180","181","198","180","449,62K","-5,76%"
"01.03.2019","191","197","200","185","57,20K","-4,50%"
"28.02.2019","200","195","200","181","309,13K","1,01%"
"27.02.2019","198","198","198","198","20,00K","0,00%"
"26.02.2019","198","185","200","177","59,30K","-5,71%"
"25.02.2019","210","180","210","180","16,70K","13,51%"
"22.02.2019","185","218","220","177","431,87K","0,54%"
"21.02.2019","184","175","184","175","5,36K","5,14%"
"20.02.2019","175","175","185","175","162,50K","-5,41%"
"19.02.2019","185","190","190","173","40,22K","-4,15%"
"18.02.2019","193","175","195","175","208,86K","4,32%"
