"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.12.2019","5.157","5.166","5.166","5.100","1,42K","12,48%"
"23.12.2019","4.585","4.585","4.585","4.585","1,10K","1,30%"
"17.12.2019","4.526","4.522","5.463","4.522","2,02K","-9,48%"
"21.11.2019","5.000","5.000","5.000","5.000","1,01K","8,39%"
"18.11.2019","4.613","4.613","4.613","4.613","1,88K","0,00%"
"15.11.2019","4.613","4.000","4.613","4.000","0,80K","15,33%"
"13.11.2019","4.000","4.000","4.000","4.000","0,40K","0,00%"
"11.11.2019","4.000","4.000","4.000","4.000","0,96K","0,00%"
"04.11.2019","4.000","4.000","4.000","4.000","0,01K","-11,50%"
"01.11.2019","4.520","4.520","4.520","4.520","12,10K","13,00%"
"28.10.2019","4.000","4.000","4.000","4.000","0,30K","0,00%"
"25.10.2019","4.000","4.000","4.000","4.000","0,18K","-33,11%"
"22.10.2019","5.980","5.980","5.980","5.980","0,00K","-0,33%"
"21.10.2019","6.000","6.000","6.000","6.000","0,00K","50,00%"
"18.10.2019","4.000","4.000","4.000","4.000","0,02K","-3,80%"
"16.10.2019","4.158","4.158","4.158","4.158","0,11K","0,00%"
"15.10.2019","4.158","4.158","4.158","4.158","0,09K","-18,47%"
"20.09.2019","5.100","5.100","5.100","5.100","3,67K","0,39%"
"19.09.2019","5.080","5.080","5.080","5.080","1,00K","-0,08%"
"13.09.2019","5.084","5.084","5.084","5.084","0,02K","0,00%"
"12.09.2019","5.084","5.059","5.090","5.059","0,01K","9,10%"
"10.09.2019","4.660","4.660","4.660","4.660","0,37K","1,22%"
"09.09.2019","4.604","4.568","4.675","4.568","0,00K","17,75%"
"06.09.2019","3.910","4.600","4.600","3.910","1,03K","-9,07%"
"05.09.2019","4.300","4.516","4.566","4.300","0,02K","-5,97%"
"04.09.2019","4.573","4.571","4.574","4.570","0,01K","1,71%"
"03.09.2019","4.496","4.496","4.496","4.496","0,03K","-5,19%"
"29.08.2019","4.742","4.702","4.789","4.702","0,00K","0,94%"
"28.08.2019","4.698","4.698","4.698","4.698","0,00K","-2,19%"
"27.08.2019","4.803","4.803","4.803","4.803","3,34K","0,00%"
"26.08.2019","4.803","4.200","4.833","4.200","0,23K","24,43%"
"22.08.2019","3.860","4.621","4.800","3.860","1,19K","-14,41%"
"13.08.2019","4.510","4.510","4.510","4.510","0,02K","-11,91%"
"07.08.2019","5.120","5.120","5.120","5.120","1,00K","-10,96%"
"01.08.2019","5.750","5.750","5.750","5.750","1,00K","0,00%"
"30.07.2019","5.750","5.749","5.750","5.749","2,51K","0,00%"
"26.07.2019","5.750","5.750","5.750","5.750","6,89K","0,00%"
"24.07.2019","5.750","6.180","6.180","5.750","0,25K","0,00%"
"23.07.2019","5.750","5.750","5.750","5.750","0,02K","-7,26%"
"19.07.2019","6.200","6.200","6.200","6.200","0,03K","3,68%"
"12.07.2019","5.980","5.980","5.980","5.980","0,28K","-2,69%"
"10.07.2019","6.145","6.145","6.145","6.145","1,50K","-5,32%"
"04.07.2019","6.490","6.490","6.490","6.490","0,00K","-4,87%"
"02.07.2019","6.822","6.822","6.822","6.822","0,01K","23,19%"
"01.07.2019","5.538","5.530","5.538","5.526","3,88K","0,24%"
"28.06.2019","5.525","5.423","5.600","5.423","0,05K","3,27%"
"27.06.2019","5.350","4.510","5.350","4.510","18,02K","13,66%"
"20.06.2019","4.707","4.500","4.707","4.500","4,04K","4,60%"
"19.06.2019","4.500","4.501","5.500","4.500","0,17K","-49,42%"
"13.06.2019","8.897","8.897","8.897","8.897","0,00K","-0,01%"
"12.06.2019","8.898","8.898","8.898","8.898","0,00K","-22,63%"
"31.05.2019","11.500","11.500","11.500","11.500","0,00K","-10,64%"
"30.05.2019","12.870","12.870","12.870","12.870","","0,00%"
"27.05.2019","12.870","12.870","12.870","12.870","0,01K","-14,20%"
"24.05.2019","15.000","15.000","15.000","15.000","0,02K","167,86%"
"23.05.2019","5.600","5.600","5.600","5.600","0,50K","12,00%"
"22.05.2019","5.000","5.000","5.000","5.000","","0,00%"
"21.05.2019","5.000","5.000","5.000","5.000","","0,00%"
"20.05.2019","5.000","5.000","5.000","5.000","","0,00%"
"17.05.2019","5.000","5.000","5.000","5.000","","0,00%"
"16.05.2019","5.000","5.000","5.000","5.000","","0,00%"
"15.05.2019","5.000","5.000","5.000","5.000","","0,00%"
"14.05.2019","5.000","5.000","5.000","5.000","3,47K","-5,77%"
"13.05.2019","5.306","5.306","5.306","5.306","","0,00%"
"10.05.2019","5.306","5.306","5.306","5.306","","0,00%"
"09.05.2019","5.306","5.306","5.306","5.306","","0,00%"
"07.05.2019","5.306","5.020","5.306","5.020","0,02K","5,70%"
"06.05.2019","5.020","5.020","5.020","5.020","","0,00%"
"03.05.2019","5.020","5.020","5.020","5.020","0,15K","11,43%"
"02.05.2019","4.505","4.506","4.506","4.505","0,16K","0,09%"
"30.04.2019","4.501","4.501","4.501","4.501","","0,00%"
"29.04.2019","4.501","4.501","4.501","4.501","0,08K","0,02%"
"26.04.2019","4.500","4.500","4.500","4.500","","0,00%"
"25.04.2019","4.500","4.500","4.500","4.500","","0,00%"
"24.04.2019","4.500","4.602","4.602","4.500","0,01K","-2,22%"
"23.04.2019","4.602","4.602","4.602","4.602","","0,00%"
"18.04.2019","4.602","4.602","4.602","4.602","","0,00%"
"17.04.2019","4.602","4.602","4.602","4.602","","0,00%"
"16.04.2019","4.602","4.602","4.602","4.602","2,70K","-19,26%"
"15.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"12.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"11.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"10.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"09.04.2019","5.700","5.698","5.700","5.698","1,07K","0,00%"
"08.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"05.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"04.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"03.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"02.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"01.04.2019","5.700","5.700","5.700","5.700","","0,00%"
"29.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"28.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"27.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"26.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"25.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"22.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"20.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"19.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"18.03.2019","5.700","5.700","5.700","5.700","","0,00%"
"15.03.2019","5.700","5.700","5.700","5.700","5,13K","1,21%"
"14.03.2019","5.632","5.632","5.632","5.632","","0,00%"
"13.03.2019","5.632","5.632","5.632","5.632","0,12K","6,14%"
"12.03.2019","5.306","5.306","5.306","5.306","","0,00%"
"11.03.2019","5.306","5.306","5.306","5.306","0,26K","2,04%"
"08.03.2019","5.200","5.200","5.200","5.200","1,03K","-7,67%"
"07.03.2019","5.632","5.632","5.632","5.632","","0,00%"
"06.03.2019","5.632","5.632","5.632","5.632","","0,00%"
"05.03.2019","5.632","5.632","5.632","5.632","","0,00%"
"04.03.2019","5.632","5.632","5.632","5.632","","0,00%"
"01.03.2019","5.632","5.600","5.632","5.600","0,28K","0,00%"
