"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","32.629","32.990","32.990","32.591","92,64K","-0,71%"
"30.12.2019","32.862","32.757","32.966","32.553","155,84K","0,65%"
"27.12.2019","32.651","32.331","32.773","32.331","303,39K","0,99%"
"24.12.2019","32.330","32.335","32.619","32.208","130,00K","-0,01%"
"23.12.2019","32.333","32.367","32.667","32.313","306,58K","-0,23%"
"20.12.2019","32.409","32.070","32.797","32.070","756,07K","0,07%"
"19.12.2019","32.385","32.258","32.603","32.133","2,57M","0,92%"
"18.12.2019","32.090","32.724","32.724","32.024","1,56M","-0,21%"
"17.12.2019","32.156","32.875","33.149","32.156","1,41M","-1,65%"
"13.12.2019","32.696","32.250","33.093","32.238","1,07M","3,04%"
"12.12.2019","31.732","31.632","32.159","31.610","786,68K","0,32%"
"11.12.2019","31.631","31.647","31.683","31.290","476,65K","0,04%"
"10.12.2019","31.619","31.550","31.832","30.875","800,41K","0,52%"
"09.12.2019","31.455","31.301","31.941","31.301","543,37K","-0,46%"
"06.12.2019","31.600","31.199","31.680","31.199","553,85K","1,29%"
"05.12.2019","31.199","31.200","31.551","31.017","539,63K","-0,56%"
"04.12.2019","31.374","31.401","31.995","30.880","393,37K","0,87%"
"03.12.2019","31.103","31.500","31.716","30.933","665,18K","-2,45%"
"02.12.2019","31.885","31.800","32.259","31.640","767,49K","0,27%"
"29.11.2019","31.800","32.137","32.200","31.720","710,68K","-1,55%"
"28.11.2019","32.301","32.149","32.472","32.056","553,73K","-0,15%"
"27.11.2019","32.350","31.975","32.364","31.601","516,32K","1,78%"
"26.11.2019","31.785","32.000","32.460","31.785","529,60K","-1,07%"
"25.11.2019","32.129","31.998","32.136","31.648","573,52K","1,64%"
"22.11.2019","31.611","31.054","31.929","30.928","695,02K","1,41%"
"21.11.2019","31.172","31.500","31.590","30.976","697,11K","-1,34%"
"20.11.2019","31.596","31.633","31.930","31.501","676,54K","-1,26%"
"19.11.2019","32.000","31.848","32.169","31.680","606,39K","0,94%"
"18.11.2019","31.703","31.500","32.027","31.500","467,48K","0,60%"
"15.11.2019","31.515","31.500","31.699","31.225","545,55K","0,22%"
"14.11.2019","31.446","31.872","31.872","31.173","1,25M","-0,61%"
"13.11.2019","31.639","31.884","31.975","31.403","933,81K","-0,16%"
"12.11.2019","31.689","31.896","32.051","31.525","1,23M","-0,30%"
"11.11.2019","31.783","32.343","32.509","31.629","737,18K","-1,54%"
"08.11.2019","32.281","31.700","32.603","31.700","690,69K","-0,29%"
"07.11.2019","32.375","32.304","32.575","32.129","880,15K","0,22%"
"06.11.2019","32.305","31.935","32.335","31.935","1,43M","1,08%"
"05.11.2019","31.959","32.015","32.267","31.733","1,27M","-0,17%"
"04.11.2019","32.013","31.273","32.045","31.273","640,26K","1,39%"
"01.11.2019","31.574","30.800","31.757","30.800","646,37K","1,04%"
"31.10.2019","31.250","30.435","31.513","30.420","1,02M","2,67%"
"30.10.2019","30.436","29.970","30.497","29.926","2,10M","1,16%"
"29.10.2019","30.086","29.599","30.244","29.570","2,13M","1,64%"
"28.10.2019","29.601","29.444","29.871","29.300","1,05M","1,08%"
"25.10.2019","29.284","29.329","29.598","29.199","1,00M","0,12%"
"24.10.2019","29.250","29.457","29.889","29.250","2,13M","-0,37%"
"23.10.2019","29.360","28.955","29.461","28.800","2,13M","1,40%"
"22.10.2019","28.955","30.003","30.128","28.940","2,07M","-3,96%"
"21.10.2019","30.148","29.410","30.354","29.410","1,33M","2,98%"
"18.10.2019","29.275","29.200","29.550","28.979","1,06M","0,19%"
"17.10.2019","29.220","30.687","30.918","29.220","2,05M","-5,21%"
"16.10.2019","30.827","30.893","31.128","30.700","1,62M","0,05%"
"15.10.2019","30.811","29.746","30.811","29.746","1,01M","3,59%"
"14.10.2019","29.744","29.739","29.884","29.291","1,33M","0,02%"
"11.10.2019","29.739","29.150","29.946","29.032","1,91M","1,92%"
"10.10.2019","29.180","28.001","29.180","27.498","3,06M","1,81%"
"09.10.2019","28.662","28.677","29.011","28.506","1,17M","-0,79%"
"08.10.2019","28.889","28.678","28.983","28.446","858,28K","0,63%"
"07.10.2019","28.709","28.246","28.886","28.088","716,33K","2,72%"
"04.10.2019","27.948","28.391","28.511","27.948","1,49M","-0,72%"
"03.10.2019","28.150","28.734","28.734","28.001","713,50K","-3,08%"
"02.10.2019","29.046","29.335","29.523","28.917","1,08M","-1,72%"
"01.10.2019","29.555","29.054","29.792","29.054","842,89K","1,76%"
"30.09.2019","29.045","28.900","29.234","28.828","1,28M","1,65%"
"27.09.2019","28.574","28.102","28.695","28.102","1,05M","1,70%"
"26.09.2019","28.096","27.930","28.413","27.930","1,15M","0,70%"
"25.09.2019","27.901","28.462","28.462","27.612","2,09M","-2,50%"
"23.09.2019","28.617","29.200","29.370","28.488","2,03M","-0,98%"
"20.09.2019","28.900","29.875","30.037","28.900","3,26M","-2,84%"
"19.09.2019","29.744","29.315","30.117","29.315","3,18M","1,52%"
"18.09.2019","29.300","29.853","29.931","29.212","1,16M","-2,02%"
"17.09.2019","29.903","30.436","30.656","29.866","1,23M","-1,60%"
"16.09.2019","30.390","30.550","30.911","30.390","875,21K","-0,39%"
"13.09.2019","30.509","29.750","30.597","29.750","715,15K","2,55%"
"12.09.2019","29.750","29.858","30.150","29.424","698,30K","-0,49%"
"11.09.2019","29.895","29.679","30.000","29.576","1,72M","1,51%"
"10.09.2019","29.450","29.079","30.239","29.079","988,15K","0,87%"
"09.09.2019","29.195","29.281","29.442","28.831","777,23K","-0,22%"
"06.09.2019","29.259","29.300","29.368","28.929","533,52K","0,04%"
"05.09.2019","29.247","29.047","29.380","29.047","674,64K","1,72%"
"04.09.2019","28.752","28.919","29.054","28.752","576,71K","-0,23%"
"03.09.2019","28.819","29.157","29.193","28.667","519,77K","-1,12%"
"02.09.2019","29.144","29.605","29.663","29.136","477,39K","-1,45%"
