"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","8.044","8.240","8.240","8.000","331,48K","-1,30%"
"30.12.2019","8.150","8.195","8.200","8.064","963,28K","0,44%"
"27.12.2019","8.114","8.200","8.234","7.997","1,06M","0,36%"
"24.12.2019","8.085","8.038","8.105","7.985","336,08K","0,05%"
"23.12.2019","8.081","8.140","8.337","8.001","1,75M","-0,79%"
"20.12.2019","8.145","8.279","8.326","8.138","6,61M","-1,18%"
"19.12.2019","8.242","8.438","8.478","8.212","15,10M","-1,80%"
"18.12.2019","8.393","8.300","8.485","8.099","2,90M","1,21%"
"17.12.2019","8.293","8.212","8.441","8.149","4,55M","0,99%"
"13.12.2019","8.212","8.000","8.260","7.983","3,15M","3,84%"
"12.12.2019","7.908","7.916","8.013","7.854","2,91M","-0,10%"
"11.12.2019","7.916","7.850","7.957","7.816","2,66M","1,07%"
"10.12.2019","7.832","7.950","7.950","7.774","1,55M","-1,48%"
"09.12.2019","7.950","7.997","8.006","7.882","1,25M","-0,24%"
"06.12.2019","7.969","7.900","8.016","7.897","2,35M","1,53%"
"05.12.2019","7.849","7.805","8.026","7.805","2,27M","-1,72%"
"04.12.2019","7.986","7.927","8.020","7.806","4,30M","2,23%"
"03.12.2019","7.812","7.999","7.999","7.802","4,53M","-1,19%"
"02.12.2019","7.906","7.953","8.080","7.906","4,38M","-1,97%"
"29.11.2019","8.065","8.006","8.151","7.905","3,50M","0,88%"
"28.11.2019","7.995","8.164","8.164","7.965","2,00M","-1,90%"
"27.11.2019","8.150","8.190","8.271","8.142","1,93M","0,64%"
"26.11.2019","8.098","8.279","8.374","8.092","4,58M","-2,74%"
"25.11.2019","8.326","8.500","8.500","8.274","1,95M","-1,54%"
"22.11.2019","8.456","8.514","8.625","8.411","2,47M","-0,68%"
"21.11.2019","8.514","8.612","8.664","8.440","3,72M","-2,14%"
"20.11.2019","8.700","8.617","8.787","8.542","4,20M","4,62%"
"19.11.2019","8.316","8.122","8.316","8.122","1,15M","1,32%"
"18.11.2019","8.208","8.148","8.343","8.135","1,60M","0,28%"
"15.11.2019","8.185","8.200","8.264","8.095","1,24M","0,58%"
"14.11.2019","8.138","8.071","8.179","8.000","1,31M","1,22%"
"13.11.2019","8.040","8.051","8.205","8.011","2,58M","-2,26%"
"12.11.2019","8.226","8.150","8.285","8.149","1,68M","0,97%"
