"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","21.071","21.197","21.597","21.038","131,92K","-2,48%"
"30.12.2019","21.606","21.229","21.781","21.229","219,71K","0,43%"
"27.12.2019","21.514","21.917","21.917","21.188","390,22K","-0,26%"
"24.12.2019","21.571","21.917","21.917","21.211","138,81K","0,44%"
"23.12.2019","21.477","20.956","21.592","20.805","451,11K","-0,37%"
"20.12.2019","21.556","21.916","21.916","21.446","900,48K","0,01%"
"19.12.2019","21.554","21.684","21.896","21.418","1,29M","-0,47%"
"18.12.2019","21.656","21.200","21.741","21.173","577,71K","2,54%"
"17.12.2019","21.119","20.541","21.450","20.430","624,90K","1,09%"
"13.12.2019","20.892","20.893","21.143","20.690","654,08K","1,82%"
"12.12.2019","20.519","20.746","20.799","20.463","473,66K","0,08%"
"11.12.2019","20.502","20.297","20.610","20.297","688,32K","1,00%"
"10.12.2019","20.300","20.400","20.574","20.148","623,85K","-1,17%"
"09.12.2019","20.541","20.000","20.588","19.958","970,79K","2,19%"
"06.12.2019","20.100","20.124","20.328","20.067","1,14M","0,26%"
"05.12.2019","20.047","20.101","20.224","19.826","944,98K","-0,27%"
"04.12.2019","20.101","20.000","20.521","20.000","1,02M","-0,74%"
"03.12.2019","20.250","20.749","20.749","20.250","1,33M","-0,72%"
"02.12.2019","20.397","20.430","20.991","20.293","2,01M","-0,16%"
"29.11.2019","20.430","20.172","20.587","19.933","1,24M","0,66%"
"28.11.2019","20.297","21.550","21.550","20.040","1,52M","-2,33%"
"27.11.2019","20.782","20.855","21.692","20.658","791,86K","-0,60%"
"26.11.2019","20.907","21.499","21.559","20.907","2,08M","-2,54%"
"25.11.2019","21.452","21.680","21.978","21.416","1,30M","-1,00%"
"22.11.2019","21.669","21.500","22.320","20.703","1,10M","-6,56%"
"21.11.2019","23.191","22.900","23.500","22.900","513,30K","-0,59%"
"20.11.2019","23.328","23.101","23.404","22.888","260,01K","-1,06%"
"19.11.2019","23.579","23.500","23.800","23.364","413,97K","0,34%"
"18.11.2019","23.500","23.597","23.600","23.269","728,81K","0,21%"
"15.11.2019","23.450","23.600","23.866","23.341","495,65K","-0,38%"
"14.11.2019","23.539","23.599","23.623","23.321","617,39K","0,05%"
"13.11.2019","23.528","23.400","23.900","23.105","487,00K","0,25%"
"12.11.2019","23.470","24.000","24.000","23.066","951,05K","1,92%"
"11.11.2019","23.027","23.302","23.408","22.791","536,51K","-1,80%"
"08.11.2019","23.450","21.854","23.701","21.854","1,23M","6,23%"
"07.11.2019","22.075","22.250","22.400","21.931","515,43K","0,34%"
"06.11.2019","22.000","22.112","22.236","21.543","726,52K","0,17%"
"05.11.2019","21.962","21.820","22.216","21.764","410,98K","0,74%"
"04.11.2019","21.800","21.700","21.820","21.145","968,29K","2,35%"
"01.11.2019","21.300","21.699","21.699","21.043","747,45K","-0,75%"
"31.10.2019","21.461","21.200","21.820","21.198","895,25K","1,43%"
"30.10.2019","21.158","21.581","21.905","21.022","826,07K","-2,94%"
"29.10.2019","21.800","21.800","21.922","21.391","525,62K","0,21%"
"28.10.2019","21.755","21.227","21.847","21.026","705,17K","3,35%"
"25.10.2019","21.049","21.632","21.632","21.022","466,19K","-2,20%"
"24.10.2019","21.522","21.500","21.887","21.483","1,19M","0,10%"
"23.10.2019","21.500","21.648","21.648","21.195","581,03K","-0,14%"
"22.10.2019","21.530","21.188","21.702","21.026","447,24K","1,35%"
"21.10.2019","21.243","21.088","21.341","20.982","315,37K","0,60%"
