"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","4.860","4.994","4.994","4.835","733,62K","-2,39%"
"30.12.2019","4.979","4.909","4.990","4.855","1,27M","1,41%"
"27.12.2019","4.910","4.888","4.992","4.875","1,71M","0,37%"
"24.12.2019","4.892","4.876","4.905","4.810","496,50K","0,33%"
"23.12.2019","4.876","4.950","4.950","4.799","1,62M","0,10%"
"20.12.2019","4.871","4.875","4.983","4.865","6,51M","-1,60%"
"19.12.2019","4.950","4.960","4.994","4.875","9,32M","0,79%"
"18.12.2019","4.911","4.887","4.963","4.867","4,91M","0,55%"
"17.12.2019","4.884","4.889","5.012","4.833","6,24M","1,06%"
"13.12.2019","4.833","4.800","4.924","4.799","4,61M","0,69%"
"12.12.2019","4.800","4.895","4.933","4.793","3,31M","-0,68%"
"11.12.2019","4.833","4.849","4.853","4.755","3,24M","0,77%"
"10.12.2019","4.796","4.845","4.847","4.747","3,51M","-1,11%"
"09.12.2019","4.850","4.900","4.952","4.840","2,28M","-1,88%"
"06.12.2019","4.943","4.956","5.000","4.906","5,42M","1,73%"
"05.12.2019","4.859","4.965","5.050","4.843","4,08M","-2,02%"
"04.12.2019","4.959","5.000","5.047","4.921","3,89M","-0,08%"
"03.12.2019","4.963","5.064","5.095","4.936","5,24M","-1,51%"
"02.12.2019","5.039","5.218","5.259","5.011","3,96M","-3,43%"
"29.11.2019","5.218","5.214","5.267","5.083","5,43M","0,02%"
"28.11.2019","5.217","5.378","5.378","5.170","5,34M","-3,39%"
"27.11.2019","5.400","5.600","5.638","5.350","7,35M","-4,85%"
"26.11.2019","5.675","5.860","5.860","5.660","5,80M","-2,17%"
"25.11.2019","5.801","5.718","5.852","5.718","2,45M","-0,55%"
"22.11.2019","5.833","5.874","5.882","5.802","1,84M","-0,43%"
"21.11.2019","5.858","5.930","5.931","5.796","2,69M","-1,01%"
"20.11.2019","5.918","5.930","5.930","5.786","2,30M","0,77%"
"19.11.2019","5.873","5.765","5.892","5.765","3,16M","1,87%"
"18.11.2019","5.765","5.768","5.857","5.700","2,27M","-0,62%"
"15.11.2019","5.801","5.800","5.852","5.749","3,04M","-0,17%"
"14.11.2019","5.811","5.755","5.857","5.744","1,81M","0,17%"
"13.11.2019","5.801","5.750","5.821","5.721","2,31M","0,45%"
"12.11.2019","5.775","5.792","5.934","5.753","3,20M","-1,15%"
"11.11.2019","5.842","5.965","5.965","5.794","3,53M","-1,98%"
"08.11.2019","5.960","6.000","6.014","5.884","3,10M","-0,05%"
"07.11.2019","5.963","6.027","6.113","5.963","3,88M","-1,06%"
"06.11.2019","6.027","5.900","6.151","5.850","9,03M","1,11%"
"05.11.2019","5.961","5.799","5.972","5.798","5,58M","3,38%"
"04.11.2019","5.766","5.798","5.841","5.721","1,55M","1,00%"
"01.11.2019","5.709","5.777","5.792","5.693","1,35M","-0,70%"
"31.10.2019","5.749","5.700","5.819","5.600","5,08M","1,61%"
"30.10.2019","5.658","5.740","5.797","5.513","4,18M","-1,43%"
"29.10.2019","5.740","5.841","5.841","5.694","2,23M","0,19%"
"28.10.2019","5.729","5.636","5.836","5.636","3,32M","-0,12%"
"25.10.2019","5.736","5.842","5.842","5.671","3,15M","-1,14%"
"24.10.2019","5.802","5.800","5.860","5.735","4,04M","0,75%"
"23.10.2019","5.759","5.814","5.851","5.645","6,05M","-2,02%"
"22.10.2019","5.878","5.575","5.900","5.575","7,01M","4,96%"
"21.10.2019","5.600","5.599","5.620","5.518","1,84M","0,45%"
"18.10.2019","5.575","5.568","5.615","5.529","3,09M","0,27%"
"17.10.2019","5.560","5.500","5.606","5.418","3,31M","1,09%"
"16.10.2019","5.500","5.495","5.530","5.366","4,70M","0,36%"
"15.10.2019","5.480","5.461","5.525","5.424","2,00M","0,68%"
"14.10.2019","5.443","5.565","5.587","5.408","2,00M","-1,79%"
"11.10.2019","5.542","5.473","5.553","5.420","3,45M","1,28%"
"10.10.2019","5.472","5.437","5.483","5.320","3,63M","1,22%"
"09.10.2019","5.406","5.470","5.495","5.362","3,21M","-0,99%"
"08.10.2019","5.460","5.478","5.526","5.392","2,83M","-0,33%"
"07.10.2019","5.478","5.420","5.489","5.368","3,29M","1,07%"
"04.10.2019","5.420","5.304","5.443","5.300","4,23M","1,90%"
"03.10.2019","5.319","5.300","5.436","5.290","4,56M","-0,08%"
"02.10.2019","5.323","5.436","5.452","5.305","3,69M","-2,06%"
"01.10.2019","5.435","5.475","5.547","5.376","3,33M","-1,33%"
"30.09.2019","5.508","5.565","5.596","5.462","4,76M","-1,55%"
"27.09.2019","5.595","5.620","5.631","5.522","2,28M","-0,43%"
"26.09.2019","5.619","5.540","5.662","5.530","2,39M","2,09%"
"25.09.2019","5.504","5.650","5.710","5.466","5,58M","-2,93%"
"23.09.2019","5.670","5.811","5.850","5.643","3,22M","-2,61%"
"20.09.2019","5.822","5.688","5.875","5.661","10,20M","1,29%"
"19.09.2019","5.748","5.800","5.849","5.667","10,64M","-2,31%"
"18.09.2019","5.884","5.800","5.897","5.739","3,66M","-0,74%"
"17.09.2019","5.928","5.889","5.951","5.745","7,73M","-0,32%"
"16.09.2019","5.947","5.679","5.947","5.658","6,47M","4,70%"
"13.09.2019","5.680","5.529","5.692","5.528","2,90M","1,72%"
"12.09.2019","5.584","5.429","5.603","5.401","5,24M","2,86%"
"11.09.2019","5.429","5.477","5.477","5.364","3,81M","-0,17%"
"10.09.2019","5.438","5.455","5.510","5.399","4,66M","-1,54%"
"09.09.2019","5.523","5.515","5.536","5.457","3,51M","0,29%"
"06.09.2019","5.507","5.396","5.520","5.390","3,30M","1,19%"
"05.09.2019","5.442","5.429","5.467","5.368","2,99M","1,02%"
"04.09.2019","5.387","5.477","5.492","5.385","1,42M","-0,54%"
"03.09.2019","5.416","5.370","5.457","5.336","2,30M","0,86%"
"02.09.2019","5.370","5.545","5.583","5.370","2,35M","-2,68%"
"30.08.2019","5.518","5.354","5.669","5.317","5,68M","2,32%"
"29.08.2019","5.393","5.257","5.502","5.257","7,78M","3,61%"
"28.08.2019","5.205","5.119","5.205","5.049","2,76M","1,68%"
"27.08.2019","5.119","5.121","5.155","5.057","4,76M","-0,29%"
"26.08.2019","5.134","5.106","5.210","5.100","2,45M","-1,46%"
"23.08.2019","5.210","5.230","5.230","5.119","4,38M","0,68%"
"22.08.2019","5.175","5.375","5.438","5.119","9,24M","-3,27%"
"21.08.2019","5.350","5.150","5.404","5.150","5,43M","2,69%"
"20.08.2019","5.210","5.475","5.475","5.118","7,24M","-3,41%"
"19.08.2019","5.394","5.341","5.441","5.312","2,50M","1,31%"
"16.08.2019","5.324","5.248","5.339","5.192","5,87M","1,45%"
"15.08.2019","5.248","5.232","5.260","5.134","6,55M","0,50%"
"14.08.2019","5.222","5.409","5.442","5.187","5,20M","-2,97%"
"13.08.2019","5.382","5.450","5.457","5.330","4,76M","-1,77%"
"12.08.2019","5.479","5.528","5.548","5.453","3,92M","-0,16%"
"08.08.2019","5.488","5.624","5.624","5.488","4,12M","-1,01%"
"07.08.2019","5.544","5.614","5.622","5.476","4,96M","0,20%"
"06.08.2019","5.533","5.434","5.626","5.358","6,51M","2,67%"
"05.08.2019","5.389","5.414","5.448","5.323","5,20M","-1,28%"
"02.08.2019","5.459","5.406","5.513","5.325","3,88M","-1,14%"
"01.08.2019","5.522","5.390","5.522","5.319","8,86M","0,40%"
"31.07.2019","5.500","5.483","5.602","5.453","6,63M","-0,51%"
"30.07.2019","5.528","5.445","5.609","5.415","6,99M","1,86%"
"29.07.2019","5.427","5.350","5.427","5.345","2,65M","1,44%"
"26.07.2019","5.350","5.349","5.382","5.298","2,90M","0,02%"
"25.07.2019","5.349","5.338","5.388","5.296","4,71M","-0,48%"
"24.07.2019","5.375","5.330","5.401","5.330","4,04M","0,21%"
"23.07.2019","5.364","5.297","5.364","5.273","5,81M","1,75%"
"22.07.2019","5.272","5.313","5.340","5.246","5,27M","-1,61%"
"19.07.2019","5.358","5.359","5.395","5.289","5,52M","0,43%"
"18.07.2019","5.335","5.274","5.394","5.267","5,39M","0,70%"
"17.07.2019","5.298","5.375","5.375","5.271","7,06M","-1,38%"
"16.07.2019","5.372","5.241","5.398","5.214","5,47M","1,57%"
"15.07.2019","5.289","5.311","5.348","5.213","3,94M","-0,40%"
"12.07.2019","5.310","5.205","5.362","5.205","8,38M","0,28%"
"11.07.2019","5.295","5.000","5.345","4.941","23,36M","7,86%"
"10.07.2019","4.909","4.881","4.969","4.845","6,14M","0,57%"
"09.07.2019","4.881","4.900","4.934","4.821","5,22M","-0,33%"
"08.07.2019","4.897","4.686","4.929","4.678","5,56M","4,50%"
"05.07.2019","4.686","4.654","4.715","4.611","2,22M","0,99%"
"04.07.2019","4.640","4.600","4.689","4.598","3,32M","0,65%"
"03.07.2019","4.610","4.635","4.681","4.601","2,98M","-0,88%"
"02.07.2019","4.651","4.833","4.840","4.614","4,52M","-3,85%"
"01.07.2019","4.837","4.912","4.957","4.817","2,11M","-1,04%"
"28.06.2019","4.888","4.910","4.950","4.842","2,42M","0,29%"
"27.06.2019","4.874","4.850","4.930","4.849","4,90M","1,04%"
"26.06.2019","4.824","4.800","4.859","4.771","3,01M","0,33%"
"25.06.2019","4.808","4.823","4.870","4.750","2,45M","-0,31%"
"24.06.2019","4.823","4.906","4.964","4.783","1,72M","-1,97%"
"21.06.2019","4.920","4.880","4.940","4.860","7,79M","0,24%"
"20.06.2019","4.908","4.942","4.991","4.889","10,44M","-0,24%"
"19.06.2019","4.920","4.965","4.976","4.913","4,10M","-0,16%"
"18.06.2019","4.928","4.870","4.943","4.845","3,26M","1,94%"
"14.06.2019","4.834","4.851","4.900","4.781","3,01M","-0,94%"
"13.06.2019","4.880","4.920","4.935","4.848","3,59M","-1,29%"
"12.06.2019","4.944","4.925","4.967","4.858","3,19M","0,18%"
"11.06.2019","4.935","4.822","4.951","4.776","4,51M","1,96%"
"10.06.2019","4.840","4.660","4.853","4.630","3,70M","4,76%"
"07.06.2019","4.620","4.507","4.649","4.502","2,28M","2,51%"
"06.06.2019","4.507","4.581","4.601","4.483","2,50M","-1,08%"
"05.06.2019","4.556","4.550","4.628","4.543","2,01M","-0,22%"
"04.06.2019","4.566","4.610","4.610","4.469","3,03M","-1,17%"
"03.06.2019","4.620","4.580","4.639","4.566","1,62M","0,98%"
"31.05.2019","4.575","4.530","4.575","4.469","3,13M","1,62%"
"30.05.2019","4.502","4.445","4.628","4.445","3,17M","1,03%"
"29.05.2019","4.456","4.410","4.501","4.348","2,64M","0,95%"
"28.05.2019","4.414","4.425","4.508","4.390","6,46M","-0,41%"
"27.05.2019","4.432","4.515","4.527","4.432","1,37M","-0,78%"
"24.05.2019","4.467","4.452","4.570","4.436","1,90M","0,04%"
"23.05.2019","4.465","4.515","4.568","4.434","2,74M","-1,76%"
"22.05.2019","4.545","4.523","4.584","4.510","1,79M","1,38%"
"21.05.2019","4.483","4.620","4.666","4.483","3,24M","-2,73%"
"20.05.2019","4.609","4.613","4.658","4.593","1,81M","0,00%"
"17.05.2019","4.609","4.700","4.700","4.598","2,74M","-2,02%"
"16.05.2019","4.704","4.778","4.778","4.648","3,83M","-0,55%"
"15.05.2019","4.730","4.880","4.880","4.623","3,31M","-1,23%"
"14.05.2019","4.789","4.900","4.904","4.770","4,01M","-2,09%"
"13.05.2019","4.891","4.815","4.998","4.801","5,75M","1,83%"
"10.05.2019","4.803","4.756","4.928","4.719","3,49M","2,63%"
"09.05.2019","4.680","4.970","4.970","4.680","3,06M","-3,35%"
"07.05.2019","4.842","4.969","4.969","4.835","3,15M","-2,56%"
"06.05.2019","4.969","4.880","4.969","4.855","1,96M","0,51%"
"03.05.2019","4.944","4.855","4.944","4.833","1,87M","2,15%"
"02.05.2019","4.840","4.795","4.942","4.772","2,18M","1,45%"
"30.04.2019","4.771","4.795","4.835","4.745","3,32M","-0,50%"
"29.04.2019","4.795","4.780","4.821","4.726","1,42M","0,33%"
"26.04.2019","4.779","4.789","4.823","4.696","1,46M","0,95%"
"25.04.2019","4.734","4.650","4.780","4.650","2,09M","0,70%"
"24.04.2019","4.701","4.760","4.796","4.647","2,74M","-1,45%"
"23.04.2019","4.770","4.794","4.794","4.675","1,23M","0,15%"
"18.04.2019","4.763","4.685","4.763","4.651","1,85M","1,71%"
"17.04.2019","4.683","4.680","4.759","4.647","1,61M","-0,99%"
"16.04.2019","4.730","4.744","4.785","4.660","2,66M","0,30%"
"15.04.2019","4.716","4.700","4.755","4.612","2,00M","-0,15%"
"12.04.2019","4.723","4.708","4.767","4.659","1,21M","-0,63%"
"11.04.2019","4.753","4.752","4.781","4.659","1,04M","-0,56%"
"10.04.2019","4.780","4.619","4.790","4.619","1,69M","3,49%"
"09.04.2019","4.619","4.529","4.661","4.529","1,35M","1,29%"
"08.04.2019","4.560","4.625","4.671","4.540","1,78M","-1,72%"
"05.04.2019","4.640","4.600","4.665","4.600","1,47M","0,26%"
"04.04.2019","4.628","4.655","4.668","4.556","2,25M","-0,58%"
"03.04.2019","4.655","4.620","4.716","4.569","2,37M","1,57%"
"02.04.2019","4.583","4.729","4.748","4.547","2,99M","-2,34%"
"01.04.2019","4.693","4.650","4.757","4.608","3,03M","0,97%"
"29.03.2019","4.648","4.400","4.654","4.400","4,86M","5,06%"
"28.03.2019","4.424","4.401","4.488","4.393","3,21M","-0,11%"
"27.03.2019","4.429","4.450","4.494","4.350","2,05M","1,05%"
"26.03.2019","4.383","4.380","4.447","4.350","1,54M","-0,39%"
"25.03.2019","4.400","4.420","4.420","4.330","1,75M","-0,92%"
"22.03.2019","4.441","4.570","4.570","4.408","2,14M","0,54%"
"20.03.2019","4.417","4.501","4.566","4.402","5,62M","-2,88%"
"19.03.2019","4.548","4.590","4.677","4.507","2,85M","-0,72%"
"18.03.2019","4.581","4.519","4.631","4.510","2,01M","1,37%"
"15.03.2019","4.519","4.494","4.643","4.456","6,63M","0,58%"
"14.03.2019","4.493","4.492","4.601","4.471","2,72M","-1,04%"
"13.03.2019","4.540","4.582","4.630","4.433","3,87M","-2,13%"
"12.03.2019","4.639","4.740","4.786","4.610","3,39M","-1,74%"
"11.03.2019","4.721","4.800","4.899","4.702","2,97M","-0,19%"
"08.03.2019","4.730","4.550","4.770","4.537","2,21M","2,67%"
"07.03.2019","4.607","4.726","4.773","4.607","3,98M","-1,16%"
"06.03.2019","4.661","4.657","4.711","4.577","2,89M","0,78%"
"05.03.2019","4.625","4.608","4.640","4.551","2,18M","0,37%"
"04.03.2019","4.608","4.630","4.732","4.550","3,73M","-0,13%"
"01.03.2019","4.614","4.608","4.745","4.567","3,08M","0,74%"
"28.02.2019","4.580","4.550","4.594","4.530","4,09M","-0,65%"
"27.02.2019","4.610","4.623","4.690","4.500","3,08M","-0,28%"
"26.02.2019","4.623","4.496","4.680","4.456","6,04M","2,66%"
"25.02.2019","4.503","4.500","4.544","4.451","6,43M","0,22%"
"22.02.2019","4.493","4.384","4.558","4.310","6,88M","4,37%"
"21.02.2019","4.305","4.455","4.560","4.305","5,47M","-2,91%"
"20.02.2019","4.434","4.510","4.591","4.418","5,58M","-2,55%"
"19.02.2019","4.550","4.630","4.641","4.506","1,90M","-1,26%"
"18.02.2019","4.608","4.517","4.631","4.475","2,14M","2,17%"
"15.02.2019","4.510","4.520","4.576","4.458","3,07M","-0,04%"
"14.02.2019","4.512","4.615","4.664","4.501","3,11M","-2,17%"
"13.02.2019","4.612","4.655","4.679","4.552","3,95M","-0,82%"
"12.02.2019","4.650","4.580","4.659","4.580","4,77M","1,53%"
"11.02.2019","4.580","4.700","4.729","4.573","5,42M","-3,29%"
"08.02.2019","4.736","4.800","4.872","4.723","5,17M","-1,33%"
"07.02.2019","4.800","4.900","4.939","4.762","7,28M","-2,93%"
"06.02.2019","4.945","4.900","4.980","4.900","2,92M","0,61%"
"05.02.2019","4.915","4.795","4.915","4.754","2,53M","2,65%"
"04.02.2019","4.788","4.957","5.047","4.778","3,06M","-4,94%"
"01.02.2019","5.037","5.000","5.070","4.857","3,77M","0,28%"
"31.01.2019","5.023","4.940","5.090","4.940","6,54M","1,95%"
"30.01.2019","4.927","5.000","5.090","4.894","4,07M","-3,35%"
"29.01.2019","5.098","5.099","5.099","4.930","2,35M","1,96%"
"28.01.2019","5.000","5.000","5.111","4.971","2,34M","0,40%"
"25.01.2019","4.980","5.000","5.084","4.961","3,94M","-0,93%"
"24.01.2019","5.027","5.050","5.090","4.998","2,72M","-0,30%"
"23.01.2019","5.042","5.049","5.060","4.986","2,28M","0,60%"
"22.01.2019","5.012","4.955","5.083","4.955","2,62M","-0,06%"
"21.01.2019","5.015","5.060","5.060","4.953","2,60M","-0,20%"
"18.01.2019","5.025","4.994","5.082","4.879","4,98M","1,64%"
"17.01.2019","4.944","5.225","5.229","4.900","12,58M","-9,98%"
"16.01.2019","5.492","5.465","5.558","5.445","2,83M","0,49%"
"15.01.2019","5.465","5.540","5.610","5.420","2,25M","-1,21%"
"14.01.2019","5.532","5.600","5.658","5.517","1,74M","-2,57%"
"11.01.2019","5.678","5.626","5.699","5.590","2,17M","0,94%"
"10.01.2019","5.625","5.570","5.669","5.526","2,29M","0,64%"
"09.01.2019","5.589","5.436","5.593","5.397","1,87M","2,81%"
"08.01.2019","5.436","5.477","5.491","5.404","973,16K","0,65%"
"07.01.2019","5.401","5.466","5.539","5.374","1,54M","-1,19%"
"04.01.2019","5.466","5.400","5.500","5.390","1,89M","1,22%"
"03.01.2019","5.400","5.380","5.491","5.361","1,58M","0,37%"
"02.01.2019","5.380","5.499","5.499","5.331","1,71M","-2,34%"
"31.12.2018","5.509","5.401","5.550","5.401","635,86K","1,08%"
"28.12.2018","5.450","5.485","5.485","5.331","1,84M","1,26%"
"27.12.2018","5.382","5.500","5.519","5.323","3,29M","-1,34%"
"24.12.2018","5.455","5.479","5.491","5.334","800,06K","1,38%"
"21.12.2018","5.381","5.480","5.501","5.323","4,16M","-1,90%"
"20.12.2018","5.485","5.315","5.529","5.315","6,37M","0,29%"
"19.12.2018","5.469","5.382","5.507","5.307","3,55M","1,69%"
"18.12.2018","5.378","5.301","5.405","5.264","3,56M","0,30%"
"14.12.2018","5.362","5.640","5.640","5.350","3,16M","-3,13%"
"13.12.2018","5.535","5.514","5.717","5.482","4,59M","1,82%"
"12.12.2018","5.436","5.370","5.491","5.370","3,19M","0,00%"
"11.12.2018","5.436","5.418","5.511","5.367","2,91M","0,33%"
"10.12.2018","5.418","5.500","5.502","5.328","2,16M","-2,11%"
"07.12.2018","5.535","5.600","5.775","5.531","2,07M","-0,52%"
"06.12.2018","5.564","5.675","5.675","5.436","3,82M","-2,44%"
"05.12.2018","5.703","5.719","5.775","5.664","2,41M","-1,25%"
"04.12.2018","5.775","5.800","5.800","5.700","4,31M","0,77%"
"03.12.2018","5.731","5.745","5.816","5.669","3,77M","2,34%"
"30.11.2018","5.600","5.800","5.800","5.417","5,24M","-1,13%"
"29.11.2018","5.664","5.746","5.823","5.638","2,33M","-0,86%"
"28.11.2018","5.713","5.751","5.842","5.690","3,63M","-0,21%"
"27.11.2018","5.725","5.690","5.725","5.644","2,97M","0,62%"
"26.11.2018","5.690","5.443","5.720","5.350","3,08M","4,54%"
"23.11.2018","5.443","5.400","5.488","5.365","1,47M","0,26%"
"22.11.2018","5.429","5.450","5.450","5.327","3,44M","0,89%"
"21.11.2018","5.381","5.360","5.449","5.309","3,34M","0,39%"
"20.11.2018","5.360","5.300","5.430","5.251","3,79M","-0,04%"
"19.11.2018","5.362","5.300","5.400","5.253","3,18M","1,36%"
"16.11.2018","5.290","5.400","5.448","5.240","3,16M","-1,18%"
"15.11.2018","5.353","5.200","5.393","5.090","5,65M","-0,34%"
"14.11.2018","5.371","5.420","5.550","5.289","3,83M","-1,76%"
"13.11.2018","5.467","5.364","5.504","5.355","2,75M","1,92%"
"12.11.2018","5.364","5.540","5.555","5.316","2,67M","-3,58%"
"09.11.2018","5.563","5.450","5.563","5.404","3,90M","1,31%"
"08.11.2018","5.491","5.600","5.650","5.469","3,91M","-2,31%"
"07.11.2018","5.621","5.319","5.621","5.238","5,38M","5,68%"
"06.11.2018","5.319","5.379","5.435","5.219","2,79M","-0,82%"
"05.11.2018","5.363","5.243","5.376","5.208","3,33M","2,27%"
"02.11.2018","5.244","5.210","5.305","5.126","3,88M","0,65%"
"01.11.2018","5.210","5.030","5.250","4.959","3,46M","2,30%"
"31.10.2018","5.093","5.015","5.207","5.015","5,30M","1,56%"
"30.10.2018","5.015","5.002","5.070","4.927","2,46M","0,00%"
"29.10.2018","5.015","4.715","5.020","4.715","2,69M","3,94%"
"26.10.2018","4.825","4.900","4.923","4.767","3,04M","-1,69%"
"25.10.2018","4.908","4.766","4.943","4.716","3,03M","2,04%"
"24.10.2018","4.810","4.805","4.886","4.733","2,98M","0,44%"
"23.10.2018","4.789","4.791","4.876","4.739","3,13M","-1,32%"
"22.10.2018","4.853","4.870","4.942","4.819","2,70M","1,80%"
"19.10.2018","4.767","4.801","4.837","4.711","4,84M","-0,71%"
"18.10.2018","4.801","4.823","4.880","4.714","2,13M","-0,68%"
"17.10.2018","4.834","4.998","4.998","4.798","2,92M","-2,54%"
"16.10.2018","4.960","4.843","4.960","4.782","4,10M","2,42%"
"15.10.2018","4.843","4.860","4.883","4.743","3,08M","-0,70%"
"12.10.2018","4.877","4.850","4.919","4.775","3,49M","1,52%"
"11.10.2018","4.804","4.725","4.840","4.700","5,09M","-0,74%"
"10.10.2018","4.840","4.910","4.910","4.757","3,65M","-0,60%"
"09.10.2018","4.869","4.858","4.878","4.750","4,43M","0,23%"
"08.10.2018","4.858","4.720","4.858","4.664","4,03M","2,17%"
"05.10.2018","4.755","4.773","4.793","4.675","2,84M","-0,21%"
"04.10.2018","4.765","4.774","4.801","4.600","4,79M","-1,04%"
"03.10.2018","4.815","4.880","4.880","4.775","4,48M","-1,33%"
"02.10.2018","4.880","5.000","5.000","4.816","4,23M","-2,40%"
"01.10.2018","5.000","4.960","5.082","4.933","2,55M","0,81%"
"28.09.2018","4.960","5.007","5.050","4.901","3,50M","-1,70%"
