"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","64,00","64,01","64,11","62,72","696,50K","0,03%"
"27.12.2019","63,98","65,08","65,08","62,63","614,60K","-1,22%"
"26.12.2019","64,77","65,80","65,80","64,37","641,50K","-1,57%"
"23.12.2019","65,80","65,17","65,80","64,15","415,00K","1,64%"
"20.12.2019","64,74","65,27","66,55","63,46","1,18M","0,00%"
"19.12.2019","64,74","64,59","65,10","63,34","633,80K","1,16%"
"18.12.2019","64,00","64,79","65,10","63,51","520,00K","-0,78%"
"17.12.2019","64,50","64,77","65,19","63,92","584,80K","-0,31%"
"16.12.2019","64,70","65,81","66,25","64,55","891,00K","-1,37%"
"13.12.2019","65,60","65,63","66,51","64,98","519,10K","-0,05%"
"12.12.2019","65,63","66,29","66,65","64,88","870,20K","-0,56%"
"11.12.2019","66,00","67,78","67,78","65,66","797,00K","-0,90%"
"10.12.2019","66,60","68,51","68,75","66,42","901,80K","-2,77%"
"09.12.2019","68,50","68,10","69,10","67,05","906,10K","0,59%"
"06.12.2019","68,10","65,40","68,25","65,40","915,50K","4,13%"
"05.12.2019","65,40","64,46","65,47","64,06","403,00K","1,24%"
"04.12.2019","64,60","64,50","64,61","63,46","479,50K","0,69%"
"03.12.2019","64,16","62,49","64,17","61,92","308,70K","2,94%"
"02.12.2019","62,33","62,80","63,03","61,76","798,00K","0,16%"
"29.11.2019","62,23","61,55","62,24","61,08","478,20K","0,35%"
"28.11.2019","62,01","61,93","62,61","61,74","353,50K","0,13%"
"27.11.2019","61,93","62,13","62,46","61,40","637,90K","-0,80%"
"26.11.2019","62,43","62,59","63,38","61,36","512,20K","-0,48%"
"25.11.2019","62,73","64,49","64,72","62,43","612,10K","-3,04%"
"22.11.2019","64,70","63,14","64,80","63,08","740,50K","2,47%"
"21.11.2019","63,14","59,82","63,65","59,82","933,10K","5,22%"
"19.11.2019","60,01","60,84","60,84","59,95","231,90K","-0,45%"
"18.11.2019","60,28","59,50","60,98","59,50","221,60K","-0,64%"
"14.11.2019","60,67","58,88","60,67","58,88","352,00K","2,14%"
"13.11.2019","59,40","58,95","60,05","58,35","712,70K","0,76%"
"12.11.2019","58,95","59,90","59,93","58,55","216,70K","-1,59%"
"11.11.2019","59,90","58,83","60,38","58,79","260,70K","0,67%"
"08.11.2019","59,50","59,94","60,23","58,90","367,70K","-0,75%"
"07.11.2019","59,95","60,76","61,20","59,67","319,70K","-1,20%"
"06.11.2019","60,68","60,29","61,06","59,79","344,60K","0,63%"
"05.11.2019","60,30","61,05","61,20","59,58","294,00K","-1,07%"
"04.11.2019","60,95","62,57","62,70","60,31","594,90K","-1,88%"
"01.11.2019","62,12","60,00","62,12","58,87","768,00K","5,11%"
"31.10.2019","59,10","58,49","59,50","56,99","743,70K","1,03%"
"30.10.2019","58,50","58,01","58,80","57,98","838,00K","1,21%"
"29.10.2019","57,80","57,38","57,85","57,07","433,00K","0,70%"
"28.10.2019","57,40","57,50","57,66","56,80","281,80K","-0,21%"
