"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","25,23","25,36","25,45","25,08","9,92M","-0,16%"
"27.12.2019","25,27","25,46","25,57","25,18","13,85M","-0,35%"
"26.12.2019","25,36","25,06","25,45","24,99","13,91M","1,24%"
"23.12.2019","25,05","24,90","25,06","24,75","13,67M","0,60%"
"20.12.2019","24,90","24,99","25,06","24,74","29,79M","-0,56%"
"19.12.2019","25,04","24,52","25,04","24,51","43,86M","1,83%"
"18.12.2019","24,59","23,92","24,72","23,85","64,71M","2,80%"
"17.12.2019","23,92","23,70","24,06","23,53","27,43M","1,83%"
"16.12.2019","23,49","24,04","24,16","23,49","35,74M","-1,76%"
"13.12.2019","23,91","23,91","24,24","23,77","31,06M","0,21%"
"12.12.2019","23,86","23,67","23,89","23,53","18,79M","1,32%"
"11.12.2019","23,55","23,77","23,93","23,34","34,20M","-0,59%"
"10.12.2019","23,69","23,77","23,91","23,56","29,10M","-0,34%"
"09.12.2019","23,77","23,60","23,84","23,36","26,37M","0,85%"
"06.12.2019","23,57","23,84","24,06","23,55","26,25M","-1,13%"
"05.12.2019","23,84","23,77","24,11","23,69","23,28M","0,42%"
"04.12.2019","23,74","23,22","23,74","23,15","22,45M","2,59%"
"03.12.2019","23,14","23,21","23,37","23,05","19,50M","0,35%"
"02.12.2019","23,06","22,98","23,26","22,92","15,53M","0,65%"
"29.11.2019","22,91","22,92","23,03","22,70","18,77M","0,48%"
"28.11.2019","22,80","22,66","22,90","22,47","20,30M","-0,78%"
"27.11.2019","22,98","22,70","23,14","22,53","23,90M","1,68%"
"26.11.2019","22,60","22,90","23,03","22,52","42,98M","-2,16%"
"25.11.2019","23,10","23,30","23,37","22,98","19,30M","-0,47%"
"22.11.2019","23,21","22,87","23,23","22,78","22,09M","1,62%"
"21.11.2019","22,84","22,84","23,07","22,62","38,84M","0,62%"
"19.11.2019","22,70","22,79","22,91","22,53","15,65M","-0,22%"
"18.11.2019","22,75","23,18","23,23","22,60","25,03M","-0,66%"
"14.11.2019","22,90","22,86","23,09","22,77","24,76M","-0,39%"
"13.11.2019","22,99","23,10","23,21","22,76","20,09M","-1,03%"
"12.11.2019","23,23","23,30","23,51","22,96","19,98M","-0,94%"
"11.11.2019","23,45","23,39","23,55","23,22","23,57M","-0,26%"
"08.11.2019","23,51","24,04","24,17","23,41","29,05M","-2,89%"
"07.11.2019","24,21","24,27","24,34","24,08","13,50M","0,25%"
"06.11.2019","24,15","24,28","24,51","23,96","16,24M","-0,54%"
"05.11.2019","24,28","24,30","24,35","23,86","30,06M","1,38%"
"04.11.2019","23,95","24,06","24,22","23,90","15,94M","0,08%"
"01.11.2019","23,93","24,33","24,44","23,71","29,42M","-0,83%"
"31.10.2019","24,13","24,35","24,56","23,96","50,86M","-4,09%"
"30.10.2019","25,16","24,87","25,19","24,48","25,37M","0,44%"
"29.10.2019","25,05","25,29","25,36","24,87","27,49M","-1,38%"
"28.10.2019","25,40","24,46","25,41","24,41","50,27M","3,63%"
"25.10.2019","24,51","24,24","24,61","24,15","21,55M","1,28%"
"24.10.2019","24,20","24,24","24,34","23,96","28,89M","-0,08%"
"23.10.2019","24,22","23,85","24,57","23,74","36,27M","0,83%"
"22.10.2019","24,02","23,35","24,02","23,28","38,24M","2,87%"
"21.10.2019","23,35","23,20","23,42","23,00","16,20M","0,69%"
"18.10.2019","23,19","23,28","23,38","23,06","17,09M","-0,47%"
"17.10.2019","23,30","23,70","23,93","23,25","28,66M","-1,69%"
"16.10.2019","23,70","23,17","23,70","22,94","27,44M","2,38%"
"15.10.2019","23,15","22,97","23,32","22,84","26,13M","0,83%"
"14.10.2019","22,96","22,57","23,07","22,51","15,42M","1,41%"
"11.10.2019","22,64","22,54","22,86","22,54","21,53M","1,12%"
"10.10.2019","22,39","22,14","22,57","22,14","15,45M","1,13%"
"09.10.2019","22,14","21,75","22,30","21,64","18,70M","2,88%"
"08.10.2019","21,52","21,78","22,00","21,52","22,75M","-0,09%"
"07.10.2019","21,54","21,97","22,14","21,53","29,70M","-0,65%"
"04.10.2019","21,68","21,46","21,74","21,24","18,31M","1,03%"
"03.10.2019","21,46","21,42","21,62","21,15","22,09M","0,28%"
