"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","35,20","35,22","35,50","35,07","2,07M","-0,11%"
"27.12.2019","35,24","35,34","35,54","34,87","2,50M","0,17%"
"26.12.2019","35,18","34,54","35,25","34,50","2,47M","1,88%"
"23.12.2019","34,53","34,83","34,99","34,31","2,42M","-0,80%"
"20.12.2019","34,81","34,38","34,81","34,22","4,81M","1,28%"
"19.12.2019","34,37","34,34","34,49","33,80","3,62M","0,12%"
"18.12.2019","34,33","33,65","34,60","33,38","8,89M","2,08%"
"17.12.2019","33,63","34,81","34,99","33,21","9,53M","-3,20%"
"16.12.2019","34,74","34,30","34,86","34,16","6,32M","2,33%"
"13.12.2019","33,95","35,57","35,80","33,92","8,58M","-4,39%"
"12.12.2019","35,51","36,23","36,39","35,51","6,03M","-1,03%"
"11.12.2019","35,88","36,90","36,97","35,81","4,97M","-2,50%"
"10.12.2019","36,80","36,90","37,00","36,44","2,68M","-0,14%"
"09.12.2019","36,85","36,95","37,34","36,56","4,39M","-0,14%"
"06.12.2019","36,90","36,49","37,22","36,35","4,48M","1,65%"
"05.12.2019","36,30","36,40","36,49","36,23","2,82M","-0,27%"
"04.12.2019","36,40","35,84","36,68","35,79","6,45M","1,68%"
"03.12.2019","35,80","36,51","36,61","35,67","4,83M","-1,70%"
"02.12.2019","36,42","36,55","36,93","36,24","3,47M","-0,49%"
"29.11.2019","36,60","36,33","37,22","36,15","6,77M","1,10%"
"28.11.2019","36,20","36,50","36,97","35,50","3,73M","-1,15%"
"27.11.2019","36,62","36,80","36,83","36,01","3,19M","-0,49%"
"26.11.2019","36,80","36,12","36,80","36,12","10,12M","1,91%"
"25.11.2019","36,11","34,10","36,19","33,91","7,99M","5,93%"
"22.11.2019","34,09","33,61","34,25","33,31","5,11M","1,22%"
"21.11.2019","33,68","33,70","33,85","33,10","5,07M","0,36%"
"19.11.2019","33,56","33,39","34,13","33,30","4,07M","0,84%"
"18.11.2019","33,28","33,20","33,63","32,90","4,77M","0,97%"
"14.11.2019","32,96","32,98","33,20","32,53","6,54M","0,21%"
"13.11.2019","32,89","33,13","33,65","32,71","8,02M","-0,93%"
"12.11.2019","33,20","34,87","35,10","33,12","10,89M","-4,24%"
"11.11.2019","34,67","34,35","35,08","34,07","4,49M","0,64%"
"08.11.2019","34,45","35,60","35,88","34,15","12,56M","-4,20%"
"07.11.2019","35,96","35,73","35,97","35,22","5,49M","1,24%"
"06.11.2019","35,52","36,65","36,77","35,35","5,85M","-2,87%"
"05.11.2019","36,57","36,50","36,69","35,80","6,28M","0,74%"
"04.11.2019","36,30","35,40","36,59","35,04","5,49M","3,12%"
"01.11.2019","35,20","35,50","35,68","34,85","5,94M","-0,87%"
"31.10.2019","35,51","35,57","35,61","34,91","3,71M","-0,42%"
"30.10.2019","35,66","35,90","35,91","35,15","4,70M","-0,11%"
"29.10.2019","35,70","35,88","36,29","35,61","4,74M","0,28%"
"28.10.2019","35,60","36,70","36,70","35,51","6,69M","-2,65%"
"25.10.2019","36,57","37,26","37,37","36,23","4,29M","-1,72%"
"24.10.2019","37,21","36,90","37,24","36,36","4,89M","1,11%"
"23.10.2019","36,80","37,60","37,79","36,55","6,58M","-1,95%"
"22.10.2019","37,53","37,74","38,78","37,43","5,84M","-0,58%"
"21.10.2019","37,75","36,30","37,75","36,30","5,13M","4,43%"
"18.10.2019","36,15","36,00","36,20","35,10","5,88M","0,61%"
"17.10.2019","35,93","36,50","36,78","35,76","3,84M","-0,96%"
"16.10.2019","36,28","35,78","36,63","35,78","5,23M","0,81%"
"15.10.2019","35,99","36,59","36,89","35,74","5,68M","-1,07%"
"14.10.2019","36,38","37,30","37,74","36,35","4,25M","-1,94%"
"11.10.2019","37,10","36,80","37,30","36,35","4,33M","0,65%"
"10.10.2019","36,86","36,74","37,19","36,21","4,00M","0,71%"
"09.10.2019","36,60","36,94","37,00","36,35","4,07M","-1,64%"
"08.10.2019","37,21","36,56","37,91","36,56","5,04M","1,28%"
"07.10.2019","36,74","37,20","37,83","36,56","3,16M","-1,71%"
"04.10.2019","37,38","36,69","37,62","36,02","4,84M","2,38%"
"03.10.2019","36,51","37,69","37,88","36,41","5,44M","-2,74%"
"02.10.2019","37,54","37,78","37,82","37,09","6,35M","-1,18%"
"01.10.2019","37,99","37,65","38,23","37,50","6,35M","-0,55%"
"30.09.2019","38,20","38,62","38,75","37,88","6,59M","-1,29%"
"27.09.2019","38,70","39,60","39,60","38,40","5,04M","-3,06%"
"26.09.2019","39,92","40,70","40,70","38,95","10,70M","-1,43%"
"25.09.2019","40,50","39,90","41,06","39,62","7,36M","1,66%"
"24.09.2019","39,84","38,95","40,47","38,85","10,73M","2,81%"
"23.09.2019","38,75","38,38","38,94","38,19","3,17M","0,73%"
"20.09.2019","38,47","37,97","38,48","37,74","8,12M","1,99%"
"19.09.2019","37,72","38,65","38,80","37,72","4,44M","-1,75%"
"18.09.2019","38,39","38,00","39,05","37,92","6,45M","0,60%"
"17.09.2019","38,16","37,90","38,24","37,60","3,70M","0,16%"
"16.09.2019","38,10","38,43","38,46","37,41","5,03M","0,26%"
"13.09.2019","38,00","38,08","38,32","37,53","5,55M","-0,08%"
"12.09.2019","38,03","38,73","38,84","37,82","3,77M","-1,09%"
"11.09.2019","38,45","37,97","38,67","37,90","7,39M","1,45%"
"10.09.2019","37,90","37,30","38,25","36,27","8,96M","2,57%"
"09.09.2019","36,95","38,06","38,66","36,62","10,63M","-1,15%"
"06.09.2019","37,38","38,20","38,43","36,91","3,88M","-1,79%"
"05.09.2019","38,06","38,11","38,47","37,65","3,80M","0,45%"
"04.09.2019","37,89","38,30","38,60","37,80","4,72M","0,45%"
"03.09.2019","37,72","38,39","38,59","37,52","3,52M","-1,80%"
"02.09.2019","38,41","38,14","38,87","37,96","2,95M","0,71%"
"30.08.2019","38,14","39,06","39,50","37,56","7,95M","-1,88%"
"29.08.2019","38,87","39,20","39,39","38,38","4,86M","-0,56%"
"28.08.2019","39,09","37,80","39,09","37,41","5,16M","2,84%"
"27.08.2019","38,01","37,96","38,35","37,37","3,81M","0,34%"
"26.08.2019","37,88","39,00","39,27","37,61","3,21M","-1,84%"
"23.08.2019","38,59","39,15","39,43","37,88","7,62M","-2,45%"
"22.08.2019","39,56","38,50","40,21","38,50","10,92M","3,13%"
"21.08.2019","38,36","37,99","38,45","36,86","7,14M","1,24%"
"20.08.2019","37,89","38,30","38,38","37,59","3,78M","-0,97%"
"19.08.2019","38,26","38,90","39,23","37,86","4,46M","-0,80%"
"16.08.2019","38,57","38,49","39,18","38,30","7,05M","1,07%"
"15.08.2019","38,16","38,36","38,93","37,59","5,63M","0,42%"
"14.08.2019","38,00","38,99","39,26","37,84","5,08M","-2,56%"
"13.08.2019","39,00","38,66","39,30","38,43","8,64M","0,96%"
"12.08.2019","38,63","37,52","38,84","37,21","8,06M","1,23%"
"09.08.2019","38,16","39,20","39,60","38,05","15,90M","5,07%"
"08.08.2019","36,32","34,82","36,49","34,78","7,16M","4,94%"
"07.08.2019","34,61","34,56","34,61","33,55","3,00M","0,14%"
"06.08.2019","34,56","33,63","34,85","33,51","4,17M","2,67%"
"05.08.2019","33,66","33,50","34,20","33,21","4,58M","-1,29%"
"02.08.2019","34,10","33,89","34,18","33,48","3,57M","-0,15%"
"01.08.2019","34,15","33,47","34,98","33,28","4,84M","2,21%"
"31.07.2019","33,41","33,70","33,83","32,84","4,53M","-0,71%"
"30.07.2019","33,65","33,70","34,08","33,15","3,02M","-0,15%"
"29.07.2019","33,70","33,61","33,73","32,51","7,47M","-0,88%"
"26.07.2019","34,00","33,54","34,32","33,16","4,25M","1,95%"
"25.07.2019","33,35","34,20","34,32","33,03","4,11M","-2,08%"
"24.07.2019","34,06","33,81","34,18","33,56","3,90M","0,92%"
"23.07.2019","33,75","34,84","34,88","33,64","4,69M","-2,32%"
"22.07.2019","34,55","34,06","35,19","34,06","6,14M","3,29%"
"19.07.2019","33,45","33,00","33,59","32,54","4,62M","1,49%"
"18.07.2019","32,96","33,20","33,50","32,56","3,39M","0,09%"
"17.07.2019","32,93","32,95","32,99","32,51","2,99M","0,64%"
"16.07.2019","32,72","33,45","33,59","32,51","3,64M","-2,18%"
"15.07.2019","33,45","33,80","33,92","32,99","3,27M","-0,30%"
"12.07.2019","33,55","34,56","35,26","33,42","9,16M","-1,12%"
