"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","18,27","18,44","18,72","18,21","3,62M","-0,94%"
"27.12.2019","18,45","18,76","18,77","18,44","3,67M","-1,74%"
"26.12.2019","18,77","18,55","18,77","18,32","3,14M","1,40%"
"23.12.2019","18,51","18,25","18,51","17,95","4,90M","2,07%"
"20.12.2019","18,14","17,92","18,20","17,87","9,50M","-0,84%"
"19.12.2019","18,29","17,51","18,29","17,31","10,98M","4,34%"
"18.12.2019","17,53","17,00","17,79","17,00","12,56M","2,59%"
"17.12.2019","17,09","17,33","17,33","16,90","5,86M","-0,11%"
"16.12.2019","17,11","16,90","17,33","16,80","9,73M","1,31%"
"13.12.2019","16,89","16,70","16,91","16,57","4,64M","1,50%"
"12.12.2019","16,64","16,66","16,85","16,54","6,83M","-0,12%"
"11.12.2019","16,66","16,47","16,67","16,40","5,57M","0,87%"
"10.12.2019","16,51","16,68","16,69","16,33","6,77M","-1,55%"
"09.12.2019","16,77","16,37","16,86","16,24","4,09M","2,41%"
"06.12.2019","16,38","16,35","16,41","16,14","4,28M","0,65%"
"05.12.2019","16,27","16,11","16,40","15,94","3,78M","0,72%"
"04.12.2019","16,15","16,27","16,29","16,01","9,68M","-0,12%"
"03.12.2019","16,17","16,49","16,51","16,17","3,96M","-1,64%"
"02.12.2019","16,44","16,57","16,77","16,44","4,11M","-0,64%"
"29.11.2019","16,55","16,98","17,01","16,43","3,84M","-1,77%"
"28.11.2019","16,85","16,63","17,03","16,59","2,32M","1,86%"
"27.11.2019","16,54","16,34","16,84","15,91","10,14M","-0,41%"
"26.11.2019","16,61","16,44","16,63","16,17","8,19M","0,12%"
"25.11.2019","16,59","16,49","16,64","16,34","5,02M","0,94%"
"22.11.2019","16,43","16,58","16,64","16,38","4,66M","-0,76%"
"21.11.2019","16,56","16,40","16,56","16,34","5,61M","1,18%"
"19.11.2019","16,37","16,73","16,76","16,30","5,84M","-1,39%"
"18.11.2019","16,60","16,99","17,08","16,60","4,87M","-1,49%"
"14.11.2019","16,85","16,48","16,92","16,41","5,84M","1,45%"
"13.11.2019","16,61","16,53","16,70","16,34","3,20M","0,17%"
"12.11.2019","16,58","17,11","17,15","16,52","5,28M","-3,31%"
"11.11.2019","17,15","16,63","17,22","16,54","5,35M","2,59%"
"08.11.2019","16,71","16,99","17,27","16,71","6,83M","-2,36%"
"07.11.2019","17,12","16,37","17,13","16,25","4,99M","5,33%"
"06.11.2019","16,25","16,21","16,55","16,12","6,82M","0,60%"
"05.11.2019","16,15","16,28","16,35","16,01","4,52M","-1,41%"
"04.11.2019","16,39","16,17","16,50","16,14","3,62M","1,49%"
"01.11.2019","16,14","15,94","16,33","15,81","5,28M","2,01%"
"31.10.2019","15,83","16,03","16,12","15,74","9,46M","-1,56%"
"30.10.2019","16,08","15,88","16,20","15,63","7,03M","1,15%"
"29.10.2019","15,89","16,06","16,12","15,80","5,41M","-2,25%"
"28.10.2019","16,26","16,37","16,47","16,09","5,85M","-0,53%"
"25.10.2019","16,35","16,74","16,91","16,35","7,17M","-2,41%"
"24.10.2019","16,75","16,70","16,96","16,65","5,86M","0,81%"
"23.10.2019","16,62","16,75","16,76","16,44","4,05M","-0,80%"
"22.10.2019","16,75","16,66","16,99","16,55","5,36M","0,40%"
"21.10.2019","16,68","16,94","17,02","16,54","4,41M","-0,71%"
"18.10.2019","16,80","16,54","16,87","16,54","10,31M","1,93%"
"17.10.2019","16,49","16,79","16,83","16,49","15,66M","-1,57%"
"16.10.2019","16,75","16,97","17,03","16,34","5,76M","0,34%"
"15.10.2019","16,69","16,38","16,92","16,24","4,98M","2,12%"
"14.10.2019","16,34","16,41","16,50","16,30","4,39M","-0,85%"
"11.10.2019","16,49","15,85","16,74","15,81","6,15M","4,52%"
"10.10.2019","15,77","15,65","15,86","15,62","4,23M","0,12%"
"09.10.2019","15,75","15,72","15,82","15,68","6,22M","0,48%"
"08.10.2019","15,68","15,43","15,82","15,43","9,31M","1,03%"
"07.10.2019","15,52","15,81","15,92","15,48","11,53M","-2,53%"
"04.10.2019","15,92","15,94","16,04","15,58","3,36M","-0,06%"
"03.10.2019","15,93","15,67","16,01","15,64","3,76M","1,01%"
"02.10.2019","15,77","15,85","16,03","15,58","7,40M","-1,06%"
"01.10.2019","15,94","16,11","16,22","15,79","5,42M","-1,45%"
"30.09.2019","16,18","15,91","16,24","15,83","6,05M","2,07%"
"27.09.2019","15,85","15,64","16,03","15,59","9,39M","1,20%"
"26.09.2019","15,66","15,87","15,92","15,61","6,07M","-1,53%"
"25.09.2019","15,90","15,48","15,99","15,43","6,89M","2,23%"
"24.09.2019","15,56","16,04","16,05","15,39","8,51M","-2,98%"
"23.09.2019","16,04","16,01","16,13","15,79","3,42M","-0,41%"
"20.09.2019","16,10","16,33","16,38","15,71","11,15M","-0,81%"
"19.09.2019","16,23","16,18","16,46","16,03","7,16M","0,58%"
"18.09.2019","16,14","15,89","16,14","15,76","3,09M","0,88%"
"17.09.2019","16,00","15,62","16,03","15,38","4,71M","2,40%"
"16.09.2019","15,62","15,53","15,73","15,25","4,40M","0,97%"
"13.09.2019","15,47","15,99","16,01","15,44","4,10M","-3,23%"
"12.09.2019","15,99","15,72","16,04","15,72","4,40M","2,28%"
"11.09.2019","15,63","15,86","15,90","15,57","4,85M","-1,07%"
"10.09.2019","15,80","15,38","15,91","15,38","5,52M","2,68%"
"09.09.2019","15,39","15,66","15,75","15,31","5,45M","-1,14%"
"06.09.2019","15,57","16,32","16,32","15,57","7,33M","-4,27%"
"05.09.2019","16,26","15,83","16,35","15,68","8,01M","3,52%"
"04.09.2019","15,71","15,46","15,71","15,36","4,40M","2,76%"
"03.09.2019","15,28","15,29","15,78","15,13","6,60M","0,00%"
"02.09.2019","15,28","15,19","15,61","15,03","2,50M","0,31%"
"30.08.2019","15,24","15,50","15,59","15,21","6,04M","-0,91%"
"29.08.2019","15,38","15,00","15,54","14,81","5,00M","3,34%"
"28.08.2019","14,88","14,86","15,03","14,74","5,48M","0,06%"
"27.08.2019","14,87","14,78","15,03","14,46","20,85M","1,08%"
"26.08.2019","14,71","14,83","14,93","14,56","7,07M","0,13%"
