"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","7,49","7,67","7,76","7,49","9,82M","-1,96%"
"27.12.2019","7,64","7,86","7,94","7,60","17,66M","-1,80%"
"26.12.2019","7,78","7,64","7,81","7,55","8,32M","1,97%"
"23.12.2019","7,63","7,62","7,67","7,50","9,85M","0,66%"
"20.12.2019","7,58","7,65","7,65","7,54","17,10M","-0,79%"
"19.12.2019","7,64","7,84","7,86","7,56","19,80M","-2,30%"
"18.12.2019","7,82","7,90","8,11","7,75","21,49M","-0,51%"
"17.12.2019","7,86","7,40","7,87","7,40","20,22M","5,50%"
"16.12.2019","7,45","7,83","7,99","7,37","24,67M","-5,10%"
"13.12.2019","7,85","7,58","7,86","7,58","15,48M","4,53%"
"12.12.2019","7,51","7,42","7,56","7,38","11,05M","1,76%"
"11.12.2019","7,38","7,28","7,38","7,25","8,57M","1,79%"
"10.12.2019","7,25","7,25","7,34","7,16","10,13M","-0,41%"
"09.12.2019","7,28","7,21","7,42","7,15","11,06M","0,83%"
"06.12.2019","7,22","7,24","7,32","7,10","16,21M","-0,14%"
"05.12.2019","7,23","6,90","7,26","6,87","22,00M","5,24%"
"04.12.2019","6,87","7,01","7,01","6,86","8,94M","-1,86%"
"03.12.2019","7,00","7,00","7,06","6,88","8,60M","0,72%"
"02.12.2019","6,95","7,00","7,04","6,90","14,37M","-0,43%"
"29.11.2019","6,98","6,93","7,00","6,84","10,23M","0,87%"
"28.11.2019","6,92","6,70","6,93","6,67","10,96M","3,75%"
"27.11.2019","6,67","6,83","6,86","6,63","10,62M","-1,62%"
"26.11.2019","6,78","6,97","7,06","6,69","18,89M","-3,14%"
"25.11.2019","7,00","6,74","7,06","6,69","17,76M","3,86%"
"22.11.2019","6,74","6,86","6,89","6,69","9,81M","-1,32%"
"21.11.2019","6,83","6,87","6,91","6,76","10,02M","-0,15%"
"19.11.2019","6,84","6,90","6,99","6,83","8,56M","0,00%"
"18.11.2019","6,84","7,14","7,14","6,79","14,59M","-3,12%"
"14.11.2019","7,06","7,20","7,33","7,05","12,44M","-1,53%"
"13.11.2019","7,17","7,12","7,18","6,99","18,86M","0,84%"
"12.11.2019","7,11","7,13","7,21","6,91","18,34M","-0,84%"
"11.11.2019","7,17","6,92","7,18","6,79","20,41M","3,61%"
