"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","36,59","36,50","36,64","36,25","2,11M","0,37%"
"27.12.2019","36,46","37,03","37,25","36,21","2,08M","-1,40%"
"26.12.2019","36,97","37,03","37,06","36,50","1,54M","0,34%"
"23.12.2019","36,85","35,64","36,85","35,63","1,92M","3,44%"
"20.12.2019","35,62","35,50","35,84","35,01","1,82M","0,35%"
"19.12.2019","35,50","35,08","35,60","34,84","1,93M","1,50%"
"18.12.2019","34,97","35,70","35,86","34,45","3,30M","-2,95%"
"17.12.2019","36,04","36,15","36,33","35,60","2,43M","-0,50%"
"16.12.2019","36,22","35,68","36,47","35,54","4,04M","1,50%"
"13.12.2019","35,68","35,50","35,84","35,19","1,95M","0,70%"
"12.12.2019","35,43","35,69","35,73","35,24","2,26M","0,08%"
"11.12.2019","35,40","35,60","35,60","35,17","1,47M","-0,03%"
"10.12.2019","35,41","35,65","35,74","35,04","2,18M","-0,51%"
"09.12.2019","35,60","35,45","35,60","35,09","1,58M","0,03%"
"06.12.2019","35,59","35,17","35,67","34,88","1,82M","1,34%"
"05.12.2019","35,12","35,12","35,17","34,77","1,62M","0,25%"
"04.12.2019","35,03","34,95","35,15","34,78","1,43M","0,55%"
"03.12.2019","34,84","34,34","35,05","34,26","1,91M","1,22%"
"02.12.2019","34,42","34,52","34,56","34,11","1,74M","0,11%"
"29.11.2019","34,38","34,25","34,48","33,95","1,17M","0,42%"
"28.11.2019","34,24","33,54","34,28","33,40","1,10M","1,33%"
"27.11.2019","33,79","33,93","34,14","33,17","2,39M","-0,54%"
"26.11.2019","33,97","34,30","34,30","33,60","2,86M","-1,25%"
"25.11.2019","34,40","34,55","34,79","34,11","1,52M","-1,07%"
"22.11.2019","34,77","34,52","34,92","34,26","1,44M","0,75%"
"21.11.2019","34,51","34,12","34,89","33,99","2,33M","0,75%"
"19.11.2019","34,26","35,26","35,31","33,99","2,42M","-1,97%"
"18.11.2019","34,95","35,79","35,97","34,95","2,21M","-1,91%"
"14.11.2019","35,62","35,84","35,98","35,10","2,44M","-0,37%"
"13.11.2019","35,76","36,46","36,50","35,07","3,63M","-2,50%"
"12.11.2019","36,68","38,32","38,32","35,96","2,98M","-3,48%"
"11.11.2019","38,00","37,79","38,00","37,20","1,73M","0,40%"
"08.11.2019","37,84","38,75","39,01","37,56","2,02M","-3,63%"
"07.11.2019","39,27","39,54","39,81","39,12","1,83M","-0,68%"
"06.11.2019","39,54","39,39","39,86","38,37","2,67M","1,03%"
"05.11.2019","39,14","41,51","41,61","38,71","3,65M","-0,44%"
"04.11.2019","39,31","39,52","39,68","38,78","2,27M","-0,07%"
"01.11.2019","39,34","39,24","40,18","38,78","4,49M","0,29%"
"31.10.2019","39,22","38,51","39,52","38,47","3,86M","0,96%"
"30.10.2019","38,85","37,90","38,85","37,17","3,55M","2,60%"
"29.10.2019","37,86","38,11","38,36","37,33","1,80M","-0,65%"
"28.10.2019","38,11","37,32","38,11","36,74","2,02M","1,40%"
"25.10.2019","37,59","37,17","37,59","36,72","1,70M","0,31%"
"24.10.2019","37,47","37,16","37,60","36,98","1,94M","0,13%"
"23.10.2019","37,42","37,20","37,51","36,54","1,83M","0,44%"
"22.10.2019","37,26","37,12","37,76","36,80","2,23M","-0,38%"
"21.10.2019","37,40","37,23","37,72","36,85","1,72M","0,31%"
"18.10.2019","37,29","36,07","37,36","36,07","4,23M","3,37%"
"17.10.2019","36,07","36,70","36,83","35,62","4,69M","-0,53%"
"16.10.2019","36,27","34,59","36,30","34,30","3,47M","4,01%"
"15.10.2019","34,87","34,70","35,57","34,05","3,21M","0,94%"
"14.10.2019","34,54","35,12","35,41","34,49","2,38M","-1,74%"
"11.10.2019","35,16","36,22","36,46","35,10","2,32M","-2,00%"
"10.10.2019","35,87","36,55","37,41","35,67","2,01M","-1,00%"
"09.10.2019","36,24","36,36","36,88","35,94","1,53M","0,21%"
"08.10.2019","36,16","36,74","38,10","35,87","4,34M","-1,28%"
"07.10.2019","36,63","38,56","39,03","36,25","2,83M","-6,61%"
"04.10.2019","39,22","38,64","39,22","38,05","1,43M","1,21%"
"03.10.2019","38,75","38,33","38,79","37,41","1,92M","1,00%"
"02.10.2019","38,37","39,14","39,14","37,85","4,05M","-3,28%"
"01.10.2019","39,67","40,17","40,19","39,23","1,05M","-1,33%"
"30.09.2019","40,21","40,49","40,50","39,63","1,79M","-0,31%"
"27.09.2019","40,33","40,19","40,43","39,46","1,25M","0,36%"
"26.09.2019","40,19","40,13","40,74","39,71","1,80M","0,77%"
"25.09.2019","39,88","39,55","39,95","38,57","2,40M","-0,29%"
