"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","18,39","18,55","18,73","18,39","2,21M","-0,65%"
"27.12.2019","18,51","18,54","18,71","18,22","2,99M","-0,16%"
"26.12.2019","18,54","18,57","18,67","18,41","3,51M","-0,16%"
"23.12.2019","18,57","18,58","18,70","18,29","2,47M","0,43%"
"20.12.2019","18,49","18,67","18,67","18,44","5,82M","-0,48%"
"19.12.2019","18,58","18,72","18,98","18,34","5,62M","-0,27%"
"18.12.2019","18,63","18,65","18,70","18,35","7,69M","0,48%"
"17.12.2019","18,54","18,41","18,77","18,37","4,18M","1,24%"
"16.12.2019","18,31","18,62","18,84","18,30","4,58M","-1,65%"
"13.12.2019","18,62","18,62","18,74","18,42","3,50M","0,53%"
"12.12.2019","18,52","18,44","18,67","18,36","3,71M","0,48%"
"11.12.2019","18,43","18,13","18,43","17,92","3,75M","2,14%"
"10.12.2019","18,05","17,90","18,23","17,81","4,26M","1,56%"
"09.12.2019","17,77","18,18","18,39","17,71","5,51M","-2,28%"
"06.12.2019","18,18","18,03","18,28","17,90","3,65M","1,43%"
"05.12.2019","17,93","17,89","18,08","17,81","2,54M","0,39%"
"04.12.2019","17,86","17,98","18,07","17,70","2,53M","-0,11%"
"03.12.2019","17,88","18,00","18,19","17,72","3,54M","-0,11%"
"02.12.2019","17,90","17,56","17,90","17,56","4,51M","2,14%"
"29.11.2019","17,52","17,50","17,72","17,31","3,46M","0,45%"
"28.11.2019","17,44","17,67","17,82","17,41","3,34M","-1,23%"
"27.11.2019","17,66","17,41","17,92","17,34","4,84M","1,59%"
"26.11.2019","17,38","17,23","17,50","17,02","6,95M","0,69%"
"25.11.2019","17,26","17,55","17,57","17,25","4,43M","-1,36%"
"22.11.2019","17,50","17,50","18,02","17,30","6,56M","0,23%"
"21.11.2019","17,46","17,41","17,60","17,23","3,66M","0,28%"
"19.11.2019","17,41","17,48","17,59","17,24","2,21M","0,06%"
"18.11.2019","17,40","17,59","17,60","17,32","5,49M","0,28%"
"14.11.2019","17,35","17,30","17,48","17,24","3,07M","0,23%"
"13.11.2019","17,31","17,48","17,60","17,27","4,92M","-1,07%"
"12.11.2019","17,50","17,61","17,90","17,40","4,81M","-0,56%"
"11.11.2019","17,60","17,28","17,82","17,13","6,94M","1,19%"
"08.11.2019","17,39","17,40","17,56","17,23","3,69M","-0,51%"
"07.11.2019","17,48","16,59","17,69","16,52","12,98M","6,18%"
"06.11.2019","16,46","16,78","16,79","16,46","4,86M","-1,86%"
"05.11.2019","16,78","16,47","16,86","16,35","4,94M","1,95%"
"04.11.2019","16,45","15,80","16,73","15,76","7,93M","4,83%"
"01.11.2019","15,70","15,41","15,85","15,40","4,54M","2,02%"
"31.10.2019","15,38","15,25","15,57","15,14","3,69M","1,02%"
"30.10.2019","15,23","15,05","15,31","14,96","3,29M","1,16%"
"29.10.2019","15,05","15,22","15,22","14,95","2,62M","-0,71%"
"28.10.2019","15,16","15,61","15,61","15,08","4,04M","-1,20%"
"25.10.2019","15,35","15,65","15,66","15,35","3,18M","-1,74%"
"24.10.2019","15,62","15,61","15,70","15,47","3,39M","0,12%"
"23.10.2019","15,60","15,51","15,67","15,37","2,43M","0,50%"
"22.10.2019","15,52","15,38","15,56","15,34","2,23M","1,01%"
"21.10.2019","15,37","15,25","15,37","15,17","1,89M","0,70%"
"18.10.2019","15,26","15,41","15,44","15,21","5,22M","-1,01%"
"17.10.2019","15,41","15,52","15,60","15,32","2,67M","-0,56%"
"16.10.2019","15,50","15,17","15,56","15,13","3,49M","1,53%"
"15.10.2019","15,27","14,98","15,29","14,90","2,59M","1,75%"
"14.10.2019","15,01","14,91","15,09","14,83","3,03M","0,92%"
"11.10.2019","14,87","14,39","14,95","14,34","5,30M","4,37%"
"10.10.2019","14,25","14,10","14,46","14,10","4,59M","0,69%"
"09.10.2019","14,15","14,09","14,20","14,02","6,84M","0,83%"
"08.10.2019","14,03","14,34","14,38","14,03","3,65M","-1,97%"
"07.10.2019","14,32","14,52","14,55","14,30","2,71M","-1,21%"
"04.10.2019","14,49","14,46","14,51","14,27","2,38M","0,61%"
"03.10.2019","14,40","14,49","14,52","14,24","2,79M","-0,20%"
"02.10.2019","14,43","14,70","14,75","14,43","3,11M","-2,05%"
"01.10.2019","14,73","15,02","15,02","14,71","2,22M","-1,56%"
"30.09.2019","14,97","14,75","14,97","14,66","2,52M","1,65%"
"27.09.2019","14,72","14,80","14,84","14,70","1,65M","-0,53%"
"26.09.2019","14,80","14,92","14,92","14,73","1,97M","-0,46%"
"25.09.2019","14,87","14,78","14,89","14,64","2,41M","0,59%"
"24.09.2019","14,78","14,99","15,07","14,78","2,31M","-1,11%"
"23.09.2019","14,95","14,97","15,24","14,87","2,70M","-0,39%"
"20.09.2019","15,01","15,18","15,18","14,65","9,09M","-0,77%"
"19.09.2019","15,12","15,18","15,36","15,00","2,78M","0,13%"
"18.09.2019","15,10","14,85","15,16","14,85","3,66M","1,70%"
"17.09.2019","14,85","14,85","14,98","14,79","5,24M","-0,65%"
"16.09.2019","14,95","14,93","14,97","14,70","4,68M","0,39%"
"13.09.2019","14,89","14,89","15,17","14,87","4,68M","0,20%"
"12.09.2019","14,86","14,88","15,04","14,65","3,85M","0,39%"
"11.09.2019","14,80","14,74","15,01","14,73","3,77M","0,86%"
"10.09.2019","14,67","14,85","15,14","14,61","5,54M","-0,72%"
"09.09.2019","14,78","14,68","14,95","14,64","4,56M","1,33%"
"06.09.2019","14,59","14,68","14,87","14,59","2,15M","0,07%"
"05.09.2019","14,58","14,75","14,83","14,58","2,87M","-0,73%"
"04.09.2019","14,68","14,56","14,68","14,35","2,18M","2,03%"
"03.09.2019","14,39","14,49","14,82","14,32","2,93M","-1,14%"
"02.09.2019","14,56","14,57","14,72","14,47","2,12M","-0,60%"
"30.08.2019","14,65","14,61","14,65","14,31","3,71M","1,35%"
"29.08.2019","14,45","14,23","14,52","14,10","3,01M","2,13%"
"28.08.2019","14,15","13,85","14,24","13,82","3,29M","1,61%"
"27.08.2019","13,93","14,00","14,05","13,74","4,99M","0,14%"
"26.08.2019","13,91","13,86","14,06","13,84","2,32M","-0,28%"
"23.08.2019","13,95","14,17","14,23","13,74","5,76M","-2,18%"
"22.08.2019","14,26","14,56","14,58","14,15","3,51M","-0,20%"
"21.08.2019","14,29","14,39","14,41","14,18","3,59M","0,20%"
"20.08.2019","14,26","14,35","14,41","14,13","12,19M","-0,88%"
"19.08.2019","14,38","14,59","14,67","14,30","2,38M","-0,74%"
"16.08.2019","14,49","14,67","14,70","14,40","2,76M","-0,33%"
"15.08.2019","14,54","14,69","14,81","14,27","5,21M","-0,47%"
"14.08.2019","14,61","15,30","15,30","14,59","5,67M","-4,15%"
"13.08.2019","15,24","14,66","15,48","14,66","5,14M","3,30%"
"12.08.2019","14,75","14,74","14,89","14,61","2,78M","-0,59%"
"09.08.2019","14,84","15,11","15,16","14,81","3,59M","-1,34%"
"08.08.2019","15,04","14,73","15,07","14,73","3,14M","2,22%"
"07.08.2019","14,72","14,75","14,79","14,45","4,18M","-0,20%"
"06.08.2019","14,74","14,97","15,00","14,72","4,15M","-1,35%"
"05.08.2019","14,95","14,92","15,18","14,81","4,38M","-0,26%"
"02.08.2019","14,98","14,92","15,13","14,80","3,86M","-0,38%"
"01.08.2019","15,04","15,27","15,36","14,91","6,92M","-2,43%"
"31.07.2019","15,42","15,52","15,52","15,11","3,87M","-0,43%"
"30.07.2019","15,48","15,37","15,57","15,33","2,04M","0,69%"
"29.07.2019","15,38","15,33","15,43","15,06","2,19M","0,69%"
"26.07.2019","15,27","15,37","15,42","15,12","2,62M","-0,25%"
"25.07.2019","15,31","15,46","15,61","15,20","3,07M","-1,42%"
"24.07.2019","15,53","15,47","15,53","15,24","2,79M","0,62%"
"23.07.2019","15,44","15,58","15,73","15,44","4,60M","-1,23%"
"22.07.2019","15,63","15,86","15,88","15,58","2,83M","-1,45%"
"19.07.2019","15,86","16,10","16,13","15,79","2,83M","-1,49%"
