"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","21,47","21,92","22,03","21,10","11,45M","-0,42%"
"27.12.2019","21,56","22,32","22,51","21,27","10,17M","-3,23%"
"26.12.2019","22,28","22,47","22,56","22,25","4,92M","-0,67%"
"23.12.2019","22,43","22,81","22,81","22,14","4,04M","-1,15%"
"20.12.2019","22,69","22,54","22,85","22,26","4,66M","0,67%"
"19.12.2019","22,54","22,44","23,07","22,32","6,67M","0,45%"
"18.12.2019","22,44","22,42","22,71","22,42","3,71M","-0,31%"
"17.12.2019","22,51","22,45","22,76","22,34","3,53M","-0,13%"
"16.12.2019","22,54","22,87","23,03","22,32","5,72M","-1,01%"
"13.12.2019","22,77","22,30","22,77","22,13","3,49M","2,52%"
"12.12.2019","22,21","21,54","22,36","21,54","5,72M","3,49%"
"11.12.2019","21,46","21,53","21,77","21,30","6,74M","-0,19%"
"10.12.2019","21,50","21,55","21,63","21,18","4,89M","-0,28%"
"09.12.2019","21,56","21,69","21,71","21,27","6,40M","-0,55%"
"06.12.2019","21,68","21,32","21,70","21,13","3,81M","1,74%"
"05.12.2019","21,31","21,16","21,31","21,01","2,86M","0,71%"
"04.12.2019","21,16","20,75","21,16","20,75","4,58M","2,12%"
"03.12.2019","20,72","21,17","21,17","20,55","3,96M","-1,52%"
"02.12.2019","21,04","21,32","21,47","20,96","4,13M","-1,91%"
"29.11.2019","21,45","21,72","21,74","21,02","5,36M","-1,15%"
"28.11.2019","21,70","21,69","22,05","21,55","3,03M","-0,28%"
"27.11.2019","21,76","21,69","21,76","21,38","2,81M","0,93%"
"26.11.2019","21,56","21,83","21,83","21,21","3,39M","-0,60%"
"25.11.2019","21,69","21,74","21,74","21,44","2,34M","0,32%"
"22.11.2019","21,62","22,06","22,06","21,52","3,85M","-2,08%"
"21.11.2019","22,08","21,70","22,08","21,61","6,78M","1,66%"
"19.11.2019","21,72","21,34","21,72","21,13","6,87M","1,83%"
"18.11.2019","21,33","20,95","21,36","20,69","6,94M","1,96%"
"14.11.2019","20,92","20,54","21,01","20,45","4,54M","2,30%"
"13.11.2019","20,45","20,32","20,68","20,32","6,51M","-0,34%"
"12.11.2019","20,52","20,66","20,66","20,24","6,49M","-0,44%"
