"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","1.285,25","1.275,00","1.297,10","1.275,00","46,31K","-0,79%"
"30.12.2019","1.295,45","1.284,50","1.301,65","1.265,00","29,39K","1,36%"
"27.12.2019","1.278,10","1.272,15","1.280,00","1.252,00","19,08K","0,47%"
"26.12.2019","1.272,15","1.260,15","1.280,00","1.200,00","21,84K","0,95%"
"24.12.2019","1.260,15","1.264,95","1.270,00","1.232,10","18,11K","-0,09%"
"23.12.2019","1.261,30","1.264,00","1.279,00","1.228,30","49,58K","-0,06%"
"20.12.2019","1.262,00","1.324,00","1.324,00","1.257,80","81,11K","-4,68%"
"19.12.2019","1.324,00","1.298,03","1.331,18","1.298,03","90,15K","1,69%"
"18.12.2019","1.301,98","1.316,42","1.323,01","1.293,73","120,96K","-1,56%"
"17.12.2019","1.322,57","1.329,47","1.341,04","1.316,20","44,31K","-0,41%"
"16.12.2019","1.327,95","1.336,56","1.360,78","1.319,52","124,75K","-0,46%"
"13.12.2019","1.334,09","1.338,80","1.366,16","1.319,25","93,44K","0,19%"
"12.12.2019","1.331,62","1.308,66","1.338,35","1.296,51","83,69K","1,75%"
"11.12.2019","1.308,66","1.301,13","1.318,44","1.291,71","77,99K","0,59%"
"10.12.2019","1.301,04","1.302,47","1.314,04","1.296,24","76,24K","0,02%"
"09.12.2019","1.300,81","1.289,91","1.314,13","1.288,21","36,74K","-9,83%"
"06.12.2019","1.442,60","1.440,00","1.448,50","1.421,05","88,52K","0,17%"
"05.12.2019","1.440,15","1.455,85","1.455,85","1.436,00","149,87K","-0,66%"
"04.12.2019","1.449,70","1.465,90","1.475,00","1.447,30","55,43K","-0,75%"
"03.12.2019","1.460,70","1.478,00","1.478,90","1.455,20","81,90K","-1,26%"
"02.12.2019","1.479,40","1.445,00","1.494,00","1.442,95","79,05K","2,18%"
"29.11.2019","1.447,80","1.452,00","1.480,00","1.441,30","58,80K","0,06%"
