"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","1.445,65","1.454,50","1.460,00","1.441,55","581,12K","-0,51%"
"30.12.2019","1.453,05","1.455,60","1.474,95","1.450,40","433,98K","0,12%"
"27.12.2019","1.451,30","1.456,00","1.470,00","1.448,65","395,78K","-0,03%"
"26.12.2019","1.451,70","1.464,40","1.470,00","1.448,10","324,91K","-0,61%"
"24.12.2019","1.460,60","1.472,90","1.476,05","1.451,20","372,28K","-0,45%"
"23.12.2019","1.467,25","1.443,50","1.474,85","1.441,25","557,54K","1,46%"
"20.12.2019","1.446,15","1.452,00","1.455,90","1.433,95","470,85K","-0,41%"
"19.12.2019","1.452,10","1.445,00","1.459,00","1.441,00","353,48K","0,12%"
"18.12.2019","1.450,40","1.462,10","1.470,40","1.438,75","481,28K","-0,81%"
"17.12.2019","1.462,30","1.443,45","1.466,00","1.438,25","731,44K","1,63%"
"16.12.2019","1.438,80","1.465,90","1.467,00","1.426,00","748,06K","-1,80%"
"13.12.2019","1.465,10","1.444,95","1.467,90","1.430,80","563,30K","2,27%"
"12.12.2019","1.432,60","1.423,30","1.438,00","1.416,50","386,26K","0,97%"
"11.12.2019","1.418,85","1.439,80","1.446,50","1.401,15","871,41K","-1,22%"
"10.12.2019","1.436,35","1.475,00","1.478,70","1.432,40","544,44K","-2,54%"
"09.12.2019","1.473,85","1.484,00","1.492,00","1.470,50","289,71K","-0,58%"
"06.12.2019","1.482,50","1.496,00","1.501,50","1.462,55","408,45K","-0,70%"
"05.12.2019","1.493,00","1.512,90","1.521,60","1.488,00","346,51K","-1,07%"
"04.12.2019","1.509,10","1.490,00","1.514,55","1.480,00","593,10K","0,04%"
"03.12.2019","1.508,55","1.540,80","1.541,95","1.500,10","438,59K","-1,49%"
"02.12.2019","1.531,30","1.521,00","1.546,80","1.520,00","769,67K","0,60%"
"29.11.2019","1.522,15","1.514,00","1.535,00","1.510,00","851,83K","0,38%"
"28.11.2019","1.516,40","1.505,00","1.523,15","1.493,15","521,55K","1,01%"
"27.11.2019","1.501,20","1.486,85","1.517,00","1.483,85","1,03M","1,28%"
"26.11.2019","1.482,30","1.478,55","1.495,00","1.478,00","1,12M","0,36%"
"25.11.2019","1.476,95","1.477,80","1.492,10","1.473,10","668,91K","0,48%"
"22.11.2019","1.469,90","1.473,00","1.482,65","1.462,20","501,61K","-0,23%"
