"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","97,45","98,75","98,80","97,25","62,92K","-0,61%"
"30.12.2019","98,05","97,30","100,00","96,55","188,80K","1,71%"
"27.12.2019","96,40","96,50","97,90","96,10","64,28K","-0,57%"
"26.12.2019","96,95","96,50","97,30","95,40","96,13K","0,99%"
"24.12.2019","96,00","95,15","96,40","95,10","95,24K","0,89%"
"23.12.2019","95,15","94,45","95,50","93,95","121,65K","1,33%"
"20.12.2019","93,90","92,65","94,60","92,00","136,68K","1,51%"
"19.12.2019","92,50","93,25","93,65","92,25","90,96K","-0,59%"
"18.12.2019","93,05","93,45","95,70","92,50","377,91K","0,11%"
"17.12.2019","92,95","94,00","94,00","92,60","85,69K","-1,06%"
"16.12.2019","93,95","95,15","95,75","93,65","82,07K","-1,93%"
"13.12.2019","95,80","96,00","97,30","95,50","109,25K","0,10%"
"12.12.2019","95,70","97,50","97,50","95,20","64,45K","-0,98%"
"11.12.2019","96,65","97,00","97,80","95,10","147,04K","-0,67%"
"10.12.2019","97,30","97,85","98,40","96,50","128,95K","-0,56%"
"09.12.2019","97,85","98,25","98,25","96,00","198,49K","0,62%"
"06.12.2019","97,25","97,50","98,90","94,25","873,60K","3,24%"
"05.12.2019","94,20","94,80","94,95","93,70","105,75K","-0,05%"
"04.12.2019","94,25","92,95","96,90","92,40","358,03K","2,28%"
"03.12.2019","92,15","93,35","93,90","92,00","94,69K","-0,16%"
"02.12.2019","92,30","93,25","93,75","92,05","58,47K","-1,02%"
"29.11.2019","93,25","93,00","94,50","92,00","66,29K","0,48%"
"28.11.2019","92,80","92,50","93,90","92,50","78,77K","0,38%"
"27.11.2019","92,45","94,30","94,40","91,90","120,19K","-1,02%"
"26.11.2019","93,40","96,20","96,50","93,20","109,92K","-1,48%"
"25.11.2019","94,80","95,00","96,45","94,20","111,29K","0,21%"
"22.11.2019","94,60","96,65","98,40","94,10","96,25K","-0,89%"
