"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","1.649,50","1.634,30","1.650,00","1.629,00","12,53K","-0,33%"
"30.12.2019","1.655,00","1.675,00","1.716,00","1.642,30","10,96K","-1,70%"
"27.12.2019","1.683,55","1.652,85","1.692,35","1.635,55","10,31K","1,86%"
"26.12.2019","1.652,80","1.616,00","1.658,65","1.614,00","9,71K","1,71%"
"24.12.2019","1.625,05","1.631,95","1.633,45","1.598,00","9,55K","0,39%"
"23.12.2019","1.618,75","1.591,90","1.634,45","1.580,00","16,44K","1,01%"
"20.12.2019","1.602,60","1.614,75","1.621,00","1.599,55","28,30K","-0,94%"
"19.12.2019","1.617,75","1.631,10","1.631,10","1.610,05","6,35K","-0,16%"
"18.12.2019","1.620,40","1.635,15","1.640,70","1.613,60","12,05K","-0,83%"
"17.12.2019","1.634,00","1.648,00","1.651,95","1.626,05","9,20K","-0,70%"
"16.12.2019","1.645,50","1.645,00","1.654,10","1.633,20","33,44K","-0,04%"
"13.12.2019","1.646,10","1.621,20","1.649,00","1.621,05","8,78K","1,82%"
"12.12.2019","1.616,65","1.626,20","1.648,00","1.606,00","11,46K","-0,42%"
"11.12.2019","1.623,45","1.632,00","1.639,45","1.615,10","3,41K","-0,28%"
"10.12.2019","1.627,95","1.605,00","1.638,00","1.605,00","27,47K","0,80%"
"09.12.2019","1.615,10","1.630,00","1.655,95","1.605,15","6,70K","-2,05%"
"06.12.2019","1.648,95","1.637,40","1.650,05","1.628,20","19,04K","0,01%"
"05.12.2019","1.648,80","1.646,80","1.654,00","1.618,10","40,93K","0,12%"
"04.12.2019","1.646,80","1.647,55","1.654,90","1.623,00","18,86K","-0,55%"
"03.12.2019","1.655,95","1.630,05","1.664,90","1.618,00","37,86K","0,73%"
"02.12.2019","1.643,90","1.657,80","1.657,80","1.608,90","30,66K","-0,02%"
"29.11.2019","1.644,25","1.629,00","1.652,00","1.626,05","10,50K","-0,21%"
"28.11.2019","1.647,75","1.632,90","1.653,00","1.620,15","12,20K","0,91%"
"27.11.2019","1.632,90","1.621,00","1.649,00","1.620,05","6,95K","0,77%"
"26.11.2019","1.620,40","1.670,00","1.690,05","1.612,00","77,67K","-2,93%"
"25.11.2019","1.669,30","1.651,60","1.679,95","1.638,55","19,32K","2,06%"
"22.11.2019","1.635,60","1.630,00","1.644,00","1.616,00","10,02K","0,20%"
"21.11.2019","1.632,30","1.640,00","1.654,95","1.626,20","20,01K","-1,00%"
"20.11.2019","1.648,75","1.645,00","1.665,00","1.632,00","7,45K","-0,02%"
"19.11.2019","1.649,05","1.651,00","1.658,00","1.630,00","7,77K","-0,05%"
"18.11.2019","1.649,80","1.648,00","1.665,55","1.639,35","31,07K","0,15%"
"15.11.2019","1.647,25","1.640,00","1.655,00","1.627,25","28,74K","0,33%"
"14.11.2019","1.641,80","1.698,20","1.698,20","1.639,95","84,26K","-3,34%"
"13.11.2019","1.698,60","1.699,95","1.704,90","1.666,90","47,90K","-1,13%"
"11.11.2019","1.718,00","1.682,20","1.730,00","1.665,20","14,26K","1,90%"
"08.11.2019","1.686,00","1.676,20","1.702,00","1.670,00","33,52K","-0,40%"
"07.11.2019","1.692,70","1.690,90","1.717,90","1.679,95","18,57K","0,49%"
"06.11.2019","1.684,50","1.742,95","1.818,00","1.678,05","80,12K","-2,00%"
"05.11.2019","1.718,90","1.677,40","1.735,00","1.662,10","7,70K","2,47%"
"04.11.2019","1.677,40","1.694,20","1.705,95","1.661,00","5,41K","-0,15%"
"01.11.2019","1.679,85","1.715,75","1.740,00","1.672,05","15,83K","-3,08%"
"31.10.2019","1.733,25","1.702,00","1.746,70","1.702,00","42,77K","0,68%"
"30.10.2019","1.721,60","1.719,85","1.739,00","1.702,10","38,69K","0,46%"
"29.10.2019","1.713,75","1.698,05","1.725,05","1.665,00","24,02K","2,38%"
"27.10.2019","1.673,90","1.673,90","1.673,90","1.673,90","","0,07%"
"25.10.2019","1.672,70","1.661,30","1.680,70","1.641,00","15,16K","0,69%"
"24.10.2019","1.661,30","1.721,10","1.765,00","1.641,25","52,82K","-5,08%"
"23.10.2019","1.750,25","1.730,05","1.774,00","1.710,00","11,88K","2,37%"
"22.10.2019","1.709,65","1.759,00","1.759,65","1.700,00","16,73K","-2,28%"
"18.10.2019","1.749,50","1.694,15","1.758,95","1.694,15","54,30K","1,66%"
"17.10.2019","1.721,00","1.675,05","1.736,70","1.675,05","7,79K","2,91%"
"16.10.2019","1.672,40","1.709,35","1.723,35","1.656,05","11,55K","-2,46%"
"15.10.2019","1.714,55","1.732,80","1.736,25","1.686,05","7,45K","-0,12%"
"14.10.2019","1.716,60","1.700,00","1.719,00","1.681,05","7,38K","2,32%"
"11.10.2019","1.677,60","1.633,50","1.696,95","1.633,50","90,20K","3,34%"
"10.10.2019","1.623,35","1.650,00","1.655,05","1.607,05","7,59K","-1,28%"
"09.10.2019","1.644,35","1.673,60","1.682,90","1.632,65","5,95K","-1,92%"
"07.10.2019","1.676,60","1.651,25","1.689,50","1.650,05","7,06K","0,55%"
"04.10.2019","1.667,50","1.664,20","1.684,85","1.650,05","5,48K","0,22%"
"03.10.2019","1.663,85","1.711,90","1.711,90","1.649,00","22,88K","-2,55%"
"01.10.2019","1.707,45","1.799,30","1.799,30","1.682,00","15,77K","-4,29%"
"30.09.2019","1.784,05","1.777,10","1.800,05","1.750,45","11,93K","-0,18%"
"27.09.2019","1.787,35","1.799,85","1.820,00","1.750,05","17,90K","-0,69%"
"26.09.2019","1.799,85","1.735,00","1.826,95","1.725,65","20,27K","3,59%"
"25.09.2019","1.737,50","1.759,65","1.800,00","1.701,35","62,18K","-1,26%"
"24.09.2019","1.759,65","1.779,00","1.779,80","1.718,25","22,52K","0,80%"
"23.09.2019","1.745,70","1.655,00","1.780,00","1.632,40","169,34K","5,83%"
"20.09.2019","1.649,55","1.620,00","1.650,00","1.606,00","44,43K","2,91%"
"19.09.2019","1.602,85","1.650,00","1.650,10","1.581,05","7,77K","-2,84%"
"18.09.2019","1.649,70","1.649,80","1.650,00","1.622,75","37,93K","1,28%"
"17.09.2019","1.628,85","1.621,95","1.650,00","1.612,10","33,23K","0,92%"
"16.09.2019","1.614,00","1.582,85","1.620,00","1.573,65","20,44K","2,66%"
"13.09.2019","1.572,15","1.558,90","1.579,45","1.552,85","34,64K","0,88%"
"12.09.2019","1.558,50","1.509,95","1.572,00","1.503,60","44,89K","3,19%"
"11.09.2019","1.510,25","1.510,00","1.528,90","1.504,00","23,15K","0,01%"
"09.09.2019","1.510,10","1.539,80","1.539,80","1.501,00","56,68K","0,19%"
"06.09.2019","1.507,20","1.512,95","1.523,05","1.497,00","63,05K","-0,38%"
"05.09.2019","1.512,95","1.502,50","1.531,15","1.482,10","61,53K","-0,54%"
"04.09.2019","1.521,20","1.507,00","1.531,00","1.502,45","4,04K","0,44%"
"03.09.2019","1.514,60","1.540,00","1.547,90","1.501,00","85,13K","-1,31%"
"30.08.2019","1.534,65","1.550,70","1.563,65","1.519,05","11,05K","-0,75%"
"29.08.2019","1.546,20","1.565,00","1.572,50","1.536,00","13,26K","-0,31%"
"28.08.2019","1.551,00","1.569,90","1.569,90","1.533,00","21,65K","0,04%"
"27.08.2019","1.550,40","1.599,60","1.599,60","1.531,05","100,46K","-1,14%"
"26.08.2019","1.568,30","1.635,00","1.635,00","1.557,05","23,87K","-1,95%"
"23.08.2019","1.599,50","1.576,00","1.633,00","1.576,00","34,02K","0,13%"
"22.08.2019","1.597,40","1.610,95","1.623,95","1.582,05","21,56K","-1,18%"
"21.08.2019","1.616,40","1.618,00","1.642,00","1.610,00","5,26K","-0,95%"
"20.08.2019","1.631,85","1.645,20","1.649,50","1.619,95","5,15K","-1,04%"
"19.08.2019","1.649,05","1.649,00","1.655,00","1.634,30","11,48K","0,00%"
"16.08.2019","1.649,00","1.675,10","1.676,40","1.644,05","62,71K","-2,70%"
"14.08.2019","1.694,80","1.649,95","1.709,90","1.635,50","6,63K","2,72%"
"13.08.2019","1.649,95","1.680,05","1.690,55","1.641,30","92,49K","-1,79%"
"09.08.2019","1.680,05","1.666,10","1.689,20","1.635,00","33,60K","0,07%"
"08.08.2019","1.678,80","1.654,40","1.690,00","1.644,60","39,11K","1,74%"
"07.08.2019","1.650,05","1.654,80","1.676,45","1.635,65","45,19K","1,83%"
"06.08.2019","1.620,45","1.683,10","1.694,35","1.602,00","35,52K","-3,27%"
"05.08.2019","1.675,25","1.729,95","1.729,95","1.660,55","14,51K","-2,00%"
"02.08.2019","1.709,40","1.721,45","1.739,25","1.682,50","6,08K","-0,70%"
"01.08.2019","1.721,45","1.732,00","1.732,00","1.702,50","37,94K","0,96%"
"31.07.2019","1.705,05","1.733,20","1.733,20","1.700,00","18,95K","-2,42%"
"30.07.2019","1.747,35","1.717,70","1.754,90","1.708,60","5,05K","2,22%"
"29.07.2019","1.709,45","1.741,10","1.741,10","1.703,10","1,87K","-0,75%"
"26.07.2019","1.722,40","1.753,00","1.753,00","1.711,05","48,34K","-1,94%"
"25.07.2019","1.756,55","1.744,80","1.761,00","1.709,80","16,17K","2,92%"
"24.07.2019","1.706,65","1.753,90","1.754,30","1.690,00","8,41K","-2,98%"
"23.07.2019","1.759,15","1.759,95","1.761,00","1.749,95","8,87K","-0,01%"
"22.07.2019","1.759,40","1.740,10","1.760,05","1.711,55","19,94K","0,24%"
"19.07.2019","1.755,20","1.755,00","1.770,00","1.735,95","5,56K","-0,17%"
"18.07.2019","1.758,20","1.761,00","1.771,80","1.750,05","61,72K","-0,49%"
"17.07.2019","1.766,85","1.762,70","1.779,65","1.755,05","43,10K","-0,16%"
"16.07.2019","1.769,70","1.751,60","1.787,00","1.751,60","79,53K","0,53%"
"15.07.2019","1.760,35","1.777,70","1.784,95","1.744,10","14,72K","0,65%"
"12.07.2019","1.748,90","1.762,90","1.762,90","1.734,75","12,44K","-1,14%"
"11.07.2019","1.769,00","1.750,50","1.778,30","1.742,40","19,98K","0,52%"
"10.07.2019","1.759,90","1.775,30","1.783,95","1.742,05","10,06K","-0,87%"
"09.07.2019","1.775,30","1.770,10","1.809,95","1.765,00","11,39K","-1,22%"
"08.07.2019","1.797,20","1.804,00","1.819,85","1.753,00","8,89K","-0,35%"
"05.07.2019","1.803,55","1.839,95","1.839,95","1.790,00","4,72K","-1,26%"
"04.07.2019","1.826,65","1.790,00","1.844,00","1.790,00","11,18K","1,12%"
"03.07.2019","1.806,35","1.801,15","1.825,10","1.781,40","5,34K","-1,15%"
"02.07.2019","1.827,45","1.839,50","1.839,50","1.812,55","21,18K","-0,66%"
"01.07.2019","1.839,50","1.766,60","1.847,85","1.766,60","27,50K","2,56%"
"28.06.2019","1.793,55","1.760,00","1.817,95","1.745,00","11,48K","2,50%"
"27.06.2019","1.749,80","1.769,65","1.769,65","1.732,50","20,82K","0,03%"
"26.06.2019","1.749,25","1.747,10","1.755,05","1.744,90","25,59K","0,12%"
"25.06.2019","1.747,10","1.741,50","1.767,00","1.736,05","30,61K","-0,08%"
"24.06.2019","1.748,55","1.751,00","1.757,00","1.725,00","7,70K","-0,61%"
"21.06.2019","1.759,35","1.724,65","1.777,00","1.698,95","19,24K","4,60%"
"20.06.2019","1.682,05","1.689,00","1.706,00","1.671,05","41,07K","-0,23%"
"19.06.2019","1.685,85","1.692,55","1.709,00","1.671,45","12,13K","-0,02%"
"18.06.2019","1.686,25","1.686,40","1.704,95","1.677,55","39,52K","-0,01%"
"17.06.2019","1.686,40","1.728,00","1.739,90","1.675,00","18,28K","-2,41%"
"14.06.2019","1.728,00","1.778,60","1.785,50","1.709,00","37,14K","-2,84%"
"13.06.2019","1.778,55","1.832,20","1.839,00","1.770,00","11,36K","-2,73%"
"12.06.2019","1.828,50","1.839,00","1.840,00","1.822,05","4,67K","-0,46%"
"11.06.2019","1.836,90","1.840,00","1.850,00","1.821,00","16,69K","-0,28%"
"10.06.2019","1.842,10","1.826,55","1.845,00","1.820,05","10,04K","0,85%"
"07.06.2019","1.826,55","1.804,00","1.845,00","1.784,85","60,43K","1,92%"
"06.06.2019","1.792,20","1.816,00","1.816,00","1.779,30","5,63K","-0,66%"
"04.06.2019","1.804,05","1.794,85","1.817,05","1.780,00","10,63K","0,54%"
"03.06.2019","1.794,30","1.786,00","1.838,90","1.773,00","45,35K","0,33%"
"31.05.2019","1.788,40","1.774,60","1.800,00","1.767,30","31,18K","0,91%"
"30.05.2019","1.772,30","1.763,00","1.780,00","1.748,65","10,07K","0,29%"
"29.05.2019","1.767,15","1.725,00","1.780,00","1.715,10","16,00K","2,53%"
"28.05.2019","1.723,60","1.798,50","1.798,50","1.705,00","51,43K","-3,88%"
"27.05.2019","1.793,25","1.755,40","1.824,80","1.741,00","116,76K","2,16%"
"24.05.2019","1.755,35","1.734,95","1.768,00","1.720,15","7,34K","1,82%"
"23.05.2019","1.723,90","1.718,00","1.747,95","1.701,30","5,59K","0,29%"
"22.05.2019","1.718,95","1.687,85","1.724,35","1.670,05","8,51K","1,84%"
"21.05.2019","1.687,85","1.690,15","1.697,00","1.674,00","8,39K","0,39%"
"20.05.2019","1.681,30","1.650,00","1.698,00","1.650,00","42,60K","2,06%"
"17.05.2019","1.647,30","1.634,85","1.652,90","1.620,50","14,60K","0,76%"
"16.05.2019","1.634,85","1.660,10","1.680,15","1.625,00","10,89K","-2,09%"
"15.05.2019","1.669,70","1.732,35","1.735,05","1.661,05","76,83K","-3,41%"
"14.05.2019","1.728,65","1.742,75","1.742,95","1.705,10","11,62K","-0,97%"
"13.05.2019","1.745,55","1.742,00","1.798,95","1.720,00","94,76K","0,18%"
"10.05.2019","1.742,40","1.701,10","1.763,00","1.701,05","29,43K","2,48%"
"09.05.2019","1.700,25","1.665,10","1.715,95","1.653,30","14,71K","1,60%"
"08.05.2019","1.673,45","1.707,05","1.735,00","1.665,00","22,66K","-2,83%"
"07.05.2019","1.722,10","1.754,75","1.760,10","1.710,00","5,16K","-0,55%"
"06.05.2019","1.731,55","1.750,05","1.760,00","1.720,00","5,18K","-1,61%"
"03.05.2019","1.759,90","1.770,00","1.792,00","1.741,00","10,36K","-0,81%"
"02.05.2019","1.774,35","1.814,70","1.814,70","1.770,00","11,48K","-2,22%"
"30.04.2019","1.814,70","1.782,00","1.845,10","1.751,50","8,56K","0,64%"
"26.04.2019","1.803,20","1.795,15","1.825,10","1.770,00","7,96K","0,45%"
"25.04.2019","1.795,10","1.803,30","1.809,00","1.780,00","2,26K","-0,30%"
"24.04.2019","1.800,50","1.809,50","1.809,50","1.790,45","13,13K","-0,50%"
"23.04.2019","1.809,50","1.800,15","1.818,80","1.787,25","8,09K","0,52%"
"22.04.2019","1.800,10","1.805,95","1.818,00","1.797,00","21,77K","-0,41%"
"18.04.2019","1.807,55","1.780,20","1.820,00","1.780,20","47,11K","1,54%"
"16.04.2019","1.780,20","1.795,55","1.795,55","1.772,40","4,33K","-0,84%"
"15.04.2019","1.795,30","1.773,00","1.802,00","1.770,00","11,73K","1,24%"
"12.04.2019","1.773,35","1.757,00","1.796,00","1.745,00","17,10K","0,93%"
"11.04.2019","1.757,00","1.790,00","1.790,00","1.745,00","6,02K","-2,33%"
"10.04.2019","1.798,95","1.761,00","1.800,05","1.761,00","72,68K","1,50%"
"09.04.2019","1.772,40","1.712,00","1.798,45","1.701,05","58,78K","4,42%"
"08.04.2019","1.697,30","1.709,75","1.709,75","1.690,00","12,06K","-0,73%"
"05.04.2019","1.709,75","1.716,95","1.734,95","1.700,00","7,98K","0,20%"
"04.04.2019","1.706,30","1.726,35","1.726,35","1.701,05","11,09K","-1,16%"
"03.04.2019","1.726,35","1.753,00","1.770,95","1.710,60","15,31K","-2,62%"
"02.04.2019","1.772,80","1.775,20","1.794,00","1.752,55","13,53K","-0,13%"
"01.04.2019","1.775,15","1.799,90","1.799,90","1.758,00","6,26K","-1,17%"
"29.03.2019","1.796,10","1.848,15","1.858,00","1.780,00","77,03K","-2,23%"
"28.03.2019","1.837,15","1.771,15","1.865,00","1.763,00","56,61K","4,21%"
"27.03.2019","1.762,90","1.708,95","1.774,75","1.686,05","13,92K","3,08%"
"26.03.2019","1.710,15","1.724,90","1.732,95","1.681,45","17,80K","-0,51%"
"25.03.2019","1.719,00","1.712,25","1.725,00","1.690,65","12,75K","0,39%"
"22.03.2019","1.712,30","1.700,50","1.727,85","1.700,50","10,55K","0,29%"
"20.03.2019","1.707,30","1.681,00","1.726,90","1.671,35","47,84K","0,68%"
"19.03.2019","1.695,75","1.743,95","1.752,20","1.675,30","31,21K","-2,52%"
"18.03.2019","1.739,65","1.779,90","1.780,05","1.713,00","17,67K","-1,11%"
"15.03.2019","1.759,25","1.740,00","1.780,00","1.740,00","7,58K","0,26%"
"14.03.2019","1.754,65","1.770,30","1.798,55","1.743,10","32,20K","-0,94%"
"13.03.2019","1.771,30","1.779,95","1.789,35","1.740,05","11,59K","0,60%"
"12.03.2019","1.760,70","1.810,45","1.813,55","1.750,20","39,12K","-1,79%"
"11.03.2019","1.792,80","1.829,80","1.829,80","1.780,30","34,26K","-2,02%"
"08.03.2019","1.829,80","1.781,15","1.840,00","1.781,15","8,52K","2,22%"
"07.03.2019","1.790,10","1.790,00","1.798,90","1.771,25","100,35K","-0,47%"
"06.03.2019","1.798,50","1.810,60","1.834,20","1.780,00","66,06K","0,33%"
"05.03.2019","1.792,65","1.768,00","1.810,25","1.735,25","78,29K","0,91%"
"01.03.2019","1.776,40","1.710,00","1.814,50","1.704,15","46,79K","3,56%"
"28.02.2019","1.715,40","1.728,25","1.728,70","1.705,65","16,08K","-0,27%"
"27.02.2019","1.720,00","1.720,00","1.743,95","1.699,40","31,12K","-0,21%"
"26.02.2019","1.723,65","1.661,00","1.748,90","1.646,70","19,52K","2,59%"
"25.02.2019","1.680,15","1.723,85","1.723,85","1.667,65","7,33K","-1,25%"
"22.02.2019","1.701,40","1.619,05","1.748,85","1.607,70","21,52K","5,31%"
"21.02.2019","1.615,55","1.616,00","1.650,00","1.605,00","9,88K","0,02%"
"20.02.2019","1.615,20","1.645,00","1.648,10","1.610,05","9,28K","-1,55%"
"19.02.2019","1.640,70","1.637,65","1.660,05","1.624,95","7,58K","-0,61%"
"18.02.2019","1.650,70","1.700,00","1.720,00","1.644,30","5,50K","-2,65%"
"15.02.2019","1.695,55","1.675,80","1.699,95","1.652,20","9,31K","2,31%"
"14.02.2019","1.657,30","1.661,10","1.675,90","1.641,65","6,57K","-0,47%"
"13.02.2019","1.665,10","1.663,70","1.670,00","1.655,00","8,35K","0,66%"
"12.02.2019","1.654,15","1.647,15","1.670,35","1.625,90","13,46K","-0,83%"
"11.02.2019","1.667,95","1.659,00","1.684,55","1.639,00","63,62K","0,41%"
"08.02.2019","1.661,20","1.620,00","1.686,00","1.586,20","33,38K","3,40%"
"07.02.2019","1.606,50","1.605,10","1.619,90","1.601,05","7,65K","-0,32%"
"06.02.2019","1.611,70","1.614,75","1.619,95","1.606,00","6,52K","-0,35%"
"05.02.2019","1.617,35","1.626,00","1.633,55","1.613,65","4,19K","-0,48%"
"04.02.2019","1.625,15","1.605,35","1.629,90","1.602,95","10,41K","1,58%"
"01.02.2019","1.599,85","1.643,00","1.643,00","1.590,70","11,88K","-0,46%"
"31.01.2019","1.607,20","1.618,85","1.633,85","1.590,50","18,96K","-1,10%"
"30.01.2019","1.625,05","1.600,05","1.645,00","1.600,05","19,74K","0,31%"
"29.01.2019","1.619,95","1.646,05","1.646,05","1.600,35","19,77K","-0,99%"
