"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","199,55","213,40","213,40","196,00","34,69K","-5,83%"
"30.12.2019","211,90","202,00","213,50","200,00","199,31K","4,82%"
"27.12.2019","202,15","198,10","204,00","197,15","6,09K","0,77%"
"26.12.2019","200,60","197,00","204,50","192,00","58,90K","3,88%"
"24.12.2019","193,10","190,00","197,00","190,00","151,12K","1,31%"
"23.12.2019","190,60","193,75","194,95","189,05","399,11K","-1,70%"
"20.12.2019","193,90","194,50","196,00","192,00","6,03K","-0,56%"
"19.12.2019","195,00","197,50","197,60","194,45","2,15K","-0,31%"
"18.12.2019","195,60","201,95","201,95","194,55","4,80K","-2,00%"
"17.12.2019","199,60","205,60","205,60","199,00","6,24K","-1,21%"
"16.12.2019","202,05","200,85","205,00","196,00","6,83K","2,12%"
"13.12.2019","197,85","196,25","200,00","196,00","7,56K","1,15%"
"12.12.2019","195,60","198,95","200,80","195,10","5,01K","-0,66%"
"11.12.2019","196,90","207,00","207,00","195,05","8,72K","-3,93%"
"10.12.2019","204,95","205,00","206,30","203,15","12,04K","-0,44%"
"09.12.2019","205,85","205,00","206,50","200,55","10,78K","0,54%"
"06.12.2019","204,75","206,90","206,90","204,15","21,47K","-0,12%"
"05.12.2019","205,00","201,20","206,35","201,20","13,40K","0,05%"
"04.12.2019","204,90","204,65","205,15","204,10","5,50K","-0,24%"
"03.12.2019","205,40","202,90","206,50","202,90","18,20K","2,50%"
"02.12.2019","200,40","205,50","206,90","198,60","3,87K","-2,48%"
"29.11.2019","205,50","205,05","206,90","204,05","6,22K","0,29%"
"28.11.2019","204,90","206,95","206,95","204,10","9,38K","0,00%"
"27.11.2019","204,90","200,45","206,00","200,20","11,87K","2,45%"
"26.11.2019","200,00","201,05","203,00","200,00","6,74K","-0,62%"
"25.11.2019","201,25","202,90","204,00","199,00","4,86K","0,57%"
"22.11.2019","200,10","200,00","203,05","199,65","7,96K","0,08%"
"21.11.2019","199,95","199,00","201,95","198,85","42,79K","-0,22%"
"20.11.2019","200,40","200,45","204,85","199,90","20,79K","0,00%"
"19.11.2019","200,40","201,00","202,70","199,25","6,93K","0,10%"
"18.11.2019","200,20","202,00","203,55","199,60","26,11K","-0,65%"
"15.11.2019","201,50","196,70","202,05","195,35","59,11K","3,25%"
"14.11.2019","195,15","195,05","196,50","193,50","55,61K","0,10%"
"13.11.2019","194,95","195,15","198,55","193,10","22,96K","-0,10%"
"11.11.2019","195,15","196,55","200,05","192,00","338,75K","2,41%"
"08.11.2019","190,55","196,25","199,40","189,10","12,77K","-2,31%"
"07.11.2019","195,05","200,00","207,95","194,30","18,50K","-4,22%"
"06.11.2019","203,65","204,55","211,15","202,55","6,48K","-0,54%"
"05.11.2019","204,75","208,00","210,25","204,05","7,89K","-1,80%"
"04.11.2019","208,50","204,30","212,00","204,30","11,13K","0,53%"
"01.11.2019","207,40","211,95","211,95","201,70","21,26K","-0,62%"
"31.10.2019","208,70","207,00","217,95","205,85","45,24K","1,48%"
"30.10.2019","205,65","207,95","207,95","203,10","174,63K","-0,56%"
"29.10.2019","206,80","204,00","208,00","200,95","422,19K","2,73%"
"27.10.2019","201,30","201,30","201,30","201,30","","0,35%"
"25.10.2019","200,60","200,05","203,60","198,95","5,89K","-0,74%"
"24.10.2019","202,10","209,00","209,00","199,90","11,21K","-2,15%"
"23.10.2019","206,55","209,70","210,00","205,95","8,71K","0,41%"
"22.10.2019","205,70","204,70","210,05","204,25","22,49K","1,43%"
"18.10.2019","202,80","194,90","204,00","194,20","28,34K","5,35%"
"17.10.2019","192,50","189,15","195,50","185,45","1,20M","1,77%"
"16.10.2019","189,15","182,95","191,00","181,15","18,85K","3,62%"
"15.10.2019","182,55","185,80","185,90","180,75","5,98K","0,50%"
"14.10.2019","181,65","181,55","182,30","181,00","4,79K","-0,16%"
"11.10.2019","181,95","180,10","182,50","180,10","13,10K","0,64%"
"10.10.2019","180,80","180,05","183,90","180,05","6,83K","0,28%"
"09.10.2019","180,30","180,05","188,00","180,05","8,76K","0,00%"
"07.10.2019","180,30","186,40","186,40","180,10","8,07K","-3,38%"
"04.10.2019","186,60","184,90","188,00","180,10","11,32K","1,61%"
"03.10.2019","183,65","180,00","185,00","179,75","13,50K","2,97%"
"01.10.2019","178,35","182,10","185,00","170,00","25,46K","-2,03%"
"30.09.2019","182,05","187,10","188,00","181,90","6,05K","-3,68%"
"27.09.2019","189,00","190,00","191,00","187,75","18,20K","-0,55%"
"26.09.2019","190,05","193,80","193,80","189,70","14,58K","-0,71%"
"25.09.2019","191,40","194,25","194,25","188,00","19,39K","-0,49%"
"24.09.2019","192,35","182,00","196,30","180,60","106,96K","5,69%"
"23.09.2019","182,00","178,00","184,00","173,55","84,71K","5,26%"
"20.09.2019","172,90","174,50","180,10","170,05","38,05K","0,61%"
"19.09.2019","171,85","179,55","183,55","170,55","13,17K","-4,50%"
"18.09.2019","179,95","179,90","181,95","176,65","18,26K","0,62%"
"17.09.2019","178,85","183,85","183,85","177,00","11,47K","-0,36%"
"16.09.2019","179,50","184,10","186,00","178,75","19,71K","-3,75%"
"13.09.2019","186,50","185,15","188,70","184,30","6,68K","0,40%"
"12.09.2019","185,75","185,95","191,20","183,80","11,37K","1,09%"
"11.09.2019","183,75","183,95","184,00","178,40","7,12K","2,14%"
"09.09.2019","179,90","184,85","184,85","179,10","6,68K","-2,68%"
"06.09.2019","184,85","184,95","185,85","183,55","3,76K","-0,38%"
"05.09.2019","185,55","182,00","186,70","177,95","8,03K","3,40%"
"04.09.2019","179,45","176,05","180,00","176,05","3,73K","0,62%"
"03.09.2019","178,35","184,85","184,85","175,20","3,33K","-1,57%"
"30.08.2019","181,20","183,75","185,20","180,55","4,52K","-2,11%"
"29.08.2019","185,10","187,90","187,90","180,15","10,60K","1,23%"
"28.08.2019","182,85","184,95","186,95","182,00","13,72K","-0,71%"
"27.08.2019","184,15","176,15","188,95","176,15","10,25K","3,57%"
"26.08.2019","177,80","177,00","184,00","171,25","12,66K","1,54%"
"23.08.2019","175,10","177,00","180,00","175,00","3,84K","-1,07%"
"22.08.2019","177,00","180,10","182,90","175,25","6,10K","-2,48%"
"21.08.2019","181,50","185,05","186,10","178,50","28,83K","-1,94%"
"20.08.2019","185,10","190,05","192,00","185,00","5,35K","-3,24%"
"19.08.2019","191,30","195,00","197,00","188,60","5,83K","-2,25%"
"16.08.2019","195,70","188,00","197,35","186,30","8,00K","4,01%"
"14.08.2019","188,15","192,10","194,90","185,05","10,98K","-2,46%"
"13.08.2019","192,90","197,00","198,00","192,00","10,54K","-1,38%"
"09.08.2019","195,60","193,95","197,25","190,05","12,58K","3,19%"
"08.08.2019","189,55","191,55","193,95","186,00","6,70K","-1,84%"
"07.08.2019","193,10","191,60","196,95","190,45","9,48K","1,15%"
"06.08.2019","190,90","190,00","195,85","190,00","4,93K","-1,47%"
"05.08.2019","193,75","192,00","195,00","190,00","10,97K","1,07%"
"02.08.2019","191,70","194,75","194,75","190,25","6,91K","-1,49%"
"01.08.2019","194,60","195,10","198,45","192,10","49,10K","-1,34%"
"31.07.2019","197,25","195,05","200,00","192,05","50,63K","-1,47%"
"30.07.2019","200,20","200,10","200,95","194,30","70,07K","-0,94%"
"29.07.2019","202,10","200,05","203,00","199,55","28,40K","0,37%"
"26.07.2019","201,35","199,05","202,50","199,05","4,78K","0,42%"
"25.07.2019","200,50","204,95","204,95","200,00","10,11K","-2,24%"
"24.07.2019","205,10","205,00","207,25","205,00","6,52K","-0,41%"
"23.07.2019","205,95","201,80","206,65","200,95","2,65K","1,48%"
"22.07.2019","202,95","199,70","204,55","198,90","14,81K","1,35%"
"19.07.2019","200,25","200,20","202,15","200,00","26,65K","0,05%"
"18.07.2019","200,15","201,55","202,25","200,00","33,79K","-1,21%"
"17.07.2019","202,60","201,40","204,00","201,40","11,80K","0,70%"
"16.07.2019","201,20","202,00","204,55","199,00","16,13K","-0,89%"
"15.07.2019","203,00","205,00","211,00","202,60","9,67K","-2,36%"
"12.07.2019","207,90","202,45","209,65","200,00","11,48K","1,99%"
"11.07.2019","203,85","208,50","211,45","200,00","31,90K","-2,39%"
"10.07.2019","208,85","209,10","211,20","206,25","17,60K","-0,57%"
"09.07.2019","210,05","210,65","211,00","209,00","8,74K","-0,59%"
"08.07.2019","211,30","211,75","213,85","209,25","31,68K","-0,52%"
"05.07.2019","212,40","214,05","217,05","210,00","8,28K","-0,77%"
"04.07.2019","214,05","212,60","216,55","212,60","5,33K","0,23%"
"03.07.2019","213,55","213,70","214,90","211,00","6,89K","-0,65%"
"02.07.2019","214,95","214,00","217,95","210,25","15,00K","0,05%"
"01.07.2019","214,85","218,50","219,85","211,70","14,75K","-1,60%"
"28.06.2019","218,35","220,00","220,05","217,45","18,59K","-0,07%"
"27.06.2019","218,50","218,55","221,95","217,05","36,30K","0,11%"
"26.06.2019","218,25","215,05","220,75","215,05","16,39K","-0,80%"
"25.06.2019","220,00","218,05","221,45","216,00","8,26K","0,62%"
"24.06.2019","218,65","225,95","225,95","218,00","3,32K","-1,71%"
"21.06.2019","222,45","221,00","223,00","216,05","9,86K","-0,38%"
"20.06.2019","223,30","218,05","224,45","218,05","5,42K","2,29%"
"19.06.2019","218,30","218,00","226,00","218,00","14,36K","-1,73%"
"18.06.2019","222,15","215,10","224,65","215,10","7,92K","3,30%"
"17.06.2019","215,05","218,05","219,85","214,10","3,41K","-1,71%"
"14.06.2019","218,80","218,00","221,95","216,40","26,86K","-1,00%"
"13.06.2019","221,00","222,00","222,40","220,50","56,91K","-1,05%"
"12.06.2019","223,35","229,85","229,85","220,55","120,40K","-0,78%"
"11.06.2019","225,10","225,10","226,00","223,25","31,98K","-0,86%"
"10.06.2019","227,05","232,00","236,90","225,05","33,43K","-2,51%"
"07.06.2019","232,90","232,00","237,95","230,10","7,15K","0,09%"
"06.06.2019","232,70","233,05","235,70","228,65","20,16K","-0,26%"
"04.06.2019","233,30","238,05","240,00","231,85","11,12K","-2,95%"
"03.06.2019","240,40","238,00","242,00","238,00","8,75K","-0,15%"
"31.05.2019","240,75","240,45","244,00","240,00","12,03K","0,15%"
"30.05.2019","240,40","240,00","243,85","240,00","5,77K","-0,80%"
"29.05.2019","242,35","245,65","245,65","240,40","5,38K","-0,33%"
"28.05.2019","243,15","242,95","248,00","238,10","469,76K","1,00%"
"27.05.2019","240,75","221,75","242,10","221,50","93,48K","8,57%"
"24.05.2019","221,75","210,55","222,40","210,55","46,44K","4,40%"
"23.05.2019","212,40","210,00","214,00","209,90","82,11K","1,12%"
"22.05.2019","210,05","210,30","212,00","210,00","60,95K","-0,40%"
"21.05.2019","210,90","213,10","215,50","209,00","75,50K","-0,99%"
"20.05.2019","213,00","224,90","226,00","212,00","62,47K","-2,38%"
"17.05.2019","218,20","212,00","224,00","210,90","34,14K","2,92%"
"16.05.2019","212,00","209,05","213,85","207,50","134,98K","0,59%"
"15.05.2019","210,75","215,80","216,55","209,00","8,64K","-3,04%"
"14.05.2019","217,35","218,00","218,00","209,45","27,91K","-1,05%"
"13.05.2019","219,65","222,00","225,85","218,00","7,17K","-1,72%"
"10.05.2019","223,50","223,10","228,00","222,10","4,89K","-1,08%"
"09.05.2019","225,95","228,50","228,50","222,95","12,53K","0,33%"
"08.05.2019","225,20","230,05","232,00","225,00","7,10K","-2,09%"
"07.05.2019","230,00","238,90","240,00","230,00","10,66K","-2,29%"
"06.05.2019","235,40","234,00","238,00","233,60","8,07K","0,15%"
"03.05.2019","235,05","235,05","239,65","234,00","24,69K","-0,47%"
"02.05.2019","236,15","236,60","238,80","235,20","6,49K","-0,51%"
"30.04.2019","237,35","239,00","241,95","235,00","11,14K","-1,21%"
"26.04.2019","240,25","239,00","241,90","238,05","21,13K","0,21%"
"25.04.2019","239,75","240,00","246,00","238,05","29,12K","-0,77%"
"24.04.2019","241,60","244,00","245,65","238,05","8,70K","-0,94%"
"23.04.2019","243,90","245,10","249,90","243,00","6,32K","-1,09%"
"22.04.2019","246,60","254,00","254,50","245,00","7,71K","-3,99%"
"18.04.2019","256,85","263,40","263,40","252,15","13,12K","-1,04%"
"16.04.2019","259,55","259,70","263,00","259,00","15,59K","0,52%"
"15.04.2019","258,20","257,35","261,45","254,85","38,90K","1,16%"
"12.04.2019","255,25","248,05","257,00","247,05","20,75K","1,90%"
"11.04.2019","250,50","252,00","253,00","249,65","1,74K","0,14%"
"10.04.2019","250,15","252,90","252,90","247,00","16,25K","-0,50%"
"09.04.2019","251,40","241,00","255,00","241,00","47,53K","4,49%"
"08.04.2019","240,60","250,00","250,00","239,70","25,83K","-1,76%"
"05.04.2019","244,90","249,40","250,15","243,10","41,29K","-1,80%"
"04.04.2019","249,40","256,40","256,45","247,25","21,34K","-1,73%"
