"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","1.971,15","1.954,40","1.977,90","1.928,00","19,81K","1,32%"
"30.12.2019","1.945,40","1.950,00","1.961,00","1.935,00","12,88K","0,21%"
"27.12.2019","1.941,40","1.948,00","1.957,20","1.923,10","11,43K","0,36%"
"26.12.2019","1.934,35","1.940,00","1.959,95","1.930,00","3,31K","-0,58%"
"24.12.2019","1.945,55","1.992,00","1.992,00","1.931,15","9,41K","-1,38%"
"23.12.2019","1.972,75","1.965,00","1.990,00","1.930,05","11,05K","1,34%"
"20.12.2019","1.946,60","1.932,00","1.953,05","1.926,65","6,42K","0,01%"
"19.12.2019","1.946,45","1.945,20","1.956,40","1.932,30","6,75K","0,06%"
"18.12.2019","1.945,20","1.960,00","1.960,00","1.940,00","52,30K","-0,88%"
"17.12.2019","1.962,50","1.938,40","1.970,00","1.928,10","34,34K","1,51%"
"16.12.2019","1.933,40","1.980,00","1.980,00","1.925,00","7,52K","-1,45%"
"13.12.2019","1.961,75","1.926,00","1.990,00","1.922,00","23,71K","1,91%"
"12.12.2019","1.924,95","1.957,00","1.957,00","1.910,00","2,66K","0,01%"
"11.12.2019","1.924,85","1.933,75","1.933,75","1.912,45","4,91K","-1,02%"
"10.12.2019","1.944,70","1.939,00","1.959,00","1.905,00","9,15K","0,93%"
"09.12.2019","1.926,70","1.915,00","1.999,90","1.910,00","11,54K","0,50%"
"06.12.2019","1.917,20","1.983,00","2.000,00","1.908,80","6,54K","-1,98%"
"05.12.2019","1.956,00","2.019,00","2.019,05","1.948,00","9,38K","-2,17%"
"04.12.2019","1.999,30","1.920,95","2.028,65","1.920,95","37,83K","3,57%"
"03.12.2019","1.930,35","1.925,00","1.939,95","1.920,00","4,05K","0,48%"
"02.12.2019","1.921,20","1.950,00","1.950,00","1.910,00","3,87K","-0,72%"
"29.11.2019","1.935,05","1.947,95","1.947,95","1.902,65","11,47K","-0,05%"
"28.11.2019","1.935,95","1.925,00","1.949,95","1.890,00","12,96K","1,71%"
"27.11.2019","1.903,40","1.930,00","1.943,95","1.901,00","15,75K","-1,71%"
"26.11.2019","1.936,50","1.935,00","1.949,00","1.920,30","11,53K","0,04%"
"25.11.2019","1.935,80","1.929,95","1.945,00","1.906,85","12,11K","0,30%"
"22.11.2019","1.929,95","1.949,95","1.965,00","1.920,00","10,05K","-1,10%"
"21.11.2019","1.951,35","1.940,00","1.967,20","1.931,30","16,48K","0,79%"
"20.11.2019","1.936,10","1.944,00","1.960,00","1.902,70","20,88K","1,31%"
"19.11.2019","1.911,00","1.948,00","1.948,00","1.900,00","4,50K","-0,47%"
"18.11.2019","1.920,00","1.911,00","1.934,00","1.908,25","5,05K","-0,55%"
"15.11.2019","1.930,70","1.930,00","1.945,45","1.901,00","6,80K","0,03%"
"14.11.2019","1.930,15","1.928,00","1.940,00","1.898,95","14,54K","0,82%"
"13.11.2019","1.914,45","1.979,90","1.998,90","1.902,00","44,74K","-2,78%"
"11.11.2019","1.969,15","2.088,10","2.088,10","1.958,00","50,40K","-8,53%"
"08.11.2019","2.152,70","2.222,00","2.238,95","2.125,10","15,02K","-1,53%"
"07.11.2019","2.186,20","2.225,00","2.247,95","2.175,10","9,78K","-1,71%"
"06.11.2019","2.224,30","2.229,75","2.245,00","2.201,55","40,65K","0,44%"
"05.11.2019","2.214,65","2.150,00","2.270,00","2.115,00","36,89K","3,19%"
"04.11.2019","2.146,20","2.062,10","2.150,00","2.062,10","17,34K","2,68%"
"01.11.2019","2.090,10","2.143,00","2.143,00","2.072,00","8,27K","-1,32%"
"31.10.2019","2.118,05","2.139,00","2.151,85","2.090,20","32,86K","0,67%"
"30.10.2019","2.104,00","2.090,00","2.119,00","2.055,00","29,56K","2,80%"
