"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","724,35","723,85","730,95","719,80","273,54K","0,13%"
"30.12.2019","723,40","718,75","729,00","716,10","360,95K","1,05%"
"27.12.2019","715,90","712,00","718,05","708,00","477,38K","0,72%"
"26.12.2019","710,80","722,80","725,40","703,70","408,82K","-1,52%"
"24.12.2019","721,80","720,00","724,60","717,20","476,92K","0,62%"
"23.12.2019","717,35","722,00","729,90","714,65","506,76K","-0,57%"
"20.12.2019","721,45","730,50","738,80","718,10","781,82K","-1,24%"
"19.12.2019","730,50","734,10","749,50","728,00","926,21K","-1,32%"
"18.12.2019","740,25","746,85","747,00","737,45","528,52K","-1,18%"
"17.12.2019","749,10","726,65","755,00","724,05","1,38M","3,60%"
"16.12.2019","723,05","744,90","753,90","720,70","1,06M","-2,53%"
"13.12.2019","741,85","736,00","744,40","735,20","207,47K","0,85%"
"12.12.2019","735,60","733,20","745,50","731,40","560,58K","0,82%"
"11.12.2019","729,65","733,50","741,35","716,65","523,01K","-0,03%"
"10.12.2019","729,85","731,10","738,00","726,75","186,48K","-0,31%"
"09.12.2019","732,10","728,90","741,50","723,90","289,59K","0,44%"
"06.12.2019","728,90","738,40","744,25","724,60","308,70K","-1,22%"
"05.12.2019","737,90","742,90","750,95","736,05","507,97K","-0,89%"
"04.12.2019","744,50","749,10","759,00","738,45","648,69K","-0,47%"
"03.12.2019","748,05","748,05","764,90","741,40","1,06M","-0,47%"
"02.12.2019","751,55","753,60","775,00","744,25","277,07K","0,12%"
"29.11.2019","750,65","754,70","756,30","743,55","260,37K","-0,54%"
"28.11.2019","754,75","761,10","768,95","752,00","522,11K","-1,12%"
"27.11.2019","763,30","770,00","784,95","753,00","1,46M","-0,81%"
"26.11.2019","769,55","741,75","774,50","739,15","1,68M","3,58%"
"25.11.2019","742,95","739,00","748,80","738,90","495,78K","0,17%"
"22.11.2019","741,70","745,40","757,20","735,40","831,75K","-0,54%"
"21.11.2019","745,70","750,00","750,00","737,15","511,27K","-0,97%"
"20.11.2019","753,00","753,80","763,25","747,00","426,26K","-0,25%"
"19.11.2019","754,90","749,25","761,00","745,90","650,03K","0,75%"
"18.11.2019","749,25","745,05","754,00","741,75","507,57K","0,34%"
"15.11.2019","746,70","750,00","754,20","742,00","737,32K","-0,21%"
"14.11.2019","748,30","733,00","750,00","728,30","1,46M","2,20%"
"13.11.2019","732,20","720,00","739,90","718,75","2,48M","2,06%"
"11.11.2019","717,40","678,00","729,75","670,10","5,55M","9,66%"
"08.11.2019","654,20","664,00","674,20","650,50","374,27K","-1,25%"
"07.11.2019","662,50","663,90","667,90","658,65","253,18K","0,26%"
"06.11.2019","660,80","661,45","666,95","653,00","280,08K","0,52%"
"05.11.2019","657,35","658,00","666,90","652,05","435,96K","-0,19%"
"04.11.2019","658,60","694,00","695,45","657,00","766,59K","-4,52%"
"01.11.2019","689,75","686,00","695,70","678,55","438,76K","1,13%"
"31.10.2019","682,05","676,00","690,00","675,30","630,80K","0,92%"
"30.10.2019","675,85","666,50","681,00","664,50","409,20K","2,01%"
"29.10.2019","662,55","654,00","669,75","654,00","401,46K","1,28%"
"27.10.2019","654,15","649,20","657,05","649,20","45,29K","0,43%"
"25.10.2019","651,35","655,15","663,40","648,70","172,10K","-0,68%"
"24.10.2019","655,80","664,90","668,25","653,15","227,27K","-0,94%"
"23.10.2019","662,05","676,80","679,25","655,50","351,85K","-2,05%"
"22.10.2019","675,90","668,00","681,00","662,20","539,90K","1,11%"
"18.10.2019","668,50","669,45","676,85","661,25","626,40K","-0,24%"
"17.10.2019","670,10","667,90","674,00","638,75","1,45M","0,90%"
"16.10.2019","664,15","682,40","688,00","660,00","542,47K","-2,19%"
"15.10.2019","679,05","687,85","694,00","645,55","1,38M","-0,83%"
"14.10.2019","684,75","679,95","687,80","673,20","175,46K","0,57%"
"11.10.2019","680,85","681,10","689,30","673,20","206,07K","0,12%"
"10.10.2019","680,00","693,55","700,00","677,15","180,48K","-1,95%"
"09.10.2019","693,55","687,50","695,60","673,10","343,98K","1,38%"
