"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","34,00","34,45","35,20","33,65","473,32K","-1,59%"
"30.12.2019","34,55","33,10","34,75","33,10","526,12K","4,07%"
"27.12.2019","33,20","31,95","33,75","31,80","358,47K","4,40%"
"26.12.2019","31,80","31,25","32,20","30,80","226,45K","2,09%"
"24.12.2019","31,15","31,50","31,80","31,10","81,94K","-0,16%"
"23.12.2019","31,20","31,45","31,90","31,05","131,45K","-0,79%"
"20.12.2019","31,45","32,00","32,45","31,20","236,50K","-2,02%"
"19.12.2019","32,10","32,50","32,80","31,85","121,05K","-1,08%"
"18.12.2019","32,45","32,60","33,15","32,25","115,49K","-0,76%"
"17.12.2019","32,70","32,30","33,25","31,90","135,01K","1,71%"
"16.12.2019","32,15","32,05","32,80","31,80","179,31K","0,47%"
"13.12.2019","32,00","31,70","32,30","31,60","113,45K","1,27%"
"12.12.2019","31,60","32,00","32,35","31,50","60,75K","-0,47%"
"11.12.2019","31,75","32,20","32,65","31,50","148,44K","-1,24%"
"10.12.2019","32,15","33,45","33,50","32,00","234,97K","-3,74%"
"09.12.2019","33,40","33,70","35,00","32,90","292,74K","0,60%"
"06.12.2019","33,20","33,70","33,75","33,10","115,46K","-1,63%"
"05.12.2019","33,75","33,80","34,40","33,60","62,91K","-0,74%"
"04.12.2019","34,00","33,65","34,65","33,40","135,65K","0,89%"
"03.12.2019","33,70","33,45","33,95","33,25","154,79K","0,45%"
"02.12.2019","33,55","33,35","34,20","33,35","261,33K","-0,45%"
"29.11.2019","33,70","33,55","33,95","33,20","176,11K","0,75%"
"28.11.2019","33,45","33,95","34,40","33,20","217,61K","-1,47%"
"27.11.2019","33,95","33,45","34,50","33,20","277,16K","1,34%"
"26.11.2019","33,50","34,50","34,60","33,25","206,37K","-2,47%"
"25.11.2019","34,35","33,65","35,15","33,65","274,27K","0,88%"
"22.11.2019","34,05","34,50","34,60","33,30","174,66K","-0,87%"
"21.11.2019","34,35","33,80","35,30","33,80","232,67K","1,63%"
"20.11.2019","33,80","33,80","34,00","33,35","105,77K","0,60%"
"19.11.2019","33,60","33,85","34,35","33,00","216,37K","-0,44%"
"18.11.2019","33,75","35,00","35,00","32,30","328,48K","-1,75%"
"15.11.2019","34,35","34,40","35,35","33,80","225,79K","4,09%"
"14.11.2019","33,00","33,15","33,25","32,75","216,42K","-0,30%"
"13.11.2019","33,10","33,50","33,50","33,00","175,26K","0,15%"
"11.11.2019","33,05","33,35","33,35","33,00","79,63K","0,00%"
"08.11.2019","33,05","33,70","33,70","33,00","159,88K","-0,60%"
"07.11.2019","33,25","35,00","35,25","32,80","424,15K","-1,04%"
"06.11.2019","33,60","31,70","33,80","31,50","492,37K","7,52%"
"05.11.2019","31,25","31,50","31,70","31,05","109,12K","-0,32%"
"04.11.2019","31,35","32,15","32,70","31,15","135,69K","-1,42%"
"01.11.2019","31,80","31,85","32,30","31,15","105,78K","-0,31%"
"31.10.2019","31,90","32,70","33,00","31,75","215,37K","1,59%"
"30.10.2019","31,40","31,10","32,10","31,05","182,39K","0,48%"
"29.10.2019","31,25","31,80","32,10","31,15","179,80K","0,16%"
"27.10.2019","31,20","31,20","31,20","31,20","","-1,11%"
"25.10.2019","31,55","31,40","31,90","31,40","142,09K","0,64%"
"24.10.2019","31,35","31,00","32,30","30,85","302,48K","0,80%"
"23.10.2019","31,10","29,60","31,40","29,60","205,73K","3,49%"
"22.10.2019","30,05","29,60","30,30","29,00","142,98K","1,01%"
"18.10.2019","29,75","29,00","30,00","28,00","180,45K","2,59%"
"17.10.2019","29,00","28,80","29,55","28,65","85,33K","0,69%"
"16.10.2019","28,80","29,35","29,85","28,25","109,21K","-1,87%"
"15.10.2019","29,35","29,90","29,90","29,10","105,07K","0,34%"
"14.10.2019","29,25","28,45","29,40","28,25","142,35K","5,03%"
"11.10.2019","27,85","28,35","29,40","27,50","121,02K","-1,59%"
"10.10.2019","28,30","29,00","29,45","28,05","95,11K","-1,39%"
"09.10.2019","28,70","29,45","29,45","27,45","272,02K","-1,37%"
"07.10.2019","29,10","30,75","31,10","29,00","94,08K","-3,80%"
"04.10.2019","30,25","30,60","31,30","30,05","73,18K","-0,82%"
"03.10.2019","30,50","32,20","32,20","30,20","101,17K","-3,02%"
"01.10.2019","31,45","33,80","33,85","31,00","352,95K","-7,09%"
"30.09.2019","33,85","35,00","35,00","33,30","145,17K","-2,31%"
"27.09.2019","34,65","35,35","36,05","34,20","343,57K","-1,70%"
"26.09.2019","35,25","35,50","35,75","34,65","233,82K","0,00%"
"25.09.2019","35,25","34,20","35,85","33,60","226,33K","3,52%"
"24.09.2019","34,05","34,65","34,75","33,35","170,99K","-1,02%"
"23.09.2019","34,40","34,95","35,55","33,65","291,13K","-0,72%"
"20.09.2019","34,65","35,00","35,80","33,75","727,50K","-1,84%"
"19.09.2019","35,30","36,05","36,05","34,80","218,30K","-1,12%"
"18.09.2019","35,70","35,90","35,90","35,00","177,28K","0,71%"
"17.09.2019","35,45","36,30","36,90","34,80","442,90K","-1,39%"
"16.09.2019","35,95","35,95","36,40","35,30","461,34K","0,00%"
"13.09.2019","35,95","35,10","36,40","34,90","393,34K","1,84%"
"12.09.2019","35,30","35,50","35,95","34,85","372,21K","0,43%"
"11.09.2019","35,15","34,45","35,50","33,50","541,05K","3,38%"
"09.09.2019","34,00","34,00","34,50","33,70","416,08K","-0,15%"
"06.09.2019","34,05","33,50","34,85","33,10","467,69K","2,41%"
"05.09.2019","33,25","33,60","33,70","33,00","380,61K","-1,04%"
"04.09.2019","33,60","32,70","33,95","32,40","506,87K","4,35%"
"03.09.2019","32,20","31,15","32,75","31,00","598,90K","2,88%"
"30.08.2019","31,30","31,00","31,90","30,00","504,91K","3,81%"
