"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","1.442,00","1.417,00","1.454,00","1.415,00","985,80K","1,63%"
"30.12.2019","1.418,90","1.421,20","1.432,85","1.411,60","527,33K","0,06%"
"27.12.2019","1.418,10","1.379,95","1.424,95","1.379,50","1,09M","2,79%"
"26.12.2019","1.379,60","1.384,40","1.387,70","1.370,45","344,46K","0,30%"
"24.12.2019","1.375,45","1.391,90","1.398,45","1.372,20","295,54K","-0,78%"
"23.12.2019","1.386,25","1.378,00","1.390,00","1.365,55","476,67K","0,51%"
"20.12.2019","1.379,20","1.400,00","1.402,40","1.375,50","629,26K","-1,23%"
"19.12.2019","1.396,40","1.385,45","1.403,55","1.371,15","730,56K","0,83%"
"18.12.2019","1.384,85","1.371,05","1.394,85","1.370,00","1,24M","1,55%"
"17.12.2019","1.363,65","1.369,95","1.369,95","1.341,35","1,18M","-0,50%"
"16.12.2019","1.370,55","1.370,00","1.389,90","1.366,00","825,49K","1,30%"
"13.12.2019","1.353,00","1.393,00","1.397,75","1.345,00","2,56M","-2,35%"
"12.12.2019","1.385,50","1.395,00","1.406,00","1.374,75","698,12K","-0,36%"
"11.12.2019","1.390,45","1.380,00","1.407,00","1.380,00","735,57K","1,20%"
"10.12.2019","1.373,95","1.412,50","1.437,00","1.368,00","1,14M","-2,68%"
"09.12.2019","1.411,80","1.466,00","1.474,45","1.402,70","878,63K","-3,63%"
"06.12.2019","1.465,00","1.479,90","1.510,00","1.459,60","830,78K","-1,23%"
"05.12.2019","1.483,20","1.471,85","1.492,55","1.451,60","725,91K","0,88%"
"04.12.2019","1.470,25","1.404,00","1.478,55","1.401,05","1,20M","4,69%"
"03.12.2019","1.404,40","1.423,90","1.423,90","1.400,00","405,57K","-0,84%"
"02.12.2019","1.416,25","1.450,20","1.450,20","1.414,45","308,44K","-1,73%"
"29.11.2019","1.441,20","1.453,50","1.466,85","1.431,00","359,72K","-0,23%"
"28.11.2019","1.444,50","1.465,35","1.476,40","1.440,00","397,27K","-1,33%"
"27.11.2019","1.463,95","1.467,50","1.480,00","1.460,00","400,33K","0,38%"
"26.11.2019","1.458,40","1.455,00","1.488,00","1.450,65","989,76K","0,56%"
"25.11.2019","1.450,35","1.451,40","1.464,70","1.440,15","337,74K","-0,09%"
"22.11.2019","1.451,60","1.459,65","1.475,05","1.440,65","882,62K","-0,26%"
"21.11.2019","1.455,45","1.428,00","1.462,95","1.425,00","1,12M","2,38%"
"20.11.2019","1.421,55","1.422,00","1.437,10","1.415,00","660,96K","0,75%"
"19.11.2019","1.410,95","1.408,80","1.420,80","1.402,00","472,32K","0,50%"
"18.11.2019","1.403,95","1.419,00","1.428,60","1.398,20","783,23K","0,48%"
"15.11.2019","1.397,25","1.437,45","1.445,40","1.380,00","1,28M","-1,54%"
"14.11.2019","1.419,15","1.394,00","1.441,50","1.386,30","1,64M","2,20%"
"13.11.2019","1.388,65","1.420,05","1.435,00","1.379,15","506,84K","-2,14%"
"11.11.2019","1.419,00","1.425,00","1.445,00","1.414,15","475,25K","0,03%"
"08.11.2019","1.418,60","1.467,90","1.467,90","1.415,00","504,63K","-3,09%"
"07.11.2019","1.463,90","1.422,70","1.469,00","1.420,50","909,62K","3,54%"
"06.11.2019","1.413,90","1.416,00","1.429,95","1.402,05","604,58K","-0,07%"
"05.11.2019","1.414,95","1.423,50","1.446,80","1.412,50","620,98K","0,01%"
"04.11.2019","1.414,75","1.461,00","1.471,00","1.411,00","519,50K","-3,10%"
"01.11.2019","1.460,00","1.492,80","1.508,00","1.450,10","551,15K","-1,67%"
"31.10.2019","1.484,80","1.471,00","1.499,80","1.463,05","457,12K","1,56%"
"30.10.2019","1.461,95","1.459,80","1.489,25","1.440,00","751,37K","2,16%"
"29.10.2019","1.431,00","1.526,10","1.527,00","1.393,00","2,30M","-6,45%"
"27.10.2019","1.529,65","1.529,65","1.529,65","1.529,65","","0,68%"
"25.10.2019","1.519,35","1.540,00","1.543,30","1.507,35","289,34K","-1,14%"
"24.10.2019","1.536,80","1.518,30","1.540,00","1.518,30","340,51K","1,52%"
